Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
K562	RBM22_4-DDX55_6-interaction-shap	interaction	RBM22	4	DDX55	6	8	-1.5718275308609009	false	1.5718275308609009	DDX55-RBM22
K562	LIN28B_3-HNRNPL_6-interaction-shap	interaction	LIN28B	3	HNRNPL	6	7	-1.5689318180084229	false	1.5689318180084229	HNRNPL-LIN28B
K562	HLTF_2-PRPF8_4-interaction-shap	interaction	HLTF	2	PRPF8	4	12	-1.4142358303070068	false	1.4142358303070068	HLTF-PRPF8
K562	UCHL5_3-FUS_4-interaction-shap	interaction	UCHL5	3	FUS	4	13	-1.3717466592788696	false	1.3717466592788696	FUS-UCHL5
K562	MATR3_2-PUM2_3-interaction-shap	interaction	MATR3	2	PUM2	3	2	-1.257232904434204	false	1.257232904434204	MATR3-PUM2
K562	KHDRBS1_2-EFTUD2_5-interaction-shap	interaction	KHDRBS1	2	EFTUD2	5	1	1.2386658191680908	false	1.2386658191680908	EFTUD2-KHDRBS1
K562	RPS3_3-PUM2_4-interaction-shap	interaction	RPS3	3	PUM2	4	73	-1.1889582872390747	false	1.1889582872390747	PUM2-RPS3
K562	PTBP1_3-DDX24_4-interaction-shap	interaction	PTBP1	3	DDX24	4	15	-1.1300615072250366	false	1.1300615072250366	DDX24-PTBP1
K562	IGF2BP1_2-GPKOW_4-interaction-shap	interaction	IGF2BP1	2	GPKOW	4	14	-1.0937987565994263	false	1.0937987565994263	GPKOW-IGF2BP1
K562	HNRNPK_4-DDX3X_5-interaction-shap	interaction	HNRNPK	4	DDX3X	5	4	1.09035325050354	false	1.09035325050354	DDX3X-HNRNPK
K562	PTBP1_3-ZNF622_6-interaction-shap	interaction	PTBP1	3	ZNF622	6	44	1.077681541442871	false	1.077681541442871	PTBP1-ZNF622
K562	EIF4E_5-DDX3X_6-interaction-shap	interaction	EIF4E	5	DDX3X	6	29	1.0131793022155762	false	1.0131793022155762	DDX3X-EIF4E
K562	PUM2_4-ELAVL1_6-interaction-shap	interaction	PUM2	4	ELAVL1	6	6	-0.9689986109733582	false	0.9689986109733582	ELAVL1-PUM2
K562	DDX3X_5-ELAC2_6-interaction-shap	interaction	DDX3X	5	ELAC2	6	11	0.927619218826294	false	0.927619218826294	DDX3X-ELAC2
K562	IGF2BP1_4-MBNL1_6-interaction-shap	interaction	IGF2BP1	4	MBNL1	6	11	-0.8872398138046265	false	0.8872398138046265	IGF2BP1-MBNL1
K562	TAF15_2-DDX43_3-interaction-shap	interaction	TAF15	2	DDX43	3	2	-0.8718559741973877	false	0.8718559741973877	DDX43-TAF15
K562	EIF4G2_1-ZNF622_3-interaction-shap	interaction	EIF4G2	1	ZNF622	3	8	-0.8281999826431274	false	0.8281999826431274	EIF4G2-ZNF622
K562	KHDRBS1_2-PRPF8_6-interaction-shap	interaction	KHDRBS1	2	PRPF8	6	1	0.8166853189468384	false	0.8166853189468384	KHDRBS1-PRPF8
K562	KHDRBS1_2-PTBP1_3-interaction-shap	interaction	KHDRBS1	2	PTBP1	3	1	0.8045967817306519	false	0.8045967817306519	KHDRBS1-PTBP1
K562	SERBP1_2-FMR1_3-interaction-shap	interaction	SERBP1	2	FMR1	3	31	-0.8016393780708313	false	0.8016393780708313	FMR1-SERBP1
K562	PRPF8_5-PCBP1_6-interaction-shap	interaction	PRPF8	5	PCBP1	6	19	-0.8000242710113525	false	0.8000242710113525	PCBP1-PRPF8
K562	DDX3X_3-IGF2BP2_4-interaction-shap	interaction	DDX3X	3	IGF2BP2	4	96	-0.7898148894309998	false	0.7898148894309998	DDX3X-IGF2BP2
K562	UPF1_2-LIN28B_3-interaction-shap	interaction	UPF1	2	LIN28B	3	12	-0.7883740663528442	false	0.7883740663528442	LIN28B-UPF1
K562	BUD13_3-AATF_4-interaction-shap	interaction	BUD13	3	AATF	4	135	-0.7847649455070496	false	0.7847649455070496	AATF-BUD13
K562	QKI_2-IGF2BP2_3-interaction-shap	interaction	QKI	2	IGF2BP2	3	7	-0.7713475823402405	false	0.7713475823402405	IGF2BP2-QKI
K562	DDX3X_3-GPKOW_4-interaction-shap	interaction	DDX3X	3	GPKOW	4	16	-0.7700046896934509	false	0.7700046896934509	DDX3X-GPKOW
K562	GRWD1_4-U2AF2_6-interaction-shap	interaction	GRWD1	4	U2AF2	6	54	-0.7656599879264832	false	0.7656599879264832	GRWD1-U2AF2
K562	PUM2_1-SF3B4_3-interaction-shap	interaction	PUM2	1	SF3B4	3	73	-0.7137000560760498	false	0.7137000560760498	PUM2-SF3B4
K562	TAF15_2-AQR_5-interaction-shap	interaction	TAF15	2	AQR	5	6	0.7094877362251282	false	0.7094877362251282	AQR-TAF15
K562	PABPC4_1-IGF2BP1_4-interaction-shap	interaction	PABPC4	1	IGF2BP1	4	79	-0.7018202543258667	false	0.7018202543258667	IGF2BP1-PABPC4
K562	PRPF8_1-NONO_4-interaction-shap	interaction	PRPF8	1	NONO	4	14	0.686508059501648	false	0.686508059501648	NONO-PRPF8
K562	EIF4G2_2-SND1_4-interaction-shap	interaction	EIF4G2	2	SND1	4	10	-0.6737207770347595	false	0.6737207770347595	EIF4G2-SND1
K562	FMR1_3-FXR1_4-interaction-shap	interaction	FMR1	3	FXR1	4	708	-0.6646863222122192	false	0.6646863222122192	FMR1-FXR1
K562	SF3B4_1-ADAT1_6-interaction-shap	interaction	SF3B4	1	ADAT1	6	59	-0.6642054319381714	false	0.6642054319381714	ADAT1-SF3B4
K562	DDX24_3-SRSF1_4-interaction-shap	interaction	DDX24	3	SRSF1	4	402	-0.6629360914230347	false	0.6629360914230347	DDX24-SRSF1
K562	UCHL5_3-NONO_6-interaction-shap	interaction	UCHL5	3	NONO	6	22	-0.6522612571716309	false	0.6522612571716309	NONO-UCHL5
K562	TRA2A_3-FXR1_4-interaction-shap	interaction	TRA2A	3	FXR1	4	23	-0.6433799862861633	false	0.6433799862861633	FXR1-TRA2A
K562	DDX3X_2-HNRNPL_3-interaction-shap	interaction	DDX3X	2	HNRNPL	3	2	-0.635697603225708	false	0.635697603225708	DDX3X-HNRNPL
K562	EXOSC5_4-DDX3X_5-interaction-shap	interaction	EXOSC5	4	DDX3X	5	3	0.6316428184509277	false	0.6316428184509277	DDX3X-EXOSC5
K562	PUM2_3-RBM15_5-interaction-shap	interaction	PUM2	3	RBM15	5	7	-0.6267610788345337	false	0.6267610788345337	PUM2-RBM15
K562	FMR1_3-UCHL5_4-interaction-shap	interaction	FMR1	3	UCHL5	4	199	-0.6256247758865356	false	0.6256247758865356	FMR1-UCHL5
K562	LIN28B_3-AGGF1_4-interaction-shap	interaction	LIN28B	3	AGGF1	4	34	-0.6255055665969849	false	0.6255055665969849	AGGF1-LIN28B
K562	UCHL5_3-PCBP1_4-interaction-shap	interaction	UCHL5	3	PCBP1	4	18	-0.622629702091217	false	0.622629702091217	PCBP1-UCHL5
K562	DDX3X_2-RBM22_4-interaction-shap	interaction	DDX3X	2	RBM22	4	467	-0.6144497990608215	false	0.6144497990608215	DDX3X-RBM22
K562	SF3B4_3-MBNL1_6-interaction-shap	interaction	SF3B4	3	MBNL1	6	84	-0.6098420023918152	false	0.6098420023918152	MBNL1-SF3B4
K562	PUM2_4-EFTUD2_5-interaction-shap	interaction	PUM2	4	EFTUD2	5	28	-0.6048811078071594	false	0.6048811078071594	EFTUD2-PUM2
K562	DDX55_2-RPS3_4-interaction-shap	interaction	DDX55	2	RPS3	4	33	-0.5970052480697632	false	0.5970052480697632	DDX55-RPS3
K562	NONO_4-HNRNPK_5-interaction-shap	interaction	NONO	4	HNRNPK	5	8	0.595678448677063	false	0.595678448677063	HNRNPK-NONO
K562	ELAVL1_3-RBM22_4-interaction-shap	interaction	ELAVL1	3	RBM22	4	61	0.5786713361740112	false	0.5786713361740112	ELAVL1-RBM22
K562	ELAVL1_3-FMR1_5-interaction-shap	interaction	ELAVL1	3	FMR1	5	9	0.5766106247901917	false	0.5766106247901917	ELAVL1-FMR1
K562	SF3B4_3-CPEB4_6-interaction-shap	interaction	SF3B4	3	CPEB4	6	22	-0.572352945804596	false	0.572352945804596	CPEB4-SF3B4
K562	METAP2_2-PTBP1_3-interaction-shap	interaction	METAP2	2	PTBP1	3	19	-0.5704346299171448	false	0.5704346299171448	METAP2-PTBP1
K562	SF3B4_3-U2AF1_4-interaction-shap	interaction	SF3B4	3	U2AF1	4	101	-0.5659412741661072	false	0.5659412741661072	SF3B4-U2AF1
K562	TARDBP_2-DDX3X_5-interaction-shap	interaction	TARDBP	2	DDX3X	5	3	0.5653176307678223	false	0.5653176307678223	DDX3X-TARDBP
K562	METAP2_5-DDX3X_6-interaction-shap	interaction	METAP2	5	DDX3X	6	32	0.5640416741371155	false	0.5640416741371155	DDX3X-METAP2
K562	PCBP1_2-PUM2_4-interaction-shap	interaction	PCBP1	2	PUM2	4	17	-0.5544314384460449	false	0.5544314384460449	PCBP1-PUM2
K562	GPKOW_4-ZC3H11A_6-interaction-shap	interaction	GPKOW	4	ZC3H11A	6	15	-0.5464640259742737	false	0.5464640259742737	GPKOW-ZC3H11A
