Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	G3BP1_4-LARP4_4-interaction-shap	interaction	G3BP1-LARP4	G3BP1	4	LARP4	4	267	-1.5624902248382568	false	1.5624902248382568
HepG2	QKI_4-SUGP2_4-interaction-shap	interaction	QKI-SUGP2	QKI	4	SUGP2	4	8	1.2113229036331177	false	1.2113229036331177
HepG2	U2AF1_3-LIN28B_4-interaction-shap	interaction	LIN28B-U2AF1	U2AF1	3	LIN28B	4	56	-1.1941767930984497	false	1.1941767930984497
HepG2	IGF2BP1_4-TARDBP_4-interaction-shap	interaction	IGF2BP1-TARDBP	IGF2BP1	4	TARDBP	4	58	-1.1921803951263428	false	1.1921803951263428
HepG2	GTF2F1_2-HNRNPC_3-interaction-shap	interaction	GTF2F1-HNRNPC	GTF2F1	2	HNRNPC	3	6	1.1854969263076782	false	1.1854969263076782
HepG2	QKI_4-U2AF1_4-interaction-shap	interaction	QKI-U2AF1	QKI	4	U2AF1	4	21	1.1035261154174805	false	1.1035261154174805
HepG2	TARDBP_1-SF3B4_3-interaction-shap	interaction	SF3B4-TARDBP	TARDBP	1	SF3B4	3	100	-1.0580322742462158	false	1.0580322742462158
HepG2	FXR2_4-G3BP1_4-interaction-shap	interaction	FXR2-G3BP1	FXR2	4	G3BP1	4	451	-1.0560646057128906	false	1.0560646057128906
HepG2	EIF3D_5-FXR2_5-interaction-shap	interaction	EIF3D-FXR2	EIF3D	5	FXR2	5	31	1.0238771438598633	false	1.0238771438598633
HepG2	RBM22_4-AKAP1_6-interaction-shap	interaction	AKAP1-RBM22	RBM22	4	AKAP1	6	60	-1.0018762350082397	false	1.0018762350082397
HepG2	IGF2BP3_4-SF3B4_5-interaction-shap	interaction	IGF2BP3-SF3B4	IGF2BP3	4	SF3B4	5	137	-0.9224151968955994	false	0.9224151968955994
HepG2	RBFOX2_4-SUGP2_4-interaction-shap	interaction	RBFOX2-SUGP2	RBFOX2	4	SUGP2	4	8	0.901724636554718	false	0.901724636554718
HepG2	IGF2BP1_3-QKI_4-interaction-shap	interaction	IGF2BP1-QKI	IGF2BP1	3	QKI	4	2	-0.8998110294342041	false	0.8998110294342041
HepG2	FUBP3_6-U2AF2_6-interaction-shap	interaction	FUBP3-U2AF2	FUBP3	6	U2AF2	6	2	-0.8895378112792969	true	0.8895378112792969
HepG2	TIA1_2-LIN28B_4-interaction-shap	interaction	LIN28B-TIA1	TIA1	2	LIN28B	4	87	-0.8162667155265808	false	0.8162667155265808
HepG2	SF3B4_3-DKC1_5-interaction-shap	interaction	DKC1-SF3B4	SF3B4	3	DKC1	5	36	-0.8079078793525696	false	0.8079078793525696
HepG2	RBM5_1-LIN28B_3-interaction-shap	interaction	LIN28B-RBM5	RBM5	1	LIN28B	3	88	-0.7621456384658813	false	0.7621456384658813
HepG2	LARP4_1-G3BP1_4-interaction-shap	interaction	G3BP1-LARP4	LARP4	1	G3BP1	4	72	-0.7449169158935547	false	0.7449169158935547
HepG2	IGF2BP1_3-IGF2BP3_3-interaction-shap	interaction	IGF2BP1-IGF2BP3	IGF2BP1	3	IGF2BP3	3	371	-0.7397056221961975	false	0.7397056221961975
HepG2	CSTF2T_2-FKBP4_3-interaction-shap	interaction	CSTF2T-FKBP4	CSTF2T	2	FKBP4	3	67	0.7231004238128662	false	0.7231004238128662
