Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	G3BP1_4-LARP4_4-interaction-shap	interaction	G3BP1-LARP4	G3BP1	4	LARP4	4	267	-1.5624902248382568	false	1.5624902248382568
HepG2	QKI_4-SUGP2_4-interaction-shap	interaction	QKI-SUGP2	QKI	4	SUGP2	4	8	1.2113229036331177	false	1.2113229036331177
HepG2	IGF2BP1_4-TARDBP_4-interaction-shap	interaction	IGF2BP1-TARDBP	IGF2BP1	4	TARDBP	4	58	-1.1921803951263428	false	1.1921803951263428
HepG2	QKI_4-U2AF1_4-interaction-shap	interaction	QKI-U2AF1	QKI	4	U2AF1	4	21	1.1035261154174805	false	1.1035261154174805
HepG2	BCLAF1_4-PRPF8_4-interaction-shap	interaction	BCLAF1-PRPF8	BCLAF1	4	PRPF8	4	3225	-1.0923011302947998	false	1.0923011302947998
HepG2	FXR2_4-G3BP1_4-interaction-shap	interaction	FXR2-G3BP1	FXR2	4	G3BP1	4	451	-1.0560646057128906	false	1.0560646057128906
HepG2	EIF3D_5-FXR2_5-interaction-shap	interaction	EIF3D-FXR2	EIF3D	5	FXR2	5	31	1.0238771438598633	false	1.0238771438598633
HepG2	RBFOX2_4-SUGP2_4-interaction-shap	interaction	RBFOX2-SUGP2	RBFOX2	4	SUGP2	4	8	0.901724636554718	false	0.901724636554718
HepG2	FUBP3_6-U2AF2_6-interaction-shap	interaction	FUBP3-U2AF2	FUBP3	6	U2AF2	6	2	-0.8895378112792969	true	0.8895378112792969
HepG2	PPIG_4-PRPF8_4-interaction-shap	interaction	PPIG-PRPF8	PPIG	4	PRPF8	4	6652	-0.7641131281852722	false	0.7641131281852722
HepG2	LIN28B_1-YBX3_1-interaction-shap	interaction	LIN28B-YBX3	LIN28B	1	YBX3	1	36	0.7464181184768677	false	0.7464181184768677
HepG2	IGF2BP1_3-IGF2BP3_3-interaction-shap	interaction	IGF2BP1-IGF2BP3	IGF2BP1	3	IGF2BP3	3	371	-0.7397056221961975	true	0.7397056221961975
HepG2	PRPF8_4-SND1_4-interaction-shap	interaction	PRPF8-SND1	PRPF8	4	SND1	4	1249	-0.689824104309082	false	0.689824104309082
HepG2	MATR3_3-PTBP1_3-interaction-shap	interaction	MATR3-PTBP1	MATR3	3	PTBP1	3	5	0.6818547248840332	true	0.6818547248840332
HepG2	EIF3H_4-FXR2_4-interaction-shap	interaction	EIF3H-FXR2	EIF3H	4	FXR2	4	122	-0.6624284386634827	false	0.6624284386634827
HepG2	AQR_4-LIN28B_4-interaction-shap	interaction	AQR-LIN28B	AQR	4	LIN28B	4	347	-0.6173035502433777	false	0.6173035502433777
HepG2	HNRNPK_3-U2AF1_3-interaction-shap	interaction	HNRNPK-U2AF1	HNRNPK	3	U2AF1	3	38	-0.6117794513702393	false	0.6117794513702393
HepG2	PCBP2_6-UCHL5_6-interaction-shap	interaction	PCBP2-UCHL5	PCBP2	6	UCHL5	6	11	-0.6076071858406067	false	0.6076071858406067
HepG2	EIF3D_5-G3BP1_5-interaction-shap	interaction	EIF3D-G3BP1	EIF3D	5	G3BP1	5	24	-0.6056269407272339	false	0.6056269407272339
HepG2	BUD13_2-RBM15_2-interaction-shap	interaction	BUD13-RBM15	BUD13	2	RBM15	2	84	0.598983883857727	false	0.598983883857727
