Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	HNRNPC_3-GRWD1_6-interaction-shap	interaction	GRWD1-HNRNPC	HNRNPC	3	GRWD1	6	25	1.2834606170654297	false	1.2834606170654297
HepG2	AGGF1_3-PRPF8_4-interaction-shap	interaction	AGGF1-PRPF8	AGGF1	3	PRPF8	4	107	-1.2080013751983643	false	1.2080013751983643
HepG2	U2AF1_3-LIN28B_4-interaction-shap	interaction	LIN28B-U2AF1	U2AF1	3	LIN28B	4	56	-1.1941767930984497	false	1.1941767930984497
HepG2	GTF2F1_2-HNRNPC_3-interaction-shap	interaction	GTF2F1-HNRNPC	GTF2F1	2	HNRNPC	3	6	1.1854969263076782	false	1.1854969263076782
HepG2	GRWD1_3-HNRNPC_6-interaction-shap	interaction	GRWD1-HNRNPC	GRWD1	3	HNRNPC	6	17	-1.1603132486343384	false	1.1603132486343384
HepG2	HNRNPC_3-PRPF8_4-interaction-shap	interaction	HNRNPC-PRPF8	HNRNPC	3	PRPF8	4	17	-1.120318055152893	false	1.120318055152893
HepG2	TARDBP_1-SF3B4_3-interaction-shap	interaction	SF3B4-TARDBP	TARDBP	1	SF3B4	3	100	-1.0580322742462158	false	1.0580322742462158
HepG2	HNRNPC_2-BCLAF1_3-interaction-shap	interaction	BCLAF1-HNRNPC	HNRNPC	2	BCLAF1	3	17	-1.036072850227356	false	1.036072850227356
HepG2	RBM22_4-AKAP1_6-interaction-shap	interaction	AKAP1-RBM22	RBM22	4	AKAP1	6	60	-1.0018762350082397	false	1.0018762350082397
HepG2	IGF2BP3_4-SF3B4_5-interaction-shap	interaction	IGF2BP3-SF3B4	IGF2BP3	4	SF3B4	5	137	-0.9224151968955994	false	0.9224151968955994
HepG2	PRPF8_2-ILF3_3-interaction-shap	interaction	ILF3-PRPF8	PRPF8	2	ILF3	3	20	0.9196532368659973	false	0.9196532368659973
HepG2	IGF2BP1_3-QKI_4-interaction-shap	interaction	IGF2BP1-QKI	IGF2BP1	3	QKI	4	2	-0.8998110294342041	false	0.8998110294342041
HepG2	TIA1_2-LIN28B_4-interaction-shap	interaction	LIN28B-TIA1	TIA1	2	LIN28B	4	87	-0.8162667155265808	false	0.8162667155265808
HepG2	SF3B4_3-DKC1_5-interaction-shap	interaction	DKC1-SF3B4	SF3B4	3	DKC1	5	36	-0.8079078793525696	false	0.8079078793525696
HepG2	RBM5_1-LIN28B_3-interaction-shap	interaction	LIN28B-RBM5	RBM5	1	LIN28B	3	88	-0.7621456384658813	false	0.7621456384658813
HepG2	CSTF2T_2-FKBP4_3-interaction-shap	interaction	CSTF2T-FKBP4	CSTF2T	2	FKBP4	3	67	0.7231004238128662	false	0.7231004238128662
HepG2	ZNF800_2-RBFOX2_4-interaction-shap	interaction	RBFOX2-ZNF800	ZNF800	2	RBFOX2	4	42	0.6844073534011841	false	0.6844073534011841
HepG2	U2AF2_3-UPF1_6-interaction-shap	interaction	U2AF2-UPF1	U2AF2	3	UPF1	6	21	-0.6809135675430298	false	0.6809135675430298
HepG2	TARDBP_1-RPS3_3-interaction-shap	interaction	RPS3-TARDBP	TARDBP	1	RPS3	3	38	-0.6703718304634094	false	0.6703718304634094
HepG2	LIN28B_4-NOLC1_6-interaction-shap	interaction	LIN28B-NOLC1	LIN28B	4	NOLC1	6	163	-0.6548938751220703	false	0.6548938751220703
HepG2	NKRF_3-U2AF2_5-interaction-shap	interaction	NKRF-U2AF2	NKRF	3	U2AF2	5	11	0.6473010778427124	false	0.6473010778427124
