Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
HepG2	PPIG_3-TARDBP_5-interaction-shap	interaction	PPIG-TARDBP	PPIG	3	TARDBP	5	138	-1.1819193363189697	false	1.1819193363189697	PPIG-TARDBP
HepG2	SRSF1_1-AQR_3-interaction-shap	interaction	AQR-SRSF1	SRSF1	1	AQR	3	280	-1.0526175498962402	false	1.0526175498962402	AQR-SRSF1
HepG2	DDX3X_3-SND1_4-interaction-shap	interaction	DDX3X-SND1	DDX3X	3	SND1	4	372	-0.8830933570861816	false	0.8830933570861816	DDX3X-SND1
HepG2	NCBP2_1-U2AF2_2-interaction-shap	interaction	NCBP2-U2AF2	NCBP2	1	U2AF2	2	31	-0.8651083111763	false	0.8651083111763	NCBP2-U2AF2
HepG2	SND1_3-PRPF8_4-interaction-shap	interaction	PRPF8-SND1	SND1	3	PRPF8	4	1190	-0.7355712652206421	false	0.7355712652206421	PRPF8-SND1
HepG2	RBM22_3-PRPF8_4-interaction-shap	interaction	PRPF8-RBM22	RBM22	3	PRPF8	4	131	-0.676609456539154	false	0.676609456539154	PRPF8-RBM22
HepG2	GTF2F1_2-EFTUD2_4-interaction-shap	interaction	EFTUD2-GTF2F1	GTF2F1	2	EFTUD2	4	238	-0.6369216442108154	false	0.6369216442108154	EFTUD2-GTF2F1
HepG2	DDX55_2-SF3B4_3-interaction-shap	interaction	DDX55-SF3B4	DDX55	2	SF3B4	3	59	-0.624029278755188	false	0.624029278755188	DDX55-SF3B4
HepG2	UCHL5_2-PPIG_4-interaction-shap	interaction	PPIG-UCHL5	UCHL5	2	PPIG	4	711	-0.5676208138465881	false	0.5676208138465881	PPIG-UCHL5
HepG2	AGGF1_3-PRPF8_4-interaction-shap	interaction	AGGF1-PRPF8	AGGF1	3	PRPF8	4	107	-0.56578528881073	false	0.56578528881073	AGGF1-PRPF8
