Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
HepG2	G3BP1_4-LARP4_4-interaction-shap	interaction	G3BP1-LARP4	G3BP1	4	LARP4	4	266	-1.5484907627105713	false	1.5484907627105713	G3BP1-LARP4
HepG2	PPIG_4-PRPF8_4-interaction-shap	interaction	PPIG-PRPF8	PPIG	4	PRPF8	4	6515	-0.8054162263870239	false	0.8054162263870239	PPIG-PRPF8
HepG2	BCLAF1_4-PRPF8_4-interaction-shap	interaction	BCLAF1-PRPF8	BCLAF1	4	PRPF8	4	3188	-0.7703043222427368	false	0.7703043222427368	BCLAF1-PRPF8
HepG2	AQR_3-SF3B4_3-interaction-shap	interaction	AQR-SF3B4	AQR	3	SF3B4	3	3163	-0.6828593611717224	false	0.6828593611717224	AQR-SF3B4
HepG2	QKI_3-U2AF2_3-interaction-shap	interaction	QKI-U2AF2	QKI	3	U2AF2	3	102	-0.6366861462593079	false	0.6366861462593079	QKI-U2AF2
HepG2	FUS_4-PRPF8_4-interaction-shap	interaction	FUS-PRPF8	FUS	4	PRPF8	4	85	-0.5950871109962463	false	0.5950871109962463	FUS-PRPF8
HepG2	GRWD1_3-SRSF1_3-interaction-shap	interaction	GRWD1-SRSF1	GRWD1	3	SRSF1	3	459	-0.5888109803199768	false	0.5888109803199768	GRWD1-SRSF1
HepG2	PCBP2_6-UCHL5_6-interaction-shap	interaction	PCBP2-UCHL5	PCBP2	6	UCHL5	6	11	-0.562859058380127	false	0.562859058380127	PCBP2-UCHL5
HepG2	PRPF8_4-SND1_4-interaction-shap	interaction	PRPF8-SND1	PRPF8	4	SND1	4	1228	-0.5084996223449707	false	0.5084996223449707	PRPF8-SND1
HepG2	IGF2BP1_4-TARDBP_4-interaction-shap	interaction	IGF2BP1-TARDBP	IGF2BP1	4	TARDBP	4	58	-0.5076203346252441	false	0.5076203346252441	IGF2BP1-TARDBP
