Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
HepG2	SRSF1_1-AQR_3-interaction-shap	interaction	AQR-SRSF1	SRSF1	1	AQR	3	280	-1.0526175498962402	false	1.0526175498962402	AQR-SRSF1
HepG2	DDX3X_3-SND1_4-interaction-shap	interaction	DDX3X-SND1	DDX3X	3	SND1	4	372	-0.8830933570861816	false	0.8830933570861816	DDX3X-SND1
HepG2	NCBP2_1-U2AF2_2-interaction-shap	interaction	NCBP2-U2AF2	NCBP2	1	U2AF2	2	31	-0.8651083111763	false	0.8651083111763	NCBP2-U2AF2
HepG2	PPIG_4-PRPF8_4-interaction-shap	interaction	PPIG-PRPF8	PPIG	4	PRPF8	4	6515	-0.8054162263870239	false	0.8054162263870239	PPIG-PRPF8
HepG2	BCLAF1_4-PRPF8_4-interaction-shap	interaction	BCLAF1-PRPF8	BCLAF1	4	PRPF8	4	3188	-0.7703043222427368	false	0.7703043222427368	BCLAF1-PRPF8
HepG2	SND1_3-PRPF8_4-interaction-shap	interaction	PRPF8-SND1	SND1	3	PRPF8	4	1190	-0.7355712652206421	false	0.7355712652206421	PRPF8-SND1
HepG2	AQR_3-SF3B4_3-interaction-shap	interaction	AQR-SF3B4	AQR	3	SF3B4	3	3163	-0.6828593611717224	false	0.6828593611717224	AQR-SF3B4
HepG2	RBM22_3-PRPF8_4-interaction-shap	interaction	PRPF8-RBM22	RBM22	3	PRPF8	4	131	-0.676609456539154	false	0.676609456539154	PRPF8-RBM22
HepG2	QKI_3-U2AF2_3-interaction-shap	interaction	QKI-U2AF2	QKI	3	U2AF2	3	102	-0.6366861462593079	false	0.6366861462593079	QKI-U2AF2
HepG2	DDX55_2-SF3B4_3-interaction-shap	interaction	DDX55-SF3B4	DDX55	2	SF3B4	3	59	-0.624029278755188	false	0.624029278755188	DDX55-SF3B4
HepG2	FUS_4-PRPF8_4-interaction-shap	interaction	FUS-PRPF8	FUS	4	PRPF8	4	85	-0.5950871109962463	false	0.5950871109962463	FUS-PRPF8
HepG2	GRWD1_3-SRSF1_3-interaction-shap	interaction	GRWD1-SRSF1	GRWD1	3	SRSF1	3	459	-0.5888109803199768	false	0.5888109803199768	GRWD1-SRSF1
HepG2	AGGF1_3-PRPF8_4-interaction-shap	interaction	AGGF1-PRPF8	AGGF1	3	PRPF8	4	107	-0.56578528881073	false	0.56578528881073	AGGF1-PRPF8
HepG2	GRWD1_3-PRPF8_4-interaction-shap	interaction	GRWD1-PRPF8	GRWD1	3	PRPF8	4	3371	-0.5520601868629456	false	0.5520601868629456	GRWD1-PRPF8
HepG2	TIA1_2-ZNF800_6-interaction-shap	interaction	TIA1-ZNF800	TIA1	2	ZNF800	6	132	-0.5424451231956482	false	0.5424451231956482	TIA1-ZNF800
HepG2	RBM22_2-FAM120A_5-interaction-shap	interaction	FAM120A-RBM22	RBM22	2	FAM120A	5	57	0.5268276333808899	false	0.5268276333808899	FAM120A-RBM22
HepG2	KHSRP_3-IGF2BP1_6-interaction-shap	interaction	IGF2BP1-KHSRP	KHSRP	3	IGF2BP1	6	23	-0.5099205374717712	false	0.5099205374717712	IGF2BP1-KHSRP
HepG2	IGF2BP1_4-TARDBP_4-interaction-shap	interaction	IGF2BP1-TARDBP	IGF2BP1	4	TARDBP	4	58	-0.5076203346252441	false	0.5076203346252441	IGF2BP1-TARDBP
HepG2	DDX3X_3-AQR_4-interaction-shap	interaction	AQR-DDX3X	DDX3X	3	AQR	4	787	-0.48933982849121094	false	0.48933982849121094	AQR-DDX3X
HepG2	LIN28B_3-BCLAF1_6-interaction-shap	interaction	BCLAF1-LIN28B	LIN28B	3	BCLAF1	6	246	-0.48543083667755127	false	0.48543083667755127	BCLAF1-LIN28B
HepG2	IGF2BP1_4-AQR_5-interaction-shap	interaction	AQR-IGF2BP1	IGF2BP1	4	AQR	5	270	-0.48542091250419617	false	0.48542091250419617	AQR-IGF2BP1
HepG2	LARP4_2-RBFOX2_2-interaction-shap	interaction	LARP4-RBFOX2	LARP4	2	RBFOX2	2	112	0.47690609097480774	false	0.47690609097480774	LARP4-RBFOX2
HepG2	G3BP1_4-PRPF8_4-interaction-shap	interaction	G3BP1-PRPF8	G3BP1	4	PRPF8	4	1561	-0.46711647510528564	false	0.46711647510528564	G3BP1-PRPF8
HepG2	CSTF2T_3-PRPF4_6-interaction-shap	interaction	CSTF2T-PRPF4	CSTF2T	3	PRPF4	6	51	-0.45566636323928833	false	0.45566636323928833	CSTF2T-PRPF4
HepG2	PTBP1_3-CSTF2T_5-interaction-shap	interaction	CSTF2T-PTBP1	PTBP1	3	CSTF2T	5	25	0.43156903982162476	false	0.43156903982162476	CSTF2T-PTBP1
HepG2	DDX3X_3-HNRNPM_4-interaction-shap	interaction	DDX3X-HNRNPM	DDX3X	3	HNRNPM	4	33	0.4312562644481659	false	0.4312562644481659	DDX3X-HNRNPM
HepG2	RBFOX2_4-SUGP2_4-interaction-shap	interaction	RBFOX2-SUGP2	RBFOX2	4	SUGP2	4	8	0.42487573623657227	false	0.42487573623657227	RBFOX2-SUGP2
HepG2	PPIG_4-TIA1_4-interaction-shap	interaction	PPIG-TIA1	PPIG	4	TIA1	4	211	-0.4148852825164795	false	0.4148852825164795	PPIG-TIA1
HepG2	PTBP1_2-SF3B4_5-interaction-shap	interaction	PTBP1-SF3B4	PTBP1	2	SF3B4	5	107	-0.40472692251205444	false	0.40472692251205444	PTBP1-SF3B4
HepG2	LIN28B_4-RPS3_5-interaction-shap	interaction	LIN28B-RPS3	LIN28B	4	RPS3	5	408	-0.40104901790618896	false	0.40104901790618896	LIN28B-RPS3
HepG2	AQR_4-PRPF8_4-interaction-shap	interaction	AQR-PRPF8	AQR	4	PRPF8	4	6964	-0.38650766015052795	false	0.38650766015052795	AQR-PRPF8
HepG2	U2AF2_4-GRWD1_6-interaction-shap	interaction	GRWD1-U2AF2	U2AF2	4	GRWD1	6	308	0.38278114795684814	false	0.38278114795684814	GRWD1-U2AF2
HepG2	PPIG_4-DDX3X_5-interaction-shap	interaction	DDX3X-PPIG	PPIG	4	DDX3X	5	36	0.38141125440597534	false	0.38141125440597534	DDX3X-PPIG
HepG2	PRPF8_2-HNRNPC_3-interaction-shap	interaction	HNRNPC-PRPF8	PRPF8	2	HNRNPC	3	64	0.3803928792476654	false	0.3803928792476654	HNRNPC-PRPF8
HepG2	SF3A3_3-SF3B4_3-interaction-shap	interaction	SF3A3-SF3B4	SF3A3	3	SF3B4	3	3360	-0.37922316789627075	false	0.37922316789627075	SF3A3-SF3B4
HepG2	LIN28B_4-SDAD1_5-interaction-shap	interaction	LIN28B-SDAD1	LIN28B	4	SDAD1	5	198	-0.378368079662323	false	0.378368079662323	LIN28B-SDAD1
HepG2	SND1_2-U2AF2_3-interaction-shap	interaction	SND1-U2AF2	SND1	2	U2AF2	3	189	-0.3776562213897705	false	0.3776562213897705	SND1-U2AF2
HepG2	CSTF2T_3-ILF3_3-interaction-shap	interaction	CSTF2T-ILF3	CSTF2T	3	ILF3	3	34	0.3735436499118805	false	0.3735436499118805	CSTF2T-ILF3
HepG2	DDX3X_1-G3BP1_6-interaction-shap	interaction	DDX3X-G3BP1	DDX3X	1	G3BP1	6	312	-0.371936559677124	false	0.371936559677124	DDX3X-G3BP1
HepG2	AQR_4-BUD13_6-interaction-shap	interaction	AQR-BUD13	AQR	4	BUD13	6	668	-0.3671986758708954	false	0.3671986758708954	AQR-BUD13
HepG2	G3BP1_3-SF3B4_3-interaction-shap	interaction	G3BP1-SF3B4	G3BP1	3	SF3B4	3	511	-0.3630695939064026	false	0.3630695939064026	G3BP1-SF3B4
HepG2	SF3B4_3-TIA1_4-interaction-shap	interaction	SF3B4-TIA1	SF3B4	3	TIA1	4	332	-0.3573627471923828	false	0.3573627471923828	SF3B4-TIA1
HepG2	LARP4_3-RPS3_3-interaction-shap	interaction	LARP4-RPS3	LARP4	3	RPS3	3	603	-0.3540446162223816	false	0.3540446162223816	LARP4-RPS3
HepG2	AQR_3-RPS3_4-interaction-shap	interaction	AQR-RPS3	AQR	3	RPS3	4	1698	-0.35097962617874146	false	0.35097962617874146	AQR-RPS3
HepG2	DDX3X_1-TIAL1_4-interaction-shap	interaction	DDX3X-TIAL1	DDX3X	1	TIAL1	4	167	0.35094180703163147	false	0.35094180703163147	DDX3X-TIAL1
HepG2	BUD13_4-EFTUD2_4-interaction-shap	interaction	BUD13-EFTUD2	BUD13	4	EFTUD2	4	1494	-0.3444727957248688	false	0.3444727957248688	BUD13-EFTUD2
HepG2	RBM22_3-SF3A3_5-interaction-shap	interaction	RBM22-SF3A3	RBM22	3	SF3A3	5	44	0.3413515090942383	false	0.3413515090942383	RBM22-SF3A3
HepG2	IGF2BP1_3-SF3B4_3-interaction-shap	interaction	IGF2BP1-SF3B4	IGF2BP1	3	SF3B4	3	197	-0.3372955024242401	false	0.3372955024242401	IGF2BP1-SF3B4
HepG2	DDX3X_1-SRSF9_1-interaction-shap	interaction	DDX3X-SRSF9	DDX3X	1	SRSF9	1	34	-0.33479344844818115	false	0.33479344844818115	DDX3X-SRSF9
HepG2	IGF2BP1_3-IGF2BP3_3-interaction-shap	interaction	IGF2BP1-IGF2BP3	IGF2BP1	3	IGF2BP3	3	366	-0.3322814702987671	true	0.3322814702987671	IGF2BP1-IGF2BP3
HepG2	RPS3_3-PRPF8_4-interaction-shap	interaction	PRPF8-RPS3	RPS3	3	PRPF8	4	1870	-0.32604512572288513	false	0.32604512572288513	PRPF8-RPS3
HepG2	SUGP2_4-U2AF2_5-interaction-shap	interaction	SUGP2-U2AF2	SUGP2	4	U2AF2	5	8	0.3243553042411804	false	0.3243553042411804	SUGP2-U2AF2
HepG2	GRWD1_1-IGF2BP1_4-interaction-shap	interaction	GRWD1-IGF2BP1	GRWD1	1	IGF2BP1	4	93	-0.3132295310497284	false	0.3132295310497284	GRWD1-IGF2BP1
HepG2	EFTUD2_2-HNRNPC_4-interaction-shap	interaction	EFTUD2-HNRNPC	EFTUD2	2	HNRNPC	4	22	0.30849364399909973	false	0.30849364399909973	EFTUD2-HNRNPC
HepG2	SF3B4_4-PPIG_6-interaction-shap	interaction	PPIG-SF3B4	SF3B4	4	PPIG	6	253	0.3062613904476166	false	0.3062613904476166	PPIG-SF3B4
HepG2	BUD13_3-RBM22_3-interaction-shap	interaction	BUD13-RBM22	BUD13	3	RBM22	3	44	0.3055383861064911	false	0.3055383861064911	BUD13-RBM22
HepG2	QKI_3-PRPF8_4-interaction-shap	interaction	PRPF8-QKI	QKI	3	PRPF8	4	151	-0.3040428161621094	false	0.3040428161621094	PRPF8-QKI
HepG2	U2AF1_2-U2AF2_2-interaction-shap	interaction	U2AF1-U2AF2	U2AF1	2	U2AF2	2	164	-0.2977565824985504	false	0.2977565824985504	U2AF1-U2AF2
HepG2	DDX3X_4-RBFOX2_4-interaction-shap	interaction	DDX3X-RBFOX2	DDX3X	4	RBFOX2	4	116	0.29279160499572754	false	0.29279160499572754	DDX3X-RBFOX2
HepG2	KHSRP_2-PRPF8_5-interaction-shap	interaction	KHSRP-PRPF8	KHSRP	2	PRPF8	5	61	0.29169419407844543	false	0.29169419407844543	KHSRP-PRPF8
