Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	SRSF1_1-AQR_3-interaction-shap	interaction	AQR-SRSF1	SRSF1	1	AQR	3	280	-1.0526175498962402	false	1.0526175498962402
HepG2	DDX3X_3-SND1_4-interaction-shap	interaction	DDX3X-SND1	DDX3X	3	SND1	4	372	-0.8830933570861816	false	0.8830933570861816
HepG2	NCBP2_1-U2AF2_2-interaction-shap	interaction	NCBP2-U2AF2	NCBP2	1	U2AF2	2	31	-0.8651083111763	false	0.8651083111763
HepG2	SND1_3-PRPF8_4-interaction-shap	interaction	PRPF8-SND1	SND1	3	PRPF8	4	1190	-0.7355712652206421	false	0.7355712652206421
HepG2	RBM22_3-PRPF8_4-interaction-shap	interaction	PRPF8-RBM22	RBM22	3	PRPF8	4	131	-0.676609456539154	false	0.676609456539154
HepG2	DDX55_2-SF3B4_3-interaction-shap	interaction	DDX55-SF3B4	DDX55	2	SF3B4	3	59	-0.624029278755188	false	0.624029278755188
HepG2	AGGF1_3-PRPF8_4-interaction-shap	interaction	AGGF1-PRPF8	AGGF1	3	PRPF8	4	107	-0.56578528881073	false	0.56578528881073
HepG2	GRWD1_3-PRPF8_4-interaction-shap	interaction	GRWD1-PRPF8	GRWD1	3	PRPF8	4	3371	-0.5520601868629456	false	0.5520601868629456
HepG2	TIA1_2-ZNF800_6-interaction-shap	interaction	TIA1-ZNF800	TIA1	2	ZNF800	6	132	-0.5424451231956482	false	0.5424451231956482
HepG2	RBM22_2-FAM120A_5-interaction-shap	interaction	FAM120A-RBM22	RBM22	2	FAM120A	5	57	0.5268276333808899	false	0.5268276333808899
HepG2	KHSRP_3-IGF2BP1_6-interaction-shap	interaction	IGF2BP1-KHSRP	KHSRP	3	IGF2BP1	6	23	-0.5099205374717712	false	0.5099205374717712
HepG2	BCLAF1_3-PRPF8_4-interaction-shap	interaction	BCLAF1-PRPF8	BCLAF1	3	PRPF8	4	2341	-0.5058379769325256	false	0.5058379769325256
HepG2	DDX3X_3-AQR_4-interaction-shap	interaction	AQR-DDX3X	DDX3X	3	AQR	4	787	-0.48933982849121094	false	0.48933982849121094
HepG2	LIN28B_3-BCLAF1_6-interaction-shap	interaction	BCLAF1-LIN28B	LIN28B	3	BCLAF1	6	246	-0.48543083667755127	false	0.48543083667755127
HepG2	IGF2BP1_4-AQR_5-interaction-shap	interaction	AQR-IGF2BP1	IGF2BP1	4	AQR	5	270	-0.48542091250419617	false	0.48542091250419617
HepG2	CSTF2T_3-PRPF4_6-interaction-shap	interaction	CSTF2T-PRPF4	CSTF2T	3	PRPF4	6	51	-0.45566636323928833	false	0.45566636323928833
HepG2	PTBP1_3-CSTF2T_5-interaction-shap	interaction	CSTF2T-PTBP1	PTBP1	3	CSTF2T	5	25	0.43156903982162476	false	0.43156903982162476
HepG2	DDX3X_3-HNRNPM_4-interaction-shap	interaction	DDX3X-HNRNPM	DDX3X	3	HNRNPM	4	33	0.4312562644481659	false	0.4312562644481659
HepG2	PPIG_3-PRPF8_4-interaction-shap	interaction	PPIG-PRPF8	PPIG	3	PRPF8	4	4615	-0.4200562834739685	false	0.4200562834739685
HepG2	PTBP1_2-SF3B4_5-interaction-shap	interaction	PTBP1-SF3B4	PTBP1	2	SF3B4	5	107	-0.40472692251205444	false	0.40472692251205444
HepG2	LIN28B_4-RPS3_5-interaction-shap	interaction	LIN28B-RPS3	LIN28B	4	RPS3	5	408	-0.40104901790618896	false	0.40104901790618896
HepG2	U2AF2_4-GRWD1_6-interaction-shap	interaction	GRWD1-U2AF2	U2AF2	4	GRWD1	6	308	0.38278114795684814	false	0.38278114795684814
HepG2	PPIG_4-DDX3X_5-interaction-shap	interaction	DDX3X-PPIG	PPIG	4	DDX3X	5	36	0.38141125440597534	false	0.38141125440597534
HepG2	PRPF8_2-HNRNPC_3-interaction-shap	interaction	HNRNPC-PRPF8	PRPF8	2	HNRNPC	3	64	0.3803928792476654	false	0.3803928792476654
HepG2	LIN28B_4-SDAD1_5-interaction-shap	interaction	LIN28B-SDAD1	LIN28B	4	SDAD1	5	198	-0.378368079662323	false	0.378368079662323
HepG2	SND1_2-U2AF2_3-interaction-shap	interaction	SND1-U2AF2	SND1	2	U2AF2	3	189	-0.3776562213897705	false	0.3776562213897705
HepG2	DDX3X_1-G3BP1_6-interaction-shap	interaction	DDX3X-G3BP1	DDX3X	1	G3BP1	6	312	-0.371936559677124	false	0.371936559677124
HepG2	AQR_4-BUD13_6-interaction-shap	interaction	AQR-BUD13	AQR	4	BUD13	6	668	-0.3671986758708954	false	0.3671986758708954
HepG2	SF3B4_3-TIA1_4-interaction-shap	interaction	SF3B4-TIA1	SF3B4	3	TIA1	4	332	-0.3573627471923828	false	0.3573627471923828
HepG2	AQR_3-RPS3_4-interaction-shap	interaction	AQR-RPS3	AQR	3	RPS3	4	1698	-0.35097962617874146	false	0.35097962617874146
HepG2	DDX3X_1-TIAL1_4-interaction-shap	interaction	DDX3X-TIAL1	DDX3X	1	TIAL1	4	167	0.35094180703163147	false	0.35094180703163147
HepG2	RBM22_3-SF3A3_5-interaction-shap	interaction	RBM22-SF3A3	RBM22	3	SF3A3	5	44	0.3413515090942383	false	0.3413515090942383
HepG2	BUD13_3-EFTUD2_4-interaction-shap	interaction	BUD13-EFTUD2	BUD13	3	EFTUD2	4	870	-0.32880333065986633	false	0.32880333065986633
HepG2	RPS3_3-PRPF8_4-interaction-shap	interaction	PRPF8-RPS3	RPS3	3	PRPF8	4	1870	-0.32604512572288513	false	0.32604512572288513
HepG2	SUGP2_4-U2AF2_5-interaction-shap	interaction	SUGP2-U2AF2	SUGP2	4	U2AF2	5	8	0.3243553042411804	false	0.3243553042411804
HepG2	G3BP1_3-PRPF8_4-interaction-shap	interaction	G3BP1-PRPF8	G3BP1	3	PRPF8	4	1545	-0.32290178537368774	false	0.32290178537368774
HepG2	GRWD1_1-IGF2BP1_4-interaction-shap	interaction	GRWD1-IGF2BP1	GRWD1	1	IGF2BP1	4	93	-0.3132295310497284	false	0.3132295310497284
HepG2	EFTUD2_2-HNRNPC_4-interaction-shap	interaction	EFTUD2-HNRNPC	EFTUD2	2	HNRNPC	4	22	0.30849364399909973	false	0.30849364399909973
HepG2	SF3B4_4-PPIG_6-interaction-shap	interaction	PPIG-SF3B4	SF3B4	4	PPIG	6	253	0.3062613904476166	false	0.3062613904476166
HepG2	QKI_3-PRPF8_4-interaction-shap	interaction	PRPF8-QKI	QKI	3	PRPF8	4	151	-0.3040428161621094	false	0.3040428161621094
HepG2	KHSRP_2-PRPF8_5-interaction-shap	interaction	KHSRP-PRPF8	KHSRP	2	PRPF8	5	61	0.29169419407844543	false	0.29169419407844543
HepG2	DDX3X_1-TRA2A_5-interaction-shap	interaction	DDX3X-TRA2A	DDX3X	1	TRA2A	5	48	-0.2914459705352783	false	0.2914459705352783
HepG2	LIN28B_3-SF3B4_5-interaction-shap	interaction	LIN28B-SF3B4	LIN28B	3	SF3B4	5	214	-0.2885938882827759	false	0.2885938882827759
HepG2	RPS3_3-SND1_4-interaction-shap	interaction	RPS3-SND1	RPS3	3	SND1	4	1890	-0.286432683467865	false	0.286432683467865
HepG2	DGCR8_3-U2AF2_5-interaction-shap	interaction	DGCR8-U2AF2	DGCR8	3	U2AF2	5	25	0.28338417410850525	false	0.28338417410850525
HepG2	DDX3X_5-LIN28B_6-interaction-shap	interaction	DDX3X-LIN28B	DDX3X	5	LIN28B	6	63	0.27732962369918823	false	0.27732962369918823
HepG2	HNRNPC_3-BCLAF1_5-interaction-shap	interaction	BCLAF1-HNRNPC	HNRNPC	3	BCLAF1	5	21	-0.2752942144870758	false	0.2752942144870758
HepG2	PRPF8_4-HNRNPK_6-interaction-shap	interaction	HNRNPK-PRPF8	PRPF8	4	HNRNPK	6	225	-0.2723686993122101	false	0.2723686993122101
HepG2	BUD13_3-PPIG_4-interaction-shap	interaction	BUD13-PPIG	BUD13	3	PPIG	4	1721	-0.26631757616996765	false	0.26631757616996765
HepG2	PTBP1_3-PRPF8_4-interaction-shap	interaction	PRPF8-PTBP1	PTBP1	3	PRPF8	4	58	0.26507696509361267	false	0.26507696509361267
HepG2	RBM22_2-QKI_3-interaction-shap	interaction	QKI-RBM22	RBM22	2	QKI	3	52	0.26299920678138733	false	0.26299920678138733
HepG2	SF3B4_3-SRSF1_4-interaction-shap	interaction	SF3B4-SRSF1	SF3B4	3	SRSF1	4	347	-0.26020458340644836	false	0.26020458340644836
HepG2	RBM5_3-U2AF2_5-interaction-shap	interaction	RBM5-U2AF2	RBM5	3	U2AF2	5	215	-0.25949737429618835	false	0.25949737429618835
HepG2	DROSHA_1-PRPF8_2-interaction-shap	interaction	DROSHA-PRPF8	DROSHA	1	PRPF8	2	177	0.258149117231369	false	0.258149117231369
HepG2	PRPF8_2-ZC3H11A_6-interaction-shap	interaction	PRPF8-ZC3H11A	PRPF8	2	ZC3H11A	6	271	-0.25812920928001404	false	0.25812920928001404
HepG2	SRSF1_3-PRPF8_4-interaction-shap	interaction	PRPF8-SRSF1	SRSF1	3	PRPF8	4	444	-0.25788867473602295	false	0.25788867473602295
HepG2	DDX3X_3-BUD13_5-interaction-shap	interaction	BUD13-DDX3X	DDX3X	3	BUD13	5	238	-0.25712698698043823	false	0.25712698698043823
HepG2	PRPF8_4-IGF2BP1_5-interaction-shap	interaction	IGF2BP1-PRPF8	PRPF8	4	IGF2BP1	5	403	-0.2563035786151886	false	0.2563035786151886
HepG2	BCLAF1_4-DDX3X_5-interaction-shap	interaction	BCLAF1-DDX3X	BCLAF1	4	DDX3X	5	8	0.25536537170410156	false	0.25536537170410156
HepG2	U2AF2_3-KHSRP_4-interaction-shap	interaction	KHSRP-U2AF2	U2AF2	3	KHSRP	4	306	-0.2548348605632782	false	0.2548348605632782
HepG2	DGCR8_1-HNRNPM_4-interaction-shap	interaction	DGCR8-HNRNPM	DGCR8	1	HNRNPM	4	2	0.25294309854507446	false	0.25294309854507446
