Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
K562	UCHL5_3-FUS_4-interaction-shap	interaction	FUS-UCHL5	UCHL5	3	FUS	4	13	-1.3717466592788696	false	1.3717466592788696	FUS-UCHL5
K562	KHDRBS1_2-EFTUD2_5-interaction-shap	interaction	EFTUD2-KHDRBS1	KHDRBS1	2	EFTUD2	5	1	1.2386658191680908	false	1.2386658191680908	EFTUD2-KHDRBS1
K562	RPS3_3-PUM2_4-interaction-shap	interaction	PUM2-RPS3	RPS3	3	PUM2	4	73	-1.1889582872390747	false	1.1889582872390747	PUM2-RPS3
K562	HNRNPK_4-DDX3X_5-interaction-shap	interaction	DDX3X-HNRNPK	HNRNPK	4	DDX3X	5	4	1.09035325050354	false	1.09035325050354	DDX3X-HNRNPK
K562	EIF4E_5-DDX3X_6-interaction-shap	interaction	DDX3X-EIF4E	EIF4E	5	DDX3X	6	29	1.0131793022155762	false	1.0131793022155762	DDX3X-EIF4E
K562	PUM2_4-ELAVL1_6-interaction-shap	interaction	ELAVL1-PUM2	PUM2	4	ELAVL1	6	6	-0.9689986109733582	false	0.9689986109733582	ELAVL1-PUM2
K562	DDX3X_5-ELAC2_6-interaction-shap	interaction	DDX3X-ELAC2	DDX3X	5	ELAC2	6	11	0.927619218826294	false	0.927619218826294	DDX3X-ELAC2
K562	IGF2BP1_4-MBNL1_6-interaction-shap	interaction	IGF2BP1-MBNL1	IGF2BP1	4	MBNL1	6	11	-0.8872398138046265	false	0.8872398138046265	IGF2BP1-MBNL1
K562	KHDRBS1_2-PTBP1_3-interaction-shap	interaction	KHDRBS1-PTBP1	KHDRBS1	2	PTBP1	3	1	0.8045967817306519	false	0.8045967817306519	KHDRBS1-PTBP1
K562	SERBP1_2-FMR1_3-interaction-shap	interaction	FMR1-SERBP1	SERBP1	2	FMR1	3	31	-0.8016393780708313	false	0.8016393780708313	FMR1-SERBP1
K562	DDX3X_3-IGF2BP2_4-interaction-shap	interaction	DDX3X-IGF2BP2	DDX3X	3	IGF2BP2	4	96	-0.7898148894309998	false	0.7898148894309998	DDX3X-IGF2BP2
K562	QKI_2-IGF2BP2_3-interaction-shap	interaction	IGF2BP2-QKI	QKI	2	IGF2BP2	3	7	-0.7713475823402405	false	0.7713475823402405	IGF2BP2-QKI
K562	PUM2_1-SF3B4_3-interaction-shap	interaction	PUM2-SF3B4	PUM2	1	SF3B4	3	73	-0.7137000560760498	false	0.7137000560760498	PUM2-SF3B4
K562	FMR1_3-FXR1_4-interaction-shap	interaction	FMR1-FXR1	FMR1	3	FXR1	4	708	-0.6646863222122192	false	0.6646863222122192	FMR1-FXR1
K562	UCHL5_3-NONO_6-interaction-shap	interaction	NONO-UCHL5	UCHL5	3	NONO	6	22	-0.6522612571716309	false	0.6522612571716309	NONO-UCHL5
K562	TRA2A_3-FXR1_4-interaction-shap	interaction	FXR1-TRA2A	TRA2A	3	FXR1	4	23	-0.6433799862861633	false	0.6433799862861633	FXR1-TRA2A
K562	EXOSC5_4-DDX3X_5-interaction-shap	interaction	DDX3X-EXOSC5	EXOSC5	4	DDX3X	5	3	0.6316428184509277	false	0.6316428184509277	DDX3X-EXOSC5
K562	PUM2_3-RBM15_5-interaction-shap	interaction	PUM2-RBM15	PUM2	3	RBM15	5	7	-0.6267610788345337	false	0.6267610788345337	PUM2-RBM15
K562	FMR1_3-UCHL5_4-interaction-shap	interaction	FMR1-UCHL5	FMR1	3	UCHL5	4	199	-0.6256247758865356	false	0.6256247758865356	FMR1-UCHL5
K562	UCHL5_3-PCBP1_4-interaction-shap	interaction	PCBP1-UCHL5	UCHL5	3	PCBP1	4	18	-0.622629702091217	false	0.622629702091217	PCBP1-UCHL5
K562	DDX3X_2-RBM22_4-interaction-shap	interaction	DDX3X-RBM22	DDX3X	2	RBM22	4	467	-0.6144497990608215	false	0.6144497990608215	DDX3X-RBM22
K562	SF3B4_3-MBNL1_6-interaction-shap	interaction	MBNL1-SF3B4	SF3B4	3	MBNL1	6	84	-0.6098420023918152	false	0.6098420023918152	MBNL1-SF3B4
K562	PUM2_4-EFTUD2_5-interaction-shap	interaction	EFTUD2-PUM2	PUM2	4	EFTUD2	5	28	-0.6048811078071594	false	0.6048811078071594	EFTUD2-PUM2
K562	NONO_4-HNRNPK_5-interaction-shap	interaction	HNRNPK-NONO	NONO	4	HNRNPK	5	8	0.595678448677063	false	0.595678448677063	HNRNPK-NONO
K562	ELAVL1_3-RBM22_4-interaction-shap	interaction	ELAVL1-RBM22	ELAVL1	3	RBM22	4	61	0.5786713361740112	false	0.5786713361740112	ELAVL1-RBM22
K562	ELAVL1_3-FMR1_5-interaction-shap	interaction	ELAVL1-FMR1	ELAVL1	3	FMR1	5	9	0.5766106247901917	false	0.5766106247901917	ELAVL1-FMR1
K562	SF3B4_3-CPEB4_6-interaction-shap	interaction	CPEB4-SF3B4	SF3B4	3	CPEB4	6	22	-0.572352945804596	false	0.572352945804596	CPEB4-SF3B4
K562	SF3B4_3-U2AF1_4-interaction-shap	interaction	SF3B4-U2AF1	SF3B4	3	U2AF1	4	101	-0.5659412741661072	false	0.5659412741661072	SF3B4-U2AF1
K562	TARDBP_2-DDX3X_5-interaction-shap	interaction	DDX3X-TARDBP	TARDBP	2	DDX3X	5	3	0.5653176307678223	false	0.5653176307678223	DDX3X-TARDBP
K562	PCBP1_2-PUM2_4-interaction-shap	interaction	PCBP1-PUM2	PCBP1	2	PUM2	4	17	-0.5544314384460449	false	0.5544314384460449	PCBP1-PUM2
K562	EFTUD2_5-DDX6_6-interaction-shap	interaction	DDX6-EFTUD2	EFTUD2	5	DDX6	6	84	-0.5350005626678467	false	0.5350005626678467	DDX6-EFTUD2
K562	BUD13_2-TARDBP_6-interaction-shap	interaction	BUD13-TARDBP	BUD13	2	TARDBP	6	19	-0.5341703295707703	false	0.5341703295707703	BUD13-TARDBP
K562	UCHL5_4-QKI_5-interaction-shap	interaction	QKI-UCHL5	UCHL5	4	QKI	5	72	-0.5336989760398865	false	0.5336989760398865	QKI-UCHL5
K562	EFTUD2_5-DDX3X_6-interaction-shap	interaction	DDX3X-EFTUD2	EFTUD2	5	DDX3X	6	38	0.5301036834716797	false	0.5301036834716797	DDX3X-EFTUD2
K562	ILF3_1-FMR1_5-interaction-shap	interaction	FMR1-ILF3	ILF3	1	FMR1	5	1	-0.5287142395973206	false	0.5287142395973206	FMR1-ILF3
K562	HNRNPK_1-EFTUD2_4-interaction-shap	interaction	EFTUD2-HNRNPK	HNRNPK	1	EFTUD2	4	24	-0.5245774984359741	false	0.5245774984359741	EFTUD2-HNRNPK
K562	ELAVL1_3-IGF2BP1_5-interaction-shap	interaction	ELAVL1-IGF2BP1	ELAVL1	3	IGF2BP1	5	17	-0.5242897868156433	false	0.5242897868156433	ELAVL1-IGF2BP1
K562	NONO_1-TAF15_2-interaction-shap	interaction	NONO-TAF15	NONO	1	TAF15	2	6	0.5093432068824768	false	0.5093432068824768	NONO-TAF15
K562	TIA1_2-RBFOX2_5-interaction-shap	interaction	RBFOX2-TIA1	TIA1	2	RBFOX2	5	21	-0.5016770958900452	false	0.5016770958900452	RBFOX2-TIA1
K562	RBM22_4-NONO_5-interaction-shap	interaction	NONO-RBM22	RBM22	4	NONO	5	9	-0.501237154006958	false	0.501237154006958	NONO-RBM22
