Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
K562	EIF4G2_3-IGF2BP1_3-interaction-shap	interaction	EIF4G2-IGF2BP1	EIF4G2	3	IGF2BP1	3	44	-1.8087801933288574	false	1.8087801933288574	EIF4G2-IGF2BP1
K562	IGF2BP1_4-PUM2_4-interaction-shap	interaction	IGF2BP1-PUM2	IGF2BP1	4	PUM2	4	23	-1.759062647819519	false	1.759062647819519	IGF2BP1-PUM2
K562	RBM22_4-DDX55_6-interaction-shap	interaction	DDX55-RBM22	RBM22	4	DDX55	6	8	-1.5718275308609009	false	1.5718275308609009	DDX55-RBM22
K562	LIN28B_3-HNRNPL_6-interaction-shap	interaction	HNRNPL-LIN28B	LIN28B	3	HNRNPL	6	7	-1.5689318180084229	false	1.5689318180084229	HNRNPL-LIN28B
K562	HLTF_2-PRPF8_4-interaction-shap	interaction	HLTF-PRPF8	HLTF	2	PRPF8	4	12	-1.4142358303070068	false	1.4142358303070068	HLTF-PRPF8
K562	UCHL5_3-FUS_4-interaction-shap	interaction	FUS-UCHL5	UCHL5	3	FUS	4	13	-1.3717466592788696	false	1.3717466592788696	FUS-UCHL5
K562	MATR3_2-PUM2_3-interaction-shap	interaction	MATR3-PUM2	MATR3	2	PUM2	3	2	-1.257232904434204	false	1.257232904434204	MATR3-PUM2
K562	RPS3_3-PUM2_4-interaction-shap	interaction	PUM2-RPS3	RPS3	3	PUM2	4	73	-1.1889582872390747	false	1.1889582872390747	PUM2-RPS3
K562	PTBP1_3-DDX24_4-interaction-shap	interaction	DDX24-PTBP1	PTBP1	3	DDX24	4	15	-1.1300615072250366	false	1.1300615072250366	DDX24-PTBP1
K562	IGF2BP1_2-GPKOW_4-interaction-shap	interaction	GPKOW-IGF2BP1	IGF2BP1	2	GPKOW	4	14	-1.0937987565994263	false	1.0937987565994263	GPKOW-IGF2BP1
K562	HNRNPK_4-DDX3X_5-interaction-shap	interaction	DDX3X-HNRNPK	HNRNPK	4	DDX3X	5	4	1.09035325050354	false	1.09035325050354	DDX3X-HNRNPK
K562	PTBP1_3-ZNF622_6-interaction-shap	interaction	PTBP1-ZNF622	PTBP1	3	ZNF622	6	44	1.077681541442871	false	1.077681541442871	PTBP1-ZNF622
K562	DDX3X_4-PUM2_4-interaction-shap	interaction	DDX3X-PUM2	DDX3X	4	PUM2	4	4	-1.0655136108398438	false	1.0655136108398438	DDX3X-PUM2
K562	EIF4G2_3-SND1_3-interaction-shap	interaction	EIF4G2-SND1	EIF4G2	3	SND1	3	13	-1.0426234006881714	false	1.0426234006881714	EIF4G2-SND1
K562	DDX3X_4-RBM22_4-interaction-shap	interaction	DDX3X-RBM22	DDX3X	4	RBM22	4	75	-1.0184897184371948	false	1.0184897184371948	DDX3X-RBM22
K562	EIF4E_5-DDX3X_6-interaction-shap	interaction	DDX3X-EIF4E	EIF4E	5	DDX3X	6	29	1.0131793022155762	false	1.0131793022155762	DDX3X-EIF4E
K562	PUM2_4-ELAVL1_6-interaction-shap	interaction	ELAVL1-PUM2	PUM2	4	ELAVL1	6	6	-0.9689986109733582	false	0.9689986109733582	ELAVL1-PUM2
K562	HNRNPK_4-LIN28B_4-interaction-shap	interaction	HNRNPK-LIN28B	HNRNPK	4	LIN28B	4	5	-0.9591774344444275	false	0.9591774344444275	HNRNPK-LIN28B
K562	DDX3X_5-ELAC2_6-interaction-shap	interaction	DDX3X-ELAC2	DDX3X	5	ELAC2	6	11	0.927619218826294	false	0.927619218826294	DDX3X-ELAC2
K562	IGF2BP1_4-MBNL1_6-interaction-shap	interaction	IGF2BP1-MBNL1	IGF2BP1	4	MBNL1	6	11	-0.8872398138046265	false	0.8872398138046265	IGF2BP1-MBNL1
K562	AQR_4-HNRNPL_4-interaction-shap	interaction	AQR-HNRNPL	AQR	4	HNRNPL	4	39	0.8753952383995056	false	0.8753952383995056	AQR-HNRNPL
K562	TAF15_2-DDX43_3-interaction-shap	interaction	DDX43-TAF15	TAF15	2	DDX43	3	2	-0.8718559741973877	false	0.8718559741973877	DDX43-TAF15
K562	EIF4G2_1-ZNF622_3-interaction-shap	interaction	EIF4G2-ZNF622	EIF4G2	1	ZNF622	3	8	-0.8281999826431274	false	0.8281999826431274	EIF4G2-ZNF622
K562	KHDRBS1_2-PRPF8_6-interaction-shap	interaction	KHDRBS1-PRPF8	KHDRBS1	2	PRPF8	6	1	0.8166853189468384	false	0.8166853189468384	KHDRBS1-PRPF8
K562	KHDRBS1_2-PTBP1_3-interaction-shap	interaction	KHDRBS1-PTBP1	KHDRBS1	2	PTBP1	3	1	0.8045967817306519	false	0.8045967817306519	KHDRBS1-PTBP1
K562	PRPF8_5-PCBP1_6-interaction-shap	interaction	PCBP1-PRPF8	PRPF8	5	PCBP1	6	19	-0.8000242710113525	false	0.8000242710113525	PCBP1-PRPF8
K562	BUD13_1-FAM120A_1-interaction-shap	interaction	BUD13-FAM120A	BUD13	1	FAM120A	1	26	-0.7931249141693115	false	0.7931249141693115	BUD13-FAM120A
K562	DDX3X_3-IGF2BP2_4-interaction-shap	interaction	DDX3X-IGF2BP2	DDX3X	3	IGF2BP2	4	96	-0.7898148894309998	false	0.7898148894309998	DDX3X-IGF2BP2
K562	UPF1_2-LIN28B_3-interaction-shap	interaction	LIN28B-UPF1	UPF1	2	LIN28B	3	12	-0.7883740663528442	false	0.7883740663528442	LIN28B-UPF1
K562	BUD13_3-AATF_4-interaction-shap	interaction	AATF-BUD13	BUD13	3	AATF	4	135	-0.7847649455070496	false	0.7847649455070496	AATF-BUD13
K562	QKI_2-IGF2BP2_3-interaction-shap	interaction	IGF2BP2-QKI	QKI	2	IGF2BP2	3	7	-0.7713475823402405	false	0.7713475823402405	IGF2BP2-QKI
K562	DDX3X_3-GPKOW_4-interaction-shap	interaction	DDX3X-GPKOW	DDX3X	3	GPKOW	4	16	-0.7700046896934509	false	0.7700046896934509	DDX3X-GPKOW
K562	GRWD1_4-U2AF2_6-interaction-shap	interaction	GRWD1-U2AF2	GRWD1	4	U2AF2	6	54	-0.7656599879264832	false	0.7656599879264832	GRWD1-U2AF2
K562	AGGF1_3-BUD13_3-interaction-shap	interaction	AGGF1-BUD13	AGGF1	3	BUD13	3	51	-0.728065550327301	false	0.728065550327301	AGGF1-BUD13
K562	PUM2_1-SF3B4_3-interaction-shap	interaction	PUM2-SF3B4	PUM2	1	SF3B4	3	73	-0.7137000560760498	false	0.7137000560760498	PUM2-SF3B4
