Feature-Feature Interaction	HepG2 - Interaction SHAP	K562 - Interaction SHAP	HepG2 - F1 (1st Individual Feature in Interaction) SHAP	K562 - F1 (1st Individual Feature in Interaction) SHAP	HepG2 - F2 (2nd Individual Feature in Interaction) SHAP	K562 - F2 (2nd Individual Feature in Interaction) SHAP	HepG2 - Both Bound: # Points	K562 - Both Bound: # Points	HepG2 - Both Bound: Average	K562 - Both Bound: Average	HepG2 - Both Bound: Median	K562 - Both Bound: Median	HepG2 - F1 Bound Only: # Points	K562 - F1 Bound Only: # Points	HepG2 - F1 Bound Only: Average	K562 - F1 Bound Only: Average	HepG2 - F1 Bound Only: Median	K562 - F1 Bound Only: Median	HepG2 - F2 Bound Only: # Points	K562 - F2 Bound Only: # Points	HepG2 - F2 Bound Only: Average	K562 - F2 Bound Only: Average	HepG2 - F2 Bound Only: Median	K562 - F2 Bound Only: Median	Statistical Testing Directionality	HepG2 - Both Bound vs F1 Bound Only: Mann-Whitney U	K562 - Both Bound vs F1 Bound Only: Mann-Whitney U	HepG2 - Both Bound vs F1 Bound Only: Welch's t-test	K562 - Both Bound vs F1 Bound Only: Welch's t-test	HepG2 - Both Bound vs F2 Bound Only: Mann-Whitney U	K562 - Both Bound vs F2 Bound Only: Mann-Whitney U	HepG2 - Both Bound vs F2 Bound Only: Welch's t-test	K562 - Both Bound vs F2 Bound Only: Welch's t-test
AGGF1_3-AQR_3-interaction-shap	0.019089018926024437	0.002882345113903284	-0.11229030787944794	-0.15235650539398193	1.2912956476211548	0.7905405759811401	1678	721	0.9947359952324195	0.9794285714285714	1.0	0.995	3891	11026	0.867935492161398	0.7753018320333755	0.999	0.99	300103	358891	0.9636886135760053	0.9379478003070569	1.0	0.998	greater	5.6546730045312995e-31	1.1413038308121164e-16	5.930845405349206e-134	0.0	1.6809263499270086e-29	0.4721911152741644	0.0	1.778997981281727e-150
AQR_1-AQR_3-interaction-shap	-0.0009248490096069872	-0.004218802321702242	-0.057323191314935684	-0.008449021726846695	1.2912956476211548	0.7905405759811401	54885	46869	0.9642015304728069	0.9184410377861699	1.0	0.997	204515	239284	0.8066282913233748	0.846891480416576	0.994	0.994	246896	312743	0.9637856020348647	0.9409667970186383	0.999	0.998	less	1.0	1.0	1.0	1.0	1.0	0.000020286450425720663	0.736309136776209	3.3154523336254974e-99
AQR_1-GRWD1_1-interaction-shap	0.0013875087024644017	0.013078457675874233	-0.057323191314935684	-0.008449021726846695	-0.017191467806696892	-0.07808630913496017	33157	8105	0.8143790451488373	0.8289254780999384	0.996	0.996	226243	278048	0.8437185680882945	0.8594758926516285	0.996	0.994	386258	122625	0.8075040309844715	0.8372931702344546	0.99	0.996	greater	1.0	0.15487710372296348	1.0	0.999999999999998	2.8745174238778656e-15	0.6794454744758012	0.00031304059782734486	0.982748218800257
AQR_1-PRPF8_4-interaction-shap	-0.0011467504082247615	-0.07642928510904312	-0.057323191314935684	-0.008449021726846695	1.4601197242736816	1.1355257034301758	82087	35775	0.9770023877105997	0.9684698812019568	0.999	0.999	177313	250378	0.7765284609701487	0.8429134508622962	0.993	0.993	695757	623506	0.9647082199676039	0.9554474183087251	1.0	0.999	less	1.0	1.0	1.0	1.0	1.0	0.9999999999803831	1.0	1.0
AQR_1-RPS3_3-interaction-shap	0.004190126899629831	0.0034641141537576914	-0.057323191314935684	-0.008449021726846695	0.8858047127723694	1.4457722902297974	21701	5106	0.989688032809548	0.9926521739130435	1.0	1.0	237699	281047	0.826299504835948	0.8561753443374238	0.995	0.994	99657	75782	0.9842817463901181	0.9901816130479535	1.0	0.999	greater	0.0	3.716918802652283e-279	0.0	0.0	5.531907172194387e-68	2.2029599583744826e-16	1.3685355864418543e-37	1.0482064873710803e-10
AQR_1-SF3B4_3-interaction-shap	-0.0011573705123737454	-0.0016395787242799997	-0.057323191314935684	-0.008449021726846695	1.058195948600769	1.2901054620742798	33497	50524	0.9390978595098071	0.9645813474784259	0.999	1.0	225903	235629	0.825269363399335	0.8358881377080071	0.995	0.992	220551	516203	0.9546162293528482	0.9623632466297174	0.999	1.0	less	1.0	1.0	1.0	1.0	0.9999999895924542	1.0	9.405324356253445e-51	0.9998142469565034
AQR_1-SF3B4_5-interaction-shap	-0.00357423210516572	-0.0008732305723242462	-0.057323191314935684	-0.008449021726846695	-0.23636935651302338	-0.15657387673854828	41074	78532	0.8566006476116276	0.8472585188203533	0.995	0.993	218326	207621	0.8368392724641134	0.8629044653479175	0.996	0.995	348439	974989	0.7961913706559828	0.8231840707946445	0.987	0.991	less	6.402330072648455e-29	2.7902093083381717e-114	1.0	6.029726990924185e-34	1.0	1.0	1.0	1.0
AQR_1-TARDBP_1-interaction-shap	-0.012959590181708336	-0.048173997551202774	-0.057323191314935684	-0.008449021726846695	0.5775192975997925	0.35949450731277466	2689	1765	0.8632272220156191	0.9555070821529746	0.985	0.988	256711	284388	0.8397247020969105	0.8580092127656583	0.996	0.994	11188	5324	0.9146963711119056	0.869593350864012	0.99	0.991	less	1.8365036170156664e-12	0.22488280958863222	0.9999997452812873	1.0	2.6269144745410214e-14	0.9998779605076447	2.464905989042282e-24	1.0
AQR_2-AQR_3-interaction-shap	0.1657649129629135	0.11233174055814743	-0.2880859971046448	-0.2790682911872864	1.2912956476211548	0.7905405759811401	125381	261369	0.958284963431461	0.9329126484013024	0.999	0.997	298183	1151249	0.7196285603136328	0.7833925084842635	0.981	0.99	176400	98243	0.9678247392290247	0.951647913846279	1.0	0.999	greater	0.0	0.0	0.0	0.0	5.42778533510635e-7	1.0	1.0	1.0
AQR_2-AQR_4-interaction-shap	0.17646075785160065	0.17087006568908691	-0.2880859971046448	-0.2790682911872864	0.7341474294662476	1.1735411882400513	85113	398369	0.9753528838132834	0.9537734989419357	0.999	0.998	338451	1014249	0.743731057080641	0.7550024629060513	0.986	0.987	169638	588235	0.9573221035381225	0.9665728594864298	0.999	0.999	greater	0.0	0.0	0.0	0.0	4.9015901667630167e-45	1.0	0.0	1.0
