Interaction	rec-Y2H | Table S2	Both eCLIP - HepG2	Both eCLIP - K562
A1CF-ABCF2	False	False	False
A1CF-ABT1	False	False	False
A1CF-ACAA2	False	False	False
A1CF-ACADM	False	False	False
A1CF-ACTA1	False	False	False
A1CF-ACTB	False	False	False
A1CF-ADARB1	False	False	False
A1CF-AEN	False	False	False
A1CF-AGO1	False	False	False
A1CF-AGO2	False	False	False
A1CF-AGO2_CTER	False	False	False
A1CF-AHNAK	False	False	False
A1CF-AKAP1	False	False	False
A1CF-AKAP8	False	False	False
A1CF-ALDH2	False	False	False
A1CF-ALDH6A1	False	False	False
A1CF-ALDOA	False	False	False
A1CF-ALG13	False	False	False
A1CF-ANKHD1	False	False	False
A1CF-ANXA2	False	False	False
A1CF-AP2M1	False	False	False
A1CF-APC_CTER	False	False	False
A1CF-APC_NTER	False	False	False
A1CF-APEX1	False	False	False
A1CF-APOBEC3C	False	False	False
A1CF-APOBEC3G	False	False	False
A1CF-APP	False	False	False
A1CF-ARL6IP4	False	False	False
A1CF-ARPC1B	False	False	False
A1CF-ASCC1	False	False	False
A1CF-ASCC3	False	False	False
A1CF-ASH2L	False	False	False
A1CF-ASPM	False	False	False
A1CF-ATP5F1A	False	False	False
A1CF-ATP5F1B	False	False	False
A1CF-ATP5F1C	False	False	False
A1CF-ATXN10	False	False	False
A1CF-AURKB	False	False	False
A1CF-BAG4	False	False	False
A1CF-BBS5	False	False	False
A1CF-BCAS2	False	False	False
A1CF-BICD2	False	False	False
A1CF-BMI1	False	False	False
A1CF-BMS1	False	False	False
A1CF-BRD4	False	False	False
A1CF-BRIX1	False	False	False
A1CF-BTF3	False	False	False
A1CF-BUB3	False	False	False
A1CF-BUD13	False	False	False
A1CF-BUD31	False	False	False
A1CF-BYSL	False	False	False
A1CF-BZW1	False	False	False
A1CF-BZW2	False	False	False
A1CF-C1ORF131	False	False	False
A1CF-C9ORF78	False	False	False
A1CF-CALD1	False	False	False
A1CF-CALM1	False	False	False
A1CF-CALR	False	False	False
A1CF-CANX	False	False	False
A1CF-CASK	False	False	False
A1CF-CCAR2	False	False	False
A1CF-CCDC12	False	False	False
A1CF-CCDC124	False	False	False
A1CF-CCDC59	False	False	False
A1CF-CCDC9	False	False	False
A1CF-CCL14	False	False	False
A1CF-CCSER2	False	False	False
A1CF-CCT4	False	False	False
A1CF-CD2BP2	False	False	False
A1CF-CDC42	False	False	False
A1CF-CDK13	False	False	False
A1CF-CELF1	False	False	False
A1CF-CEP55	False	False	False
A1CF-CFAP20	False	False	False
A1CF-CFL1	False	False	False
A1CF-CHD1	False	False	False
A1CF-CHD2	False	False	False
A1CF-CHTOP	False	False	False
A1CF-CIRBP	False	False	False
A1CF-CISD1	False	False	False
A1CF-CISD2	False	False	False
A1CF-CKAP2	False	False	False
A1CF-CKAP5	False	False	False
A1CF-CLASP1	False	False	False
A1CF-CLASP2	False	False	False
A1CF-CLIP2	False	False	False
A1CF-CLIP4	False	False	False
A1CF-CLK1	False	False	False
A1CF-CLK2	False	False	False
A1CF-CLK3	False	False	False
A1CF-CLK4	False	False	False
A1CF-CNBP	False	False	False
A1CF-CNN3	False	False	False
A1CF-CNOT4	False	False	False
A1CF-CPEB1	False	False	False
A1CF-CPEB2	False	False	False
A1CF-CPEB4	False	False	False
A1CF-CPSF2	False	False	False
A1CF-CPSF4	False	False	False
A1CF-CPSF6	False	False	False
A1CF-CPSF7	False	False	False
A1CF-CSDE1	False	False	False
A1CF-CSNK1E	False	False	False
A1CF-CSRP1	False	False	False
A1CF-CSTF2T	False	False	False
A1CF-CTBP1	False	False	False
A1CF-CTCF	False	False	False
A1CF-CTNNA1	False	False	False
A1CF-CTNNBL1	False	False	False
A1CF-CTNND1	False	False	False
A1CF-CTTN	False	False	False
A1CF-CUL1	False	False	False
A1CF-CWC15	False	False	False
A1CF-CWC22	False	False	False
A1CF-CXORF56	False	False	False
A1CF-DAP3	False	False	False
A1CF-DAPK1	False	False	False
A1CF-DBR1	False	False	False
A1CF-DCAF13	False	False	False
A1CF-DCAF7	False	False	False
A1CF-DCN	False	False	False
A1CF-DCX	False	False	False
A1CF-DDX1	False	False	False
A1CF-DDX11	False	False	False
A1CF-DDX17	False	False	False
A1CF-DDX18	False	False	False
A1CF-DDX19A	False	False	False
A1CF-DDX20	False	False	False
A1CF-DDX21	False	False	False
A1CF-DDX23	False	False	False
A1CF-DDX28	False	False	False
A1CF-DDX31	False	False	False
A1CF-DDX39A	False	False	False
A1CF-DDX39AB_ZEBRAFISH	False	False	False
A1CF-DDX39A_NTER	False	False	False
A1CF-DDX3X	False	False	False
A1CF-DDX41	False	False	False
A1CF-DDX42	False	False	False
A1CF-DDX47	False	False	False
A1CF-DDX49	False	False	False
A1CF-DDX50	False	False	False
A1CF-DDX52	False	False	False
A1CF-DDX54	False	False	False
