Feature-Feature Interaction	Cell Line	Interaction SHAP Value	Feature 1 SHAP Value	Feature 2 SHAP Value	MWU p-value (Both Bound vs F1 Bound Only)	MWU p-value (Both Bound vs F2 Bound Only)	Both MWU Significant
EFTUD2_2-QKI_5-interaction-shap	HepG2	-0.49123701453208923	-0.1441425085067749	-0.22395512461662292	0.0	0.0	true
HNRNPM_2-SUB1_5-interaction-shap	HepG2	-1.1173992156982422	-0.010453871451318264	-0.15214145183563232	0.0	0.0	true
PCBP2_6-UCHL5_6-interaction-shap	HepG2	-0.562859058380127	-0.00571654736995697	-0.2533913552761078	0.0	0.0	true
IGF2BP1_2-IGF2BP1_5-interaction-shap	HepG2	-0.21977739036083221	-0.09855891764163971	-0.11690355837345123	0.0	0.0	true
LIN28B_2-LIN28B_5-interaction-shap	K562	-0.004692375659942627	0.00115653604734689	0.0014909730525687337	0.0	0.0	true
QKI_3-U2AF2_3-interaction-shap	HepG2	-0.6366861462593079	-0.43169549107551575	0.09508994966745377	0.0	0.0	true
GPKOW_1-GPKOW_6-interaction-shap	K562	-0.07913772761821747	0.05627955123782158	-0.06938031315803528	0.0	0.0	true
DDX43_2-DDX43_5-interaction-shap	K562	-0.08735168725252151	-0.08699648082256317	-0.051684629172086716	0.0	0.0	true
PTBP1_2-PRPF4_6-interaction-shap	HepG2	-0.1798648089170456	-0.05313890054821968	0.08815328031778336	0.0	0.0	true
TRA2A_2-BCLAF1_6-interaction-shap	HepG2	-0.21708941459655762	-0.209066703915596	-0.09208220988512039	0.0	0.0	true
PTBP1_2-SF3B4_5-interaction-shap	HepG2	-0.40472692251205444	-0.05313890054821968	-0.23675884306430817	0.0	0.0	true
TRA2A_1-GPKOW_5-interaction-shap	K562	-0.03065977431833744	-0.011634644120931625	0.027285423129796982	0.0	0.0	true
DDX43_2-EWSR1_5-interaction-shap	K562	-0.15634803473949432	-0.08699648082256317	-0.036918431520462036	0.0	6.778448023654128e-290	true
IGF2BP1_5-U2AF2_5-interaction-shap	HepG2	-0.20578478276729584	-0.11690355837345123	-0.14822599291801453	0.0	1.7265717885035716e-281	true
EFTUD2_5-RBM22_6-interaction-shap	HepG2	-0.16411487758159637	0.06256677955389023	-0.05091492459177971	0.0	5.483022116093058e-265	true
DDX43_1-KHSRP_2-interaction-shap	K562	-0.16168621182441711	-0.10231444984674454	-0.14459437131881714	0.0	5.722955395907072e-259	true
EFTUD2_2-FKBP4_2-interaction-shap	HepG2	-0.24383856356143951	-0.1441425085067749	-0.03717195242643356	0.0	1.5564564440926e-229	true
PPIG_3-TARDBP_5-interaction-shap	HepG2	-1.1819193363189697	0.9867287278175354	-0.05914580449461937	0.0	3.029871436415603e-209	true
RBFOX2_5-PPIG_6-interaction-shap	HepG2	0.07572099566459656	-0.0699026957154274	0.02143123187124729	0.0	2.448393003057051e-49	true
SF3B4_1-HNRNPK_3-interaction-shap	K562	-0.04980628937482834	0.04066191986203194	-0.036270350217819214	0.0	7.708984116795623e-49	true
GPKOW_3-PRPF8_3-interaction-shap	K562	-0.548067569732666	0.11581119894981384	-0.4769425690174103	7.08855728401254e-309	2.7010880658748905e-21	true
DDX59_2-RBFOX2_6-interaction-shap	HepG2	-0.011268355883657932	-0.0038499808870255947	-0.00950104184448719	5.549012346749756e-307	0.0	true
HNRNPM_2-RBM15_2-interaction-shap	K562	-0.012991847470402718	0.006624982692301273	-0.012530762702226639	1.440016839712089e-299	5.4545344028629315e-282	true
SRSF7_4-U2AF2_6-interaction-shap	K562	-0.09181483834981918	-0.08175051957368851	-0.02949175052344799	1.1131141245004318e-298	1.0835371932405665e-192	true
FAM120A_2-PRPF4_5-interaction-shap	HepG2	-0.08999963849782944	-0.06402026116847992	0.034602005034685135	2.0657680530467732e-290	0.0	true
ZNF800_1-QKI_5-interaction-shap	K562	-0.0401536263525486	-0.02342391014099121	-0.006668966729193926	4.3943088457472256e-287	1.6902377113910246e-199	true
AQR_6-NIPBL_6-interaction-shap	K562	0.0027898254338651896	0.00043447353527881205	0.0007271429640240967	3.2669356711991893e-282	8.336661531551743e-142	true
DDX55_6-RBM15_6-interaction-shap	K562	-0.24783064424991608	-0.02009056881070137	-0.2376411110162735	6.564574507068215e-278	8.931709753598772e-301	true
BCLAF1_1-TRA2A_4-interaction-shap	HepG2	0.048568014055490494	-0.013582208193838596	-0.014453796669840813	1.839213740749296e-263	2.639415714410448e-105	true
FMR1_1-GTF2F1_4-interaction-shap	K562	-0.08884525299072266	0.06715258210897446	-0.03507205843925476	1.7379697706911844e-252	2.2901219975474946e-225	true
