Feature-Feature Interaction	HepG2 - Interaction SHAP	K562 - Interaction SHAP	HepG2 - F1 (1st Individual Feature in Interaction) SHAP	K562 - F1 (1st Individual Feature in Interaction) SHAP	HepG2 - F2 (2nd Individual Feature in Interaction) SHAP	K562 - F2 (2nd Individual Feature in Interaction) SHAP	HepG2 - Both Bound: # Points	K562 - Both Bound: # Points	HepG2 - Both Bound: Average	K562 - Both Bound: Average	HepG2 - Both Bound: Median	K562 - Both Bound: Median	HepG2 - F1 Bound Only: # Points	K562 - F1 Bound Only: # Points	HepG2 - F1 Bound Only: Average	K562 - F1 Bound Only: Average	HepG2 - F1 Bound Only: Median	K562 - F1 Bound Only: Median	HepG2 - F2 Bound Only: # Points	K562 - F2 Bound Only: # Points	HepG2 - F2 Bound Only: Average	K562 - F2 Bound Only: Average	HepG2 - F2 Bound Only: Median	K562 - F2 Bound Only: Median	HepG2 - Both Bound vs F1 Bound Only: Abs(Diff Average)	HepG2 - Both Bound vs F1 Bound Only: Abs(Diff Median)	K562 - Both Bound vs F1 Bound Only: Abs(Diff Average)	K562 - Both Bound vs F1 Bound Only: Abs(Diff Median)	HepG2 - Both Bound vs F2 Bound Only: Abs(Diff Average)	HepG2 - Both Bound vs F2 Bound Only: Abs(Diff Median)	K562 - Both Bound vs F2 Bound Only: Abs(Diff Average)	K562 - Both Bound vs F2 Bound Only: Abs(Diff Median)	Statistical Testing Directionality	HepG2 - Both Bound vs F1 Bound Only: Mann-Whitney U	K562 - Both Bound vs F1 Bound Only: Mann-Whitney U	HepG2 - Both Bound vs F2 Bound Only: Mann-Whitney U	K562 - Both Bound vs F2 Bound Only: Mann-Whitney U	HepG2 - Both Bound vs F1 Bound Only: Welch's t-test	K562 - Both Bound vs F1 Bound Only: Welch's t-test	HepG2 - Both Bound vs F2 Bound Only: Welch's t-test	K562 - Both Bound vs F2 Bound Only: Welch's t-test	All MWU Significant	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	Rec-Y2H/Street et al. IP-MS (Union)
MATR3_3-RBM22_4-interaction-shap	0.0926462858915329	0.03730414807796478	-0.7072181105613708	-0.8768779039382935	0.6834766268730164	0.4519733190536499	20	139	0.9993000000000001	0.9862374100719423	1.0	1.0	1398	2016	0.3713397711015737	0.43012797619047616	0.035	0.172	75299	105830	0.9725093427535558	0.9606488519323443	1.0	0.999	0.6279602288984264	0.965	0.5561094338814662	0.8280000000000001	0.02679065724644425	0.0	0.02558855813959804	0.0010000000000000009	greater	2.4110789458522264e-11	4.636267479942435e-45	0.0023317309134720508	0.017158982267066417	0.0	0.0	2.52688717609309e-52	1.327956040607233e-23	true	None	False	False	False
DGCR8_3-YBX3_4-interaction-shap	0.05229949951171875	0.0018308551516383886	-0.8290936946868896	-0.05331601947546005	1.497674584388733	1.520198941230774	84	774	0.9998214285714284	0.9964780361757106	1.0	0.999	4021	6050	0.520081074359612	0.791672396694215	0.59	0.966	18739	359506	0.9929751320774854	0.9750393206232999	1.0	0.999	0.4797403542118164	0.41000000000000003	0.20480563948149566	0.03300000000000003	0.006846296493942972	0.0	0.021438715552410725	0.0	greater	3.392823918440327e-35	1.2420714974150563e-107	1.582388837626386e-8	5.467631767411062e-10	0.0	0.0	0.0	0.0	true	None	False	False	False
EFTUD2_2-TROVE2_2-interaction-shap	-0.000028155445761512965	-0.000013902783393859863	-0.1441425085067749	-0.11188114434480667	-0.24565641582012177	-0.43376579880714417	518	296	0.3350772200772201	0.3837702702702702	0.008	0.252	350680	366675	0.7699804636705829	0.807805866230313	0.985	0.992	472	2667	0.7879639830508475	0.7605076865391827	1.0	1.0	0.43490324359336285	0.977	0.4240355959600428	0.74	0.4528867629736274	0.992	0.37673741626891244	0.748	less	4.056562485527509e-65	2.426763463855025e-44	2.374035567337109e-37	1.029783290137091e-37	2.2968017322148996e-72	5.098199733786766e-72	3.1646707927038626e-53	1.7204089066398264e-61	true	None	None	None	None
DDX3X_2-DDX3X_5-interaction-shap	-0.19132554531097412	-0.09383723884820938	-0.1320383995771408	-0.1366044580936432	-1.3346205949783325	-1.9786726236343384	30656	54373	0.3769715553235908	0.27478616224964597	0.055	0.035	211688	420427	0.7987989021578927	0.8210861100738059	0.991	0.991	29368	54336	0.5483058430945247	0.4417423439340401	0.722	0.197	0.42182734683430195	0.9359999999999999	0.5462999478241599	0.956	0.1713342877709339	0.6669999999999999	0.16695618168439413	0.162	less	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	true				
DDX3X_1-DDX3X_5-interaction-shap	-0.005462069064378738	-0.01238254364579916	-0.11173701286315918	-0.42348384857177734	-1.3346205949783325	-1.9786726236343384	15406	20831	0.3611540308970531	0.24120954346886853	0.055	0.02	212777	363484	0.776317943198748	0.7792576977253469	0.99	0.989	44618	87878	0.49520702407100275	0.3859762853046268	0.481	0.084	0.4151639123016949	0.9349999999999999	0.5380481542564783	0.969	0.13405299317394964	0.426	0.14476674183575827	0.064	less	0.0	0.0	5.534205727678073e-170	0.0	0.0	0.0	8.53676145551168e-232	0.0	true				
DGCR8_3-RBM22_6-interaction-shap	0.040004078298807144	0.009066062048077583	-0.8290936946868896	-0.05331601947546005	-0.05091492459177971	-0.01289984118193388	143	84	0.8986713286713288	0.9955833333333334	1.0	1.0	3962	6740	0.516587834427057	0.8126502967359052	0.5645	0.9815	78736	90364	0.8270394863848811	0.8439966800938427	0.993	0.996	0.3820834942442718	0.4355	0.1829330365974282	0.01849999999999996	0.0716318422864477	0.007000000000000006	0.15158665323949072	0.0040000000000000036	greater	7.682208891479721e-30	8.565389206081247e-17	0.00002721613471842971	3.694375793010037e-10	2.3654562351381957e-34	0.0	0.001518694019073933	1.9539441451352708e-249	true	None	False	False	False
PTBP1_3-SND1_4-interaction-shap	0.10677256435155869	0.008851815946400166	-0.4695992171764374	-0.3358338475227356	1.6919124126434326	1.5452886819839478	242	104	0.9983512396694215	0.9974903846153846	1.0	1.0	11440	23110	0.6261876748251748	0.722443357853743	0.922	0.977	146827	134799	0.9850240827640693	0.9825370366249009	0.999	0.999	0.37216356484424673	0.07799999999999996	0.2750470267616416	0.02300000000000002	0.013327156905352244	0.0010000000000000009	0.014953347990483756	0.0010000000000000009	greater	1.7730943928909656e-80	9.297347389077409e-25	1.5994583181658276e-17	2.797079615374877e-8	0.0	0.0	2.8144019078126435e-161	4.88112443324179e-51	true	None	False	False	False
QKI_3-RPS3_6-interaction-shap	0.07904521375894547	0.0006018238491378725	-0.43169549107551575	-0.39075982570648193	-0.31415191292762756	-0.3705510199069977	186	394	0.9961827956989247	0.9993629441624367	0.9975	1.0	21696	11793	0.6504154682890856	0.6806299499703213	0.927	0.953	113885	81102	0.801373534706063	0.7864717146309586	0.998	0.998	0.34576732740983906	0.07050000000000001	0.3187329941921153	0.04700000000000004	0.19480926099286167	0.0004999999999999449	0.2128912295314781	0.0020000000000000018	greater	7.121046454125068e-42	9.418435176223133e-122	0.00003478376044785554	5.498016383150794e-64	0.0	0.0	0.0	0.0	true	False	False	False	False
U2AF1_2-QKI_5-interaction-shap	0.00003820657730102539	0.000026729307137429714	-0.2576357126235962	-0.0036983455065637827	-0.22395512461662292	-0.006668966729193926	4	8	1.0	0.993625	1.0	1.0	9246	14094	0.6557332900713823	0.7684261387824605	0.975	0.991	20122	10046	0.7391106748832125	0.6762129205653992	0.961	0.964	0.34426670992861774	0.025000000000000022	0.22519886121753951	0.009000000000000008	0.26088932511678753	0.039000000000000035	0.3174120794346008	0.03600000000000003	greater	0.009768927499819264	0.013125266385372297	0.006670334848550763	0.0035174475417970065	0.0	1.934989751874172e-15	0.0	1.6636465482953454e-21	true	False	None	None	False
XRN2_2-YBX3_3-interaction-shap	0.000019758939743041992	0.009384850971400738	-0.3693524897098541	-0.48601463437080383	1.090239405632019	1.5398563146591187	16	5548	0.99975	0.9887112472963231	1.0	0.999	35494	56692	0.6667405758719783	0.740664097227122	0.956	0.987	16693	339059	0.9942877852992272	0.9774563070144134	1.0	0.999	0.3330094241280217	0.04400000000000004	0.24804715006920108	0.01200000000000001	0.005462214700772794	0.0	0.011254940281909653	0.0	greater	7.893360163016838e-7	0.0	0.014029333014837272	2.053658974783733e-24	0.0	0.0	3.8803752033012255e-40	2.0277100141066355e-144	true	None	None	None	None
QKI_3-U2AF2_3-interaction-shap	-0.6366861462593079	-0.00804247334599495	-0.43169549107551575	-0.39075982570648193	0.09508994966745377	0.018797004595398903	3375	2742	0.375170962962963	0.6090116703136397	0.139	0.874	18507	9445	0.7040850489004161	0.7147176283748015	0.96	0.973	298402	183238	0.8275739405231868	0.8798468221657079	0.987	0.994	0.32891408593745314	0.821	0.10570595806116179	0.09899999999999998	0.4524029775602238	0.848	0.2708351518520682	0.12	less	0.0	9.30819786579478e-41	0.0	0.0	0.0	2.019989832530613e-33	0.0	3.869682067990721e-219	true	False	False	False	False
XRN2_2-KHSRP_5-interaction-shap	0.028212793171405792	0.055439043790102005	-0.3693524897098541	-0.48601463437080383	-0.3579765260219574	-0.023024987429380417	264	3666	0.9876477272727272	0.8056047463175122	1.0	0.996	35246	58574	0.6644880837541849	0.7600941031857138	0.954	0.99	29784	263484	0.7278380674187483	0.827476689286636	0.986	0.991	0.3231596435185423	0.04600000000000004	0.04551064313179842	0.006000000000000005	0.25980965985397886	0.014000000000000012	0.02187194296912376	0.0050000000000000044	greater	1.4550773686960796e-56	2.5162769880783214e-18	1.1600293398034926e-35	0.00007911691639862698	0.0	1.8840873028208787e-13	0.0	0.9998383491855507	true	None	None	None	None
U2AF1_2-QKI_3-interaction-shap	0.004866421222686768	0.00018774195632431656	-0.2576357126235962	-0.0036983455065637827	-0.43169549107551575	-0.39075982570648193	5	73	0.9704	0.9962876712328766	1.0	1.0	9245	14029	0.6557120605732829	0.7673688787511583	0.975	0.991	21877	12114	0.6532820770672395	0.689094353640416	0.93	0.959	0.31468793942671713	0.025000000000000022	0.22891879248171831	0.009000000000000008	0.31711792293276053	0.06999999999999995	0.3071933175924606	0.041000000000000036	greater	0.02837502742753368	2.361989957767437e-12	0.012240187396740161	9.919350716481915e-20	0.00018097189362548295	0.0	0.00019918940271177864	0.0	true	False	None	None	False
U2AF1_4-BUD13_5-interaction-shap	0.012659268453717232	0.004355679731816053	-0.4999644160270691	-0.05433831363916397	-0.16154304146766663	-0.07166457921266556	280	713	0.9931392857142856	0.9526661991584853	0.995	1.0	14275	10660	0.6795341506129596	0.8655926829268293	0.96	0.995	144484	409934	0.8123103665457767	0.8420369303351272	0.991	0.993	0.3136051351013259	0.03500000000000003	0.08707351623165593	0.0050000000000000044	0.18082891916850885	0.0040000000000000036	0.1106292688233581	0.007000000000000006	greater	1.1912636548413692e-25	1.7310111459828538e-38	3.108244953767586e-10	5.546675477545936e-44	0.0	2.102137195094041e-26	0.0	1.764253918111861e-43	true	False	False	False	False
