run_id	run_name	state	sweep_name	sweep_id	model.name	model.gamma	dataset.name	model.n_jobs	training.seed	dataset.window	model.max_depth	model.objective	model.reg_alpha	model.subsample	model.reg_lambda	dataset.cell_line	model.eval_metric	platiglib_project	model.n_estimators	training.criterion	model.learning_rate	training.batch_size	training.wandb.track	dataset.target_fields	training.wandb.entity	dataset.min_read_count	model.colsample_bytree	model.min_child_weight	training.profile.plots	training.wandb.project	dataset.fold_filter.seed	dataset.fold_filter.side	training.profile.metrics	training.wandb.save_code	dataset.three_exon_combos	training.wandb.save_model	training.wandb.save_plots	training.data_split.method	model.early_stopping_rounds	dataset.fold_filter.num_folds	training.data_split.num_folds	training.wandb.save_artifacts	dataset.fold_filter.fold_index	dataset.fold_filter.group_column	training.data_split.group_column	training.data_split.validate_frac_of_train	dataset.features.binding_matrix.in_silico_kd	dataset.features.binding_matrix.binding_format	holdout_fold_mean_mean_absolute_error	holdout_fold_mean_r2_score	holdout_fold_mean_rmse	holdout_loss	holdout_mean_absolute_error	holdout_r2_score	holdout_rmse	outer_loop_holdout_loss	outer_loop_holdout_mean_absolute_error	outer_loop_holdout_r2_score	outer_loop_holdout_rmse
3fi65ogs	silver-sweep-1	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	100	100	3	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1947	0.2617	0.287	0.08236	0.1947	0.2618	0.287				
f994njff	volcanic-sweep-3	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	300	100	3	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1949	0.2627	0.2867	0.08224	0.1949	0.2629	0.2868				
nb26x6pz	scarlet-sweep-2	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	200	100	3	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1946	0.262	0.2868	0.08233	0.1947	0.2621	0.2869				
41by4n2q	brisk-sweep-4	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	400	100	3	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1937	0.2656	0.2862	0.08192	0.1937	0.2658	0.2862				
koe0hjz1	trim-sweep-5	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	500	100	3	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1944	0.2629	0.2867	0.08215	0.1942	0.2637	0.2866				
ox02qvyo	chocolate-sweep-6	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	600	100	3	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1941	0.2628	0.2866	0.0822	0.1941	0.2632	0.2867				
0joq8y5x	sage-sweep-8	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	800	100	3	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1922	0.2693	0.2855	0.08144	0.1921	0.2701	0.2854				
397ci3da	glad-sweep-9	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	900	100	3	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1947	0.2588	0.2874	0.08259	0.1946	0.2597	0.2874				
545hfd78	fiery-sweep-10	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	100	100	5	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1905	0.2709	0.2852	0.08133	0.1905	0.271	0.2852				
f9kqxx17	stellar-sweep-11	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	200	100	5	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1905	0.2707	0.2851	0.08135	0.1905	0.2708	0.2852				
