RBP KD	Control Accession
AARS	ENCSR856ZRV
AATF	ENCSR003EKR
ABCF1	ENCSR067GHD
ABT1	ENCSR225PRV
ACO1	ENCSR538QOG
ADAR	ENCSR305XWT
AGO1	ENCSR003EKR
AKAP1	ENCSR237YZT
AKAP8L	ENCSR538QOG
AKAP8	ENCSR246RRQ
APOBEC3C	ENCSR279HMU
AQR	ENCSR225PRV
ASCC1	ENCSR237YZT
ATP5C1	ENCSR067GHD
AUH	ENCSR997HCQ
BCCIP	ENCSR856ZRV
BCLAF1	ENCSR856ZRV
BOP1	ENCSR264TUE
BUD13	ENCSR067GHD
CALR	ENCSR364GRM
CCAR1	ENCSR135LXL
CCAR2	ENCSR674KEK
CEBPZ	ENCSR067GHD
CELF1	ENCSR042QTH
CIRBP	ENCSR237YZT
CKAP4	ENCSR538QOG
CNOT7	ENCSR279HMU
CPSF6	ENCSR264TUE
CPSF7	ENCSR067GHD
CSTF2T	ENCSR003EKR
CSTF2	ENCSR856ZRV
DAZAP1	ENCSR042QTH
DDX19B	ENCSR538QOG
DDX1	ENCSR305XWT
DDX21	ENCSR003EKR
DDX24	ENCSR003EKR
DDX27	ENCSR856ZRV
DDX28	ENCSR856ZRV
DDX3X	ENCSR237YZT
DDX47	ENCSR968BBQ
DDX52	ENCSR689PHN
DDX55	ENCSR856ZRV
DDX59	ENCSR264TUE
DDX5	ENCSR776SXA
DDX6	ENCSR237YZT
DHX30	ENCSR305XWT
DKC1	ENCSR538QOG
DNAJC21	ENCSR305XWT
DNAJC2	ENCSR305XWT
EEF2	ENCSR689PHN
EFTUD2	ENCSR689PHN
EIF2S1	ENCSR237YZT
EIF2S2	ENCSR067GHD
EIF3D	ENCSR689PHN
EIF3G	ENCSR003EKR
EIF4A3	ENCSR237YZT
EIF4B	ENCSR237YZT
EIF4G1	ENCSR042QTH
EIF4G2	ENCSR042QTH
ESF1	ENCSR067GHD
ETF1	ENCSR997HCQ
EWSR1	ENCSR538QOG
EXOSC9	ENCSR003EKR
FAM120A	ENCSR689PHN
FASTKD1	ENCSR279HMU
FASTKD2	ENCSR003EKR
FIP1L1	ENCSR067GHD
FKBP4	ENCSR856ZRV
FMR1	ENCSR042QTH
FTO	ENCSR264TUE
FUBP1	ENCSR225PRV
FUBP3	ENCSR376RJN
FUS	ENCSR491FOC
FXR1	ENCSR237YZT
G3BP1	ENCSR237YZT
G3BP2	ENCSR237YZT
GEMIN5	ENCSR689PHN
GNB2L1	ENCSR674KEK
GPKOW	ENCSR264TUE
GRSF1	ENCSR279HMU
GRWD1	ENCSR674KEK
GTF2F1	ENCSR491FOC
HDGF	ENCSR538QOG
HLTF	ENCSR491FOC
HNRNPA0	ENCSR279HMU
HNRNPA1	ENCSR305XWT
HNRNPA2B1	ENCSR042QTH
HNRNPAB	ENCSR279HMU
HNRNPC	ENCSR305XWT
HNRNPD	ENCSR279HMU
HNRNPK	ENCSR237YZT
HNRNPLL	ENCSR264TUE
HNRNPL	ENCSR042QTH
HNRNPM	ENCSR067GHD
HNRNPUL1	ENCSR104ABF
HNRNPU	ENCSR305XWT
HSPD1	ENCSR246RRQ
IGF2BP2	ENCSR237YZT
IGF2BP3	ENCSR237YZT
ILF2	ENCSR305XWT
ILF3	ENCSR279HMU
KHDRBS1	ENCSR279HMU
KHSRP	ENCSR237YZT
KIF1C	ENCSR538QOG
KRR1	ENCSR246RRQ
LARP4	ENCSR135LXL
LARP7	ENCSR674KEK
LIN28B	ENCSR674KEK
LSM11	ENCSR674KEK
MAGOH	ENCSR237YZT
MARK2	ENCSR674KEK
MATR3	ENCSR237YZT
METAP2	ENCSR689PHN
MSI2	ENCSR067GHD
MTPAP	ENCSR264TUE
NAA15	ENCSR067GHD
NCBP2	ENCSR237YZT
NELFE	ENCSR603TCV
NIP7	ENCSR674KEK
NKRF	ENCSR246RRQ
NOL12	ENCSR042QTH
NONO	ENCSR856ZRV
NPM1	ENCSR104ABF
NSUN2	ENCSR264TUE
NUFIP2	ENCSR104ABF
NUP35	ENCSR960MSV
NUSAP1	ENCSR674KEK
PA2G4	ENCSR689PHN
PABPC1	ENCSR279HMU
PABPC4	ENCSR237YZT
PARN	ENCSR305XWT
PCBP1	ENCSR603TCV
PCBP2	ENCSR491FOC
PES1	ENCSR538QOG
PHF6	ENCSR674KEK
PKM	ENCSR689PHN
PNPT1	ENCSR279HMU
PPIG	ENCSR246RRQ
PPIL4	ENCSR305XWT
PRPF4	ENCSR093ERJ
PRPF6	ENCSR491FOC
PRPF8	ENCSR856ZRV
PSIP1	ENCSR674KEK
PTBP1	ENCSR603TCV
PUF60	ENCSR042QTH
PUM1	ENCSR042QTH
PUM2	ENCSR042QTH
PUS1	ENCSR538QOG
QKI	ENCSR603TCV
RAVER1	ENCSR491FOC
RBFOX2	ENCSR104ABF
RBM15	ENCSR585KOJ
RBM17	ENCSR104ABF
RBM22	ENCSR997HCQ
RBM25	ENCSR603TCV
RBM27	ENCSR674KEK
RBM34	ENCSR491FOC
RBM39	ENCSR104ABF
RBM47	ENCSR279HMU
RCC2	ENCSR674KEK
RECQL	ENCSR603TCV
RPL23A	ENCSR674KEK
RPS10	ENCSR491FOC
RPS19	ENCSR689PHN
RPS2	ENCSR674KEK
RPS3A	ENCSR279HMU
RPS5	ENCSR674KEK
RRP9	ENCSR856ZRV
RTF1	ENCSR491FOC
SAFB2	ENCSR305XWT
SART3	ENCSR279HMU
SBDS	ENCSR279HMU
SERBP1	ENCSR689PHN
SF1	ENCSR104ABF
SF3A3	ENCSR691IVR
SF3B1	ENCSR264TUE
SF3B4	ENCSR603TCV
SFPQ	ENCSR104ABF
SLBP	ENCSR042QTH
SLTM	ENCSR491FOC
SMN1	ENCSR305XWT
SMNDC1	ENCSR491FOC
SND1	ENCSR491FOC
SNRNP200	ENCSR104ABF
SNRNP70	ENCSR264TUE
SRFBP1	ENCSR997HCQ
SRP68	ENCSR856ZRV
SRSF1	ENCSR603TCV
SRSF3	ENCSR264TUE
SRSF5	ENCSR042QTH
SRSF9	ENCSR603TCV
SSB	ENCSR997HCQ
SSRP1	ENCSR246RRQ
STAU1	ENCSR067GHD
STIP1	ENCSR279HMU
SUB1	ENCSR491FOC
SUCLG1	ENCSR042QTH
SUGP2	ENCSR246RRQ
SUPT6H	ENCSR067GHD
SUPV3L1	ENCSR856ZRV
TAF15	ENCSR603TCV
TARDBP	ENCSR264TUE
TBRG4	ENCSR246RRQ
TFIP11	ENCSR856ZRV
TIA1	ENCSR603TCV
TIAL1	ENCSR305XWT
TRA2A	ENCSR491FOC
TRIM56	ENCSR305XWT
TROVE2	ENCSR689PHN
TUFM	ENCSR042QTH
U2AF1	ENCSR067GHD
U2AF2	ENCSR104ABF
UBE2L3	ENCSR042QTH
UCHL5	ENCSR856ZRV
UPF1	ENCSR691IVR
UPF2	ENCSR856ZRV
UTP18	ENCSR691IVR
UTP3	ENCSR691IVR
WDR3	ENCSR225PRV
WRN	ENCSR225PRV
XPO1	ENCSR225PRV
XPO5	ENCSR279HMU
XRCC5	ENCSR491FOC
XRCC6	ENCSR491FOC
XRN1	ENCSR225PRV
XRN2	ENCSR856ZRV
YBX3	ENCSR305XWT
YTHDC2	ENCSR225PRV
YWHAG	ENCSR225PRV
ZC3H8	ENCSR093ERJ
ZNF622	ENCSR691IVR
ZRANB2	ENCSR491FOC
