RBP KD	Control Accession
AARS	ENCSR572FFX
AATF	ENCSR815CVQ
ABCF1	ENCSR032YMP
ABT1	ENCSR260BQC
ADAR	ENCSR667PLJ
AGGF1	ENCSR143COQ
AGO1	ENCSR084SCN
AKAP1	ENCSR913CAE
AKAP8L	ENCSR143COQ
AKAP8	ENCSR143COQ
APOBEC3C	ENCSR620PUP
AQR	ENCSR718EWL
ASCC1	ENCSR913CAE
ATP5C1	ENCSR143COQ
AUH	ENCSR718EWL
BCCIP	ENCSR245BNJ
BCLAF1	ENCSR245BNJ
BOP1	ENCSR424QCW
BUD13	ENCSR032YMP
CCAR1	ENCSR667PLJ
CCAR2	ENCSR620PUP
CCDC124	ENCSR143COQ
CELF1	ENCSR620PUP
CKAP4	ENCSR898ABR
CNOT7	ENCSR419JMU
CPEB4	ENCSR031RRO
CPSF6	ENCSR424QCW
CPSF7	ENCSR667PLJ
CSTF2T	ENCSR815CVQ
CSTF2	ENCSR245BNJ
DAZAP1	ENCSR815CVQ
DDX19B	ENCSR143COQ
DDX1	ENCSR667PLJ
DDX24	ENCSR913CAE
DDX27	ENCSR245BNJ
DDX28	ENCSR661HEL
DDX3X	ENCSR913CAE
DDX47	ENCSR031RRO
DDX51	ENCSR661HEL
DDX52	ENCSR661HEL
DDX55	ENCSR572FFX
DHX30	ENCSR667PLJ
DKC1	ENCSR143COQ
DNAJC21	ENCSR667PLJ
DNAJC2	ENCSR667PLJ
DROSHA	ENCSR164MUK
EEF2	ENCSR661HEL
EFTUD2	ENCSR661HEL
EIF2S1	ENCSR913CAE
EIF2S2	ENCSR118EFE
EIF3A	ENCSR667PLJ
EIF3D	ENCSR661HEL
EIF3G	ENCSR084SCN
EIF4B	ENCSR913CAE
EIF4G1	ENCSR667PLJ
EIF4G2	ENCSR620PUP
ESF1	ENCSR032YMP
EWSR1	ENCSR913CAE
EXOSC9	ENCSR815CVQ
FAM120A	ENCSR661HEL
FASTKD2	ENCSR084SCN
FIP1L1	ENCSR032YMP
FKBP4	ENCSR572FFX
FMR1	ENCSR424QCW
FTO	ENCSR424QCW
FUBP1	ENCSR260BQC
FUS	ENCSR084SCN
FXR1	ENCSR913CAE
G3BP2	ENCSR344XID
GEMIN5	ENCSR661HEL
GLRX3	ENCSR174OYC
GPKOW	ENCSR424QCW
GRSF1	ENCSR118EFE
GRWD1	ENCSR572FFX
GTF2F1	ENCSR815CVQ
HDGF	ENCSR619PCR
HLTF	ENCSR815CVQ
HNRNPA0	ENCSR419JMU
HNRNPA1	ENCSR438MDN
HNRNPA2B1	ENCSR164MUK
HNRNPAB	ENCSR419JMU
HNRNPC	ENCSR572FFX
HNRNPF	ENCSR572FFX
HNRNPK	ENCSR129RWD
HNRNPL	ENCSR031RRO
HNRNPM	ENCSR032YMP
HNRNPUL1	ENCSR164MUK
HNRNPU	ENCSR438MDN
HSPD1	ENCSR032YMP
IGF2BP2	ENCSR129RWD
IGF2BP3	ENCSR129RWD
ILF2	ENCSR419JMU
ILF3	ENCSR667PLJ
KHDRBS1	ENCSR667PLJ
KHSRP	ENCSR129RWD
KIF1C	ENCSR143COQ
KRR1	ENCSR424QCW
LARP4	ENCSR164MUK
LARP7	ENCSR572FFX
LIN28B	ENCSR572FFX
LSM11	ENCSR572FFX
MAGOH	ENCSR129RWD
MAK16	ENCSR143COQ
MARK2	ENCSR619PCR
MATR3	ENCSR129RWD
MBNL1	ENCSR143COQ
METAP2	ENCSR424QCW
MSI2	ENCSR620PUP
MTPAP	ENCSR174OYC
NAA15	ENCSR143COQ
NCBP2	ENCSR913CAE
NELFE	ENCSR129RWD
NFX1	ENCSR815CVQ
NKRF	ENCSR619PCR
NOL12	ENCSR620PUP
NONO	ENCSR661HEL
NSUN2	ENCSR174OYC
NUFIP2	ENCSR174OYC
NUP35	ENCSR260BQC
NUSAP1	ENCSR572FFX
PA2G4	ENCSR661HEL
PABPC1	ENCSR419JMU
PABPC4	ENCSR344XID
PABPN1	ENCSR164MUK
PARN	ENCSR667PLJ
PCBP1	ENCSR129RWD
PCBP2	ENCSR129RWD
PHF6	ENCSR572FFX
PKM	ENCSR438MDN
PNPT1	ENCSR620PUP
PPIG	ENCSR032YMP
PPIL4	ENCSR419JMU
PPP1R8	ENCSR164MUK
PRPF4	ENCSR260BQC
PRPF6	ENCSR815CVQ
PSIP1	ENCSR572FFX
PTBP1	ENCSR129RWD
PUF60	ENCSR620PUP
PUM1	ENCSR620PUP
PUM2	ENCSR620PUP
PUS1	ENCSR143COQ
QKI	ENCSR344XID
RAVER1	ENCSR344XID
RBFOX2	ENCSR667PLJ
RBM15	ENCSR143COQ
RBM17	ENCSR118EFE
RBM22	ENCSR129RWD
RBM34	ENCSR129RWD
RBM39	ENCSR164MUK
RCC2	ENCSR572FFX
RPS10	ENCSR084SCN
RPS19	ENCSR661HEL
RPS3A	ENCSR419JMU
RRP9	ENCSR661HEL
RTF1	ENCSR815CVQ
SAFB2	ENCSR154OBA
SART3	ENCSR419JMU
SBDS	ENCSR419JMU
SERBP1	ENCSR661HEL
SF1	ENCSR164MUK
SF3A3	ENCSR174OYC
SF3B4	ENCSR344XID
SFPQ	ENCSR164MUK
SLBP	ENCSR667PLJ
SLTM	ENCSR084SCN
SMN1	ENCSR419JMU
SMNDC1	ENCSR815CVQ
SND1	ENCSR084SCN
SNRNP200	ENCSR164MUK
SRFBP1	ENCSR572FFX
SRP68	ENCSR661HEL
SRPK2	ENCSR174OYC
SRSF1	ENCSR129RWD
SSB	ENCSR084SCN
SSRP1	ENCSR032YMP
STAU1	ENCSR032YMP
STIP1	ENCSR419JMU
SUB1	ENCSR815CVQ
SUCLG1	ENCSR620PUP
SUGP2	ENCSR164MUK
SUPT6H	ENCSR164MUK
SUPV3L1	ENCSR661HEL
TAF15	ENCSR344XID
TARDBP	ENCSR129RWD
TBRG4	ENCSR344XID
TFIP11	ENCSR661HEL
TIA1	ENCSR129RWD
TIAL1	ENCSR572FFX
TRIM56	ENCSR572FFX
TRIP6	ENCSR032YMP
TROVE2	ENCSR092WKG
TUFM	ENCSR620PUP
U2AF1	ENCSR344XID
U2AF2	ENCSR344XID
UBE2L3	ENCSR620PUP
UCHL5	ENCSR661HEL
UPF1	ENCSR174OYC
UPF2	ENCSR438MDN
UTP18	ENCSR143COQ
UTP3	ENCSR655JYC
WDR3	ENCSR174OYC
WDR43	ENCSR174OYC
WRN	ENCSR718EWL
XPO1	ENCSR260BQC
XPO5	ENCSR164MUK
XRN1	ENCSR260BQC
XRN2	ENCSR661HEL
YBX3	ENCSR667PLJ
YTHDC2	ENCSR164MUK
ZC3H8	ENCSR718EWL
ZRANB2	ENCSR815CVQ
