,Feature,Kruskal-Wallis Statistic,P-Val
0,AGGF1_5_left_shap,287.01964341590326,4.7258108310257733e-63
1,AKAP1_5_left_shap,1616.62116867673,0.0
2,AQR_5_left_shap,1699.179453534976,0.0
3,BCCIP_5_left_shap,-4194304.0,1.0
4,BCLAF1_5_left_shap,614.0625704793696,4.549954448150838e-134
5,BUD13_5_left_shap,12770.266960704597,0.0
6,CDC40_5_left_shap,2795.2159799385954,0.0
7,CSTF2_5_left_shap,30235.840964811458,0.0
8,CSTF2T_5_left_shap,25.486744984238612,2.921619441637016e-06
9,DDX3X_5_left_shap,32481.83938751908,0.0
10,DDX52_5_left_shap,-4194304.0,1.0
11,DDX55_5_left_shap,11924.140361407772,0.0
12,DDX59_5_left_shap,460.4666064560209,1.0255264304124497e-100
13,DDX6_5_left_shap,1776.1812602801824,0.0
14,DGCR8_5_left_shap,959.708730683924,3.99849921231053e-209
15,DHX30_5_left_shap,-4194304.0,1.0
16,DKC1_5_left_shap,11690.503486468337,0.0
17,DROSHA_5_left_shap,29893.122731185587,0.0
18,EFTUD2_5_left_shap,28118.62478568715,0.0
19,EIF3D_5_left_shap,244786.66830329862,0.0
20,EIF3H_5_left_shap,62897.41585275434,0.0
21,EXOSC5_5_left_shap,-4194304.0,1.0
22,FAM120A_5_left_shap,939.291883976214,1.0848231547328695e-204
23,FASTKD2_5_left_shap,29913.557079512488,0.0
24,FKBP4_5_left_shap,-4194304.0,1.0
25,FTO_5_left_shap,-4194304.0,1.0
26,FUBP3_5_left_shap,29990.97737162466,0.0
27,FUS_5_left_shap,-4194304.0,1.0
28,FXR2_5_left_shap,299.0457202495717,1.156237177238509e-65
29,G3BP1_5_left_shap,689.5651783682076,1.8315722756510502e-150
30,GRSF1_5_left_shap,24241.055869193224,0.0
31,GRWD1_5_left_shap,40559.14839806076,0.0
32,GTF2F1_5_left_shap,12945.20792741212,0.0
33,HLTF_5_left_shap,1462.3470981144258,0.0
34,HNRNPA1_5_left_shap,-4194304.0,1.0
35,HNRNPC_5_left_shap,4762.199688327999,0.0
36,HNRNPK_5_left_shap,422.6516525489097,1.6686289162734802e-92
37,HNRNPL_5_left_shap,92571.14057983375,0.0
38,HNRNPM_5_left_shap,42422.57251037444,0.0
39,HNRNPU_5_left_shap,-4194304.0,1.0
40,HNRNPUL1_5_left_shap,-4194304.0,1.0
41,IGF2BP1_5_left_shap,36202.384137298315,0.0
42,IGF2BP3_5_left_shap,21200.807758931223,0.0
43,ILF3_5_left_shap,10042.400055517097,0.0
44,KHSRP_5_left_shap,13997.046678396322,0.0
45,LARP4_5_left_shap,765.2985581628824,6.569458759861139e-167
46,LARP7_5_left_shap,-4194304.0,1.0
47,LIN28B_5_left_shap,1359.7533541363393,5.411414170582412e-296
48,LSM11_5_left_shap,59110.95319747249,0.0
49,MATR3_5_left_shap,-4194304.0,1.0
50,NCBP2_5_left_shap,30827.76279897924,0.0
51,NIP7_5_left_shap,-4194304.0,1.0
52,NKRF_5_left_shap,-4194304.0,1.0
