,Feature,Kruskal-Wallis Statistic,P-Val
0,AARS_5_left_shap,4194304.0,0.0
1,AATF_5_left_shap,37610.93773383821,0.0
2,ABCF1_5_left_shap,4194304.0,0.0
3,ADAT1_5_left_shap,4194304.0,0.0
4,AGGF1_5_left_shap,1598.3873740154588,0.0
5,AKAP1_5_left_shap,4194304.0,0.0
6,AKAP8L_5_left_shap,1564.8965058794415,0.0
7,APEX1_5_left_shap,4194304.0,0.0
8,APOBEC3C_5_left_shap,15734.922659198553,0.0
9,AQR_5_left_shap,22311.602813687954,0.0
10,BUD13_5_left_shap,19643.16197147981,0.0
11,CPEB4_5_left_shap,157783.5326132146,0.0
12,CPSF6_5_left_shap,8559.655273156244,0.0
13,CSTF2T_5_left_shap,528.796778453495,1.4901793287301795e-115
14,DDX1_5_left_shap,4194304.0,0.0
15,DDX21_5_left_shap,4194304.0,0.0
16,DDX24_5_left_shap,39141.57249291836,0.0
17,DDX3X_5_left_shap,65801.49321495967,0.0
18,DDX42_5_left_shap,4015.0684216189975,0.0
19,DDX43_5_left_shap,30683.605297790575,0.0
20,DDX47_5_left_shap,4194304.0,0.0
21,DDX51_5_left_shap,16508.93502291892,0.0
22,DDX52_5_left_shap,4194304.0,0.0
23,DDX55_5_left_shap,4194304.0,0.0
24,DDX6_5_left_shap,771.7035039335392,2.671242329727338e-168
25,DGCR8_5_left_shap,5211.885658960819,0.0
26,DHX30_5_left_shap,4194304.0,0.0
27,DROSHA_5_left_shap,15380.884346240293,0.0
28,EEF2_5_left_shap,4194304.0,0.0
29,EFTUD2_5_left_shap,2114.6052695146122,0.0
30,EIF3G_5_left_shap,10285.482231842305,0.0
31,EIF4E_5_left_shap,17976.16506156031,0.0
32,EIF4G2_5_left_shap,30130.58291690393,0.0
33,ELAC2_5_left_shap,8140.93159586586,0.0
34,ELAVL1_5_left_shap,2941.880709368017,0.0
35,EWSR1_5_left_shap,902.864635838314,8.819325566131352e-197
36,EXOSC10_5_left_shap,951.1794975449257,2.8444379112048217e-207
37,EXOSC5_5_left_shap,4194304.0,0.0
38,FAM120A_5_left_shap,82715.51581020025,0.0
39,FASTKD2_5_left_shap,4194304.0,0.0
40,FMR1_5_left_shap,263.3406553443233,6.550934567256915e-58
41,FTO_5_left_shap,2439.351771672298,0.0
42,FUS_5_left_shap,32654.763592656018,0.0
43,FXR1_5_left_shap,698.1495893057883,2.504626150797933e-152
44,FXR2_5_left_shap,61765.52675748997,0.0
45,GARS_5_left_shap,87854.48881342444,0.0
46,GEMIN5_5_left_shap,28447.911671980582,0.0
47,GNL3_5_left_shap,4194304.0,0.0
48,GPKOW_5_left_shap,3175.548698556901,0.0
49,GRWD1_5_left_shap,27559.941850304484,0.0
50,GTF2F1_5_left_shap,3568.2508122924105,0.0
51,HLTF_5_left_shap,15466.135183531193,0.0
52,HNRNPA1_5_left_shap,4194304.0,0.0
53,HNRNPC_5_left_shap,7502.551278036214,0.0
54,HNRNPK_5_left_shap,11255.340957753186,0.0
55,HNRNPL_5_left_shap,15152.520490474486,0.0
56,HNRNPM_5_left_shap,8682.84431029522,0.0
57,HNRNPU_5_left_shap,5691.35231424476,0.0
58,HNRNPUL1_5_left_shap,4194304.0,0.0
