Feature	Statistic	P-Val	RBP	Position	FDR P-Val
BCLAF1_center_right_shap	75375.4240957087	0.0	BCLAF1	4	0.0
PPIG_center_right_shap	68987.32329603612	0.0	PPIG	4	0.0
GRWD1_center_right_shap	51541.893801256076	0.0	GRWD1	4	0.0
PRPF8_center_right_shap	48350.84184704855	0.0	PRPF8	4	0.0
BCLAF1_center_left_shap	26545.70924477499	0.0	BCLAF1	3	0.0
PRPF8_center_left_shap	26067.977702398337	0.0	PRPF8	3	0.0
AQR_center_right_shap	21732.688056456238	0.0	AQR	4	0.0
GRWD1_center_left_shap	19034.48845514597	0.0	GRWD1	3	0.0
G3BP1_center_right_shap	18455.82132901333	0.0	G3BP1	4	0.0
PPIG_center_left_shap	18210.59040266291	0.0	PPIG	3	0.0
SND1_center_right_shap	15824.53076845671	0.0	SND1	4	0.0
RPS3_center_right_shap	12384.365246501888	0.0	RPS3	4	0.0
BUD13_center_right_shap	11776.021874466174	0.0	BUD13	4	0.0
AQR_center_left_shap	11279.027070419563	0.0	AQR	3	0.0
SF3B4_center_right_shap	10025.854659057688	0.0	SF3B4	4	0.0
DDX3X_3_right_shap	9459.290785977548	0.0	DDX3X	6	0.0
PABPN1_center_right_shap	8296.570029971583	0.0	PABPN1	4	0.0
FXR2_center_right_shap	8149.148489586446	0.0	FXR2	4	0.0
SF3B4_center_left_shap	7772.538919660588	0.0	SF3B4	3	0.0
DDX3X_3_left_shap	7244.581349557904	0.0	DDX3X	5	0.0
G3BP1_center_left_shap	7104.959195654499	0.0	G3BP1	3	0.0
EFTUD2_center_left_shap	6848.280967901876	0.0	EFTUD2	3	0.0
PRPF8_5_right_shap	6778.974727744962	0.0	PRPF8	2	0.0
ZNF800_center_right_shap	6692.05877123711	0.0	ZNF800	4	0.0
DDX3X_5_right_shap	6474.745449341349	0.0	DDX3X	2	0.0
LIN28B_center_right_shap	6459.69185412721	0.0	LIN28B	4	0.0
SND1_center_left_shap	5370.806251832966	0.0	SND1	3	0.0
UCHL5_center_right_shap	5357.803974667702	0.0	UCHL5	4	0.0
EFTUD2_center_right_shap	4833.2388584112705	0.0	EFTUD2	4	0.0
DDX3X_center_right_shap	4752.13849197998	0.0	DDX3X	4	0.0
EIF3H_center_right_shap	4616.868862665146	0.0	EIF3H	4	0.0
SF3A3_center_right_shap	4581.629158299287	0.0	SF3A3	4	0.0
GRWD1_5_left_shap	4571.341437241744	0.0	GRWD1	1	0.0
LARP4_center_right_shap	4558.482420700766	0.0	LARP4	4	0.0
U2AF2_center_right_shap	4371.260790870993	0.0	U2AF2	4	0.0
RBM22_3_left_shap	4354.635289547439	0.0	RBM22	5	0.0
SND1_3_right_shap	4313.162868007987	0.0	SND1	6	0.0
SF3A3_5_right_shap	4309.261391042779	0.0	SF3A3	2	0.0
NCBP2_5_right_shap	4209.434715067098	0.0	NCBP2	2	0.0
QKI_center_right_shap	4185.351685356752	0.0	QKI	4	0.0
U2AF2_center_left_shap	3924.0735105769254	0.0	U2AF2	3	0.0
SF3B4_3_left_shap	3852.520732157362	0.0	SF3B4	5	0.0
KHSRP_center_left_shap	3840.5549403986743	0.0	KHSRP	3	0.0
NCBP2_3_left_shap	3787.8409606887285	0.0	NCBP2	5	0.0
TIAL1_center_right_shap	3736.741753979683	0.0	TIAL1	4	0.0
SF3B4_5_right_shap	3716.1428921107336	0.0	SF3B4	2	0.0
RPS3_center_left_shap	3687.0209401168136	0.0	RPS3	3	0.0
RBFOX2_center_left_shap	3685.165524934359	0.0	RBFOX2	3	0.0
GRWD1_3_left_shap	3675.406649584562	0.0	GRWD1	5	0.0
NCBP2_3_right_shap	3670.5900778276546	0.0	NCBP2	6	0.0
U2AF2_3_left_shap	3539.775583264937	0.0	U2AF2	5	0.0
QKI_center_left_shap	3391.050200952558	0.0	QKI	3	0.0
IGF2BP1_center_right_shap	3223.812189875362	0.0	IGF2BP1	4	0.0
SND1_3_left_shap	3193.6365967885654	0.0	SND1	5	0.0
GRWD1_5_right_shap	3118.7384010581836	0.0	GRWD1	2	0.0
RBM22_5_right_shap	3107.3900170907154	0.0	RBM22	2	0.0
U2AF1_center_right_shap	3016.7140312039132	0.0	U2AF1	4	0.0
PRPF8_3_left_shap	2971.0153490155885	0.0	PRPF8	5	0.0
PABPN1_center_left_shap	2922.574251568552	0.0	PABPN1	3	0.0
SDAD1_3_left_shap	2908.255717288817	0.0	SDAD1	5	0.0
FXR2_center_left_shap	2871.9315236837942	0.0	FXR2	3	0.0
G3BP1_3_right_shap	2854.8017367905595	0.0	G3BP1	6	0.0
FUBP3_3_right_shap	2785.1647671746528	0.0	FUBP3	6	0.0
AQR_5_right_shap	2760.4806277864227	0.0	AQR	2	0.0
PRPF4_center_right_shap	2715.7216696027995	0.0	PRPF4	4	0.0
NCBP2_5_left_shap	2642.1821965584304	0.0	NCBP2	1	0.0
RPS3_5_right_shap	2602.4333048694107	0.0	RPS3	2	0.0
PPIG_3_right_shap	2564.0644614558014	0.0	PPIG	6	0.0
KHSRP_3_left_shap	2543.4609375246728	0.0	KHSRP	5	0.0
LIN28B_3_right_shap	2538.8421546313584	0.0	LIN28B	6	0.0
EFTUD2_3_left_shap	2515.360757190751	0.0	EFTUD2	5	0.0
SF3B4_5_left_shap	2470.351825703511	0.0	SF3B4	1	0.0
GRWD1_3_right_shap	2425.409441930511	0.0	GRWD1	6	0.0
UCHL5_5_right_shap	2395.719314603266	0.0	UCHL5	2	0.0
RBFOX2_5_right_shap	2379.5516409833526	0.0	RBFOX2	2	0.0
PRPF8_5_left_shap	2377.9334913186303	0.0	PRPF8	1	0.0
PPIG_5_left_shap	2343.8809990508003	0.0	PPIG	1	0.0
LIN28B_center_left_shap	2341.425384938958	0.0	LIN28B	3	0.0
U2AF2_5_right_shap	2305.777060892908	0.0	U2AF2	2	0.0
DDX59_center_left_shap	2280.4024453731117	0.0	DDX59	3	0.0
CSTF2T_center_right_shap	2250.497686662864	0.0	CSTF2T	4	0.0
LSM11_5_right_shap	2250.0045376191224	0.0	LSM11	2	0.0
GTF2F1_3_left_shap	2226.340984926621	0.0	GTF2F1	5	0.0
XPO5_3_right_shap	2199.842857084601	0.0	XPO5	6	0.0
PPIG_3_left_shap	2198.8343027791793	0.0	PPIG	5	0.0
U2AF2_5_left_shap	2166.2634828305877	0.0	U2AF2	1	0.0
PABPN1_5_right_shap	2146.027061421141	0.0	PABPN1	2	0.0
RBM22_center_right_shap	2129.114330715847	0.0	RBM22	4	0.0
