Feature	Statistic	P-Val	RBP	Position	FDR P-Val
UCHL5_center_right_shap	45110.71847350191	0.0	UCHL5	4	0.0
AQR_center_right_shap	37939.43647962416	0.0	AQR	4	0.0
DDX24_center_right_shap	34773.945065643085	0.0	DDX24	4	0.0
ZNF622_center_right_shap	33998.751807145774	0.0	ZNF622	4	0.0
YBX3_center_right_shap	28858.925033523356	0.0	YBX3	4	0.0
SF3B4_center_right_shap	23710.081044593186	0.0	SF3B4	4	0.0
BUD13_center_right_shap	23171.270806474346	0.0	BUD13	4	0.0
AQR_center_left_shap	22791.247124414956	0.0	AQR	3	0.0
DDX43_center_right_shap	22658.614361982418	0.0	DDX43	4	0.0
DDX3X_5_right_shap	19204.617706757886	0.0	DDX3X	2	0.0
UCHL5_center_left_shap	15686.374806915877	0.0	UCHL5	3	0.0
DDX3X_3_right_shap	15362.081809708043	0.0	DDX3X	6	0.0
SF3B4_center_left_shap	15320.325441784775	0.0	SF3B4	3	0.0
ZNF622_center_left_shap	14132.745755205782	0.0	ZNF622	3	0.0
DDX24_center_left_shap	12882.95125956482	0.0	DDX24	3	0.0
FXR2_center_right_shap	12840.379910730315	0.0	FXR2	4	0.0
FMR1_center_right_shap	12318.887831677861	0.0	FMR1	4	0.0
PRPF8_center_right_shap	12225.514748642947	0.0	PRPF8	4	0.0
GRWD1_center_right_shap	12190.236807782803	0.0	GRWD1	4	0.0
DDX3X_3_left_shap	12118.664049810053	0.0	DDX3X	5	0.0
LIN28B_center_right_shap	12080.284256880235	0.0	LIN28B	4	0.0
SND1_center_right_shap	11000.407319559818	0.0	SND1	4	0.0
SRSF1_center_right_shap	10406.386177975632	0.0	SRSF1	4	0.0
DDX43_center_left_shap	10103.366704659804	0.0	DDX43	3	0.0
PRPF8_center_left_shap	10084.574595087408	0.0	PRPF8	3	0.0
YBX3_center_left_shap	8910.166755996277	0.0	YBX3	3	0.0
FXR1_center_right_shap	8887.917328182059	0.0	FXR1	4	0.0
SRSF1_center_left_shap	8261.539240143275	0.0	SRSF1	3	0.0
IGF2BP1_center_right_shap	7622.886312940115	0.0	IGF2BP1	4	0.0
ZNF800_center_right_shap	7381.226812957701	0.0	ZNF800	4	0.0
EFTUD2_center_right_shap	7229.370607094497	0.0	EFTUD2	4	0.0
DDX3X_center_right_shap	7103.256571992209	0.0	DDX3X	4	0.0
EFTUD2_center_left_shap	6768.146121915437	0.0	EFTUD2	3	0.0
AQR_5_right_shap	6699.266391553437	0.0	AQR	2	0.0
PRPF8_3_left_shap	6457.482249136068	0.0	PRPF8	5	0.0
SF3B4_5_right_shap	6309.13696584481	0.0	SF3B4	2	0.0
FXR2_center_left_shap	6220.488693089073	0.0	FXR2	3	0.0
AQR_3_left_shap	5955.684696366277	0.0	AQR	5	0.0
LIN28B_center_left_shap	5815.608523579693	0.0	LIN28B	3	0.0
RPS3_center_right_shap	5450.597703040334	0.0	RPS3	4	0.0
YBX3_5_right_shap	5395.500146742401	0.0	YBX3	2	0.0
METAP2_center_right_shap	5239.466627778476	0.0	METAP2	4	0.0
U2AF2_center_right_shap	5192.231698058429	0.0	U2AF2	4	0.0
SND1_center_left_shap	5124.369196264851	0.0	SND1	3	0.0
AQR_5_left_shap	4873.299143738318	0.0	AQR	1	0.0
AQR_3_right_shap	4843.596957792688	0.0	AQR	6	0.0
SF3B4_5_left_shap	4842.185556510298	0.0	SF3B4	1	0.0
IGF2BP2_center_right_shap	4643.992709775002	0.0	IGF2BP2	4	0.0
DDX43_3_right_shap	4597.849070477361	0.0	DDX43	6	0.0
RBM15_center_right_shap	4494.6992696305515	0.0	RBM15	4	0.0
KHSRP_center_left_shap	4356.470674865564	0.0	KHSRP	3	0.0
PRPF8_3_right_shap	4265.537083370729	0.0	PRPF8	6	0.0
SF3B4_3_left_shap	4171.853639259571	0.0	SF3B4	5	0.0
LIN28B_3_right_shap	4031.713644304561	0.0	LIN28B	6	0.0
DROSHA_5_right_shap	3725.3159042985235	0.0	DROSHA	2	0.0
ZNF622_5_right_shap	3466.277662638603	0.0	ZNF622	2	0.0
BUD13_3_right_shap	3429.04467417163	0.0	BUD13	6	0.0
EFTUD2_3_left_shap	3394.544895776516	0.0	EFTUD2	5	0.0
UCHL5_3_right_shap	3344.3262298860373	0.0	UCHL5	6	0.0
ZNF800_center_left_shap	3294.0737974283697	0.0	ZNF800	3	0.0
AATF_center_right_shap	3280.4213362855003	0.0	AATF	4	0.0
PRPF8_5_right_shap	3278.6711546009324	0.0	PRPF8	2	0.0
DDX43_5_left_shap	3201.0558586892234	0.0	DDX43	1	0.0
SRSF7_3_left_shap	3200.349618941192	0.0	SRSF7	5	0.0
