Feature	RBP	Position	Statistic	P-Val	Global SHAP	FDR P-Val
BCLAF1_center_right	BCLAF1	4	48256.599697411744	0.0	0.2604111337956063	0.0
PPIG_center_right	PPIG	4	27608.21870736332	0.0	0.2555730877937579	0.0
GRWD1_center_right	GRWD1	4	25222.91887721721	0.0	0.14544660841934118	0.0
PRPF8_center_right	PRPF8	4	20650.82920328076	0.0	0.15598736246249742	0.0
BCLAF1_center_left	BCLAF1	3	17525.01056893184	0.0	0.029088230645153056	0.0
PRPF8_center_left	PRPF8	3	10421.759437993076	0.0	0.05903662112227817	0.0
G3BP1_center_right	G3BP1	4	9336.419322865593	0.0	0.0503468663287013	0.0
AQR_center_right	AQR	4	9223.822402400108	0.0	0.06942470956766769	0.0
GRWD1_center_left	GRWD1	3	8566.521945399498	0.0	0.01366520672404551	0.0
PPIG_center_left	PPIG	3	7700.744928406264	0.0	0.01237718786774737	0.0
DDX3X_3_right	DDX3X	6	7021.713186380826	0.0	0.0186365004898988	0.0
DDX3X_5_right	DDX3X	2	6427.250452540104	0.0	0.029484439935562302	0.0
QKI_center_right	QKI	4	6426.046583899323	0.0	0.008059493330546938	0.0
SND1_center_right	SND1	4	6108.659959262811	0.0	0.049400848069314905	0.0
BCLAF1_3_right	BCLAF1	6	5419.453376742502	0.0	0.0052245499109220715	0.0
DDX3X_3_left	DDX3X	5	5135.120153889136	0.0	0.007393472777098203	0.0
RPS3_center_right	RPS3	4	4957.016422000593	0.0	0.026720386755098215	0.0
BUD13_center_right	BUD13	4	4930.29402352055	0.0	0.015752269431871864	0.0
G3BP1_center_left	G3BP1	3	4705.318090936531	0.0	0.0036731457272628997	0.0
AQR_center_left	AQR	3	4501.829970268843	0.0	0.021621602307988787	0.0
FXR2_center_right	FXR2	4	4458.682941612314	0.0	0.012434970968139922	0.0
SF3B4_center_right	SF3B4	4	4151.957743853416	0.0	0.04222721379389929	0.0
G3BP1_5_right	G3BP1	2	4089.6145417431903	0.0	0.0026517069826151526	0.0
NCBP2_5_right	NCBP2	2	3978.1132348132664	0.0	0.007563134680022743	0.0
BCLAF1_5_right	BCLAF1	2	3846.6376541163027	0.0	0.029744453460043993	0.0
ZNF800_center_right	ZNF800	4	3779.2191182378456	0.0	0.007261922495114812	0.0
NCBP2_3_right	NCBP2	6	3678.6695764799083	0.0	0.016359627767837854	0.0
BCLAF1_3_left	BCLAF1	5	3417.2372675430947	0.0	0.008215053156213155	0.0
LIN28B_center_right	LIN28B	4	3276.7668723350407	0.0	0.019612989719422397	0.0
PABPN1_center_right	PABPN1	4	3243.396128185852	0.0	0.02230853751690282	0.0
SND1_center_left	SND1	3	3010.722873354812	0.0	0.005995513104071452	0.0
NCBP2_3_left	NCBP2	5	2975.680664466821	0.0	0.0017655498272410718	0.0
UCHL5_center_right	UCHL5	4	2974.0917870861394	0.0	0.0034614094549272638	0.0
QKI_center_left	QKI	3	2932.561545116488	0.0	0.004435638331514636	0.0
G3BP1_3_right	G3BP1	6	2785.9820274296453	0.0	0.002138384477769773	0.0
RBFOX2_center_left	RBFOX2	3	2530.215042886036	0.0	0.005495987251348887	0.0
SF3B4_center_left	SF3B4	3	2288.039085151907	0.0	0.015431460804870404	0.0
EFTUD2_center_right	EFTUD2	4	2232.699153454564	0.0	0.004357360142453559	0.0
RPS3_center_left	RPS3	3	2226.419900315347	0.0	0.0007239702084660283	0.0
PTBP1_center_right	PTBP1	4	2218.4706423198404	0.0	0.00046959666111985745	0.0
SND1_5_right	SND1	2	2202.789394026491	0.0	0.002037373552299782	0.0
PTBP1_center_left	PTBP1	3	2129.570697611856	0.0	0.003607375706320562	0.0
FXR2_5_right	FXR2	2	2104.6399062081964	0.0	0.00016703294888300907	0.0
LIN28B_3_right	LIN28B	6	1957.1662282265684	0.0	0.0042264716730410525	0.0
U2AF2_3_left	U2AF2	5	1954.492704822732	0.0	0.017129286684318505	0.0
EIF3H_center_right	EIF3H	4	1943.8608867829157	0.0	0.004089652198924119	0.0
SND1_3_right	SND1	6	1895.6741161899022	0.0	0.004344885121264242	0.0
G3BP1_5_left	G3BP1	1	1854.4985921580583	0.0	0.0005777399802020879	0.0
G3BP1_3_left	G3BP1	5	1845.1946499833864	0.0	0.0006647115747349831	0.0
FXR2_center_left	FXR2	3	1829.8089877675802	0.0	0.0022861185042929834	0.0
SUGP2_center_right	SUGP2	4	1810.7709525388657	0.0	0.0013380689290287426	0.0
CSTF2T_center_right	CSTF2T	4	1795.9548351281894	0.0	0.004372620726465242	0.0
CSTF2T_center_left	CSTF2T	3	1697.1526391839554	0.0	0.0003296494373644399	0.0
SF3A3_center_right	SF3A3	4	1659.0066171418825	0.0	0.009863663378616765	0.0
U2AF2_center_right	U2AF2	4	1600.4746217083862	0.0	0.004705214307299913	0.0
SND1_3_left	SND1	5	1597.8079684479944	0.0	0.0013658432867497332	0.0
RBFOX2_center_right	RBFOX2	4	1501.1068896123784	0.0	0.0037269568399058415	0.0
PABPN1_center_left	PABPN1	3	1498.0140103073495	0.0	0.0030710869373869265	0.0
ZNF800_center_left	ZNF800	3	1455.193556083421	0.0	7.982866590091039e-06	0.0
CSTF2T_5_right	CSTF2T	2	1439.3714724496585	0.0	0.00021493738490115742	0.0
RPS3_3_right	RPS3	6	1422.4793621091026	1.295779805859657e-309	0.0017395962562797942	1.2957798058596566e-308
U2AF1_center_right	U2AF1	4	1388.701084063125	2.801502982523293e-302	0.0012271633359963261	2.7563174505471108e-301
DDX3X_5_left	DDX3X	1	1377.0132093549335	9.66898384548847e-300	0.0005210698398322565	9.362031977377725e-299
SDAD1_center_right	SDAD1	4	1345.8748670954099	5.584521201883463e-293	0.0002820564831620057	5.322746770545175e-292
PCBP2_center_left	PCBP2	3	1314.4608986137935	3.702052106938431e-286	0.0009522663185109511	3.47423351574222e-285
IGF2BP1_center_right	IGF2BP1	4	1312.6152672012759	9.315717204414917e-286	0.013584622608604293	8.609981052565302e-285
RBM22_3_left	RBM22	5	1308.514624538748	7.238682639192358e-285	0.017756529132545412	6.590442402846775e-284
BUD13_center_left	BUD13	3	1299.6155158538415	6.195501042825124e-283	0.0004480767199701832	5.5577288766519494e-282
NCBP2_5_left	NCBP2	1	1247.0679616460845	1.5945305682550083e-271	0.0009858688532341803	1.4096574588921088e-270
GTF2F1_5_right	GTF2F1	2	1238.0746689328453	1.4305450835867803e-269	5.586868092673452e-05	1.246617858554194e-268
LARP4_center_right	LARP4	4	1227.889735457589	2.328797641314317e-267	0.013197104760381216	2.000797973523568e-266
EFTUD2_center_left	EFTUD2	3	1197.3126732571466	1.0159128316733548e-260	0.004056420391083616	8.6070392683437e-260
FAM120A_center_left	FAM120A	3	1195.9450556700644	2.0129400069760078e-260	0.0004466246935257677	1.6820457592539243e-259
SF3A3_3_left	SF3A3	5	1155.864809016059	1.0165899432785306e-251	0.0006134379824216297	8.37999818107978e-251
NKRF_center_right	NKRF	4	1134.6398867942362	4.131227475632736e-247	0.00023688859443002757	3.3600650135146255e-246
XRN2_5_right	XRN2	2	1114.3480349515623	1.0529281832433456e-242	1.6896396998920258e-05	8.451134102347905e-242
TRA2A_center_right	TRA2A	4	1113.1968584639442	1.8722918573120676e-242	7.295274821677764e-05	1.4832441986498196e-241
RPS3_5_right	RPS3	2	1094.532750975855	2.1146232085794597e-238	0.008663906540138539	1.6537437913249623e-237
RBM22_5_right	RBM22	2	1092.8460151965985	4.9147679225434395e-238	0.013295616818162232	3.7949473832297443e-237
HNRNPM_center_right	HNRNPM	4	1092.0406114763555	7.351808919237329e-238	0.0025446103696849173	5.605754300918464e-237
KHSRP_center_right	KHSRP	4	1061.8443879204635	2.651067850789897e-231	0.00319893537579222	1.9964831962738732e-230
U2AF2_5_right	U2AF2	2	1052.068530847444	3.5173957495563415e-229	0.007465482867943311	2.6165992771089858e-228
BCLAF1_5_left	BCLAF1	1	1037.796982762815	4.4182320847349104e-226	0.0051120514904320295	3.247134423720838e-225
YBX3_center_right	YBX3	4	1030.112822529314	2.0598837846863407e-224	0.004832017060445651	1.495867986498414e-223
SF3A3_center_left	SF3A3	3	1024.9818469209677	2.6792911872945502e-223	0.0015014241867826203	1.922785440293736e-222
QKI_3_left	QKI	5	1023.1129656634756	6.82091008113555e-223	0.0027680898464366296	4.838087383131029e-222
FAM120A_5_right	FAM120A	2	1018.7573469974383	6.020781968344909e-222	0.0031015824310863713	4.221467816885511e-221
SUGP2_center_left	SUGP2	3	1002.3879020085053	2.1589009406955576e-218	0.0025147932679147915	1.496510879345784e-217
PABPN1_5_right	PABPN1	2	1001.7440854793911	2.978761270347246e-218	0.0011308493718994942	2.0416228931593488e-217
LIN28B_center_left	LIN28B	3	997.5716307102833	2.3992347313431525e-217	0.0047337611942660915	1.6261479845770256e-216
