Feature	RBP	Position	Statistic	P-Val	Global SHAP	FDR P-Val
UCHL5_center_right	UCHL5	4	23461.374139296193	0.0	0.14219802790979055	0.0
DDX24_center_right	DDX24	4	20035.0736579475	0.0	0.09771445518061353	0.0
ZNF622_center_right	ZNF622	4	19011.708293736654	0.0	0.09677439252625011	0.0
YBX3_center_right	YBX3	4	16578.381781676166	0.0	0.1166970753546212	0.0
AQR_center_right	AQR	4	16180.858104388979	0.0	0.14058837378441127	0.0
DDX3X_5_right	DDX3X	2	16092.354737814452	0.0	0.0622933353734858	0.0
DDX3X_3_right	DDX3X	6	13783.076177484845	0.0	0.025882884851413015	0.0
DDX3X_3_left	DDX3X	5	12177.361158387494	0.0	0.01702298900617852	0.0
DDX43_center_right	DDX43	4	11889.464259538256	0.0	0.05687100916978386	0.0
BUD13_center_right	BUD13	4	11187.814311775659	0.0	0.06775358868163937	0.0
SF3B4_center_right	SF3B4	4	9859.31347860741	0.0	0.07570553377132412	0.0
AQR_center_left	AQR	3	9070.30025008982	0.0	0.07317291045932475	0.0
UCHL5_center_left	UCHL5	3	7775.490557242	0.0	0.009035227755623496	0.0
DDX24_center_left	DDX24	3	7501.428793995993	0.0	0.008095817335580555	0.0
GRWD1_center_right	GRWD1	4	7012.148216958886	0.0	0.027116794554125693	0.0
LIN28B_center_right	LIN28B	4	6710.7419615123445	0.0	0.0423000260269475	0.0
FMR1_center_right	FMR1	4	6512.715573018927	0.0	0.01731263977468405	0.0
ZNF622_center_left	ZNF622	3	6218.052517309961	0.0	0.008335000386789517	0.0
FXR2_center_right	FXR2	4	6197.047075582381	0.0	0.02182397532271709	0.0
SND1_center_right	SND1	4	6152.8453282048995	0.0	0.047247881303273356	0.0
FXR1_center_right	FXR1	4	6019.9484513455245	0.0	0.017371976150424975	0.0
DDX24_5_right	DDX24	2	6014.888509843978	0.0	0.0029475688112560764	0.0
DDX24_3_right	DDX24	6	5564.594090312378	0.0	0.002623405676188778	0.0
SF3B4_center_left	SF3B4	3	5103.724988798188	0.0	0.025026052162808662	0.0
YBX3_center_left	YBX3	3	4926.4345500658665	0.0	0.013463916593698598	0.0
DDX43_center_left	DDX43	3	4452.756860798882	0.0	0.009039753037320497	0.0
QKI_center_right	QKI	4	4202.271548510196	0.0	0.003075108293109728	0.0
PRPF8_center_left	PRPF8	3	4122.960355257246	0.0	0.042067764446398745	0.0
PRPF8_center_right	PRPF8	4	4090.9664494863887	0.0	0.03889282644814136	0.0
FXR1_3_right	FXR1	6	4086.22851575018	0.0	0.0007420184704015032	0.0
DDX3X_5_left	DDX3X	1	4060.576759368978	0.0	0.0014190827885245158	0.0
IGF2BP1_center_right	IGF2BP1	4	4052.1307144471507	0.0	0.021463681431186266	0.0
SRSF1_center_right	SRSF1	4	3934.588477985232	0.0	0.019911760682340126	0.0
ZNF800_center_right	ZNF800	4	3705.5154334619283	0.0	0.008388944325291164	0.0
FXR1_center_left	FXR1	3	3664.245892490097	0.0	8.721241021092455e-05	0.0
EFTUD2_center_right	EFTUD2	4	3656.7757340922044	0.0	0.022485873085183333	0.0
FXR2_center_left	FXR2	3	3582.95459000021	0.0	0.0036860334385449634	0.0
FXR1_5_right	FXR1	2	3379.9183441815617	0.0	0.0007119876998719678	0.0
FMR1_3_right	FMR1	6	3315.9724322038596	0.0	0.00036719138400827294	0.0
BUD13_center_left	BUD13	3	3132.8798228812116	0.0	0.001201189402114713	0.0
FMR1_center_left	FMR1	3	3118.283571850374	0.0	0.0004126737688431911	0.0
DDX24_3_left	DDX24	5	3038.2723408549905	0.0	0.002352522234713069	0.0
SND1_center_left	SND1	3	2916.8427917245062	0.0	0.003799534229133248	0.0
LIN28B_3_right	LIN28B	6	2849.2015459524555	0.0	0.009232112169806064	0.0
EFTUD2_center_left	EFTUD2	3	2838.153155044706	0.0	0.014826962506578441	0.0
METAP2_center_right	METAP2	4	2835.747719044575	0.0	0.01176812990765366	0.0
UCHL5_5_right	UCHL5	2	2758.9690212324913	0.0	0.00967197755953995	0.0
RPS3_center_right	RPS3	4	2726.8628414772493	0.0	0.01657623853206338	0.0
DDX24_5_left	DDX24	1	2634.755737880574	0.0	0.00193313120091571	0.0
SND1_3_right	SND1	6	2623.8898152470965	0.0	0.000833142104859366	0.0
FXR1_3_left	FXR1	5	2575.400712726189	0.0	0.00210701989121475	0.0
FXR2_3_right	FXR2	6	2560.226474309717	0.0	0.0006205527193832364	0.0
NONO_center_right	NONO	4	2523.593346368722	0.0	0.004777864538724774	0.0
IGF2BP2_center_right	IGF2BP2	4	2512.470712563581	0.0	0.01697230678239699	0.0
GRWD1_center_left	GRWD1	3	2510.4740390654183	0.0	0.00018255158934223857	0.0
PTBP1_center_left	PTBP1	3	2437.738691586831	0.0	0.0035601244767339605	0.0
MATR3_center_left	MATR3	3	2348.023338237729	0.0	0.0002781397523780807	0.0
GEMIN5_5_right	GEMIN5	2	2252.693297488334	0.0	0.0011700449176163582	0.0
LIN28B_center_left	LIN28B	3	2244.8437326979297	0.0	0.004402870677754445	0.0
EWSR1_center_left	EWSR1	3	2192.281207454081	0.0	0.003700671183374279	0.0
FMR1_5_right	FMR1	2	2030.9435119764887	0.0	0.0008312020887509972	0.0
EIF4E_3_right	EIF4E	6	2027.3392068038459	0.0	0.000617834994525145	0.0
CSTF2T_center_right	CSTF2T	4	1920.5184256322686	0.0	0.005427176926471996	0.0
DROSHA_5_right	DROSHA	2	1918.962177112645	0.0	0.00177768272881246	0.0
FXR2_5_right	FXR2	2	1916.7972814999328	0.0	0.0006234586143452397	0.0
NONO_5_right	NONO	2	1893.9976566983933	0.0	0.0019405856617027784	0.0
GEMIN5_3_right	GEMIN5	6	1891.5888161165522	0.0	0.000331326202445839	0.0
LIN28B_5_right	LIN28B	2	1833.6164346911717	0.0	0.00200370612356227	0.0
SND1_5_right	SND1	2	1814.119549993321	0.0	0.0006678222907740257	0.0
TRA2A_center_right	TRA2A	4	1804.702827151473	0.0	0.00017476034586005412	0.0
PUM1_center_right	PUM1	4	1795.4713497159353	0.0	0.0011737855659293762	0.0
FXR1_5_left	FXR1	1	1790.1083236744248	0.0	0.0009160139747905442	0.0
YBX3_3_right	YBX3	6	1764.7694620244174	0.0	0.002739616728404715	0.0
FTO_5_right	FTO	2	1743.0081006926123	0.0	0.0004380115587845325	0.0
