Feature	RBP	Position	Global SHAP	Chi-Square Statistic	Chi-Square P-Val	Chi-Square FDR P-Val	Kruskal-Wallis Statistic	Kruskal-Wallis P-Val	Kruskal-Wallis FDR P-Val	ANOVA Statistic	ANOVA P-Val	ANOVA FDR P-Val	Linear Regression beta	Linear Regression pvalue	Linear Regression adj_pvalue	Chi-Square Rank	ANOVA Rank	Kruskal-Wallis Rank	Global SHAP Rank	Beta Coefficient Rank
AGGF1_5_left	AGGF1	1	0.0006338617588290931	10.385149241333316	0.0055576794626824	0.0062319567504343	287.0196429675794	4.725811890372788e-63	4.876178632339195e-63	139.66959587902605	2.2198932617020727e-61	2.8073301972499748e-61	-0.2082069770240873	9.622762932587733e-111	1.0095460059100813e-109	544.0	359.0	440.0	228.0	573.0
AGGF1_5_right	AGGF1	2	0.0	81.25766699315155	2.2652795598864097e-18	3.765178560029183e-18							0.0216452250167388	0.0041108621189205	0.0051753590465567	367.0			542.5	233.0
AGGF1_center_left	AGGF1	3	0.00022760032111035145	9.276843675171966	0.0096729510759831	0.010728182102454	31782.62309426525	0.0	0.0	1344.8921712146966	0.0	0.0	0.0356549627581364	0.0002288971211519	0.0003146677665491	550.0	130.0	143.0	321.0	188.0
AGGF1_center_right	AGGF1	4	0.00016107112228584388	128.45421953425088	1.2779699427551524e-28	2.589905864055292e-28	15433.15795722889	0.0	0.0	716.3806273619851	9.70057425429e-312	2.281896741683e-311	0.013339153632999	0.1330269214746191	0.1509489545385621	301.0	193.0	207.0	336.0	268.0
AGGF1_3_left	AGGF1	5	0.0003811585237391408	112.10341876639446	4.539958820573751e-25	8.573916038854452e-25	780.0671677398595	4.079122692954494e-170	4.494955588838205e-170	614.5890088036158	1.4659073859061173e-267	3.08112015371008e-267	-0.0869667059860211	1.049056078995684e-16	2.440994300542487e-16	323.0	216.0	412.0	279.0	505.0
AGGF1_3_right	AGGF1	6	0.00039637458270032214	18.395160709129456	0.0001012841773801	0.0001206706019567	293.8452631234702	1.557083297106809e-64	1.6102865988302765e-64	566.3937157773764	1.2167349889631106e-246	2.433469977926221e-246	-0.0282179585235357	0.0008031477930893	0.0010625716377598	512.0	227.0	439.0	278.0	392.0
AKAP1_5_left	AKAP1	1	0.00020966340772602253	30.062274634822938	2.965241067552481e-07	3.760492829952211e-07	1616.62116867673	0.0	0.0	289.65607638082537	1.665152450244879e-126	2.5801338307548637e-126	0.0948451779676073	4.501146829055312e-24	1.2817551446547985e-23	481.0	293.0	374.0	326.0	94.0
AKAP1_5_right	AKAP1	2	0.0	22.852792879091236	1.090383016088506e-05	1.3302672796279772e-05							-0.0370233746746189	6.203884887500455e-06	9.228664583893712e-06	500.0			542.5	417.0
AKAP1_center_left	AKAP1	3	1.1221299082335044e-05	12.921423292737904	0.0015636825253527	0.0017963207918364	856.4554237634044	1.0545513493406085e-186	1.1763300063897697e-186	45.50198875181259	1.734478941485027e-20	1.897478167311331e-20	0.0426494091558655	0.0171534120984326	0.0205154808697254	531.0	415.0	407.0	434.0	172.0
AKAP1_center_right	AKAP1	4	1.517004418121612e-06	1.932835791739173	0.3804433880228844	0.3893799776744286	2170.2466497702003	0.0	0.0	7.781611137144081	0.0004173513742551	0.00042483749756012424	-0.0400442238002874	0.011366281777477	0.0137591832043142	596.0	446.0	357.0	452.0	423.0
AKAP1_3_left	AKAP1	5	0.00010247604137884782	6.493638081254519	0.0388977433881717	0.0421449795147153	1169.2643053383276	1.2516478352026972e-254	1.449612543831695e-254	27.850313328123804	8.03386105749626e-13	8.502034778795575e-13	0.1996205151914994	5.843404252434543e-28	1.810547017075573e-27	563.0	429.0	392.0	364.0	34.0
AKAP1_3_right	AKAP1	6	0.0005662551723465889	106.6414736283844	6.967840978917787e-24	1.2763912904323877e-23	10079.778003407668	0.0	0.0	205.5906087914362	5.271624573259528e-90	7.187139808588065e-90	-0.1093904329002287	1.3188462430229954e-56	7.302500493775474e-56	333.0	333.0	251.0	248.0	533.0
AQR_5_left	AQR	1	0.0026464543750427203	458.3610431412242	2.938760015042921e-100	1.1065701291211e-99	1699.179154609744	0.0	0.0	388.40135200134097	2.243266581889885e-169	3.690010971659449e-169	0.0064173653167666	0.0004321181717243	0.0005819969970521	162.0	276.0	370.0	112.0	292.0
AQR_5_right	AQR	2	0.008688510426367917	175.7713918167572	6.78777173030307e-39	1.5392344815928895e-38	16717.23117475808	0.0	0.0	2760.4806316065888	0.0	0.0	-0.0067074748225445	4.262722191993594e-07	6.926923561989589e-07	269.0	64.0	200.0	45.0	322.0
AQR_center_left	AQR	3	0.021621602304339873	4501.829970268843	0.0	0.0	188312.73554142663	0.0	0.0	11279.027066171564	0.0	0.0	0.0475976381527397	8.916327231089667e-156	1.615746570967158e-154	20.0	14.0	27.0	21.0	157.0
AQR_center_right	AQR	4	0.06942470955979621	9223.822402400108	0.0	0.0	353232.8365972318	0.0	0.0	21732.68806125521	0.0	0.0	0.0924814849684201	0.0	0.0	8.0	7.0	12.0	5.0	99.0
AQR_3_left	AQR	5	0.010890743478058837	418.8429670645128	1.1204830984415108e-91	4.0684207741031037e-91	3234.061294471212	0.0	0.0	923.5318404701588	0.0	0.0	-0.0101498598966997	2.4558170773051073e-10	4.677001949772147e-10	168.0	173.0	336.0	42.0	333.0
AQR_3_right	AQR	6	0.006597938037974063	468.9587135274514	1.4686193204876685e-102	5.706100544569922e-102	1421.8647662126634	1.76193146184898e-309	2.094023255705333e-309	1712.966827179602	0.0	0.0	-0.0209088223867109	5.017428615360244e-48	2.47968786114498e-47	157.0	109.0	382.0	57.0	371.0
BCCIP_5_left	BCCIP	1	0.0	11.064812224423896	0.0039564579454102	0.0044528401230631							0.2382265643868574	1.5787818882876674e-06	2.4631573236886825e-06	542.0			542.5	18.0
BCCIP_5_right	BCCIP	2	0.0	2.384461994319404	0.303543303835529	0.3127726610467444										592.0			542.5	
BCCIP_center_left	BCCIP	3	0.0	1.7331156922152078	0.4203961297614933	0.4281162590225558							0.1565489774691454	1.7898660337181644e-07	2.973166356009617e-07	599.0			542.5	55.0
BCCIP_center_right	BCCIP	4	0.0	0.7426351888631121	0.6898248222428001	0.6943781213995183										606.0			542.5	
BCCIP_3_left	BCCIP	5	0.0	13.982605132178932	0.0009198475887111	0.0010586925077618							0.0330303986671118	0.2853181041149433	0.3107836543911405	530.0			542.5	194.0
BCCIP_3_right	BCCIP	6	0.0	1.4852736225450234	0.475857513345982	0.4821812012309784										601.5			542.5	
BCLAF1_5_left	BCLAF1	1	0.005112051496864633	1037.796982762815	4.4182320847349104e-226	3.247134423720838e-225	614.0625946386982	4.549899486560422e-134	4.906542439188674e-134	1909.146714787612	0.0	0.0	-0.0050303037012327	0.0001339050437694	0.0001879699910191	83.0	98.0	421.0	67.0	319.0
BCLAF1_5_right	BCLAF1	2	0.02974445350570489	3846.637654116303	0.0	0.0	1676.66929005874	0.0	0.0	1927.80924798975	0.0	0.0	-0.0252412335762547	7.211825911117051e-132	9.801527033745449e-131	25.0	97.0	372.0	12.0	384.0
BCLAF1_center_left	BCLAF1	3	0.029088230641351694	17525.01056893184	0.0	0.0	334492.16362047853	0.0	0.0	26545.709242329205	0.0	0.0	0.0320779644722496	6.760032817270787e-86	5.389999499637241e-85	5.0	5.0	16.0	14.0	196.0
BCLAF1_center_right	BCLAF1	4	0.26041113378915326	48256.599697411744	0.0	0.0	414330.9232011699	0.0	0.0	75375.42409676555	0.0	0.0	0.2043593556317126	0.0	0.0	1.0	1.0	4.0	1.0	33.0
BCLAF1_3_left	BCLAF1	5	0.008215053072114212	3417.2372675430947	0.0	0.0	32852.5412122556	0.0	0.0	562.7397055915621	4.69086248228481e-245	9.259354638944798e-245	-0.0113677339303556	1.3937997993657927e-16	3.2181169112770037e-16	28.0	230.0	137.0	47.0	339.0
BCLAF1_3_right	BCLAF1	6	0.005224549891633229	5419.453376742502	0.0	0.0	2554.852629530562	0.0	0.0	1014.4018050043478	0.0	0.0	-0.0049049328011755	2.0730407546107397e-06	3.1868338592730646e-06	15.0	158.0	348.0	66.0	318.0
BUD13_5_left	BUD13	1	0.0013015484946235646	176.3130593566842	5.177327251131926e-39	1.187281813229502e-38	12770.266960704595	0.0	0.0	786.7140869685545	0.0	0.0	0.031485988261676	9.735012718765496e-35	3.365050639203333e-34	266.0	186.0	233.0	165.0	198.0
BUD13_5_right	BUD13	2	0.009732708883325628	7.707651333616125	0.0211984827808114	0.0232155736019658	14328.45075935111	0.0	0.0	2061.3410703188874	0.0	0.0	-0.0517665099346659	1.832143649220576e-170	3.912935365121088e-169	557.0	93.0	217.0	44.0	455.0
BUD13_center_left	BUD13	3	0.00044807671997018313	1299.6155158538415	6.195501042825124e-283	5.557728876651949e-282	16548.991213845457	0.0	0.0	1337.408746769427	0.0	0.0	-0.0184428812142607	1.4209580729792411e-11	2.8230329821979606e-11	68.0	132.0	201.0	267.0	360.0
BUD13_center_right	BUD13	4	0.015752269428451423	4930.29402352055	0.0	0.0	148445.9894161869	0.0	0.0	11776.021889653985	0.0	0.0	0.0473298410674098	9.14955947029462e-99	8.290055398842701e-98	18.0	13.0	34.0	32.0	161.0
BUD13_3_left	BUD13	5	0.003397813303211617	51.42202242957635	6.821026004892376e-12	9.859776926503196e-12	71905.20560746243	0.0	0.0	1651.1361428838904	0.0	0.0	-0.0340042747118163	1.1879699638740763e-46	5.6832483071735824e-46	422.0	112.0	85.0	94.0	406.0
BUD13_3_right	BUD13	6	0.0010218077719736332	464.4397498580523	1.4066619177576607e-101	5.3628985614510814e-101	1405.2516581121606	7.13640679798994e-306	8.459343828426718e-306	503.0301681898537	3.886101906022315e-219	7.171911647699719e-219	0.0269924534686104	9.952612218258872e-41	4.048749732325719e-40	160.0	246.0	383.0	183.0	218.0
