Feature	RBP	Position	Global SHAP	Chi-Square Statistic	Chi-Square P-Val	Chi-Square FDR P-Val	Kruskal-Wallis Statistic	Kruskal-Wallis P-Val	Kruskal-Wallis FDR P-Val	ANOVA Statistic	ANOVA P-Val	ANOVA FDR P-Val	Linear Regression beta	Linear Regression pvalue	Linear Regression adj_pvalue	Chi-Square Rank	ANOVA Rank	Kruskal-Wallis Rank	Global SHAP Rank	Beta Coefficient Rank
AARS_5_left	AARS	1	0.0										-6.773359631101335e-15	5.818463438760407e-07	8.083888471489086e-07				691.0	454.0
AARS_5_right	AARS	2	0.0										3.4442763051261904e-15	0.0192197047434042	0.0223827802799757				691.0	410.0
AARS_center_left	AARS	3	0.0	144.60968189819616	3.966491801060444e-32	8.064525422054015e-32							2.2503648616453347e-15	0.0110795304514083	0.0132731821046284	392.0			691.0	413.0
AARS_center_right	AARS	4	0.0										-6.252116088509855e-15	1.8214012998806062e-10	2.755199430073018e-10				691.0	453.0
AARS_3_left	AARS	5	0.0										7.514419404693181e-16	0.0465613882172261	0.1759219871555828				691.0	421.0
AARS_3_right	AARS	6	0.0										2.462322400636198e-16	0.0367753514301707	0.0422385398131947				691.0	423.0
AATF_5_left	AATF	1	8.089401083129006e-05	114.5595184439141	1.3295866479247408e-25	2.4138509302870577e-25	37610.93773383821	0.0	0.0	65.32112921749011	4.2876254263212217e-29	4.7766417682234386e-29	0.0496936229164236	8.481829837462121e-07	1.1725708467352436e-06	439.0	491.0	112.0	451.0	239.0
AATF_5_right	AATF	2	0.00015324957663128227	44.883858053378695	1.7930568544715888e-10	2.5795420812524484e-10	21586.401219745112	0.0	0.0	51.69961704135277	3.52904366785727e-23	3.8453922038205706e-23	0.0021746752535384	0.789177112373955	0.8095367184671406	554.0	502.0	190.0	399.0	382.0
AATF_center_left	AATF	3	8.776808114904e-05	95.72310141313552	1.6367887553731621e-21	2.8482983363153064e-21	296.8797299374822	3.414961010652332e-65	3.5378478652023215e-65	510.2494834783444	2.8291620209048886e-222	4.897315270363842e-222	-0.0350310200655453	1.3721428031639503e-05	1.8273353120285463e-05	458.0	316.0	528.0	444.0	595.0
AATF_center_right	AATF	4	0.001475028316028273	997.5068378951834	2.4782340554501045e-217	1.7325899492927482e-216	41382.426863089306	0.0	0.0	3280.4213399482483	0.0	0.0	0.1098841507188832	5.784768471092841e-17	9.817645677566101e-17	114.0	61.0	102.0	174.0	130.0
AATF_3_left	AATF	5	0.00015092849483101654	161.4394489210691	8.787575837456803e-36	1.8776670087005557e-35	2430.171462992238	0.0	0.0	1992.738398766328	0.0	0.0	-0.0422531343113059	1.0947787471223022e-07	5.473893735611511e-07	373.0	108.0	428.0	402.0	611.0
AATF_3_right	AATF	6	0.00011594351864401754	0.8720625062760784	0.6465975174181838	0.6556465920894307	3628.213573136778	0.0	0.0	1206.353899737631	0.0	0.0	-0.0719256181780021	1.0480001055285196e-11	1.6150184787608127e-11	786.0	188.0	391.0	424.0	670.0
ABCF1_5_left	ABCF1	1	0.0	267.6987011705265	7.412515840986097e-59	2.016305503503727e-58							-0.3921260156004795	2.6161527426241467e-06	3.5636012073265294e-06	293.0			691.0	820.0
ABCF1_5_right	ABCF1	2	0.0										2.000266091274445e-15	0.2301961663297598	0.2493045381132936				691.0	415.0
ABCF1_center_left	ABCF1	3	0.0	9.97935521687776	0.0068078589347465	0.0077528275719924							0.0816593406901279	0.0844371485219471	0.0947648105051422	699.0			691.0	183.0
ABCF1_center_right	ABCF1	4	0.0	13.40820208227084	0.0012258742192605	0.0014325832151768							0.0054635229728015	0.917318237041998	0.9250733429107104	682.0			691.0	368.0
ABCF1_3_left	ABCF1	5	0.0	16.66319221307429	0.0002407874156374	0.0002903291531967							0.11760506240732	0.1755831932470921	0.631948130867767	661.0			691.0	119.0
ABCF1_3_right	ABCF1	6	0.0	7.7625306213039	0.020624711996768	0.0227987454388684							-0.0100316206797442	0.9629645253440476	0.965276565020744	721.0			691.0	504.0
ADAT1_5_left	ADAT1	1	0.0	26.33933381311896	1.9075956963884114e-06	2.480185595467478e-06							0.0976723620864098	0.0001036933452716	0.0001352874114091	613.0			691.0	150.0
ADAT1_5_right	ADAT1	2	0.0	138.66011137771747	7.768539607073909e-31	1.5556598157884184e-30							-0.3255249449557081	2.515283704762132e-06	3.431800479536569e-06	398.0			691.0	810.0
ADAT1_center_left	ADAT1	3	0.0	33.20641902843152	6.156270954669217e-08	8.445005078952437e-08							0.3156559041178661	1.6637953753680792e-08	2.3994285637864356e-08	581.0			691.0	30.0
ADAT1_center_right	ADAT1	4	0.0006152634920497761	177.89927005869623	2.3424176913585997e-39	5.2148237430525235e-39	91243.78237730646	0.0	0.0	1232.1600526393056	0.0	0.0	-0.2427012374175784	8.65483608430786e-07	1.19253929544506e-06	358.0	186.0	47.0	266.0	798.0
ADAT1_3_left	ADAT1	5	0.00026062208654050833	10.62052472200447	0.0049406303189028	0.0056575896036861	31559.6140947116	0.0	0.0	35.259099360510106	4.868637629343315e-16	5.111602271114767e-16	0.3116924152829332	3.55613969352905e-44	3.9591688587956764e-43	696.0	521.0	135.0	355.0	31.0
ADAT1_3_right	ADAT1	6	0.0	27.444138820014068	1.097945985075798e-06	1.4439982675006782e-06							0.2477280880498967	1.428406803920946e-20	2.5872444279262252e-20	606.0			691.0	45.0
AGGF1_5_left	AGGF1	1	4.231099057343133e-05	24.55272661430888	4.660614240931232e-06	5.924257655537787e-06	1598.3873740154588	0.0	0.0	118.1174455491624	5.0691543335551934e-52	6.094126198801518e-52	-0.0062318412746257	0.5087630662344258	0.5350342069341883	627.0	455.0	457.0	488.0	489.0
AGGF1_5_right	AGGF1	2	0.0003760650460832706	105.6655839663872	1.1350368934750614e-23	2.0237682418336106e-23	6056.70258698198	0.0	0.0	924.3698865556538	0.0	0.0	0.0687971442001301	4.311716270505709e-25	8.257530013468502e-25	447.0	225.0	343.0	312.0	201.0
AGGF1_center_left	AGGF1	3	0.00045984762838063327	363.0485736200288	1.4621903285120966e-79	4.8760070787620957e-79	52176.85105600792	0.0	0.0	515.2944953525019	1.826561518960493e-224	3.1921059133271233e-224	-0.0665524569880123	3.1131093354911398e-21	5.7130687805167056e-21	239.0	313.0	78.0	294.0	664.0
AGGF1_center_right	AGGF1	4	0.00010442209998312287	4.641652542011101	0.0981924185275841	0.1057558886033574	132957.81998775603	0.0	0.0	39.070032440545546	1.0774443992330824e-17	1.1377646455221931e-17	0.013530983446628	0.0404216954209709	0.0462991984588624	740.0	518.0	35.0	432.0	344.0
AGGF1_3_left	AGGF1	5	0.0001312443588057991	35.98050640325508	1.537914906723308e-08	2.135397527279576e-08	574.7063924646787	1.599898823472109e-125	1.7227257016520545e-125	599.723388059638	4.099939564225719e-261	7.706759249592676e-261	0.0187411539985135	0.0088801110632116	0.035477955683166	574.0	291.0	508.0	413.0	328.0
AGGF1_3_right	AGGF1	6	3.454818564078168e-05	12.290699521210756	0.002143426074791	0.0024902486612368	697.0915327152298	4.251057508356484e-152	4.61374693863293e-152	212.60884323261865	4.719201918675352e-93	6.311499876565813e-93	-0.0122973082812459	0.1313648012009268	0.1449004081938889	686.0	409.0	504.0	497.0	512.0
AKAP1_5_left	AKAP1	1	0.0	40.41665050666672	1.6735390631988635e-09	2.3649124705132874e-09							0.2790209406444485	3.113641050549057e-26	6.032228021365342e-26	564.0			691.0	36.0
AKAP1_5_right	AKAP1	2	0.0	43.207998201392925	4.144788778904069e-10	5.920065693165849e-10							-0.1097570470375006	2.2958349396581056e-19	4.0529010034133576e-19	558.0			691.0	723.0
AKAP1_center_left	AKAP1	3	0.0	130.9488953243444	3.671205325287405e-29	7.016668211640435e-29							0.2172937807732286	2.692554997333196e-16	4.532829481397619e-16	417.0			691.0	60.0
AKAP1_center_right	AKAP1	4	0.0	3.147541159037165	0.2072622085136995	0.2179260952314229							0.1815361243086398	1.2392209202373169e-15	2.0449594237117776e-15	758.0			691.0	77.0
AKAP1_3_left	AKAP1	5	0.0	6.621810625421556	0.036483130157143	0.0398862204873017							0.3211358859687857	9.472630882647381e-51	1.163183351030965e-49	729.0			691.0	29.0
AKAP1_3_right	AKAP1	6	7.834518854106229e-05	129.37172261999484	8.077693604756039e-29	1.5328385245215623e-28	2912.217384662596	0.0	0.0	400.8665527387362	8.646688905129493e-175	1.3669765407820325e-174	-0.1058487561706363	1.7672505763039982e-19	3.1330238454646255e-19	420.0	346.0	411.0	453.0	713.0
AKAP8L_5_left	AKAP8L	1	0.0001265985706203585	14.19292305753393	0.0008280297048772	0.000977688407092	1564.8965058794415	0.0	0.0	664.8344091821936	2.245378482430735e-289	4.450079818440624e-289	0.0245144091148883	0.0069636454776773	0.008451517403867	675.0	276.0	458.0	414.0	308.0
AKAP8L_5_right	AKAP8L	2	0.000613735876496018	480.76266260679085	4.015265454801266e-105	1.632738044630923e-104	1331.007439304361	9.449457345428932e-290	1.1115813264407798e-289	1113.342341810094	0.0	0.0	-0.0686662480049534	2.007283255190669e-19	3.5510201654326457e-19	196.0	200.0	465.0	267.0	666.0
AKAP8L_center_left	AKAP8L	3	5.979369756268575e-05	872.5146995568217	3.434316382065577e-190	2.1218218267490425e-189	18257.199307600797	0.0	0.0	163.985114042407	6.128513812013678e-72	7.777951404110167e-72	0.0389468162777531	1.2066771437227558e-11	1.8555716666823224e-11	129.0	431.0	210.0	471.0	271.0
AKAP8L_center_right	AKAP8L	4	5.7604855141218924e-05	14.999538994081613	0.000553211872426	0.0006570936845359	15059.672078492336	0.0	0.0	82.11584552929246	2.181934464468812e-36	2.5073910757656303e-36	0.1069261745636246	7.807701025881311e-52	9.877924782743778e-51	671.0	476.0	238.0	474.0	140.0
AKAP8L_3_left	AKAP8L	5	0.000603730392667529	636.227910892812	6.996237326604893e-139	3.463354751120559e-138	3020.09230396061	0.0	0.0	84.09590202441194	3.012850310392114e-37	3.484205327239929e-37	0.0176594332748666	0.0022344933402005	0.0094232421165024	161.0	473.0	408.0	270.0	331.0
AKAP8L_3_right	AKAP8L	6	3.791056561140094e-05	3.0168026377869848	0.2212634250166694	0.2320354601819546	3769.766295003226	0.0	0.0	94.84270409406024	6.487412788235966e-42	7.582510246079218e-42	0.1212406560257361	1.1749494753604903e-42	2.6162208318026918e-42	760.0	468.0	386.0	494.0	115.0
APEX1_5_left	APEX1	1	0.0	5.033404070217702	0.0807253977515366	0.0872973432944025							0.4199234219978504	8.126309464542548e-23	1.5146134827886225e-22	737.0			691.0	15.0
APEX1_5_right	APEX1	2	0.0	9.978943995811026	0.0068092588461665	0.0077528275719924							0.7452492524297628	2.2952699794091795e-72	5.897078254789738e-72	700.0			691.0	1.0
APEX1_center_left	APEX1	3	0.0	15.52537114037718	0.0004253128380937	0.0005082073942439							0.0248871753402799	0.5968664967574513	0.6237591048716793	667.0			691.0	305.0
APEX1_center_right	APEX1	4	0.0	9.04642140863352	0.0108541182986529	0.0121841299775019							0.2431960090368395	0.0227412755908783	0.0879118755480715	710.0			691.0	48.0
APEX1_3_left	APEX1	5	0.0002212909714488116	224.1101608422518	2.1632011437184004e-49	5.337682079082245e-49	26151.854411983622	0.0	0.0	259.15706645331124	2.9004543277212027e-113	3.996343872200246e-113	-0.2435043085863706	4.167772149114293e-61	5.61304797501683e-60	323.0	397.0	161.0	372.0	799.0
APEX1_3_right	APEX1	6	0.0	8.46823058979331	0.0144926262281049	0.0161321551729045							0.0433851464178523	0.8119649530680954	0.8308709997694358	715.0			691.0	255.0
APOBEC3C_5_left	APOBEC3C	1	9.006436784791033e-05	89.95497208780816	2.927696147569294e-20	5.039684297219714e-20	15734.922659198552	0.0	0.0	112.0629434605221	2.158259370181256e-49	2.5720433017192746e-49	-0.114525994040918	2.376927929873301e-35	5.063099034296446e-35	463.0	459.0	229.0	443.0	731.0
