Feature	Statistic	P-Val	RBP	Position	FDR P-Val
YBX3_center_right_shap	422543.8805306058	0.0	YBX3	4	0.0
SND1_center_right_shap	422150.4543658162	0.0	SND1	4	0.0
PPIG_center_right_shap	421773.32667926396	0.0	PPIG	4	0.0
BCLAF1_center_right_shap	414330.9232011699	0.0	BCLAF1	4	0.0
GRWD1_center_right_shap	404075.6637054996	0.0	GRWD1	4	0.0
G3BP1_center_right_shap	400141.03628916724	0.0	G3BP1	4	0.0
DDX3X_center_right_shap	388210.39580430056	0.0	DDX3X	4	0.0
RPS3_center_right_shap	384045.2336651787	0.0	RPS3	4	0.0
PABPN1_center_right_shap	380807.1347983847	0.0	PABPN1	4	0.0
PRPF8_center_right_shap	362025.11717747524	0.0	PRPF8	4	0.0
IGF2BP1_center_right_shap	359101.75188492244	0.0	IGF2BP1	4	0.0
AQR_center_right_shap	353232.8365972318	0.0	AQR	4	0.0
EIF3H_center_right_shap	349015.9672537899	0.0	EIF3H	4	0.0
LIN28B_center_right_shap	347828.91815755866	0.0	LIN28B	4	0.0
LARP4_center_right_shap	345263.3896006862	0.0	LARP4	4	0.0
BCLAF1_center_left_shap	334492.16362047853	0.0	BCLAF1	3	0.0
FXR2_center_right_shap	313026.0608698476	0.0	FXR2	4	0.0
SF3B4_center_right_shap	271169.2167753819	0.0	SF3B4	4	0.0
RBM22_center_left_shap	268003.9068651201	0.0	RBM22	3	0.0
EIF3D_5_left_shap	244786.67722393613	0.0	EIF3D	1	0.0
ZNF800_center_right_shap	214792.08221937492	0.0	ZNF800	4	0.0
SMNDC1_center_right_shap	207648.17318817353	0.0	SMNDC1	4	0.0
RBM15_center_right_shap	201674.84607470254	0.0	RBM15	4	0.0
GRWD1_center_left_shap	193292.72346270998	0.0	GRWD1	3	0.0
LIN28B_center_left_shap	192964.9572143371	0.0	LIN28B	3	0.0
FXR2_center_left_shap	188371.07029849468	0.0	FXR2	3	0.0
AQR_center_left_shap	188312.73554142666	0.0	AQR	3	0.0
PRPF8_center_left_shap	182301.04101572552	0.0	PRPF8	3	0.0
FXR2_3_right_shap	182291.51362654066	0.0	FXR2	6	0.0
DDX59_3_right_shap	165304.60940661456	0.0	DDX59	6	0.0
EIF3D_3_right_shap	163640.298374141	0.0	EIF3D	6	0.0
UCHL5_center_right_shap	162058.477920032	0.0	UCHL5	4	0.0
SUB1_center_right_shap	150571.49502886197	0.0	SUB1	4	0.0
BUD13_center_right_shap	148445.9894161869	0.0	BUD13	4	0.0
SUPV3L1_3_left_shap	147816.54551498708	0.0	SUPV3L1	5	0.0
EIF3D_center_right_shap	146149.05326162657	0.0	EIF3D	4	0.0
SF3A3_5_right_shap	145508.14583148516	0.0	SF3A3	2	0.0
PPIG_center_left_shap	142048.44286048392	0.0	PPIG	3	0.0
UCHL5_3_left_shap	135929.52187211392	0.0	UCHL5	5	0.0
XRN2_center_left_shap	135266.55566306497	0.0	XRN2	3	0.0
LSM11_3_right_shap	133975.2161185758	0.0	LSM11	6	0.0
G3BP1_center_left_shap	132563.76665981364	0.0	G3BP1	3	0.0
NOLC1_center_right_shap	131264.28947893291	0.0	NOLC1	4	0.0
FASTKD2_3_left_shap	130111.37879861164	0.0	FASTKD2	5	0.0
DGCR8_center_left_shap	129316.94701397176	0.0	DGCR8	3	0.0
IGF2BP1_center_left_shap	126050.05878457132	0.0	IGF2BP1	3	0.0
FASTKD2_center_right_shap	122200.49154148999	0.0	FASTKD2	4	0.0
SF3A3_center_right_shap	121554.35431539675	0.0	SF3A3	4	0.0
SRSF1_center_left_shap	116926.9567553032	0.0	SRSF1	3	0.0
TIA1_center_left_shap	116770.19325438018	0.0	TIA1	3	0.0
HNRNPM_3_left_shap	112063.7653809414	0.0	HNRNPM	5	0.0
U2AF2_center_right_shap	109940.89254659036	0.0	U2AF2	4	0.0
SND1_center_left_shap	108053.88276318605	0.0	SND1	3	0.0
NOL12_center_right_shap	105376.1732383983	0.0	NOL12	4	0.0
GRSF1_3_left_shap	103082.83521470183	0.0	GRSF1	5	0.0
PABPN1_center_left_shap	100169.77410519846	0.0	PABPN1	3	0.0
FASTKD2_3_right_shap	99581.2339936392	0.0	FASTKD2	6	0.0
DDX3X_5_right_shap	99198.35992594466	0.0	DDX3X	2	0.0
FUBP3_3_right_shap	96154.788632405	0.0	FUBP3	6	0.0
HNRNPL_5_left_shap	92571.14176193591	0.0	HNRNPL	1	0.0
SLTM_3_left_shap	91776.06303711022	0.0	SLTM	5	0.0
FASTKD2_center_left_shap	91222.29210252281	0.0	FASTKD2	3	0.0
U2AF2_5_right_shap	89684.40365187226	0.0	U2AF2	2	0.0
U2AF2_center_left_shap	89341.2752434924	0.0	U2AF2	3	0.0
DDX59_center_left_shap	88704.45040330115	0.0	DDX59	3	0.0
PCBP2_5_right_shap	88069.26627590801	0.0	PCBP2	2	0.0
LSM11_center_right_shap	86536.19518106167	0.0	LSM11	4	0.0
EFTUD2_center_left_shap	86103.21108985436	0.0	EFTUD2	3	0.0
ZNF800_5_left_shap	84835.87103682496	0.0	ZNF800	1	0.0
SRSF1_center_right_shap	83727.99232397317	0.0	SRSF1	4	0.0
CSTF2T_center_left_shap	83552.37551975949	0.0	CSTF2T	3	0.0
PRPF4_3_left_shap	83258.91311536566	0.0	PRPF4	5	0.0
SF3B4_3_right_shap	80792.47603505466	0.0	SF3B4	6	0.0
DDX59_3_left_shap	79917.65184778205	0.0	DDX59	5	0.0
SUGP2_center_left_shap	79662.63827378907	0.0	SUGP2	3	0.0
XPO5_center_right_shap	79597.47636049203	0.0	XPO5	4	0.0
ZC3H11A_5_right_shap	79481.56472860568	0.0	ZC3H11A	2	0.0
NCBP2_3_left_shap	79451.50947177505	0.0	NCBP2	5	0.0
HLTF_center_left_shap	79261.22121170156	0.0	HLTF	3	0.0
TIAL1_3_right_shap	78289.54425505661	0.0	TIAL1	6	0.0
FASTKD2_5_right_shap	76269.82389955588	0.0	FASTKD2	2	0.0
HNRNPL_center_left_shap	73506.04695056104	0.0	HNRNPL	3	0.0
SRSF7_center_left_shap	72890.28401367005	0.0	SRSF7	3	0.0
SUPV3L1_3_right_shap	72673.29876334588	0.0	SUPV3L1	6	0.0
BUD13_3_left_shap	71905.20560746243	0.0	BUD13	5	0.0
SFPQ_3_right_shap	68511.00906285203	0.0	SFPQ	6	0.0
SUB1_5_right_shap	68509.23770299493	0.0	SUB1	2	0.0
SRSF1_3_left_shap	65083.254095299104	0.0	SRSF1	5	0.0
PABPN1_3_right_shap	64074.52209030125	0.0	PABPN1	6	0.0
EIF3H_5_left_shap	62897.42590221879	0.0	EIF3H	1	0.0
EIF3H_3_left_shap	61474.403802274486	0.0	EIF3H	5	0.0
HLTF_center_right_shap	61163.60500076721	0.0	HLTF	4	0.0
LARP4_3_left_shap	60496.95808907785	0.0	LARP4	5	0.0
PRPF4_center_left_shap	60117.37928963839	0.0	PRPF4	3	0.0
SF3A3_3_right_shap	59651.40450049515	0.0	SF3A3	6	0.0
DDX59_5_right_shap	59509.489865993564	0.0	DDX59	2	0.0
LSM11_5_left_shap	59110.95319747249	0.0	LSM11	1	0.0
SF3B4_center_left_shap	58476.56634851593	0.0	SF3B4	3	0.0
NOLC1_center_left_shap	57963.09827741091	0.0	NOLC1	3	0.0
DDX3X_center_left_shap	56624.052350949474	0.0	DDX3X	3	0.0
QKI_center_right_shap	55470.051229697805	0.0	QKI	4	0.0
UCHL5_5_right_shap	53930.231063205145	0.0	UCHL5	2	0.0
SUB1_center_left_shap	53141.44490180378	0.0	SUB1	3	0.0
SF3A3_center_left_shap	52674.45659503957	0.0	SF3A3	3	0.0
PABPN1_3_left_shap	52388.28107862206	0.0	PABPN1	5	0.0
GRSF1_3_right_shap	52268.0193421803	0.0	GRSF1	6	0.0
U2AF1_center_right_shap	52246.31445822364	0.0	U2AF1	4	0.0
PRPF4_center_right_shap	51260.60128817567	0.0	PRPF4	4	0.0
UCHL5_3_right_shap	51206.9697727534	0.0	UCHL5	6	0.0
NKRF_center_left_shap	50522.01616967901	0.0	NKRF	3	0.0
ZC3H11A_5_left_shap	49634.072155714464	0.0	ZC3H11A	1	0.0
ZC3H11A_3_left_shap	48721.67180876539	0.0	ZC3H11A	5	0.0
FUS_center_left_shap	47796.621175343564	0.0	FUS	3	0.0
NOLC1_5_left_shap	47762.89179322703	0.0	NOLC1	1	0.0
SMNDC1_3_left_shap	47715.26546242217	0.0	SMNDC1	5	0.0
PPIG_5_left_shap	47620.31705995869	0.0	PPIG	1	0.0
ZC3H11A_center_left_shap	46466.11638910734	0.0	ZC3H11A	3	0.0
SLTM_3_right_shap	46110.04673145678	0.0	SLTM	6	0.0
RBM22_center_right_shap	45616.81254972915	0.0	RBM22	4	0.0
SRSF7_center_right_shap	43084.45415387296	0.0	SRSF7	4	0.0
HNRNPM_5_left_shap	42422.57251037444	0.0	HNRNPM	1	0.0
RPS3_center_left_shap	41560.44081345484	0.0	RPS3	3	0.0
SRSF9_center_left_shap	40668.14978401175	0.0	SRSF9	3	0.0
GRWD1_5_left_shap	40559.14892519589	0.0	GRWD1	1	0.0
NCBP2_center_left_shap	40107.38495470178	0.0	NCBP2	3	0.0
EIF3D_5_right_shap	39761.39088759045	0.0	EIF3D	2	0.0
RBM22_3_left_shap	38909.89450945361	0.0	RBM22	5	0.0
DKC1_center_left_shap	37555.73166958416	0.0	DKC1	3	0.0
FKBP4_center_left_shap	37308.21863895193	0.0	FKBP4	3	0.0
IGF2BP1_5_left_shap	36202.384178406304	0.0	IGF2BP1	1	0.0
PRPF4_5_right_shap	36071.65902497867	0.0	PRPF4	2	0.0
RBFOX2_3_left_shap	35970.50939341359	0.0	RBFOX2	5	0.0
SRSF1_3_right_shap	34595.7982760714	0.0	SRSF1	6	0.0
TRA2A_3_left_shap	34491.536393891845	0.0	TRA2A	5	0.0
KHSRP_3_left_shap	34145.55008177865	0.0	KHSRP	5	0.0
TIA1_center_right_shap	33747.60088023204	0.0	TIA1	4	0.0
BCLAF1_3_left_shap	32852.5412122556	0.0	BCLAF1	5	0.0
LARP4_3_right_shap	32571.259099323415	0.0	LARP4	6	0.0
