Feature	Statistic	P-Val	RBP	Position	FDR P-Val
YBX3_center_right_shap	394306.9977958961	0.0	YBX3	4	0.0
UCHL5_center_right_shap	393009.9864353263	0.0	UCHL5	4	0.0
DDX43_center_right_shap	386650.55310512456	0.0	DDX43	4	0.0
ZNF622_center_right_shap	385772.300167229	0.0	ZNF622	4	0.0
SND1_center_right_shap	383567.65313426	0.0	SND1	4	0.0
AQR_center_right_shap	378956.74284259364	0.0	AQR	4	0.0
ZNF800_center_right_shap	371066.48058352293	0.0	ZNF800	4	0.0
DDX24_center_right_shap	345087.42975978187	0.0	DDX24	4	0.0
RPS3_center_right_shap	344322.57093239215	0.0	RPS3	4	0.0
FXR2_center_right_shap	334587.18700605776	0.0	FXR2	4	0.0
FXR1_center_right_shap	334340.41345217417	0.0	FXR1	4	0.0
LIN28B_center_right_shap	320199.3216689257	0.0	LIN28B	4	0.0
SF3B4_center_right_shap	320124.0546760778	0.0	SF3B4	4	0.0
BUD13_center_right_shap	304043.2954312495	0.0	BUD13	4	0.0
GRWD1_center_right_shap	286702.67564865085	0.0	GRWD1	4	0.0
DDX3X_center_right_shap	271320.2515189938	0.0	DDX3X	4	0.0
IGF2BP1_center_right_shap	249972.598182603	0.0	IGF2BP1	4	0.0
METAP2_center_right_shap	244519.82095734778	0.0	METAP2	4	0.0
GPKOW_center_right_shap	234007.8853234232	0.0	GPKOW	4	0.0
PABPC4_center_right_shap	211515.35894467228	0.0	PABPC4	4	0.0
SRSF1_center_right_shap	206653.75422428516	0.0	SRSF1	4	0.0
FMR1_center_right_shap	205107.0103271308	0.0	FMR1	4	0.0
ZNF622_center_left_shap	195684.39530042405	0.0	ZNF622	3	0.0
EFTUD2_center_right_shap	193916.10583087488	0.0	EFTUD2	4	0.0
PRPF8_center_right_shap	181939.12917219463	0.0	PRPF8	4	0.0
PRPF8_center_left_shap	181143.1967047372	0.0	PRPF8	3	0.0
PABPC4_center_left_shap	179375.39250417502	0.0	PABPC4	3	0.0
YBX3_center_left_shap	178675.6979359967	0.0	YBX3	3	0.0
PUM2_center_right_shap	177511.73824366665	0.0	PUM2	4	0.0
AQR_center_left_shap	172255.86983706013	0.0	AQR	3	0.0
IGF2BP2_center_right_shap	169971.0093761469	0.0	IGF2BP2	4	0.0
MTPAP_center_right_shap	159345.87444947084	0.0	MTPAP	4	0.0
CPEB4_5_left_shap	157783.720085591	0.0	CPEB4	1	0.0
SF3B4_center_left_shap	135319.99104472448	0.0	SF3B4	3	0.0
AGGF1_center_right_shap	132957.81998775605	0.0	AGGF1	4	0.0
EXOSC10_center_right_shap	119096.44320236018	0.0	EXOSC10	4	0.0
SRSF9_5_left_shap	113027.52159344587	0.0	SRSF9	1	0.0
UCHL5_center_left_shap	111061.02669676334	0.0	UCHL5	3	0.0
DGCR8_center_right_shap	106966.27964019343	0.0	DGCR8	4	0.0
EIF3G_center_left_shap	98175.87232596787	0.0	EIF3G	3	0.0
HNRNPL_3_right_shap	95794.83522575113	0.0	HNRNPL	6	0.0
DDX43_center_left_shap	95303.18169427798	0.0	DDX43	3	0.0
DDX6_5_right_shap	95207.13374450359	0.0	DDX6	2	0.0
DDX24_center_left_shap	93276.15623125514	0.0	DDX24	3	0.0
SF3B4_5_right_shap	91511.8010448224	0.0	SF3B4	2	0.0
ZNF800_center_left_shap	91456.48517593308	0.0	ZNF800	3	0.0
ADAT1_center_right_shap	91243.78237730646	0.0	ADAT1	4	0.0
EXOSC10_center_left_shap	90243.69391748478	0.0	EXOSC10	3	0.0
GARS_5_left_shap	87854.48879741006	0.0	GARS	1	0.0
SLTM_center_left_shap	83239.00790699184	0.0	SLTM	3	0.0
FAM120A_5_left_shap	82715.51581020025	0.0	FAM120A	1	0.0
RBM15_center_right_shap	77790.9710129367	0.0	RBM15	4	0.0
METAP2_center_left_shap	76141.9011498955	0.0	METAP2	3	0.0
KHSRP_5_right_shap	72847.4673211285	0.0	KHSRP	2	0.0
MTPAP_3_right_shap	70414.30912608244	0.0	MTPAP	6	0.0
DDX55_center_left_shap	67897.25291995451	0.0	DDX55	3	0.0
U2AF2_5_right_shap	67478.34366085316	0.0	U2AF2	2	0.0
EWSR1_center_left_shap	66791.03231632184	0.0	EWSR1	3	0.0
DDX3X_5_left_shap	65801.49753736728	0.0	DDX3X	1	0.0
UCHL5_5_left_shap	65458.05373551008	0.0	UCHL5	1	0.0
EWSR1_center_right_shap	65331.52039402553	0.0	EWSR1	4	0.0
FXR2_5_left_shap	61765.52675748997	0.0	FXR2	1	0.0
ZC3H8_center_left_shap	61414.34841645575	0.0	ZC3H8	3	0.0
CPSF6_center_left_shap	61175.36670517789	0.0	CPSF6	3	0.0
DDX52_center_left_shap	60489.127193442386	0.0	DDX52	3	0.0
SRSF7_center_right_shap	60291.305032654156	0.0	SRSF7	4	0.0
TIA1_center_right_shap	58996.044961436026	0.0	TIA1	4	0.0
RBFOX2_3_left_shap	58555.38325122238	0.0	RBFOX2	5	0.0
SRSF1_center_left_shap	57561.49646893789	0.0	SRSF1	3	0.0
EFTUD2_3_right_shap	56645.37061467894	0.0	EFTUD2	6	0.0
ELAC2_center_right_shap	56094.752628990456	0.0	ELAC2	4	0.0
TRA2A_center_right_shap	55272.11856183218	0.0	TRA2A	4	0.0
PRPF8_5_right_shap	54927.42019644327	0.0	PRPF8	2	0.0
HLTF_center_right_shap	53957.85319126325	0.0	HLTF	4	0.0
SERBP1_3_left_shap	53574.125487309626	0.0	SERBP1	5	0.0
DDX24_3_left_shap	52417.55826155558	0.0	DDX24	5	0.0
RBM15_3_right_shap	52372.45787895774	0.0	RBM15	6	0.0
AGGF1_center_left_shap	52176.85105600792	0.0	AGGF1	3	0.0
DDX55_center_right_shap	52075.873523947026	0.0	DDX55	4	0.0
FUS_center_left_shap	51329.69676514429	0.0	FUS	3	0.0
EXOSC10_3_left_shap	49745.29626889431	0.0	EXOSC10	5	0.0
RBM22_center_right_shap	49288.77670740835	0.0	RBM22	4	0.0
NOLC1_center_right_shap	49212.56583029082	0.0	NOLC1	4	0.0
DDX3X_3_right_shap	47629.110610917945	0.0	DDX3X	6	0.0
TRA2A_5_left_shap	47607.92192126986	0.0	TRA2A	1	0.0
AQR_5_right_shap	47510.01994986445	0.0	AQR	2	0.0
EFTUD2_center_left_shap	46849.46243785501	0.0	EFTUD2	3	0.0
EIF4G2_center_right_shap	46105.50594919912	0.0	EIF4G2	4	0.0
CSTF2T_5_right_shap	45387.03143102102	0.0	CSTF2T	2	0.0
PCBP1_3_left_shap	44714.54679464311	0.0	PCBP1	5	0.0
FMR1_3_left_shap	44451.49582998219	0.0	FMR1	5	0.0
METAP2_5_right_shap	44396.1203915308	0.0	METAP2	2	0.0
GTF2F1_center_left_shap	44105.41879643206	0.0	GTF2F1	3	0.0
IGF2BP2_center_left_shap	43907.89676798681	0.0	IGF2BP2	3	0.0
U2AF2_center_right_shap	43199.20531802026	0.0	U2AF2	4	0.0
PCBP1_center_right_shap	42970.016649754725	0.0	PCBP1	4	0.0
YWHAG_5_right_shap	42776.61381374151	0.0	YWHAG	2	0.0
METAP2_3_right_shap	42412.57906434337	0.0	METAP2	6	0.0
PRPF8_3_left_shap	42242.389340022695	0.0	PRPF8	5	0.0
XRN2_3_left_shap	42132.63489199505	0.0	XRN2	5	0.0
PUM1_center_right_shap	41488.48528731124	0.0	PUM1	4	0.0
AATF_center_right_shap	41382.426863089306	0.0	AATF	4	0.0
HNRNPC_5_right_shap	40573.28370411261	0.0	HNRNPC	2	0.0
U2AF2_3_left_shap	39975.22307599419	0.0	U2AF2	5	0.0
FAM120A_3_left_shap	39592.667448911954	0.0	FAM120A	5	0.0
ZNF622_5_left_shap	39264.66783323935	0.0	ZNF622	1	0.0
DDX24_5_left_shap	39141.58334840794	0.0	DDX24	1	0.0
PCBP1_center_left_shap	38411.521762435164	0.0	PCBP1	3	0.0
HNRNPUL1_5_right_shap	37981.471217956525	0.0	HNRNPUL1	2	0.0
FMR1_center_left_shap	37801.42483586151	0.0	FMR1	3	0.0
DDX6_center_left_shap	37655.28494871311	0.0	DDX6	3	0.0
AATF_5_left_shap	37610.93773383821	0.0	AATF	1	0.0
FTO_center_left_shap	37415.3007221466	0.0	FTO	3	0.0
BUD13_5_right_shap	37385.25984553631	0.0	BUD13	2	0.0
MTPAP_3_left_shap	37311.360677900484	0.0	MTPAP	5	0.0
SLTM_5_left_shap	37211.6700026109	0.0	SLTM	1	0.0
LSM11_center_right_shap	36747.43681856782	0.0	LSM11	4	0.0
NIPBL_5_left_shap	36354.24706441072	0.0	NIPBL	1	0.0
SF3B4_3_left_shap	34962.44820602443	0.0	SF3B4	5	0.0
BUD13_3_left_shap	34730.377676182456	0.0	BUD13	5	0.0
U2AF1_3_right_shap	34269.90992028506	0.0	U2AF1	6	0.0
METAP2_5_left_shap	33918.53516658423	0.0	METAP2	1	0.0
SND1_5_right_shap	33866.933552894465	0.0	SND1	2	0.0
PUM2_5_right_shap	33482.75065448847	0.0	PUM2	2	0.0
RPS3_3_left_shap	33294.57920002623	0.0	RPS3	5	0.0
ELAVL1_3_right_shap	33206.833524909	0.0	ELAVL1	6	0.0
SND1_center_left_shap	33091.31480508564	0.0	SND1	3	0.0
MBNL1_3_right_shap	33051.72346207099	0.0	MBNL1	6	0.0
FUS_5_left_shap	32654.763592656018	0.0	FUS	1	0.0
XRN2_center_right_shap	32434.923496428473	0.0	XRN2	4	0.0
GPKOW_center_left_shap	32258.298607666442	0.0	GPKOW	3	0.0
SRSF7_5_right_shap	32061.787531815116	0.0	SRSF7	2	0.0
TIA1_5_right_shap	31794.11698593502	0.0	TIA1	2	0.0
FMR1_3_right_shap	31775.493929585697	0.0	FMR1	6	0.0
ADAT1_3_left_shap	31559.614094711596	0.0	ADAT1	5	0.0
PUM1_5_right_shap	31368.08899914659	0.0	PUM1	2	0.0
ELAC2_3_left_shap	31034.89929175153	0.0	ELAC2	5	0.0
SF3B4_5_left_shap	30956.15559866769	0.0	SF3B4	1	0.0
DDX43_5_left_shap	30683.60506294733	0.0	DDX43	1	0.0
SMNDC1_5_right_shap	30565.968303498124	0.0	SMNDC1	2	0.0
GPKOW_3_left_shap	30334.491709060763	0.0	GPKOW	5	0.0
EIF4G2_5_left_shap	30130.58291690393	0.0	EIF4G2	1	0.0
FXR2_center_left_shap	30033.221225223497	0.0	FXR2	3	0.0
KHSRP_center_left_shap	29923.25914055676	0.0	KHSRP	3	0.0
LSM11_5_right_shap	29611.494464130516	0.0	LSM11	2	0.0
IGF2BP1_5_left_shap	29434.370771452242	0.0	IGF2BP1	1	0.0
TIA1_center_left_shap	29393.96700355509	0.0	TIA1	3	0.0
FXR2_3_left_shap	29249.292127431552	0.0	FXR2	5	0.0
SRSF1_5_left_shap	29056.124225984826	0.0	SRSF1	1	0.0
LIN28B_3_right_shap	28514.25750184708	0.0	LIN28B	6	0.0
U2AF1_3_left_shap	28479.79375173163	0.0	U2AF1	5	0.0
GEMIN5_5_left_shap	28447.911671980582	0.0	GEMIN5	1	0.0
ZNF622_5_right_shap	28210.096834378102	0.0	ZNF622	2	0.0
U2AF2_3_right_shap	27733.824658026275	0.0	U2AF2	6	0.0
FXR2_3_right_shap	27718.05115715339	0.0	FXR2	6	0.0
RNF187_5_left_shap	27702.65115094944	0.0	RNF187	1	0.0
DDX3X_center_left_shap	27684.79774652099	0.0	DDX3X	3	0.0
SMNDC1_3_right_shap	27666.53295657817	0.0	SMNDC1	6	0.0
GRWD1_5_left_shap	27559.939855663444	0.0	GRWD1	1	0.0
PHF6_center_right_shap	26757.426360708276	0.0	PHF6	4	0.0
APEX1_3_left_shap	26151.854411983622	0.0	APEX1	5	0.0
RBM22_center_left_shap	26031.65567628287	0.0	RBM22	3	0.0
U2AF1_5_left_shap	25428.654745359574	0.0	U2AF1	1	0.0
XRCC6_3_left_shap	25259.356255186492	0.0	XRCC6	5	0.0
MATR3_center_left_shap	24847.334557244936	0.0	MATR3	3	0.0
IGF2BP1_5_right_shap	24567.17424538718	0.0	IGF2BP1	2	0.0
XRN2_5_left_shap	24503.704204827536	0.0	XRN2	1	0.0
DHX30_3_left_shap	24486.219782088352	0.0	DHX30	5	0.0
DROSHA_3_right_shap	24220.39228371801	0.0	DROSHA	6	0.0
ELAC2_3_right_shap	23601.984925151944	0.0	ELAC2	6	0.0
TRA2A_5_right_shap	23583.92447626443	0.0	TRA2A	2	0.0
HLTF_center_left_shap	23391.204170261804	0.0	HLTF	3	0.0
KHSRP_center_right_shap	23309.500155797417	0.0	KHSRP	4	0.0
PPIL4_3_left_shap	23296.612933484706	0.0	PPIL4	5	0.0
SLTM_5_right_shap	23291.40139320847	0.0	SLTM	2	0.0
RBFOX2_center_right_shap	23240.466007072155	0.0	RBFOX2	4	0.0
HNRNPM_center_left_shap	23213.93656793539	0.0	HNRNPM	3	0.0
HNRNPM_center_right_shap	23161.331870044414	0.0	HNRNPM	4	0.0
SMNDC1_center_left_shap	23129.942415559854	0.0	SMNDC1	3	0.0
DDX43_3_right_shap	22875.492710257062	0.0	DDX43	6	0.0
DDX43_5_right_shap	22795.360974494255	0.0	DDX43	2	0.0
EWSR1_5_right_shap	22783.93621127386	0.0	EWSR1	2	0.0
EXOSC10_3_right_shap	22341.28815909749	0.0	EXOSC10	6	0.0
AQR_5_left_shap	22311.60059207987	0.0	AQR	1	0.0
UCHL5_3_left_shap	22251.626820338744	0.0	UCHL5	5	0.0
EIF4E_center_right_shap	22141.585869920338	0.0	EIF4E	4	0.0
NIPBL_5_right_shap	22046.82406764277	0.0	NIPBL	2	0.0
