	Counts
ENSE00001189253	705
ENSE00001189241	665
ENSE00003669904	561
ENSE00003695284	559
ENSE00000950212	558
ENSE00003626402	556
ENSE00001289547	548
ENSE00003545059	536
ENSE00001151276	530
ENSE00003587710	528
ENSE00001065032	517
ENSE00003465280	491
ENSE00003807052	488
ENSE00001158905	476
ENSE00003467810	470
ENSE00003635154	458
ENSE00000845228	438
ENSE00003548129	435
ENSE00003686954	434
ENSE00001377506	429
ENSE00003577141	416
ENSE00001639513	414
ENSE00003534792	413
ENSE00003482759	411
ENSE00003502573	409
ENSE00003484952	408
ENSE00002103593	405
ENSE00003489854	404
ENSE00000665962	402
ENSE00003508727	376
ENSE00003538538	368
ENSE00003516276	368
ENSE00003642098	364
ENSE00001667210	362
ENSE00003577099	358
ENSE00003586457	358
ENSE00003600352	355
ENSE00003583313	353
ENSE00003683917	338
ENSE00003788771	338
ENSE00003575398	337
ENSE00003582366	335
ENSE00001284194	331
ENSE00003689147	331
ENSE00003701895	326
ENSE00001098440	326
ENSE00003500643	326
ENSE00003505079	321
ENSE00003672317	321
ENSE00000845229	320
ENSE00003618682	319
ENSE00001345592	317
ENSE00003581372	314
ENSE00003799360	311
ENSE00003654082	310
ENSE00003567679	310
ENSE00003596024	310
ENSE00003648859	310
ENSE00003640327	309
ENSE00003488106	309
ENSE00003529895	306
ENSE00001707001	305
ENSE00001065026	304
ENSE00001548840	303
ENSE00001460931	301
ENSE00003791033	300
ENSE00003802642	300
ENSE00003648020	298
ENSE00003620069	297
ENSE00003788869	297
ENSE00003487927	290
ENSE00003530412	288
ENSE00001342943	288
ENSE00003495034	282
ENSE00003483907	281
ENSE00003675524	280
ENSE00001194926	278
ENSE00000804313	278
ENSE00001754615	275
ENSE00003812941	275
ENSE00003696300	274
ENSE00003690776	271
ENSE00000972917	271
ENSE00001189256	270
ENSE00003568136	270
ENSE00003475192	268
ENSE00003554201	268
ENSE00003492556	267
ENSE00003615095	265
ENSE00003507583	265
ENSE00003763210	264
ENSE00003788894	264
ENSE00003813407	263
ENSE00003787789	262
ENSE00001378469	261
ENSE00000962831	260
ENSE00003664671	260
ENSE00000768876	260
ENSE00003573096	259
ENSE00003510592	258
ENSE00003505509	255
ENSE00002250661	254
ENSE00003538267	254
ENSE00003701337	253
ENSE00003516607	253
ENSE00003491792	252
ENSE00003642340	252
ENSE00001286308	251
ENSE00001189247	251
ENSE00003507071	251
ENSE00003788749	250
ENSE00000972915	247
ENSE00002217284	245
ENSE00000885245	245
ENSE00003482369	244
ENSE00003665249	244
ENSE00000464365	244
ENSE00003615020	244
ENSE00001426577	243
ENSE00003687874	242
ENSE00001289554	242
ENSE00000768679	241
ENSE00003807820	240
ENSE00001286319	240
ENSE00003622796	237
ENSE00003528568	237
ENSE00003562911	237
ENSE00003622823	236
ENSE00003542302	236
ENSE00003787152	235
ENSE00003659351	235
ENSE00003627297	234
ENSE00000854823	234
ENSE00001325694	234
ENSE00003654515	233
ENSE00000950210	232
ENSE00003573153	231
ENSE00000905215	231
ENSE00003662350	230
ENSE00000753621	230
ENSE00003814155	229
ENSE00002245078	229
ENSE00001753266	229
ENSE00001681874	229
ENSE00003805978	227
ENSE00003657710	227
ENSE00001127592	227
ENSE00000924383	226
ENSE00003632344	226
ENSE00003596631	225
ENSE00001720724	225
ENSE00003517976	225
ENSE00001710862	225
ENSE00001694359	225
ENSE00001381224	225
ENSE00003461081	225
ENSE00003611430	224
ENSE00003540871	223
ENSE00003502331	222
ENSE00003575805	222
ENSE00003566890	221
ENSE00000978492	220
ENSE00003618177	220
ENSE00003733723	220
ENSE00003650262	219
ENSE00003591853	219
ENSE00003527136	218
ENSE00003629817	218
ENSE00003478219	217
ENSE00003784632	217
ENSE00003573728	217
ENSE00002274285	217
ENSE00003588200	217
ENSE00003579493	216
ENSE00003656406	216
ENSE00003476489	216
ENSE00000933330	214
ENSE00003628667	213
