,Counts
ENSE00001189253,850
ENSE00003635154,715
ENSE00003491863,703
ENSE00003587710,701
ENSE00000950212,688
ENSE00003807052,613
ENSE00001065026,610
ENSE00001377506,608
ENSE00003623344,577
ENSE00003548129,575
ENSE00001065032,567
ENSE00003686954,562
ENSE00003784124,558
ENSE00001151276,549
ENSE00001189256,505
ENSE00003516276,503
ENSE00003518844,502
ENSE00003696300,498
ENSE00003600352,487
ENSE00003577141,486
ENSE00003538538,480
ENSE00003489854,475
ENSE00001065030,475
ENSE00003484952,474
ENSE00001667210,470
ENSE00001065043,456
ENSE00003510592,454
ENSE00003701895,450
ENSE00003583313,449
ENSE00003564002,443
ENSE00001289547,441
ENSE00003577099,441
ENSE00001647755,440
ENSE00003581372,437
ENSE00003642098,436
ENSE00003502573,433
ENSE00003534792,427
ENSE00001189247,425
ENSE00001645797,423
ENSE00000962831,421
ENSE00003575398,416
ENSE00003675353,410
ENSE00000924383,407
ENSE00003482759,404
ENSE00003627580,402
ENSE00000833111,402
ENSE00003488106,399
ENSE00003627791,398
ENSE00001098440,394
ENSE00003593698,390
ENSE00003664671,390
ENSE00003791033,385
ENSE00003802642,384
ENSE00003500643,378
ENSE00003482369,377
ENSE00003799360,376
ENSE00001748897,365
ENSE00002250661,364
ENSE00003675524,362
ENSE00001065031,360
ENSE00000845228,360
ENSE00003531836,360
ENSE00003483907,359
ENSE00001065039,358
ENSE00001707001,356
ENSE00001065024,356
ENSE00003495034,354
ENSE00003555010,350
ENSE00000885245,347
ENSE00003618438,344
ENSE00003675499,344
ENSE00003596024,340
ENSE00003615095,340
ENSE00001006104,340
ENSE00001785929,339
ENSE00003554201,339
ENSE00003689147,338
ENSE00003572873,336
ENSE00001754615,332
ENSE00003545059,329
ENSE00003480994,329
ENSE00003633955,328
ENSE00003506083,324
ENSE00000804313,324
ENSE00001378469,324
ENSE00000765473,323
ENSE00003594996,322
ENSE00003467778,321
ENSE00003690776,321
ENSE00003702171,319
ENSE00003478219,318
ENSE00002217284,318
ENSE00003763210,318
ENSE00003671136,318
ENSE00003787152,317
ENSE00000978492,316
ENSE00001065029,316
ENSE00003812941,315
ENSE00000778629,315
ENSE00001155295,315
ENSE00003654857,312
ENSE00002387366,312
ENSE00003788869,311
ENSE00003813407,311
ENSE00003492556,309
ENSE00003463918,304
ENSE00003496213,304
ENSE00003568136,303
ENSE00003648020,302
ENSE00001681874,301
ENSE00003639525,300
ENSE00003582366,300
ENSE00003592418,300
ENSE00003528568,300
ENSE00003491792,298
ENSE00003682516,298
ENSE00003687874,298
ENSE00003618177,298
ENSE00003475192,297
ENSE00003701337,297
ENSE00000950210,297
ENSE00003631161,297
ENSE00003507583,295
ENSE00001173200,294
ENSE00000464365,293
ENSE00001381224,293
ENSE00003622796,293
ENSE00003659351,292
ENSE00000768876,290
ENSE00003543970,290
ENSE00003573728,289
ENSE00003548272,289
ENSE00003811346,289
ENSE00001345592,289
ENSE00001127592,288
ENSE00003534217,287
ENSE00003477618,286
ENSE00003491408,286
ENSE00003589335,286
ENSE00003790374,285
ENSE00003650262,282
ENSE00003654515,282
ENSE00001295081,281
ENSE00003538267,280
ENSE00001431687,280
ENSE00003602840,280
ENSE00001653678,280
ENSE00002357787,280
ENSE00003469551,280
ENSE00001710862,279
ENSE00003627297,279
ENSE00003548624,279
ENSE00003540871,278
ENSE00003502331,278
ENSE00001598464,277
ENSE00000824110,277
ENSE00003657710,275
ENSE00003596501,272
ENSE00003516607,271
ENSE00000768679,271
ENSE00003559512,271
ENSE00001694359,270
ENSE00003570381,270
ENSE00002245078,270
ENSE00001286319,270
ENSE00001626202,269
ENSE00000859937,269
ENSE00003732867,268
ENSE00003689785,268
ENSE00003507071,268
ENSE00003678419,266
ENSE00003466549,266
ENSE00001127284,265
ENSE00001798287,265
ENSE00003698992,265
ENSE00003694540,264
ENSE00000845229,264
ENSE00003541068,264
ENSE00003500091,263
ENSE00003632344,262
ENSE00003567918,262
ENSE00003615020,261
ENSE00003474851,261
ENSE00003830790,260
ENSE00003615596,260
ENSE00003603652,259
ENSE00003591853,259
ENSE00001603723,258
ENSE00003559542,258
ENSE00003572931,257
ENSE00003458840,256
ENSE00001460931,256
ENSE00003784632,256
ENSE00003616093,256
ENSE00003815917,255
ENSE00003635066,255
ENSE00003464579,255
ENSE00003587780,255
ENSE00003786905,254
ENSE00003505806,254
ENSE00003514843,254
ENSE00003805978,253
ENSE00003638256,253
ENSE00003705309,253
ENSE00003497057,253
ENSE00003789058,253
ENSE00003645929,252
ENSE00003529556,252
ENSE00003337316,252
ENSE00003596631,252
ENSE00000806712,252
ENSE00003629817,252
ENSE00001588083,251
ENSE00001350573,251
ENSE00003527136,251
ENSE00003639265,250
ENSE00001250053,250
ENSE00003042892,249
ENSE00003501255,249
ENSE00003622957,249
ENSE00002746247,248
ENSE00003520636,248
ENSE00003485150,248
ENSE00000696409,248
ENSE00003580211,247
ENSE00003595314,247
ENSE00003623021,246
ENSE00003602799,245
ENSE00003574697,245
ENSE00000945370,244
ENSE00001076243,244
ENSE00003683572,243
ENSE00001761753,243
ENSE00003734410,243
ENSE00001655346,243
ENSE00003790344,243
ENSE00003697472,243
ENSE00000854823,243
ENSE00003784566,242
ENSE00003696124,242
ENSE00003600538,241
ENSE00001167601,241
ENSE00003746626,240
ENSE00003631964,240
ENSE00003499308,240
ENSE00003560643,240
ENSE00003510618,240
ENSE00003459989,240
ENSE00003680557,239
ENSE00003608941,239
ENSE00003475931,238
ENSE00003622823,238
ENSE00003541269,238
ENSE00003520435,238
ENSE00000960298,237
ENSE00003627459,236
ENSE00003601208,236
ENSE00003680201,236
ENSE00003580830,236
ENSE00003549489,236
ENSE00003680221,235
ENSE00000845695,235
ENSE00003472357,234
ENSE00003663998,234
ENSE00003601416,234
ENSE00003476489,234
ENSE00001925411,233
ENSE00003672934,233
ENSE00003555803,233
ENSE00003717945,232
ENSE00003562465,232
ENSE00003580650,232
ENSE00003636298,231
ENSE00003596983,231
ENSE00003805702,231
ENSE00000937516,230
ENSE00003467498,229
ENSE00003681882,229
ENSE00003467265,228
ENSE00003483456,228
ENSE00001289554,228
ENSE00003595169,228
ENSE00003527960,227
ENSE00003651170,226
ENSE00003469970,226
ENSE00003510234,226
ENSE00003620489,226
ENSE00003682261,226
ENSE00003790186,225
ENSE00000797902,225
ENSE00001169998,225
ENSE00001257031,225
ENSE00002536568,225
ENSE00002506993,224
ENSE00003618282,224
ENSE00003572262,223
ENSE00003685935,222
ENSE00003556253,222
ENSE00002488255,222
ENSE00003575805,222
ENSE00003473329,221
ENSE00001072449,221
ENSE00003663057,221
ENSE00001732229,221
ENSE00003587139,221
ENSE00000753621,220
ENSE00003596463,220
ENSE00003687161,220
ENSE00003656487,220
ENSE00003528449,220
ENSE00003608059,219
ENSE00003708963,219
ENSE00003502458,219
ENSE00003691939,218
ENSE00003636915,218
ENSE00003609527,218
ENSE00003476329,218
ENSE00003527769,217
ENSE00003483794,217
ENSE00003538574,217
ENSE00003553727,217
ENSE00003803477,217
ENSE00000809956,217
ENSE00003582682,217
ENSE00003466200,217
ENSE00003688856,217
ENSE00003511443,217
ENSE00003684180,217
ENSE00003516009,217
ENSE00003472286,217
ENSE00003537250,216
ENSE00000789775,216
ENSE00003769425,216
ENSE00003605334,216
ENSE00003529895,216
ENSE00001155301,216
ENSE00003508727,215
ENSE00001693302,215
ENSE00003531550,215
ENSE00003481560,214
ENSE00001200708,214
ENSE00001209510,214
ENSE00003648289,214
ENSE00003564175,213
ENSE00003563181,213
ENSE00003628667,213
ENSE00003692926,213
ENSE00003545287,212
ENSE00003560952,212
ENSE00003564245,212
ENSE00003626284,212
ENSE00003496247,212
ENSE00003697195,212
ENSE00003522575,212
ENSE00003789744,212
ENSE00003618487,211
ENSE00001332230,211
ENSE00003604585,211
ENSE00001062420,211
ENSE00003671662,211
ENSE00003583204,210
ENSE00003604878,210
ENSE00003810324,210
ENSE00003663741,210
ENSE00001750260,210
ENSE00003537902,209
ENSE00001200706,209
ENSE00003537468,209
ENSE00001153108,209
ENSE00001534682,208
ENSE00003608400,208
ENSE00000661498,208
ENSE00003787733,208
ENSE00003464644,208
ENSE00001747618,208
ENSE00003790846,207
ENSE00003634792,207
ENSE00003526701,207
ENSE00003656406,207
ENSE00003479117,207
ENSE00001693893,207
ENSE00003759902,206
ENSE00003590205,206
ENSE00000778627,206
ENSE00003493765,206
ENSE00003464465,206
ENSE00003703546,205
ENSE00003508264,205
ENSE00001327146,205
ENSE00003545966,204
ENSE00003790303,204
ENSE00003612782,204
ENSE00001370988,204
ENSE00003604190,204
ENSE00003642422,204
ENSE00001065038,204
ENSE00003499188,203
ENSE00003591158,203
ENSE00003610423,203
ENSE00003624641,203
ENSE00001857647,203
ENSE00003691020,203
ENSE00001730188,203
ENSE00002520544,202
ENSE00000827216,202
ENSE00003611430,202
ENSE00002511114,202
ENSE00001084069,201
ENSE00003787101,201
ENSE00002173028,200
ENSE00003639841,200
ENSE00000797897,200
ENSE00003646448,199
ENSE00001729072,199
ENSE00000937518,199
ENSE00002230621,198
ENSE00003471418,198
ENSE00003536057,198
ENSE00000921221,198
ENSE00003650549,198
ENSE00003480255,197
ENSE00003478740,197
ENSE00001621494,197
ENSE00003588703,197
ENSE00003785134,197
ENSE00002223579,196
ENSE00003493618,196
ENSE00003684852,196
ENSE00001692247,196
ENSE00003643362,196
ENSE00003621371,196
ENSE00003636305,196
ENSE00001381796,196
ENSE00003531733,196
ENSE00003466349,196
ENSE00000466125,196
ENSE00003720687,195
ENSE00003788504,195
ENSE00000764970,195
ENSE00003652321,194
ENSE00003473904,194
ENSE00001390455,194
ENSE00003528531,194
ENSE00003554433,194
ENSE00003504090,194
ENSE00003597297,193
ENSE00003491296,193
ENSE00003612538,193
ENSE00003610252,193
ENSE00000700398,193
ENSE00002244793,193
ENSE00003530356,193
ENSE00003472269,193
ENSE00001796190,192
ENSE00001289538,192
ENSE00001273582,192
ENSE00003555294,192
ENSE00000992117,192
ENSE00003621347,192
ENSE00003678455,192
ENSE00001329066,192
ENSE00003510928,192
ENSE00003521988,192
ENSE00003464793,192
ENSE00003638914,192
ENSE00001754635,192
ENSE00003513746,191
ENSE00003474010,191
ENSE00000927060,191
ENSE00003790776,191
ENSE00003655254,190
ENSE00003547338,190
ENSE00003575006,190
ENSE00000914155,190
ENSE00003438742,190
ENSE00003514687,189
ENSE00003690844,189
ENSE00003566862,189
ENSE00003693073,189
ENSE00003647587,189
ENSE00003671030,189
ENSE00003829339,189
ENSE00002257758,189
ENSE00003503943,189
ENSE00003541939,189
ENSE00003557379,188
ENSE00001098423,188
ENSE00001276351,188
ENSE00003601981,188
ENSE00003681050,188
ENSE00003531121,188
ENSE00001054142,188
ENSE00003604838,187
ENSE00003470047,187
ENSE00003608716,187
ENSE00003574363,187
ENSE00001225019,187
ENSE00001296427,187
ENSE00003504091,187
ENSE00001350583,187
ENSE00001002549,186
ENSE00000364881,186
ENSE00003640155,186
ENSE00003483450,186
ENSE00001801647,186
ENSE00000998398,186
ENSE00003588593,186
ENSE00001800747,186
ENSE00003541743,186
ENSE00001191187,186
ENSE00003606346,186
ENSE00001609326,186
ENSE00003586194,186
ENSE00003674711,186
ENSE00001102018,185
ENSE00003478155,185
ENSE00003490332,185
ENSE00001716871,185
ENSE00003507066,185
ENSE00003688118,185
ENSE00003524405,184
ENSE00003558997,184
ENSE00003493146,184
ENSE00003474291,184
ENSE00003608398,184
ENSE00001348045,184
ENSE00003546707,184
ENSE00002500644,184
ENSE00000996423,183
ENSE00003571477,183
ENSE00000680395,183
ENSE00003645259,182
ENSE00003651658,182
ENSE00003667566,182
ENSE00003632064,182
ENSE00003586883,182
ENSE00003572997,182
ENSE00003495929,182
ENSE00003716036,182
ENSE00003464047,182
ENSE00003547126,182
ENSE00003637171,182
ENSE00003579347,181
ENSE00001593400,181
ENSE00002495750,181
ENSE00001766242,181
ENSE00003610516,181
ENSE00003642784,181
ENSE00001591273,180
ENSE00003625145,180
ENSE00003581620,180
ENSE00001200707,180
ENSE00002443813,180
