cell_line	window	min_read_count	avg_binding_per_graph_per_window	total_examples	validate_count	test_count
HepG2	50	0	0.8543214009288399	6811005	1279494	1942190
HepG2	50	20	0.91666339184527	5572823	1055837	1604432
HepG2	50	40	0.9738550725864805	4724135	893915	1382343
HepG2	50	80	1.0769199513847318	3539903	671911	1067515
HepG2	50	160	1.2428187464546268	2264101	437762	699923
HepG2	50	320	1.483217559108608	1244376	249609	388580
HepG2	100	0	0.9077811740917571	6927772	1306451	1972202
HepG2	100	20	0.9743480587956881	5651775	1074247	1622888
HepG2	100	40	1.0359957279914827	4782762	907513	1395786
HepG2	100	80	1.1470099173123913	3576473	680620	1076196
HepG2	100	160	1.325525549209604	2282295	441753	705042
HepG2	100	320	1.5836517720964005	1251418	250827	391067
HepG2	250	0	0.9701773171452279	7074330	1336861	2004773
HepG2	250	20	1.040904934343517	5743378	1095242	1642958
HepG2	250	40	1.1064113701086151	4851012	923978	1410597
HepG2	250	80	1.2247687726894059	3618337	691712	1084772
HepG2	250	160	1.4158133875261523	2301904	447014	708908
HepG2	250	320	1.68978037935558	1259065	252731	392968
HepG2	500	0	1.0169131781092093	7193040	1363176	2030391
HepG2	500	20	1.0905952984113956	5816573	1110593	1658873
HepG2	500	40	1.1593968190629913	4901868	934283	1422072
HepG2	500	80	1.2831738922901395	3646698	697519	1091553
HepG2	500	160	1.4813040749931121	2314417	449449	712699
HepG2	500	320	1.7631620396313568	1263444	253403	394912
HepG2	1000	0	1.0646497877547074	7321246	1389452	2061012
HepG2	1000	20	1.1422935688793452	5892918	1126651	1675543
HepG2	1000	40	1.2142948910557405	4955577	945360	1434192
HepG2	1000	80	1.3429264198570274	3677301	703687	1099441
HepG2	1000	160	1.5477738709314306	2327538	452103	716976
HepG2	1000	320	1.8376340531921385	1267656	254059	396983
K562	50	0	0.9232638008168718	8653745	1540483	2080058
K562	50	20	0.974130178170438	7364353	1301305	1762410
K562	50	40	1.0233296584001141	6512590	1146154	1551816
K562	50	80	1.1168219311275196	5202736	921310	1224133
K562	50	160	1.2803910271880425	3584235	644674	827107
K562	50	320	1.531955881452282	2095415	382457	473063
K562	100	0	0.9928346008529676	8850356	1586305	2120717
K562	100	20	1.0483043828956673	7505989	1334468	1791401
K562	100	40	1.102168251968019	6623031	1172358	1575217
K562	100	80	1.2042161640761277	5274771	938943	1240711
K562	100	160	1.3828332151770646	3620911	653669	836478
K562	100	320	1.6600228628826366	2107929	385449	476375
K562	250	0	1.0657639171912863	9049096	1629296	2167178
K562	250	20	1.1247431621686175	7639386	1362624	1821683
K562	250	40	1.181965718505221	6722519	1192913	1598245
K562	250	80	1.2901836032175173	5335128	950963	1254515
K562	250	160	1.4800641950775852	3647424	658763	842471
K562	250	320	1.774311665147195	2115867	387242	478415
K562	500	0	1.1134337495221929	9202633	1661170	2201115
K562	500	20	1.1755427459277896	7735848	1384189	1845293
K562	500	40	1.235171268007343	6790702	1208173	1615491
K562	500	80	1.3471842646288952	5373321	959076	1263864
K562	500	160	1.542604387788678	3663136	661665	846360
K562	500	320	1.8443530905458223	2120812	388484	479511
K562	1000	0	1.1562082295562752	9372656	1700948	2240956
K562	1000	20	1.2221741593876134	7839275	1408797	1869180
K562	1000	40	1.284052812214737	6863185	1225600	1631557
K562	1000	80	1.3989997110443242	5414902	969078	1272509
K562	1000	160	1.5980263244282706	3680865	665944	849590
K562	1000	320	1.9029607756722404	2126087	389712	480305
