RBP	Cell Line	Feature	Global SHAP	ElasticNet Coefficient	Binding Sum	# RBP Differential Events
AGGF1	HepG2	AGGF1_1	4.2241953e-07	0.0	4625	
AGGF1	HepG2	AGGF1_2	5.6394874e-05	-0.0	11027	
AGGF1	HepG2	AGGF1_3	0.0007411269	-0.0	5569	
AGGF1	HepG2	AGGF1_4	0.00019372237	-0.0	7187	
AGGF1	HepG2	AGGF1_5	3.2056938e-05	0.0	7246	
AGGF1	HepG2	AGGF1_6	7.776903e-05	0.029735413032328423	8652	
AKAP1	HepG2	AKAP1_1	0.00050334726	0.0	3184	751.0
AKAP1	HepG2	AKAP1_2	0.00063311483	0.0	4305	751.0
AKAP1	HepG2	AKAP1_3	0.0	-0.0	2780	751.0
AKAP1	HepG2	AKAP1_4	4.4096414e-06	0.0	3387	751.0
AKAP1	HepG2	AKAP1_5	1.6308463e-06	0.0	6606	751.0
AKAP1	HepG2	AKAP1_6	0.00042479552	-0.02322377242671065	32096	751.0
AQR	HepG2	AQR_1	0.0057642153	-0.012101148774311895	259400	619.0
AQR	HepG2	AQR_2	0.041565586	-0.0380010859748739	423564	619.0
AQR	HepG2	AQR_3	0.11101568	0.09164786307255668	301781	619.0
AQR	HepG2	AQR_4	0.046067722	0.05718853215207171	254751	619.0
AQR	HepG2	AQR_5	0.034189764	-0.03781979230198639	401726	619.0
AQR	HepG2	AQR_6	0.0073187468	-0.007577944313885596	207795	619.0
BCCIP	HepG2	BCCIP_1	0.0	0.0	356	291.0
BCCIP	HepG2	BCCIP_2	0.0	-0.0	1073	291.0
BCCIP	HepG2	BCCIP_3	0.0	0.0	532	291.0
BCCIP	HepG2	BCCIP_4	0.0	0.0	25	291.0
BCCIP	HepG2	BCCIP_5	0.0	-0.0	303	291.0
BCCIP	HepG2	BCCIP_6	0.0	-0.0	381	291.0
BCLAF1	HepG2	BCLAF1_1	0.0026935353	-0.00045819404638296484	534314	333.0
BCLAF1	HepG2	BCLAF1_2	0.01869491	-0.012763647081318445	684244	333.0
BCLAF1	HepG2	BCLAF1_3	0.19489911	0.10419281168606229	439184	333.0
BCLAF1	HepG2	BCLAF1_4	0.26837027	0.1374217166323081	571265	333.0
BCLAF1	HepG2	BCLAF1_5	0.025005046	-0.020731980548881368	589256	333.0
BCLAF1	HepG2	BCLAF1_6	0.030695911	-0.022724671822891836	735482	333.0
BUD13	HepG2	BUD13_1	0.0023838277	0.0148959983557761	120985	79.0
BUD13	HepG2	BUD13_2	0.0022822444	-0.0	118725	79.0
BUD13	HepG2	BUD13_3	0.024010045	0.028466162867843252	114207	79.0
BUD13	HepG2	BUD13_4	0.004676259	0.0	74483	79.0
BUD13	HepG2	BUD13_5	0.014466397	-0.0419385736995484	148402	79.0
BUD13	HepG2	BUD13_6	0.0016491651	-0.0032523907309265224	70124	79.0
CDC40	HepG2	CDC40_1	0.0004889643	-0.0038237013261882176	6029	
CDC40	HepG2	CDC40_2	8.124426e-05	0.007226100984646135	18633	
CDC40	HepG2	CDC40_3	0.00024779394	-0.0	5206	
CDC40	HepG2	CDC40_4	0.0015027133	0.0	8863	
CDC40	HepG2	CDC40_5	3.5234834e-06	0.0	5234	
CDC40	HepG2	CDC40_6	0.0	0.03679702279592469	7364	
CSTF2T	HepG2	CSTF2T_1	9.207489e-05	0.0	19941	62.0
CSTF2T	HepG2	CSTF2T_2	0.00020262021	-0.016148294706255988	63321	62.0
CSTF2T	HepG2	CSTF2T_3	0.0018212607	-0.06574007038856795	17681	62.0
CSTF2T	HepG2	CSTF2T_4	0.00024836045	-0.0	15038	62.0
CSTF2T	HepG2	CSTF2T_5	4.9057835e-05	0.0	10907	62.0
CSTF2T	HepG2	CSTF2T_6	3.5095116e-05	0.0	10468	62.0
CSTF2	HepG2	CSTF2_1	0.00076468586	-0.0	1960	88.0
CSTF2	HepG2	CSTF2_2	0.0	-0.0	765	88.0
CSTF2	HepG2	CSTF2_3	0.0	0.0	2414	88.0
CSTF2	HepG2	CSTF2_4	0.0	0.0	1299	88.0
CSTF2	HepG2	CSTF2_5	0.0	0.0	941	88.0
CSTF2	HepG2	CSTF2_6	7.64978e-05	-0.0	24204	88.0
DDX3X	HepG2	DDX3X_1	0.024632903	-0.040195365135286036	237063	642.0
DDX3X	HepG2	DDX3X_2	0.0045026406	-0.035267328418599815	249916	642.0
DDX3X	HepG2	DDX3X_3	0.036969688	0.14853544935595459	90807	642.0
