Bait,Prey,IP,Bait_lifecycle_step,IP_experiment,IP_reps,IP_bait_gene,IP_prey_gene,IP_volc_pval_cutoff,IP_volc_log2FC,IP_volc_pvalue,IP_bait_gene_uniprotID,IP_prey_gene_uniprotID,SEC_gene_A,SEC_gene_B,SEC_gene_A_uniprotID,SEC_gene_B_uniprotID,IP_interaction_type,Interaction_support,IP_prey_over_bait_intensity_stoichimoetry,stoich_bait_uniprotID,stoich_prey_uniprotID,totalProteome_prey_over_bait_intensity_stoichimoetry,in_CORUM_2020,CORUM_complex_2020,in_CORUM_2022,CORUM_complex_2022,in_Mentha,Mentha_score,in_HI,in_HIPPIE,HIPPIE_score,in_recY2H,recY2H_score,in_BioID,in_OpenCell,OpenCell_enrichment,in_BioPlex3,BioPlex3_score,PPI_support,bait_eclipped,prey_eclipped,Bait_targets_cnt,Prey_targets_cnt,shared_targets,Bait_main_location_HPA,Prey_main_location_HPA,Bait_main_location.nucl.cyto.,Prey_main_location.nucl.cyto.,Prey_is_RBP_HydRa,Prey_HydRa_score,Prey_PSP_PScore,Bait_Disgenet_disease_.1,Bait_Disgenet_disease_.2,Prey_Disgenet_disease_.1,Prey_Disgenet_disease_.2,Prey_SAFE_localization_BioID,Prey_NMF_localization_BioID,Bait_SAFE_localization_BioID,Bait_NMF_localization_BioID,Prey_NMF_localization_2018_BioID,prey_lifecycle_stage_main_by_most_common_bait_stage,bait_prey_pctLocalizationOverlap_HPA,PvalWilcoxon_R,PvalWilcoxon_noR,log2FC_R,log2FC_noR
ACTC1,ALDH18A1,,,,,,,NA,NA,NA,,,ACTC1,ALDH18A1,P68032,P54886,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,,Mitochondria,,cytoplasm,1,0.968010067,1.29,"CARDIOMYOPATHY, DILATED, 1R","Cardiomyopathy, Familial Hypertrophic, 11","SPASTIC PARAPLEGIA 9B, AUTOSOMAL RECESSIVE",De Barsy syndrome,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",mitochondrial matrix,"cell junction, plasma membrane","actin cytoskeleton, cytosol",,undetermined,0,NA,NA,NA,NA
ACTC1,BRIX1,,,,,,,NA,NA,NA,,,ACTC1,BRIX1,P68032,Q8TDN6,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,,Nucleoli,,nucleus,1,0.998471236,-1.06,"CARDIOMYOPATHY, DILATED, 1R","Cardiomyopathy, Familial Hypertrophic, 11",No Disgenet record,No Disgenet record,no prediction,miscellaneous,"cell junction, plasma membrane","actin cytoskeleton, cytosol", nucleolus,splicing,0,NA,NA,NA,NA
ACTC1,C1D,,,,,,,NA,NA,NA,,,ACTC1,C1D,P68032,Q13901,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,,Nucleoli;Nucleoplasm,,nucleus,1,0.993941412,-2.43,"CARDIOMYOPATHY, DILATED, 1R","Cardiomyopathy, Familial Hypertrophic, 11","Alcoholic Intoxication, Chronic",Adenocarcinoma of lung (disorder),,,"cell junction, plasma membrane","actin cytoskeleton, cytosol", nucleus,degradation,0,NA,NA,NA,NA
ACTC1,CALM2;CALM1;CALM2;CALM1;CALM2;CALM3,,,,,,,NA,NA,NA,,,ACTC1,CALM1,P68032,P0DP23,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,,Vesicles,,secretory,0,0.93216522,NA,"CARDIOMYOPATHY, DILATED, 1R","Cardiomyopathy, Familial Hypertrophic, 11","VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 1 (disorder)",LONG QT SYNDROME 14,,,"cell junction, plasma membrane","actin cytoskeleton, cytosol",,translation,0,NA,NA,NA,NA
ACTC1,CD59,,,,,,,NA,NA,NA,,,ACTC1,CD59,P68032,P13987,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,,Golgi apparatus;Vesicles,,secretory,0,0.725934818,NA,"CARDIOMYOPATHY, DILATED, 1R","Cardiomyopathy, Familial Hypertrophic, 11",CD59 Deficiency,Paroxysmal nocturnal hemoglobinuria,,,"cell junction, plasma membrane","actin cytoskeleton, cytosol",,translation,0,NA,NA,NA,NA
ACTC1,CLINT1,,,,,,,NA,NA,NA,,,ACTC1,CLINT1,P68032,Q14677,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,,Vesicles,,secretory,1,0.958641861,3.84,"CARDIOMYOPATHY, DILATED, 1R","Cardiomyopathy, Familial Hypertrophic, 11",Schizophrenia,Nonorganic psychosis,"endosome, lysosome","endosome, lysosome","cell junction, plasma membrane","actin cytoskeleton, cytosol", vesicle,translation,0,NA,NA,NA,NA
ACTC1,CLTA,,,,,,,NA,NA,NA,,,ACTC1,CLTA,P68032,P09496,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,,Endosomes;Lysosomes;Vesicles,,secretory,1,0.979975831,3.1,"CARDIOMYOPATHY, DILATED, 1R","Cardiomyopathy, Familial Hypertrophic, 11",NONAKA MYOPATHY,Sialuria,,,"cell junction, plasma membrane","actin cytoskeleton, cytosol",,translation,0,NA,NA,NA,NA
ACTC1,CLTB,,,,,,,NA,NA,NA,,,ACTC1,CLTB,P68032,P09497,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,,Vesicles,,secretory,1,0.969008882,5.04,"CARDIOMYOPATHY, DILATED, 1R","Cardiomyopathy, Familial Hypertrophic, 11",Malignant neoplasm of lung,Malignant neoplasm of stomach,,,"cell junction, plasma membrane","actin cytoskeleton, cytosol",,translation,0,NA,NA,NA,NA
ACTC1,CLTC,,,,,,,NA,NA,NA,,,ACTC1,CLTC,P68032,Q00610,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,,Endosomes;Lysosomes;Vesicles,,secretory,1,0.896770093,NA,"CARDIOMYOPATHY, DILATED, 1R","Cardiomyopathy, Familial Hypertrophic, 11","MENTAL RETARDATION, AUTOSOMAL DOMINANT 56",Inflammatory Myofibroblastic Tumor,no prediction,"actin cytoskeleton, cytosol","cell junction, plasma membrane","actin cytoskeleton, cytosol", plasma membrane,translation,0,NA,NA,NA,NA
ACTC1,CTTN,,,,,,,NA,NA,NA,,,ACTC1,CTTN,P68032,Q14247,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,TRUE,1.684572473,FALSE,NA,TRUE,FALSE,FALSE,NA,NA,NA,,Cytosol;Plasma membrane,,cytoplasm,1,0.957441317,2.17,"CARDIOMYOPATHY, DILATED, 1R","Cardiomyopathy, Familial Hypertrophic, 11",Squamous cell carcinoma,Leukoplakia,"cell junction, plasma membrane","actin cytoskeleton, cytosol","cell junction, plasma membrane","actin cytoskeleton, cytosol",,undetermined,0,NA,NA,NA,NA
