Data Mode	Binding Type	Cell Line	Feature	Zero Cutoff	# Non-Zeros	% Non-Zeros	Num Positive	Sum Positive	Num Negative	Sum Negative	ARBS	NARBS
Unique Binding	NOT Bound Only	HepG2	AGGF1_1	0.0	117989	100.0	117989	0.0387836284935474	0	0.0	4576.041542325169	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_1	1e-05	51	0.0432243683733229	51	0.0156307462602853	0	0.0	0.7971680592745543	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_1	0.0001	51	0.0432243683733229	51	0.0156307462602853	0	0.0	0.7971680592745543	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_1	0.001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AGGF1_1	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AGGF1_2	0.0	117694	100.0	117694	8.964427947998047	0	0.0	1055059.382911682	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_2	1e-05	117694	100.0	117694	8.964427947998047	0	0.0	1055059.382911682	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_2	0.0001	17530	14.894557071728382	17530	7.000711441040039	0	0.0	122722.47156143188	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_2	0.001	618	0.5250904888949309	618	4.770646572113037	0	0.0	2948.259581565857	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_2	0.005	193	0.1639845701565075	193	4.134655952453613	0	0.0	797.9885988235474	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_3	0.0	117936	100.0	117936	77.54232025146484	0	0.0	9145031.081176758	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_3	1e-05	117936	100.0	117936	77.54232025146484	0	0.0	9145031.081176758	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_3	0.0001	117936	100.0	117936	77.54232025146484	0	0.0	9145031.081176758	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_3	0.001	29534	25.04239587572921	29534	58.97856140136719	0	0.0	1741872.8324279785	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_3	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AGGF1_4	0.0	117902	100.0	117902	14.741360664367676	0	0.0	1738035.9050502777	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_4	1e-05	117902	100.0	117902	14.741360664367676	0	0.0	1738035.9050502777	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_4	0.0001	12951	10.984546487761024	12951	10.485515594482422	0	0.0	135797.91246414185	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_4	0.001	465	0.3943953452867635	465	0.5124592781066895	0	0.0	238.2935643196106	1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_4	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AGGF1_5	0.0	117851	100.0	2765	1.6295299530029297	115086	-2.450530767440796	-277516.13358163834	-0.9685499552090628
Unique Binding	NOT Bound Only	HepG2	AGGF1_5	1e-05	3171	2.690685696345385	2765	1.6295299530029297	406	-1.855129361152649	3752.467799425125	0.7135552532487683
Unique Binding	NOT Bound Only	HepG2	AGGF1_5	0.0001	3171	2.690685696345385	2765	1.6295299530029297	406	-1.855129361152649	3752.467799425125	0.7135552532487683
Unique Binding	NOT Bound Only	HepG2	AGGF1_5	0.001	406	0.3445028043885924	0	0.0	406	-1.855129361152649	-753.1825206279755	-1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_5	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AGGF1_6	0.0	117852	100.0	0	0.0	117852	-3.173665761947632	-374022.8573770523	-1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_6	1e-05	117852	100.0	0	0.0	117852	-3.173665761947632	-374022.8573770523	-1.0
Unique Binding	NOT Bound Only	HepG2	AGGF1_6	0.0001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AGGF1_6	0.001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AGGF1_6	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_1	0.0	118084	100.0	0	0.0	118084	-19.372465133666992	-2287578.172843933	-1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_1	1e-05	118084	100.0	0	0.0	118084	-19.372465133666992	-2287578.172843933	-1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_1	0.0001	118084	100.0	0	0.0	118084	-19.372465133666992	-2287578.172843933	-1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_1	0.001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_1	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_2	0.0	118012	100.0	0	0.0	118012	-24.196304321289062	-2855454.265563965	-1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_2	1e-05	118012	100.0	0	0.0	118012	-24.196304321289062	-2855454.265563965	-1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_2	0.0001	118012	100.0	0	0.0	118012	-24.196304321289062	-2855454.265563965	-1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_2	0.001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_2	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_3	0.0	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_3	1e-05	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_3	0.0001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_3	0.001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_3	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_4	0.0	118043	100.0	118043	0.4905253648757934	0	0.0	57903.08564603329	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_4	1e-05	188	0.1592639970180358	188	0.3992594480514526	0	0.0	75.0607762336731	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_4	0.0001	188	0.1592639970180358	188	0.3992594480514526	0	0.0	75.0607762336731	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_4	0.001	188	0.1592639970180358	188	0.3992594480514526	0	0.0	75.0607762336731	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_4	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_5	0.0	117907	100.0	117907	0.2308618724346161	0	0.0	27220.23079314828	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_5	1e-05	249	0.211183390299134	249	0.1897281110286712	0	0.0	47.242299646139145	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_5	0.0001	249	0.211183390299134	249	0.1897281110286712	0	0.0	47.242299646139145	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_5	0.001	110	0.0932938672004206	110	0.1233088374137878	0	0.0	13.563972115516664	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_5	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_6	0.0	116847	100.0	116645	36.42601013183594	202	-0.1057704091072082	4248890.586205363	0.999989943065215
Unique Binding	NOT Bound Only	HepG2	AKAP1_6	1e-05	116847	100.0	116645	36.42601013183594	202	-0.1057704091072082	4248890.586205363	0.999989943065215
Unique Binding	NOT Bound Only	HepG2	AKAP1_6	0.0001	26083	22.322353162682827	25888	29.237363815307617	195	-0.1051497533917427	756876.3702487722	0.9999458218228576
Unique Binding	NOT Bound Only	HepG2	AKAP1_6	0.001	4222	3.613272056621052	4216	22.96445083618164	6	-0.0112378597259521	96818.05729818344	0.9999986071386616
Unique Binding	NOT Bound Only	HepG2	AKAP1_6	0.005	2748	2.3517933708182497	2748	19.328292846679688	0	0.0	53114.14874267578	1.0
Unique Binding	NOT Bound Only	HepG2	AQR_1	0.0	107703	100.0	102564	282.2264099121094	5139	-10.786001205444336	28890840.246030807	0.996177516314392
Unique Binding	NOT Bound Only	HepG2	AQR_1	1e-05	107702	99.99907152075616	102564	282.2264099121094	5138	-10.78600025177002	28890851.03693199	0.9961782590488958
Unique Binding	NOT Bound Only	HepG2	AQR_1	0.0001	107637	99.93872036990614	102518	282.22412109375	5119	-10.784950256347656	28877844.28592682	0.9961909987555736
Unique Binding	NOT Bound Only	HepG2	AQR_1	0.001	106585	98.9619602053796	102118	282.0204772949219	4467	-10.371257781982422	28753038.69189072	0.9967878459718332
Unique Binding	NOT Bound Only	HepG2	AQR_1	0.005	3595	3.337882881628181	3409	26.09980010986328	186	-1.417409896850586	88710.58033370972	0.994091336340366
Unique Binding	NOT Bound Only	HepG2	AQR_2	0.0	100593	100.0	100247	2239.317138671875	346	-1.0806490182876587	224484451.29587916	0.9999966687820684
Unique Binding	NOT Bound Only	HepG2	AQR_2	1e-05	100591	99.9980117900848	100245	2239.317138671875	346	-1.0806490182876587	224479972.66160175	0.9999966687156068
Unique Binding	NOT Bound Only	HepG2	AQR_2	0.0001	100572	99.97912379589036	100238	2239.316650390625	334	-1.079850196838379	224464261.73188967	0.9999967864032884
