Cell Line	Decile	Local SHAP Mean Value	Local SHAP Variance Value	Local SHAP Mean Median	Local SHAP Variance Median
HepG2	10th	0.0			
HepG2	20th	0.0			
HepG2	30th	1.005833155431901e-06			
HepG2	40th	1.1645887752820272e-05			
HepG2	50th	4.100082878721878e-05		4.100082878721878e-05	
HepG2	60th	0.00011720809561666101			
HepG2	70th	0.00033515808172523975			
HepG2	80th	0.0010911657009273767			
HepG2	90th	0.003506661858409643			
HepG2	max	0.3392048478126526			
HepG2	min	0.0			
K562	10th	0.0			
K562	20th	0.0			
K562	30th	9.15725081540586e-07			
K562	40th	7.678538167965598e-06			
K562	50th	2.6633841116563417e-05		2.6633841116563417e-05	
K562	60th	5.689282625098713e-05			
K562	70th	0.00021434544760268182			
K562	80th	0.0006563382921740413			
K562	90th	0.0030723880045115948			
K562	max	0.3290463089942932			
K562	min	0.0			
