Cell Line	Percentile	Value
HepG2	0	0.0
HepG2	11	0.00030915310607880833
HepG2	22	0.0013203236407966607
HepG2	33	0.0031360211340188933
HepG2	44	0.0057563009722426135
HepG2	55	0.009724568007262829
HepG2	66	0.017141244523371357
HepG2	77	0.02904173902571187
HepG2	88	0.04802043819109386
HepG2	99	0.1311054156285142
K562	0	0.0
K562	11	0.00029010337446080123
K562	22	0.0009996811038871312
K562	33	0.002334192756958214
K562	44	0.004549801949318468
K562	55	0.007959320303117343
K562	66	0.013815612420781085
K562	77	0.023321282448341057
K562	88	0.04021428566536912
K562	99	0.10971488553284375
