Cell Line	Decile	Local SHAP Mean Value	Local SHAP Variance Value
HepG2	10th	0.0	0.0
HepG2	20th	0.0	0.0
HepG2	30th	1.4469478628598154e-06	4.046801956036905e-12
HepG2	40th	1.4344797818921506e-05	1.1829390245132743e-10
HepG2	50th	4.727347186417319e-05	6.830051524353564e-10
HepG2	60th	0.00012790010077878833	2.6108537554137e-09
HepG2	70th	0.0003735767677426338	6.434565769097844e-09
HepG2	80th	0.0011939499527215958	1.8940932378086472e-08
HepG2	90th	0.004067400470376015	1.2900845547392237e-07
HepG2	max	2.6129791736602783	0.3754943609237671
HepG2	min	0.0	0.0
K562	10th	0.0	0.0
K562	20th	0.0	0.0
K562	30th	1.3296291854203446e-06	1.1801031072483648e-12
K562	40th	9.663524906500243e-06	2.392651875238183e-11
K562	50th	2.9979197279317304e-05	1.4835553618919306e-10
K562	60th	6.365963781718165e-05	8.051638245021309e-10
K562	70th	0.00023576202511321753	4.426859767647784e-09
K562	80th	0.0007508147391490638	1.989559628157167e-08
K562	90th	0.0034080171026289463	1.331490864231455e-07
K562	max	2.8480188846588135	0.14541710913181305
K562	min	0.0	0.0
