Cell Line	Data Mode	Feature	Zero Cutoff	% Non Zero
HepG2	All-Data	AGGF1_1_shap	1e-10	100.0
HepG2	All-Data	AGGF1_1_shap	1e-09	100.0
HepG2	All-Data	AGGF1_1_shap	1e-08	100.0
HepG2	All-Data	AGGF1_1_shap	1e-07	100.0
HepG2	All-Data	AGGF1_1_shap	1e-06	0.044768693316416
HepG2	All-Data	AGGF1_1_shap	1e-05	0.044768693316416
HepG2	All-Data	AGGF1_1_shap	0.0001	0.044768693316416
HepG2	All-Data	AGGF1_1_shap	0.001	0.005431651890522511
HepG2	All-Data	AGGF1_1_shap	0.01	0.0
HepG2	All-Data	AGGF1_1_shap	0.05	0.0
HepG2	All-Data	AGGF1_1_shap	0.1	0.0
HepG2	All-Data	AKAP1_1_shap	1e-10	100.0
HepG2	All-Data	AKAP1_1_shap	1e-09	100.0
HepG2	All-Data	AKAP1_1_shap	1e-08	100.0
HepG2	All-Data	AKAP1_1_shap	1e-07	100.0
HepG2	All-Data	AKAP1_1_shap	1e-06	100.0
HepG2	All-Data	AKAP1_1_shap	1e-05	100.0
HepG2	All-Data	AKAP1_1_shap	0.0001	100.0
HepG2	All-Data	AKAP1_1_shap	0.001	0.06755617038837372
HepG2	All-Data	AKAP1_1_shap	0.01	0.06755617038837372
HepG2	All-Data	AKAP1_1_shap	0.05	0.06755617038837372
HepG2	All-Data	AKAP1_1_shap	0.1	0.06755617038837372
HepG2	All-Data	AQR_1_shap	1e-10	100.0
HepG2	All-Data	AQR_1_shap	1e-09	100.0
HepG2	All-Data	AQR_1_shap	1e-08	100.0
HepG2	All-Data	AQR_1_shap	1e-07	100.0
HepG2	All-Data	AQR_1_shap	1e-06	99.99995756521962
HepG2	All-Data	AQR_1_shap	1e-05	99.99995756521962
HepG2	All-Data	AQR_1_shap	0.0001	99.96808904514319
HepG2	All-Data	AQR_1_shap	0.001	99.58904036926745
HepG2	All-Data	AQR_1_shap	0.01	5.622735706639876
HepG2	All-Data	AQR_1_shap	0.05	5.01290547758754
HepG2	All-Data	AQR_1_shap	0.1	0.18881355536624927
HepG2	All-Data	BCCIP_1_shap	1e-10	0.0
HepG2	All-Data	BCCIP_1_shap	1e-09	0.0
HepG2	All-Data	BCCIP_1_shap	1e-08	0.0
HepG2	All-Data	BCCIP_1_shap	1e-07	0.0
HepG2	All-Data	BCCIP_1_shap	1e-06	0.0
HepG2	All-Data	BCCIP_1_shap	1e-05	0.0
HepG2	All-Data	BCCIP_1_shap	0.0001	0.0
HepG2	All-Data	BCCIP_1_shap	0.001	0.0
HepG2	All-Data	BCCIP_1_shap	0.01	0.0
HepG2	All-Data	BCCIP_1_shap	0.05	0.0
HepG2	All-Data	BCCIP_1_shap	0.1	0.0
HepG2	All-Data	BCLAF1_1_shap	1e-10	100.0
HepG2	All-Data	BCLAF1_1_shap	1e-09	100.0
HepG2	All-Data	BCLAF1_1_shap	1e-08	100.0
HepG2	All-Data	BCLAF1_1_shap	1e-07	99.99859965224698
HepG2	All-Data	BCLAF1_1_shap	1e-06	99.98374747910883
HepG2	All-Data	BCLAF1_1_shap	1e-05	99.76781809907035
HepG2	All-Data	BCLAF1_1_shap	0.0001	99.24671899582336
HepG2	All-Data	BCLAF1_1_shap	0.001	35.61207396806571
HepG2	All-Data	BCLAF1_1_shap	0.01	4.390366031806989
HepG2	All-Data	BCLAF1_1_shap	0.05	0.6391314449148812
HepG2	All-Data	BCLAF1_1_shap	0.1	0.05497425800134306
HepG2	All-Data	BUD13_1_shap	1e-10	100.0
HepG2	All-Data	BUD13_1_shap	1e-09	100.0
HepG2	All-Data	BUD13_1_shap	1e-08	100.0
HepG2	All-Data	BUD13_1_shap	1e-07	100.0
HepG2	All-Data	BUD13_1_shap	1e-06	99.99872695658816
