Data Partition	Model	Cell Line	Feature Pair	# Rows - Both Bound	# Rows - Either Bound	R2 - Both	R2 - Either	Difference R2 - (Both vs. Either)
All	xgboost	K562	ADAT1_3-DDX21_3	112	196	0.9076675675658824	-82.201958243652	83.10962581121788
All	xgboost	K562	ADAT1_3-APOBEC3C_3	75	2051	0.9237203445497048	-5.291483347446837	6.215203691996542
All	xgboost	K562	DDX47_3-DDX47_4	350	286	0.8273928992069707	-5.2471378564467726	6.074530755653743
All	xgboost	K562	APOBEC3C_3-DDX21_3	75	1865	0.9237203445497048	-3.8606001227445397	4.784320467294244
All	xgboost	K562	LARP4_4-RPS3_3	216	9793	0.5370210075261777	-2.6139656911467646	3.1509866986729422
All	xgboost	K562	EEF2_4-RPS6_4	234	2238	0.950140622054624	-1.8292840948060567	2.7794247168606807
All	xgboost	HepG2	IGF2BP3_3-YBX3_3	72	4272	0.570861269951022	-1.2014245133402337	1.7722857832912557
All	xgboost	K562	DDX51_6-TBRG4_6	276	708	0.6389848234480582	-0.966646760872873	1.6056315843209312
All	xgboost	HepG2	MATR3_3-SUGP2_4	177	4016	0.5547249419940159	-0.8132152651016964	1.3679402070957123
All	xgboost	HepG2	EIF3H_4-FXR2_4	1467	34457	0.7278503492615995	-0.5575794519298023	1.2854298011914018
All	xgboost	HepG2	MATR3_2-SUGP2_2	311	812	0.5469763488039217	-0.7277244123858675	1.2747007611897891
All	xgboost	K562	METTL1_1-RNF187_2	650	855	0.645573977174785	-0.5322497967865036	1.1778237739612887
All	xgboost	K562	APOBEC3C_4-FTO_4	555	10748	0.7864820167387132	-0.37194071990611666	1.1584227366448299
All	xgboost	K562	PUM2_4-RPS3_3	196	20398	0.8071105218972762	-0.3261019396764675	1.1332124615737436
All	xgboost	K562	GARS_4-RPS6_4	261	3257	0.954297852807339	-0.1108915085076938	1.0651893613150327
All	xgboost	K562	SERBP1_2-SERBP1_6	156	1414	0.838966825934439	-0.18580093581059898	1.024767761745038
All	xgboost	K562	FASTKD2_1-PHF6_1	23	1656	0.4207662847435738	-0.5092672956532418	0.9300335803968156
All	xgboost	K562	ADAT1_3-FAM120A_3	209	3925	0.9200743370793057	0.01938217343755233	0.9006921636417534
All	xgboost	K562	DDX55_3-METAP2_3	369	14817	0.9846781292744174	0.09548009779916677	0.8891980314752507
All	xgboost	K562	DDX21_3-FAM120A_3	111	3935	0.9112061711949271	0.03216806416184348	0.8790381070330836
All	xgboost	K562	NIPBL_5-NIPBL_6	326	2334	0.6157280829218006	-0.2523955602508514	0.868123643172652
All	xgboost	HepG2	FASTKD2_4-IGF2BP3_4	28	9386	0.8407708908472997	0.002890978371724806	0.8378799124755749
All	xgboost	K562	DDX21_3-MORC2_3	64	1402	0.9501723026356519	0.12235046610044509	0.8278218365352068
All	xgboost	K562	ADAT1_3-MORC2_3	64	1588	0.9501723026356519	0.1246598195066354	0.8255124831290165
All	xgboost	K562	UTP18_5-ZC3H8_3	335	4614	0.7339697401136198	-0.08442053725456833	0.8183902773681881
All	xgboost	K562	ADAT1_3-DHX30_2	32	1930	0.919744215456458	0.10695110543408615	0.8127931100223719
All	xgboost	K562	NIPBL_5-TBRG4_5	258	1917	0.7089480750516113	-0.10004199131950098	0.8089900663711123
All	xgboost	K562	FAM120A_3-FASTKD2_2	441	4668	0.8877905851821845	0.09658059355447768	0.7912099916277068
All	xgboost	K562	NIPBL_5-SDAD1_5	322	1681	0.7526830721343873	-0.03831733661444048	0.7910004087488278
All	xgboost	K562	FASTKD2_2-FTO_4	268	8023	0.7808689191966285	-0.00958523753200513	0.7904541567286336
All	xgboost	HepG2	NKRF_3-SLTM_3	115	10042	0.9034790191730495	0.11486670021070011	0.7886123189623494
All	xgboost	K562	HNRNPM_6-PHF6_6	96	6210	0.964593766386214	0.17677015051488953	0.7878236158713244
All	xgboost	K562	FTO_3-FTO_4	1644	7671	0.6459453417430114	-0.1392781539952761	0.7852234957382875
All	xgboost	K562	LIN28B_4-METAP2_3	691	67631	0.9842232018070122	0.20155812018394792	0.7826650816230643
All	xgboost	K562	DDX55_3-LIN28B_4	470	56968	0.9691159710461487	0.1974112259732621	0.7717047450728866
All	xgboost	HepG2	DKC1_5-STAU2_4	91	4476	0.9954940753219989	0.2251424077250801	0.7703516675969188
All	xgboost	HepG2	MATR3_3-MATR3_4	117	1766	0.5596784201135019	-0.20364267989520668	0.7633211000087086
All	xgboost	K562	AKAP8L_3-SLTM_2	124	10789	0.9591075485239456	0.19830323530190186	0.7608043132220438
All	xgboost	HepG2	CDC40_3-DKC1_5	89	8655	0.9961656471495319	0.23978148621690898	0.756384160932623
All	xgboost	K562	ABCF1_5-NIPBL_5	244	1624	0.5906517199584684	-0.16160928598380742	0.7522610059422759
All	xgboost	HepG2	AGGF1_2-QKI_1	272	13178	0.9057616766885086	0.1564364307763879	0.7493252459121207
All	xgboost	K562	FAM120A_3-FTO_4	533	10023	0.8040530160274326	0.058778015230967484	0.7452750007964651
All	xgboost	K562	FAM120A_5-FTO_4	498	10624	0.7723530819035608	0.028022272063379705	0.7443308098401811
All	xgboost	K562	DDX3X_4-PABPC4_4	4451	65198	0.9152896177148275	0.17140869482030818	0.7438809228945193
All	xgboost	K562	GARS_5-NIPBL_5	295	2402	0.7150521743441205	-0.028514081089077825	0.7435662554331983
All	xgboost	HepG2	DKC1_5-SRSF7_4	129	7156	0.9947770403412307	0.25249080933994317	0.7422862310012875
All	xgboost	HepG2	DKC1_5-RBM15_5	87	8220	0.9931445559311044	0.2524166138451971	0.7407279420859073
All	xgboost	HepG2	DKC1_5-GTF2F1_3	92	18935	0.9958202676043735	0.25776225562149335	0.7380580119828801
All	xgboost	K562	NOLC1_3-NOLC1_4	1436	5457	0.7659397074576908	0.030753532406351147	0.7351861750513397
All	xgboost	K562	LIN28B_4-PABPC4_3	1696	61831	0.9675767007284433	0.23265420635878964	0.7349224943696536
All	xgboost	K562	ABCF1_5-UTP18_5	267	1750	0.6927412732153082	-0.041639585480351515	0.7343808586956597
All	xgboost	HepG2	UPF1_3-UPF1_4	1938	2863	0.34963076017017447	-0.3837860242959299	0.7334167844661044
All	xgboost	HepG2	DKC1_1-U2AF1_2	928	21110	0.9540761688572219	0.22069791995781685	0.7333782488994051
All	xgboost	K562	AKAP8L_3-DDX21_3	111	7319	0.9055268141444239	0.1731338551491619	0.732392958995262
All	xgboost	HepG2	EIF3D_4-FXR2_4	569	28817	0.7053027192284274	-0.026494788674271907	0.7317975079026993
All	xgboost	HepG2	FAM120A_3-RBM15_5	65	19010	0.9950218607810242	0.2639852150577855	0.7310366457232387
All	xgboost	K562	PABPC4_4-YBX3_4	6425	138212	0.9064431992821123	0.17938449950524205	0.7270586997768702
All	xgboost	HepG2	DKC1_5-SRSF7_5	338	5714	0.9736255589897278	0.24879566163634226	0.7248298973533855
All	xgboost	K562	ADAT1_3-AKAP8L_3	114	7499	0.9039339290883883	0.17959053226173505	0.7243433968266533
All	xgboost	HepG2	NOLC1_6-QKI_5	365	15497	0.9444837019576611	0.2204563163625759	0.7240273855950852
All	xgboost	K562	AKAP8L_3-MORC2_3	71	8695	0.8916969194421993	0.1684345713529818	0.7232623480892175
All	xgboost	HepG2	NOLC1_5-QKI_5	364	17930	0.9442198011054667	0.22197221783349108	0.7222475832719756
All	xgboost	K562	SSB_5-ZC3H8_3	287	3516	0.6563706049392276	-0.06462407029001493	0.7209946752292425
All	xgboost	K562	DHX30_2-FAM120A_4	32	4237	0.9382998717648955	0.22105262086381094	0.7172472509010845
All	xgboost	K562	DHX30_2-GEMIN5_3	96	9261	0.9346244893893867	0.22296331244549294	0.7116611769438937
All	xgboost	HepG2	GTF2F1_3-SRSF7_3	283	17214	0.9766646141999511	0.26715199873161244	0.7095126154683387
