Data Partition	Cell Line	RBP Pair	Position	# Graphs Used in OLS Reg.	% Rows - RBP 1 Bound	% Rows - RBP 2 Bound	% Rows - PPI Interaction	Intercept Beta Coefficient	Intercept Param P-value	RBP 1 Beta Coefficient	RBP 1 Param P-value	RBP 2 Beta Coefficient	RBP 2 Param P-value	Interaction Beta Coefficient	Interaction Param P-value
All	K562	APOBEC3C-PCBP1	1	11100	31.828828828828833	73.23423423423424	5.063063063063064	475849832750.48706	0.046835475529829376	-475849832749.81793	0.04683547553013412	-475849832749.7816	0.0468354755301527	475849832749.67804	0.04683547553019885
All	K562	APOBEC3C-PCBP1	2	24694	32.756945006884266	70.0413055803029	2.798250587187171	-185364314456.66568	0.3458195334400894	185364314457.32642	0.34581953343836425	185364314457.3388	0.3458195334383327	-185364314457.19852	0.3458195334386971
All	K562	CPSF6-RBM15	2	95976	8.962657330999416	92.0896890889389	1.052346419938318	146862802001.98773	0.46623181897996635	-146862802001.28027	0.4662318189821192	-146862802001.29242	0.46623181898207844	146862802001.13605	0.46623181898255517
All	K562	CPSF6-RBM15	4	49177	10.352400512434674	90.2922097728613	0.6446102852959718	-40593307649.75354	0.5431782173172306	40593307650.59398	0.5431782173088815	40593307650.60118	0.5431782173088031	-40593307650.45887	0.543178217310216
All	K562	CPSF6-RBM15	5	47554	8.333683812087312	92.08899356521007	0.42267737729738825	469579760381.4067	0.30381203162110054	-469579760380.61255	0.3038120316219159	-469579760380.6773	0.3038120316218532	469579760380.8696	0.3038120316216543
All	K562	CPSF6-RBM15	6	75292	6.922382191999151	93.5398183073899	0.46220049938904534	60906585482.236145	0.4521241350304739	-60906585481.4614	0.4521241350362357	-60906585481.53172	0.4521241350357108	60906585481.72181	0.4521241350342995
All	K562	CSTF2T-EWSR1	1	13569	73.99955781560911	43.70255729972732	17.70211511533643	0.5144756475578256	0.0	0.13841085591121421	2.0048730601723986e-230	0.19010527647845973	0.0	-0.18595951516815148	4.1908041919009233e-162
All	K562	CSTF2T-EWSR1	2	24654	76.06067980855033	47.22965847327006	23.290338281820393	39110683233.61388	0.8936451918018766	-39110683233.02121	0.8936451918034798	-39110683232.91731	0.89364519180376	39110683232.972916	0.8936451918036099
All	K562	CSTF2T-EWSR1	3	30363	77.39024470572737	51.684616144649745	29.074860850377103	45358675611.791504	0.6203266586600734	-45358675611.11958	0.6203266586652452	-45358675611.17062	0.6203266586648524	45358675611.13579	0.6203266586651226
All	K562	CSTF2T-EWSR1	4	22598	76.01115142933003	49.98672448889282	25.997875918222853	121351099452.13646	0.3421810340487035	-121351099451.60739	0.3421810340508171	-121351099451.49274	0.3421810340512731	121351099451.57	0.34218103405096656
All	K562	CSTF2T-EWSR1	5	29034	83.16456568161466	37.693738375697464	20.858304057312115	-201467969848.11148	0.3535830312611792	201467969848.7336	0.3535830312596884	201467969848.8064	0.35358303125951274	-201467969848.714	0.35358303125973334
All	K562	CSTF2T-EWSR1	6	12632	82.20392653578214	35.33882203926535	17.542748575047497	-277959730745.15283	0.22473884485894352	277959730745.8741	0.2247388448577456	277959730745.9085	0.22473884485769235	-277959730745.94684	0.2247388448576264
All	K562	CSTF2T-NONO	1	16192	62.01210474308301	50.4693675889328	12.48147233201581	-662731481256.0685	0.21414183276779264	662731481256.7627	0.21414183276730955	662731481256.7705	0.21414183276730786	-662731481256.9922	0.21414183276715382
All	K562	CSTF2T-NONO	2	29164	64.29845014401316	55.19818954875875	19.49663969277191	130153891115.69688	0.2449009009144039	-130153891115.0841	0.24490090091661496	-130153891115.1168	0.24490090091649916	130153891115.10728	0.2449009009165314
All	K562	CSTF2T-NONO	3	33148	70.88813804754434	47.10691444431036	17.995052491854715	-36308520822.11264	0.8417566956393682	36308520822.78806	0.8417566956364652	36308520822.72704	0.8417566956367278	-36308520822.792114	0.841756695636448
All	K562	CSTF2T-NONO	4	25654	66.95642005145397	49.74273017852966	16.69915022998363	-120531067050.33891	0.7068295961190312	120531067050.91058	0.7068295961177075	120531067050.82416	0.7068295961179059	-120531067050.86607	0.7068295961178095
All	K562	CSTF2T-NONO	5	37264	64.79712322885358	48.261056247316446	13.058179476170029	88088982306.60933	0.4952058179968929	-88088982305.9683	0.4952058180000384	-88088982305.97061	0.4952058180000234	88088982306.00583	0.49520581799985075
All	K562	CSTF2T-NONO	6	18415	56.388813467282105	55.40591908770024	11.794732554982351	-54445410575.861824	0.8690107113714282	54445410576.5954	0.8690107113696803	54445410576.49778	0.8690107113699128	-54445410576.591125	0.8690107113696905
All	K562	CSTF2T-TAF15	3	24061	97.66011387722871	2.9674577116495575	0.6275715888782677	-54532796401.21623	0.585879410691071	54532796401.87468	0.5858794106865547	54532796401.95163	0.5858794106860234	-54532796401.9311	0.5858794106861653
All	K562	CSTF2T-TAF15	4	17548	97.88579895144746	3.7155231365397765	1.601322087987235	421951372757.15466	0.15893342081089853	-421951372756.601	0.1589334208114494	-421951372756.46454	0.15893342081157807	421951372756.7001	0.15893342081134532
All	K562	DDX42-RBFOX2	3	25333	4.405321122646351	96.75127304306635	1.1565941657127068	58367938546.25919	0.9326591260350582	-58367938545.864456	0.9326591260355116	-58367938545.55372	0.9326591260358701	58367938545.78371	0.9326591260356054
All	K562	DDX42-U2AF2	4	71725	0.4517253398396654	99.60822586266993	0.05995120250958522	-68633597500.05908	0.5035044926053505	68633597501.03189	0.503504492599289	68633597500.81079	0.5035044926006718	-68633597500.83603	0.5035044926005148
All	K562	EWSR1-NONO	1	11711	50.636154043207235	69.78054820254461	20.416702245751857	96457410153.11421	0.7573199550525378	-96457410152.39714	0.7573199550542876	-96457410152.45859	0.7573199550541378	96457410152.37376	0.7573199550543444
All	K562	EWSR1-NONO	2	22494	51.76491508846803	71.56575086689784	23.330665955365877	783183179598.689	0.11284165228743127	-783183179597.9188	0.112841652287785	-783183179598.0929	0.11284165228770719	783183179597.8812	0.11284165228780621
All	K562	EWSR1-NONO	3	24964	62.86252203172569	62.550072103829514	25.4125941355552	-1221850768.6637173	0.9950141796822227	1221850769.309926	0.9950141796795857	1221850769.2839923	0.9950141796796916	-1221850769.3300924	0.9950141796795036
All	K562	EWSR1-NONO	4	20118	56.14872253703152	63.430758524704245	19.57948106173576	274654622117.23383	0.4065257877458499	-274654622116.56064	0.40652578774700354	-274654622116.75653	0.4065257877466689	274654622116.61636	0.40652578774690895
All	K562	EWSR1-NONO	5	23856	45.87525150905433	75.38564721663313	21.260898725687458	74095421080.5705	0.5208414206879515	-74095421079.80968	0.5208414206922372	-74095421079.92587	0.5208414206915886	74095421079.8103	0.5208414206922378
All	K562	EWSR1-NONO	6	12811	34.845055030832874	79.64249473109048	14.487549761923347	-95190125361.6836	0.5771428602978877	95190125362.39783	0.5771428602950364	95190125362.30138	0.5771428602954233	-95190125362.29588	0.5771428602954429
All	K562	EWSR1-RBM15	2	99230	11.734354529880077	89.06983775068024	0.8041922805603144	-211618324077.58386	0.3391026162526274	211618324078.26953	0.3391026162510624	211618324078.28882	0.3391026162510157	-211618324078.4808	0.339102616250578
All	K562	EWSR1-RBM15	3	40798	38.46512083925683	62.92220206872886	1.3873229079856857	-126305363715.90656	0.5704971057637767	126305363716.52582	0.5704971057618848	126305363716.70767	0.5704971057613291	-126305363716.59196	0.5704971057616816
All	K562	FMR1-FXR2	1	36718	56.4682172231603	72.83076420284328	29.298981426003596	-27215860071.963554	0.7551691567527898	27215860072.733223	0.7551691567460816	27215860072.812004	0.7551691567453986	-27215860072.755558	0.7551691567458899
All	K562	FMR1-FXR2	2	80445	62.19653179190752	71.19274038162719	33.389272173534714	-70730392781.47183	0.7033106759552005	70730392782.21228	0.7033106759522403	70730392782.2522	0.7033106759520799	-70730392782.1743	0.703310675952391
All	K562	FMR1-FXR2	3	33010	61.666161769160865	68.71554074522872	30.38170251438958	-13798631309.771505	0.8509241509312708	13798631310.657103	0.8509241509218135	13798631310.702665	0.8509241509213272	-13798631310.61974	0.8509241509222129
All	K562	FMR1-FXR2	4	59281	64.4152426578499	70.34969045731347	34.76493311516337	21616749982.552143	0.6720973394456171	-21616749981.62141	0.6720973394589156	-21616749981.62375	0.672097339458883	21616749981.666206	0.6720973394582773
All	K562	FMR1-FXR2	5	42919	62.31039865793705	70.02959062419907	32.339989282136116	124629390907.64935	0.7600401310297347	-124629390906.89201	0.7600401310311483	-124629390906.87961	0.7600401310311724	124629390906.93262	0.7600401310310735
All	K562	FMR1-FXR2	6	68507	65.81955128672983	72.26414818923614	38.08369947596596	0.5807733363931336	0.0	0.24169203385053928	0.0	0.17504535595398185	0.0	-0.16403594658861206	0.0
All	K562	FXR1-FXR2	1	36706	49.28077153598866	72.8545741840571	22.13534572004577	56262970348.962425	0.7017616488168745	-56262970348.16926	0.7017616488208793	-56262970348.13432	0.7017616488210578	56262970348.21083	0.7017616488206725
All	K562	FXR1-FXR2	2	70558	43.42243260863403	81.16868391961223	24.591116528246264	-63091196091.67051	0.7671683007282326	63091196092.51386	0.7671683007252088	63091196092.44146	0.7671683007254683	-63091196092.420204	0.7671683007255439
All	K562	FXR1-FXR2	3	30305	48.348457350272234	74.84903481273717	23.197492163009404	5110240802.722076	0.9793997787030528	-5110240801.750853	0.979399778706967	-5110240801.82538	0.9793997787066666	5110240801.839487	0.9793997787066098
All	K562	FXR1-FXR2	4	53990	49.73143174661974	77.2439340618633	26.975365808483055	-29508984917.96912	0.6882371175884126	29508984918.922504	0.6882371175788666	29508984918.887753	0.6882371175792161	-29508984918.862175	0.6882371175794726
All	K562	FXR1-FXR2	5	39918	44.243198557041936	75.29435342452027	19.537551981562203	-32882909880.234142	0.8062699462240199	32882909881.121174	0.8062699462188967	32882909880.99743	0.8062699462196099	-32882909880.967922	0.8062699462197792
All	K562	FXR1-FXR2	6	62120	48.4835801674179	79.6941403734707	28.1777205408886	59684023587.26181	0.7484802783400215	-59684023586.39197	0.7484802783435646	-59684023586.51484	0.7484802783430646	59684023586.51325	0.7484802783430706
All	K562	GTF2F1-PCBP1	3	26406	65.42073771112626	35.806256153904414	1.2269938650306749	-326585443264.8669	0.1754149825838121	326585443265.5373	0.1754149825829213	326585443265.58154	0.1754149825828668	-326585443265.2938	0.1754149825832434
All	K562	GTF2F1-PCBP1	4	23711	50.79077221542744	51.541478638606556	2.3322508540339926	76781934791.1379	0.6703790828296052	-76781934790.39537	0.670379082832609	-76781934790.31076	0.6703790828329479	76781934790.107	0.6703790828337712
All	K562	HNRNPK-LARP4	2	15344	84.74973931178312	16.873044838373303	1.622784150156413	38313411208.80515	0.8738974700908777	-38313411208.09242	0.8738974700932027	-38313411208.01543	0.8738974700934535	38313411207.928055	0.873897470093739
All	K562	HNRNPK-PCBP1	1	17169	63.76609004601317	47.34696254877978	11.113052594792942	7868254671.056541	0.9848437947992279	-7868254670.345352	0.9848437948005977	-7868254670.364491	0.984843794800561	7868254670.300631	0.9848437948006838
All	K562	HNRNPK-PCBP1	2	27114	47.96046322932802	63.789924024489196	11.750387253817216	58559475506.536514	0.7852424003788401	-58559475505.82596	0.7852424003813798	-58559475505.86235	0.7852424003812505	58559475505.87477	0.7852424003812075
All	K562	HNRNPK-PCBP1	3	30295	78.79518072289157	31.209770589206137	10.004951312097706	18322552004.013515	0.9547112468309249	-18322552003.36707	0.9547112468325207	-18322552003.2893	0.9547112468327129	18322552003.37002	0.9547112468325136
All	K562	HNRNPK-PCBP1	4	27222	69.46954669017707	44.8938358680479	14.363382558224966	340829173976.5296	0.24218704448741857	-340829173975.9433	0.2421870444882315	-340829173975.7002	0.24218704448856299	340829173975.9008	0.2421870444882825
All	K562	HNRNPK-PCBP1	5	23048	76.1454356126345	38.480562304755296	14.625997917389796	392715343261.4611	0.534239157270813	-392715343260.70197	0.5342391572716023	-392715343260.6877	0.5342391572716165	392715343260.67053	0.534239157271634
