Cell Line	Combination	Mismatched Graphs
K562	('ENSE00000712022', 'ENSE00000712021', 'ENSE00000712023')	1
K562	('ENSE00002619390', 'ENSE00001598351', 'ENSE00003790565')	1
K562	('ENSE00003472145', 'ENSE00003593691', 'ENSE00003576396')	1
K562	('ENSE00003597730', 'ENSE00003513201', 'ENSE00003488572')	1
K562	('ENSE00003644824', 'ENSE00003666599', 'ENSE00003563479')	1
K562	('ENSE00003630714', 'ENSE00003507940', 'ENSE00003552144')	1
K562	('ENSE00001555097', 'ENSE00002405488', 'ENSE00001551398')	1
K562	('ENSE00003660896', 'ENSE00001896127', 'ENSE00003609004')	1
K562	('ENSE00003185402', 'ENSE00003224673', 'ENSE00003034721')	1
K562	('ENSE00003625723', 'ENSE00003523364', 'ENSE00002248182')	1
K562	('ENSE00001695537', 'ENSE00003593723', 'ENSE00001687439')	1
K562	('ENSE00003654599', 'ENSE00003645235', 'ENSE00003804975')	1
K562	('ENSE00003487894', 'ENSE00003601859', 'ENSE00003590578')	1
K562	('ENSE00003499212', 'ENSE00003564282', 'ENSE00001931095')	1
K562	('ENSE00000926771', 'ENSE00000926770', 'ENSE00000718037')	1
K562	('ENSE00001005951', 'ENSE00002180894', 'ENSE00003663302')	1
K562	('ENSE00001468427', 'ENSE00003507846', 'ENSE00003654355')	1
K562	('ENSE00003650666', 'ENSE00003458667', 'ENSE00003479893')	1
K562	('ENSE00002050589', 'ENSE00003553934', 'ENSE00002048841')	1
K562	('ENSE00003656378', 'ENSE00003624212', 'ENSE00001909457')	1
K562	('ENSE00001700360', 'ENSE00003536357', 'ENSE00001722333')	1
K562	('ENSE00003720104', 'ENSE00003730608', 'ENSE00003720177')	1
K562	('ENSE00001589563', 'ENSE00000921889', 'ENSE00001580774')	1
K562	('ENSE00003477654', 'ENSE00003546711', 'ENSE00003546674')	1
K562	('ENSE00001098892', 'ENSE00003485084', 'ENSE00001098890')	1
K562	('ENSE00002630603', 'ENSE00002626423', 'ENSE00002591158')	1
K562	('ENSE00001139572', 'ENSE00001139565', 'ENSE00001139580')	1
K562	('ENSE00002481804', 'ENSE00002533567', 'ENSE00002287818')	1
K562	('ENSE00003642653', 'ENSE00001831688', 'ENSE00003642911')	1
K562	('ENSE00003485734', 'ENSE00003485910', 'ENSE00003683716')	1
K562	('ENSE00003599438', 'ENSE00003612280', 'ENSE00003575801')	1
K562	('ENSE00002715661', 'ENSE00002693895', 'ENSE00003498509')	1
K562	('ENSE00003670372', 'ENSE00003486824', 'ENSE00003598915')	1
K562	('ENSE00003650846', 'ENSE00002103366', 'ENSE00003537927')	1
K562	('ENSE00003482700', 'ENSE00002291340', 'ENSE00003682884')	1
K562	('ENSE00003818003', 'ENSE00003819596', 'ENSE00002614402')	1
K562	('ENSE00001256011', 'ENSE00003598778', 'ENSE00001690170')	1
K562	('ENSE00001903406', 'ENSE00003602224', 'ENSE00001897689')	1
K562	('ENSE00003586887', 'ENSE00002910549', 'ENSE00003634400')	1
K562	('ENSE00003542955', 'ENSE00001336411', 'ENSE00003472918')	1
K562	('ENSE00003633399', 'ENSE00002070919', 'ENSE00003459322')	1
K562	('ENSE00001085940', 'ENSE00001085922', 'ENSE00001085920')	1
K562	('ENSE00003524061', 'ENSE00001491980', 'ENSE00003573996')	1
K562	('ENSE00003626500', 'ENSE00003527612', 'ENSE00003495235')	1
K562	('ENSE00000926508', 'ENSE00001465784', 'ENSE00000983181')	1
K562	('ENSE00002313596', 'ENSE00002279905', 'ENSE00002215317')	1
K562	('ENSE00000756521', 'ENSE00003680521', 'ENSE00000756524')	1
K562	('ENSE00001469223', 'ENSE00003502626', 'ENSE00002065271')	1
K562	('ENSE00003509749', 'ENSE00003585224', 'ENSE00003654720')	1
K562	('ENSE00001024094', 'ENSE00001171880', 'ENSE00001171863')	1
K562	('ENSE00003466678', 'ENSE00003638864', 'ENSE00003654994')	1
K562	('ENSE00003627383', 'ENSE00003507492', 'ENSE00003647219')	1
K562	('ENSE00000888040', 'ENSE00001848015', 'ENSE00003626481')	1
K562	('ENSE00001104433', 'ENSE00001104437', 'ENSE00001104417')	1
K562	('ENSE00003648608', 'ENSE00002202507', 'ENSE00003591500')	1
K562	('ENSE00003669454', 'ENSE00001054591', 'ENSE00003672986')	1
K562	('ENSE00002201900', 'ENSE00003620075', 'ENSE00002152068')	1
K562	('ENSE00003638370', 'ENSE00003499017', 'ENSE00003682703')	1
K562	('ENSE00002534384', 'ENSE00003533185', 'ENSE00003656796')	1
K562	('ENSE00003487806', 'ENSE00003577607', 'ENSE00003694646')	1
K562	('ENSE00003595200', 'ENSE00003491880', 'ENSE00003511435')	1
K562	('ENSE00003553144', 'ENSE00001698704', 'ENSE00001451222')	1
K562	('ENSE00001790828', 'ENSE00001672243', 'ENSE00001601224')	1
K562	('ENSE00003575740', 'ENSE00003679061', 'ENSE00001941816')	1
K562	('ENSE00002522562', 'ENSE00002497560', 'ENSE00002534382')	1
K562	('ENSE00003536392', 'ENSE00001865026', 'ENSE00003474918')	1
K562	('ENSE00001780166', 'ENSE00001722236', 'ENSE00001788884')	1
K562	('ENSE00000753581', 'ENSE00000753578', 'ENSE00003661934')	1
K562	('ENSE00003494077', 'ENSE00003646112', 'ENSE00003539438')	1
K562	('ENSE00003668487', 'ENSE00003592094', 'ENSE00003568900')	1
K562	('ENSE00003544533', 'ENSE00003583927', 'ENSE00002581764')	1
