Parameter Name	Beta_K562	Beta_HepG2	Raw_P_K562	Raw_P_HepG2	FDR_K562	FDR_HepG2
APOBEC3C-PCBP1_1_interaction	-0.24741506274898392		2.0926229647783513e-34		5.147547000951127e-34	
APOBEC3C-PCBP1_2_interaction	0.44883110008787197		7.252358638037762e-150		5.683825258183084e-149	
APOBEC3C_1	-0.05354547224503864		2.11931350091257e-15		3.6439216826915105e-15	
APOBEC3C_2	-0.06766530309504769		7.856026951846566e-54		2.5703699832740706e-53	
CPSF6-RBM15_2_interaction	-0.03504142521359543		0.00401331084385662		0.0048131165636287575	
CPSF6-RBM15_4_interaction	-0.0478987940308118		0.01732418089915699		0.020131892975916915	
CPSF6-RBM15_5_interaction	0.22144332539568204		3.9461667750181886e-19		7.347282890503478e-19	
CPSF6-RBM15_6_interaction	0.21787662715970643		7.99120030719815e-30		1.795356335683851e-29	
CPSF6_2	-0.02183718984653519		2.805715570769453e-08		4.202338432663581e-08	
CPSF6_4	0.1331413723008022		4.0436683274014436e-148		2.962426578987579e-147	
CPSF6_5	0.02374764061312546		0.0004425108307717737		0.000546249633590065	
CPSF6_6	0.023555026473231346		6.992137571517688e-05		8.993703670234584e-05	
CSTF2T-EWSR1_1_interaction	0.057596922708116574		7.680100017385735e-08		1.1253016112430402e-07	
CSTF2T-EWSR1_2_interaction	0.13340670838907964		7.503914969811167e-60		2.7191605858347995e-59	
CSTF2T-EWSR1_3_interaction	0.021331390191870418		0.0025461645836259636		0.0030865376427408266	
CSTF2T-EWSR1_4_interaction	0.05143069559383087		7.802387743099222e-11		1.228693770759083e-10	
CSTF2T-EWSR1_5_interaction	0.09246775037645855		4.028091765263009e-31		9.297718663655027e-31	
CSTF2T-EWSR1_6_interaction	-0.1684301911233169		9.222170303829784e-47		2.679199476198825e-46	
CSTF2T-NONO_1_interaction	-0.16486352350075237		1.2003531531284607e-52		3.816217100040484e-52	
CSTF2T-NONO_2_interaction	0.11174993713006229		4.6944397122299e-47		1.3756749417578056e-46	
CSTF2T-NONO_3_interaction	0.057786902955666665		2.3387541675836536e-12		3.789231511902362e-12	
CSTF2T-NONO_4_interaction	0.16423291886459118		6.674328417365839e-89		3.3077186421357173e-88	
CSTF2T-NONO_5_interaction	0.061422287339379274		2.1923448491115783e-14		3.7126643927165924e-14	
CSTF2T-NONO_6_interaction	-0.1233712735386741		1.7127874119320553e-31		3.980754191869674e-31	
CSTF2T-TAF15_3_interaction	-0.19934630636878253		7.053704149366006e-07		9.9045762430681e-07	
CSTF2T-TAF15_4_interaction	0.5100209442216332		5.784582228252517e-55		1.969095162546564e-54	
CSTF2T_1	-0.0029369484009527345		0.48883504044161386		0.5037841242471678	
CSTF2T_2	-0.10597684141857047		1.5514713276514894e-209		1.6338932419329746e-208	
CSTF2T_3	0.028061177945851827		8.242793515325736e-19		1.517935199270368e-18	
CSTF2T_4	-0.18948633390610556		0.0		0.0	
CSTF2T_5	-0.08096254722296		6.188981089962895e-183		6.320262507022714e-182	
CSTF2T_6	0.0790360220545385		8.6495846455757e-78		3.886546700745348e-77	
DDX42-RBFOX2_3_interaction	0.026919638015911584		0.27277342217896616		0.2872645102322237	
DDX42-U2AF2_4_interaction	0.13022922309187226		0.019582260720271017		0.022600074872367575	
DDX42_3	-0.21778205752157745		3.627855392075686e-73		1.5475788191512738e-72	
DDX42_4	0.09239738759215696		9.8283867717078e-06		1.3409580332249104e-05	
EWSR1-NONO_1_interaction	-0.013431970112836632		0.22085538025195034		0.2347894736432406	
EWSR1-NONO_2_interaction	-0.13137424998981675		5.23317423867475e-53		1.695749729262876e-52	
EWSR1-NONO_3_interaction	0.0029130214993331035		0.7206198937025264		0.729275988521776	
EWSR1-NONO_4_interaction	-0.038763532728779325		1.4106670281766694e-05		1.8940031414164843e-05	
EWSR1-NONO_5_interaction	-0.1706505457848936		2.0110485331040069e-84		9.545399375437328e-84	
EWSR1-NONO_6_interaction	0.20401928311836176		1.6031173565704343e-60		6.002783879602626e-60	
EWSR1-RBM15_2_interaction	-0.19587890666342642		2.0234397270780242e-52		6.372889607713029e-52	
EWSR1-RBM15_3_interaction	0.035820663438607354		0.017785862341191356		0.020597373226740507	
EWSR1_1	-0.0004857508047668673		0.9460559016659496		0.9488715442304315	
EWSR1_2	0.03637279187111091		1.5052262982337902e-12		2.4744451829501818e-12	
EWSR1_3	-0.06879286759335464		2.7302846407001954e-47		8.071104595754086e-47	
EWSR1_4	0.03487801242278813		3.597088407818328e-10		5.586261720897588e-10	
EWSR1_5	0.05628997068569213		1.0566184689487774e-21		2.0582683470273875e-21	
EWSR1_6	0.04998183761419105		4.0760852755233744e-09		6.243821535688078e-09	
FMR1-FXR2_1_interaction	-0.11215547829190006		1.9533237844530794e-70		8.027684333666924e-70	
FMR1-FXR2_2_interaction	0.03011742642229893		6.118832750129869e-13		1.0157865205880618e-12	
FMR1-FXR2_3_interaction	-0.015366629211353936		0.016675787787334605		0.019445468803916132	
FMR1-FXR2_4_interaction	-0.12795854139516216		1.660932180572468e-147		1.1909237124530247e-146	
FMR1-FXR2_5_interaction	-0.02521562467509956		1.1406443614407731e-05		1.543763653837512e-05	
FMR1-FXR2_6_interaction	-0.05007419230502738		3.300278387993056e-27		7.17544397905587e-27	
FMR1_1	0.01686458699666388		9.98782952568235e-06		1.357217157320545e-05	
FMR1_2	-0.03944491306009026		1.1171919819451578e-54		3.691114685446256e-54	
FMR1_3	0.005406689365388354		0.16194556095237908		0.17395404631893682	
FMR1_4	0.16633301860790425		0.0		0.0	
FMR1_5	-0.041794243712813345		3.5269514035955695e-33		8.489875878655049e-33	
FMR1_6	0.058910715624133546		1.652278974657477e-93		8.566430991685688e-93	
FUBP3-RBFOX2_6_interaction		0.3037056205067423		2.7369603940321702e-06		3.7801461179870546e-06
FUBP3-U2AF2_4_interaction		0.6250964357695391		2.001767276685466e-51		6.188950204064239e-51
FUBP3_4		-0.22805219767082047		3.482750756101287e-56		1.1976398008225854e-55
FUBP3_6		0.006959561872969054		0.15343319168842237		0.1657275179455075
FXR1-FXR2_1_interaction	-0.03605928988682741		1.1661639318593292e-07		1.70128677505019e-07	
FXR1-FXR2_2_interaction	-0.006934068922436793		0.1696821140721387		0.18153292838828808	
FXR1-FXR2_3_interaction	-0.023483161057718915		0.0014345879729230236		0.0017580223522729416	
FXR1-FXR2_4_interaction	-0.15215520023230866		1.988325247829898e-163		1.8109881311315558e-162	
FXR1-FXR2_5_interaction	-0.0032613049861916605		0.630900931048148		0.6423372017015887	
FXR1-FXR2_6_interaction	-0.01270940872160048		0.01556408044515593		0.01827559271783118	
FXR1_1	-0.015599491212188324		0.0001814014466513238		0.0002281055504533437	
FXR1_2	0.03476326819641319		8.0148437423771115e-22		1.570350198361097e-21	
FXR1_3	0.014659094042480728		0.0023788575726342255		0.002894133581147054	
FXR1_4	0.15501801004318375		0.0		0.0	
FXR1_5	0.041816530823102445		1.2210982009701903e-22		2.4494648436128224e-22	
FXR1_6	0.055039514747651855		8.677202394200021e-49		2.610908220397685e-48	
FXR2_1	0.0897422730145605		1.6159234960548464e-180		1.6016653475602448e-179	
FXR2_2	-0.024960741497749517		1.617666891929764e-27		3.563096356734186e-27	
FXR2_3	0.0580361875664007		3.3384939594540927e-60		1.23634336740223e-59	
FXR2_4	0.18452043261642098		0.0		0.0	
FXR2_5	0.004213718749470966		0.19253118646897457		0.20532598050646972	
FXR2_6	-0.02692902105924173		3.533498781361163e-24		7.30545453569762e-24	
GTF2F1-PCBP1_3_interaction	0.25844342586709307		3.046999888442915e-34		7.440862046414945e-34	
GTF2F1-PCBP1_4_interaction	-0.11320773405758235		7.420437378889929e-07		1.0333418994569859e-06	
GTF2F1_3	-0.06091265614552227		1.5469481903489844e-88		7.555384639820403e-88	
GTF2F1_4	0.08848093086151405		6.527639274044331e-128		4.31336163794694e-127	
HNRNPK-IGF2BP3_3_interaction		0.6630666880916769		3.69482307706281e-21		7.156065384886018e-21
HNRNPK-IGF2BP3_4_interaction		0.1574678813796819		0.00017908747977423206		0.0002260392534978135
HNRNPK-IGF2BP3_6_interaction		-0.16173645656961563		5.6729713168012654e-12		9.14732695579917e-12
HNRNPK-LARP4_2_interaction	-0.3226833637013008		6.4320572724708334e-40		1.680312636296644e-39	
HNRNPK-LARP4_3_interaction		0.38113904377075414		2.059105107852909e-103		1.1964110712869488e-102
HNRNPK-LARP4_4_interaction		0.1110923291314276		1.9533918116315563e-12		3.1955972840768664e-12
HNRNPK-LARP4_5_interaction		-0.32504852627213077		1.1138937478630052e-40		2.9557652994475017e-40
HNRNPK-LARP4_6_interaction		-0.04135020100428298		0.14524478446788108		0.15738743525940813
HNRNPK-PCBP1_1_interaction	-0.13010915692967145	-0.03867953908132546	2.968959635271314e-38	0.022972946086225805	7.579843917321462e-38	0.026332934799517333
HNRNPK-PCBP1_2_interaction	0.09918024850561628	-0.21937174282749936	8.696163645095395e-34	4.2987535979942785e-33	2.1083504664727684e-33	1.0201971567070929e-32
HNRNPK-PCBP1_3_interaction	0.14478001788830244	-0.21338323577203094	1.0236801085048721e-58	1.6982112307570374e-45	3.6313704901699145e-58	4.769143206376013e-45
HNRNPK-PCBP1_4_interaction	0.10837128453596208	-0.008810338406389456	2.0129362232650563e-39	0.612759413784691	5.178316849162779e-39	0.6257573407437602
HNRNPK-PCBP1_5_interaction	-0.1336848755377126	0.177267067512075	2.350275097563163e-51	7.85947003201243e-23	7.200388253443509e-51	1.5955671089085473e-22
HNRNPK-PCBP1_6_interaction	-0.015389715870233871	0.17603856076447244	0.09504167456993462	1.070782837430919e-16	0.10467007951002603	1.899230611653788e-16
HNRNPK-QKI_3_interaction	0.2879875093166092	0.16246401217524328	0.00031791003127013603	1.6533669301469917e-09	0.0003953346145314976	2.555892914952001e-09
HNRNPK-U2AF2_1_interaction	0.20068532868635464	0.21011850429132606	2.8532843583656553e-08	7.511697674892478e-24	4.25467623349215e-08	1.543562266121198e-23
HNRNPK-U2AF2_2_interaction		0.25160216178021655		1.2333455462855564e-16		2.1761122989436255e-16
HNRNPK-U2AF2_3_interaction		-0.025642175063722565		0.006765232781337924		0.00805612525551548
HNRNPK-U2AF2_5_interaction	0.23023881061052612	0.08768688889618995	2.234431291770545e-25	9.267367344517487e-12	4.70627090829171e-25	1.480143504787864e-11
HNRNPK_1	0.008128691532699073	-0.03832516015950042	0.02949432383224263	1.262273850354914e-22	0.033242766325972464	2.517078624672225e-22
HNRNPK_2	0.019151447828180103	0.02944502148035148	1.7213263499854723e-07	4.245405971903512e-14	2.47900418779959e-07	7.117919465330764e-14
