Interaction Term	K562 - # Interaction Rows	K562 - Mean PSI (Interaction Rows)	K562 - # Single Binders	K562 - Mean PSI (Single Binders)	K562 - Difference in Mean PSI(Interaction - Single)	K562 - Interaction Beta Coefficient	K562 - Interaction P-value	HepG2 - # Interaction Rows	HepG2 - Mean PSI (Interaction Rows)	HepG2 - # Single Binders	HepG2 - Mean PSI (Single Binders)	HepG2 - Difference in Mean PSI(Interaction - Single)	HepG2 - Interaction Beta Coefficient	HepG2 - Interaction P-value
APOBEC3C-1_HNRNPK-1_interaction	0.0		14481.0	0.6869798701747117										
APOBEC3C-1_HNRNPK-2_interaction	0.0		16537.0	0.6977827598718026										
APOBEC3C-1_HNRNPK-3_interaction	11.0	0.9975454545454546	27382.0	0.6552345153750639	0.3423109391703907	0.4197821835636093	6.748480628294254e-05							
APOBEC3C-1_HNRNPK-4_interaction	0.0		22444.0	0.6333135136339333										
APOBEC3C-1_HNRNPK-5_interaction	37.0	0.9923378378378379	21009.0	0.7356759484030654	0.2566618894347725	0.31852817561129243	3.392425296832891e-08							
APOBEC3C-1_HNRNPK-6_interaction	49.0	0.9936938775510203	14823.0	0.7345893881130676	0.2591044894379527	0.3118909215872177	5.558106693686724e-10							
APOBEC3C-1_PCBP1-1_interaction	562.0	0.5596112099644127	10538.0	0.6881915923325109	-0.1285803823680982	-0.07811307654404501	2.3281360474293743e-06							
APOBEC3C-1_PCBP1-2_interaction	408.0	0.7734007352941177	20013.0	0.674214610503173	0.09918612479094469	0.18518448003750235	1.8828612884006003e-23							
APOBEC3C-1_PCBP1-3_interaction	37.0	0.9987162162162162	12914.0	0.6988476846832894	0.2998685315329268	0.3592713269431757	4.967768112821068e-10							
APOBEC3C-1_PCBP1-4_interaction	52.0	0.9973653846153846	15650.0	0.7747599680511182	0.22260541656426636	0.2659069070550704	5.1481355883813494e-08							
APOBEC3C-1_PCBP1-5_interaction	207.0	0.28595652173913044	11988.0	0.7431774274274273	-0.4572209056882969	-0.43182086102533945	1.7395962319016561e-65							
APOBEC3C-1_PCBP1-6_interaction	234.0	0.3680363247863248	17059.0	0.6991481036403072	-0.3311117788539824	-0.28164979359987313	2.3785744105316245e-32							
APOBEC3C-2_HNRNPK-1_interaction	107.0	0.9719719626168225	18823.0	0.68676292301971	0.2852090395971125	0.32384838956299	2.228901419412981e-21							
APOBEC3C-2_HNRNPK-2_interaction	90.0	0.21775	20913.0	0.7022820016257829	-0.4845320016257829	-0.45722395057682585	6.776266074815167e-35							
APOBEC3C-2_HNRNPK-3_interaction	22.0	0.5001818181818182	31916.0	0.6619988250407319	-0.16181700685891376	-0.1109267944221738	0.1364510199440616							
APOBEC3C-2_HNRNPK-4_interaction	0.0		27000.0	0.6444767962962962										
APOBEC3C-2_HNRNPK-5_interaction	72.0	0.9930902777777777	25495.0	0.728496920964895	0.26459335681288265	0.28746895584599547	3.711132719179787e-12							
APOBEC3C-2_HNRNPK-6_interaction	54.0	0.9933055555555554	19369.0	0.7261969384067325	0.26710861714882295	0.27735729318609165	6.248748563834539e-09							
APOBEC3C-2_PCBP1-1_interaction	493.0	0.8063498985801217	15232.0	0.6744281775210084	0.13192172105911337	0.17881790334816772	9.186576226550418e-27							
APOBEC3C-2_PCBP1-2_interaction	691.0	0.8032395079594788	24003.0	0.6749514644002832	0.12828804355919565	0.18138187126903282	1.1255751418662928e-37							
APOBEC3C-2_PCBP1-3_interaction	37.0	0.9987702702702703	17470.0	0.6990097309673726	0.2997605393028977	0.3255949617120778	1.5699400551590584e-08							
APOBEC3C-2_PCBP1-4_interaction	150.0	0.9919566666666666	20010.0	0.755518115942029	0.2364385507246376	0.23117511440257743	1.3056938420861628e-15							
APOBEC3C-2_PCBP1-5_interaction	215.0	0.31246046511627906	16528.0	0.7308823814133592	-0.4184219162970801	-0.4242127416861916	1.0727433603851186e-67							
APOBEC3C-2_PCBP1-6_interaction	263.0	0.4373840304182509	21557.0	0.6984148768381501	-0.26103084641989915	-0.23159195911257538	9.245554938659454e-26							
APOBEC3C-3_HNRNPK-1_interaction	0.0		12846.0	0.7410619648139499										
APOBEC3C-3_HNRNPK-2_interaction	0.0		14902.0	0.7455885116091799										
APOBEC3C-3_HNRNPK-3_interaction	9.0	0.9992222222222222	25751.0	0.6802500097083608	0.31897221251386143	0.09150237842417619	0.43231513569746416							
APOBEC3C-3_HNRNPK-4_interaction	0.0		20809.0	0.6624833004949782										
APOBEC3C-3_HNRNPK-5_interaction	13.0	0.9954999999999999	19422.0	0.7761761147152714	0.21932388528472857	-0.011115912998974976	0.908850194506913							
APOBEC3C-3_HNRNPK-6_interaction	0.0		13286.0	0.7946505343971098										
APOBEC3C-3_PCBP1-1_interaction	3.0	0.9991666666666666	10021.0	0.743109220636663	0.2560574460300037	0.05823747144731579	0.772616270630524							
APOBEC3C-3_PCBP1-2_interaction	18.0	0.9990000000000001	19158.0	0.7130031579496815	0.2859968420503186	0.06332321186766174	0.44349041170962566							
APOBEC3C-3_PCBP1-3_interaction	36.0	0.9988750000000002	11281.0	0.7622047247584433	0.23667027524155693	0.027209634049025017	0.6435153665811502							
APOBEC3C-3_PCBP1-4_interaction	79.0	0.9903227848101266	13961.0	0.8340215600601676	0.156301224749959	-0.07421574658241341	0.06485778633810198							
APOBEC3C-3_PCBP1-5_interaction	9.0	0.9984444444444445	10749.0	0.7983209135733557	0.2001235308710888	-0.014254930584540982	0.902683101345334							
APOBEC3C-3_PCBP1-6_interaction	29.0	0.9988103448275861	15834.0	0.7333967411898445	0.2654136036377416	0.04646743496577262	0.4769054896151542							
APOBEC3C-4_HNRNPK-1_interaction	0.0		15757.0	0.7608286475852003										
APOBEC3C-4_HNRNPK-2_interaction	15.0	0.9993333333333332	17783.0	0.7619341505932633	0.23739918274006988	0.11108663296497681	0.21829353445725697							
APOBEC3C-4_HNRNPK-3_interaction	0.0		28680.0	0.6974825313807531										
APOBEC3C-4_HNRNPK-4_interaction	43.0	0.9669418604651162	23634.0	0.6842325886434797	0.2827092718216365	0.16126912236908475	0.0025590604339389986							
