Interaction Term	Same Position	K562 - # Interaction Rows	K562 - Mean PSI (Interaction Rows)	K562 - # Single Binders	K562 - Mean PSI (Single Binders)	K562 - Difference in Mean PSI(Interaction - Single)	K562 - Interaction Beta Coefficient	K562 - Interaction P-value	K562 - Beta (trained on All Data and All Position PPI)	K562 - P-value (trained on All Data and All Position PPI)	HepG2 - # Interaction Rows	HepG2 - Mean PSI (Interaction Rows)	HepG2 - # Single Binders	HepG2 - Mean PSI (Single Binders)	HepG2 - Difference in Mean PSI(Interaction - Single)	HepG2 - Interaction Beta Coefficient	HepG2 - Interaction P-value	HepG2 - Beta (trained on All Data and All Position PPI)	HepG2 - P-value (trained on All Data and All Position PPI)
APOBEC3C-1_HNRNPK-1_interaction	True	0.0		14481.0	0.6869798701747117				-3.103038160826771e-14	0.0026191557184548									
APOBEC3C-1_HNRNPK-2_interaction	False	0.0		16537.0	0.6977827598718026				2.6541438498067486e-14	0.0096703474246822									
APOBEC3C-1_HNRNPK-3_interaction	False	11.0	0.9975454545454546	27382.0	0.6552345153750639	0.3423109391703907	0.4197821835636093	6.748480628294254e-05	-0.0563755315730084	0.5857927087473782									
APOBEC3C-1_HNRNPK-4_interaction	False	0.0		22444.0	0.6333135136339333				-5.687409858599516e-14	1.8121208991040128e-07									
APOBEC3C-1_HNRNPK-5_interaction	False	37.0	0.992337837837838	21009.0	0.7356759484030654	0.2566618894347725	0.3185281756112924	3.392425296832891e-08	-0.4942581236859266	0.0722439569363362									
APOBEC3C-1_HNRNPK-6_interaction	False	49.0	0.9936938775510205	14823.0	0.7345893881130676	0.2591044894379527	0.3118909215872177	5.558106693686723e-10	-0.2321298125591747	0.0299378032744234									
APOBEC3C-1_PCBP1-1_interaction	True	562.0	0.5596112099644127	10538.0	0.6881915923325109	-0.1285803823680982	-0.078113076544045	2.3281360474293743e-06	-0.5946525877172375	9.81732205588628e-71									
APOBEC3C-1_PCBP1-2_interaction	False	408.0	0.7734007352941177	20013.0	0.674214610503173	0.0991861247909446	0.1851844800375023	1.8828612884006006e-23	0.1945421608778426	0.0005460225492891									
APOBEC3C-1_PCBP1-3_interaction	False	37.0	0.9987162162162162	12914.0	0.6988476846832894	0.2998685315329268	0.3592713269431757	4.967768112821068e-10	0.6107511817985333	0.0008340912043267									
APOBEC3C-1_PCBP1-4_interaction	False	52.0	0.9973653846153846	15650.0	0.7747599680511182	0.2226054165642663	0.2659069070550704	5.148135588381349e-08	-0.4044871957502651	8.047160197667979e-10									
APOBEC3C-1_PCBP1-5_interaction	False	207.0	0.2859565217391304	11988.0	0.7431774274274273	-0.4572209056882969	-0.4318208610253394	1.7395962319016561e-65	-0.4966557367918868	0.0187467941394215									
APOBEC3C-1_PCBP1-6_interaction	False	234.0	0.3680363247863248	17059.0	0.6991481036403072	-0.3311117788539824	-0.2816497935998731	2.3785744105316242e-32	0.8276474378903949	0.0012058366707919									
APOBEC3C-2_HNRNPK-1_interaction	False	107.0	0.9719719626168224	18823.0	0.68676292301971	0.2852090395971125	0.32384838956299	2.228901419412981e-21	0.2105636363897854	0.038901755567045									
APOBEC3C-2_HNRNPK-2_interaction	True	90.0	0.21775	20913.0	0.7022820016257829	-0.4845320016257829	-0.4572239505768258	6.776266074815167e-35	-0.271635001851185	1.0450315486298212e-16									
APOBEC3C-2_HNRNPK-3_interaction	False	22.0	0.5001818181818182	31916.0	0.6619988250407319	-0.1618170068589137	-0.1109267944221738	0.1364510199440616	-0.5549320028861255	9.913225003636047e-11									
APOBEC3C-2_HNRNPK-4_interaction	False	0.0		27000.0	0.6444767962962962				-4.9116949321192086e-14	1.2417005285523418e-06									
APOBEC3C-2_HNRNPK-5_interaction	False	72.0	0.9930902777777776	25495.0	0.728496920964895	0.2645933568128826	0.2874689558459954	3.711132719179787e-12	-0.0342428353863975	0.8153416153572932									
APOBEC3C-2_HNRNPK-6_interaction	False	54.0	0.9933055555555554	19369.0	0.7261969384067325	0.2671086171488229	0.2773572931860916	6.248748563834539e-09	0.6665525738239289	0.0009034525447389									
APOBEC3C-2_PCBP1-1_interaction	False	493.0	0.8063498985801217	15232.0	0.6744281775210084	0.1319217210591133	0.1788179033481677	9.186576226550418e-27	0.3910087267500978	1.2134061255726389e-15									
APOBEC3C-2_PCBP1-2_interaction	True	691.0	0.8032395079594788	24003.0	0.6749514644002832	0.1282880435591956	0.1813818712690328	1.1255751418662928e-37	0.2825431759988582	1.7367426440959004e-26									
APOBEC3C-2_PCBP1-3_interaction	False	37.0	0.9987702702702704	17470.0	0.6990097309673726	0.2997605393028977	0.3255949617120778	1.5699400551590584e-08	-0.1753484287317871	0.3227334163370462									
APOBEC3C-2_PCBP1-4_interaction	False	150.0	0.9919566666666666	20010.0	0.755518115942029	0.2364385507246376	0.2311751144025774	1.3056938420861628e-15	-0.1732329189858358	0.0072376460904212									
APOBEC3C-2_PCBP1-5_interaction	False	215.0	0.312460465116279	16528.0	0.7308823814133592	-0.4184219162970801	-0.4242127416861916	1.0727433603851186e-67	-0.30920684686403	0.0465827001308604									
APOBEC3C-2_PCBP1-6_interaction	False	263.0	0.4373840304182509	21557.0	0.6984148768381501	-0.2610308464198991	-0.2315919591125753	9.245554938659454e-26	-0.2203894006742879	0.2670967354413457									
APOBEC3C-3_HNRNPK-1_interaction	False	0.0		12846.0	0.7410619648139499				4.7341565122000266e-14	0.0332194324976414									
APOBEC3C-3_HNRNPK-2_interaction	False	0.0		14902.0	0.7455885116091799				3.2732485292516014e-14	0.0014878353361316									
APOBEC3C-3_HNRNPK-3_interaction	True	9.0	0.9992222222222222	25751.0	0.6802500097083608	0.3189722125138614	0.0915023784241761	0.4323151356974641	0.0373413592056532	0.6449563381058672									
APOBEC3C-3_HNRNPK-4_interaction	False	0.0		20809.0	0.6624833004949782				-3.695637340169907e-14	0.1147561077416294									
APOBEC3C-3_HNRNPK-5_interaction	False	13.0	0.9955	19422.0	0.7761761147152714	0.2193238852847285	-0.0111159129989749	0.908850194506913	0.1591782834778518	0.2774026415996063									
APOBEC3C-3_HNRNPK-6_interaction	False	0.0		13286.0	0.7946505343971098				1.7413650249251402e-14	0.0889205066233481									
APOBEC3C-3_PCBP1-1_interaction	False	3.0	0.9991666666666666	10021.0	0.743109220636663	0.2560574460300037	0.0582374714473157	0.772616270630524	-0.0786080678692464	0.7165093011598553									
APOBEC3C-3_PCBP1-2_interaction	False	18.0	0.999	19158.0	0.7130031579496815	0.2859968420503186	0.0633232118676617	0.4434904117096256	-0.6951474206765007	0.0151514394610725									
APOBEC3C-3_PCBP1-3_interaction	True	36.0	0.9988750000000002	11281.0	0.7622047247584433	0.2366702752415569	0.027209634049025	0.6435153665811502	0.1975234325319455	0.3195351889646869									
APOBEC3C-3_PCBP1-4_interaction	False	79.0	0.9903227848101266	13961.0	0.8340215600601676	0.156301224749959	-0.0742157465824134	0.0648577863381019	0.4740333602219887	9.587921415028967e-06									
APOBEC3C-3_PCBP1-5_interaction	False	9.0	0.9984444444444444	10749.0	0.7983209135733557	0.2001235308710888	-0.0142549305845409	0.902683101345334	0.8994474229856375	0.0008219101284467									
APOBEC3C-3_PCBP1-6_interaction	False	29.0	0.998810344827586	15834.0	0.7333967411898445	0.2654136036377416	0.0464674349657726	0.4769054896151542	-0.3932815850804861	0.1179737616387641									
APOBEC3C-4_HNRNPK-1_interaction	False	0.0		15757.0	0.7608286475852003				-1.0210242441209377e-13	0.0015906990177368									
APOBEC3C-4_HNRNPK-2_interaction	False	15.0	0.9993333333333332	17783.0	0.7619341505932633	0.2373991827400698	0.1110866329649768	0.2182935344572569	-0.1489555197603342	0.5212650615875896									
APOBEC3C-4_HNRNPK-3_interaction	False	0.0		28680.0	0.6974825313807531				-1.3583471721683942e-14	0.6140365719300781									
APOBEC3C-4_HNRNPK-4_interaction	True	43.0	0.9669418604651162	23634.0	0.6842325886434797	0.2827092718216365	0.1612691223690847	0.0025590604339389	0.0840484439055235	0.0725358141924917									
APOBEC3C-4_HNRNPK-5_interaction	False	2.0	0.99975	22355.0	0.78575135316484	0.21399864683516	0.0678146214981153	0.7833578659743957	0.4318118388763473	0.0450948961024797									
APOBEC3C-4_HNRNPK-6_interaction	False	11.0	0.9990909090909093	16175.0	0.8039840494590417	0.1951068596318674	0.0578325778636324	0.5829066909753645	-0.0131283206687132	0.9524932529044914									
APOBEC3C-4_PCBP1-1_interaction	False	39.0	0.7266025641025641	12860.0	0.7670849533437014	-0.0404823892411373	-0.140748456473906	0.0122702453164146	-0.3432581530215574	0.0003821452259533									
APOBEC3C-4_PCBP1-2_interaction	False	70.0	0.8474214285714285	21965.0	0.7305137491463692	0.1169076794250593	-0.0139600100050569	0.7400258239782591	-0.0415202103523196	0.6124918520273592									
APOBEC3C-4_PCBP1-3_interaction	False	8.0	0.9986875	14248.0	0.7806756386861314	0.2180118613138685	0.1007983495229203	0.4142103320723748	0.1723567961786967	0.1115515047426595									
APOBEC3C-4_PCBP1-4_interaction	True	132.0	0.9777121212121213	16766.0	0.8356689132768697	0.1420432079352515	-0.009744733408807	0.7527691796171743	0.0175209364626997	0.6803973691824485									
APOBEC3C-4_PCBP1-5_interaction	False	20.0	0.9988	13638.0	0.8086131764188298	0.1901868235811703	0.0616484894091843	0.4306596470270601	-1.0393774330923682	0.0001589676702853									
APOBEC3C-4_PCBP1-6_interaction	False	33.0	0.9988181818181818	18737.0	0.7510971873832524	0.2477209944349294	0.121801747453193	0.0458070981279498	0.9866776252346396	1.193917357204646e-09									
APOBEC3C-5_HNRNPK-1_interaction	False	0.0		15933.0	0.6973660327621917				3.1965134728608436e-14	0.0157818801187865									
APOBEC3C-5_HNRNPK-2_interaction	False	0.0		17989.0	0.7061099004947468				2.8787328670337133e-14	0.0381160573518871									
APOBEC3C-5_HNRNPK-3_interaction	False	0.0		28856.0	0.6628276614915443				-2.7949159774967042e-14	0.0071784585750367									
APOBEC3C-5_HNRNPK-4_interaction	False	0.0		23896.0	0.6434995815199196				4.5028826386512316e-14	0.0082723611426759									
APOBEC3C-5_HNRNPK-5_interaction	True	3.0	0.9978333333333332	22529.0	0.7406560211283235	0.2571773122050098	0.2741523658920267	0.1735774182994485	-0.1081468876196431	0.4043675869369443									
APOBEC3C-5_HNRNPK-6_interaction	False	0.0		16373.0	0.7420251633787333				-2.9938986440764764e-16	0.9772942013101826									
APOBEC3C-5_PCBP1-1_interaction	False	1.0	1.0	13112.0	0.689608259609518	0.310391740390482	0.3420614529476252	0.3268558040728802	0.7119985330577694	0.0025148726630116									
APOBEC3C-5_PCBP1-2_interaction	False	18.0	0.9993055555555556	22245.0	0.685599213306361	0.3137063422491946	0.347543922996302	2.471356625515323e-05	-0.4283221216430151	0.0093275442538042									
APOBEC3C-5_PCBP1-3_interaction	False	2.0	0.99975	14436.0	0.7105709684123026	0.2891790315876974	0.3097357317780159	0.2093506446484693	1.263386256467144	8.272782324342299e-07									
APOBEC3C-5_PCBP1-4_interaction	False	1.0	1.0	17204.0	0.7782897581957684	0.2217102418042316	0.2166440198427009	0.5345322249248041	0.7119985330576726	0.0025148726630156									
APOBEC3C-5_PCBP1-5_interaction	True	37.0	0.8936081081081081	13780.0	0.7347204281567488	0.1588876799513593	0.1656720907978604	0.0040747189951306	0.2679957161780807	0.0002417297078005									
APOBEC3C-5_PCBP1-6_interaction	False	29.0	0.868810344827586	18921.0	0.6982503567464722	0.1705599880811138	0.1998801671505475	0.0021148810259476	-1.4436444194948448	8.476675840204745e-26									
APOBEC3C-6_HNRNPK-1_interaction	False	0.0		20124.0	0.6975912095010932				2.251416292021365e-13	6.233712797541478e-14									
