Data Partition	Cell Line	RBP Pair	Position	# Graphs Used in OLS Reg.	# Rows - PPI Interaction	% Rows - PPI Interaction	# Rows - RBP 1 Bound	% Rows - RBP 1 Bound	# Rows - RBP 2 Bound	% Rows - RBP 2 Bound	Intercept Beta Coefficient	Intercept Param P-value	Intercept Param FDR BH	RBP 1 Beta Coefficient	RBP 1 Param P-value	RBP 1 Param FDR BH	RBP 2 Beta Coefficient	RBP 2 Param P-value	RBP 2 Param FDR BH	Interaction Beta Coefficient	Interaction Param P-value	Interaction Param FDR BH
All	K562	FXR1-FXR2	4	2252043	14564	0.6467016837600348	26850	1.1922507696345053	41704	1.8518296497891027	0.715346474129605	0.0	0.0	0.23884541094283002	0.0	0.0	0.21789602771270397	0.0	0.0	-0.1924436186351743	0.0	0.0
All	K562	FMR1-FXR2	4	2252043	20609	0.9151246223984179	38186	1.6956159362854086	41704	1.8518296497891027	0.7149525928942572	0.0	0.0	0.21647981878009143	0.0	0.0	0.2117230411422479	0.0	0.0	-0.17039993338333417	0.0	0.0
All	K562	FXR1-FXR2	3	2252043	7030	0.31216100225439747	14652	0.6506092468039021	22683	1.00721877868229	0.7179082652860054	0.0	0.0	0.2372323802138578	0.0	0.0	0.20848296962104185	0.0	0.0	-0.18162525096728044	1.5480840053350949e-177	4.141627338948435e-177
All	K562	RBM22-TIA1	1	2252043	1312	0.05825821265402126	14686	0.6521189870708508	20687	0.9185881441873002	0.7215413326167652	0.0	0.0	-0.017182726365840426	1.3397184186852948e-08	1.6896856790765554e-08	-0.06667002939096256	1.1654812858653812e-154	2.9763117134909318e-154	0.28799320667661743	8.186440555862852e-169	2.13920518542209e-168
All	K562	CSTF2T-NONO	4	2252043	4284	0.19022727363553893	17177	0.7627296636875939	12761	0.566641045486254	0.7231236699875907	0.0	0.0	-0.15255882860079867	0.0	0.0	-0.23810007673525718	0.0	0.0	0.19647641181904202	3.2727452059552397e-163	8.498136711261926e-163
All	HepG2	RBM15-SRSF9	3	2083000	188	0.009025444071051368	2470	0.1185789726356217	2268	0.10888142102736438	0.7053062840097198	0.0	0.0	0.03749783518396427	4.17426684383986e-07	5.078143522624082e-07	0.18148530252872663	6.168443504512124e-121	1.48910081476113e-120	-0.7149782515096661	2.15125603350277e-144	5.404374913433788e-144
All	K562	CPSF6-TAF15	4	2252043	96	0.004262796047855215	5091	0.22606140291282184	652	0.028951489825016663	0.720659057441341	0.0	0.0	0.1450923940101272	1.3266868365163766e-189	3.619834282415544e-189	0.13382655406945418	1.4602451780482676e-19	2.174533783214047e-19	-0.9656248805209113	2.6629953880059118e-136	6.609362047339974e-136
All	HepG2	RBM15-SRSF9	4	2083000	225	0.010801728276524243	3411	0.16375420067210752	4411	0.21176188190110418	0.7050314177535638	0.0	0.0	0.049546265862246607	2.7686442622492684e-15	3.901988948848456e-15	0.20698446853407515	0.0	0.0	-0.6206754854832106	5.256790488106127e-136	1.3020827742082511e-135
All	K562	SRSF1-TAF15	3	2252043	96	0.004262796047855215	34828	1.546506882861473	714	0.03170454560592316	0.7188219234258647	0.0	0.0	0.14015520141578747	0.0	0.0	0.11071529340263742	2.7993313224916056e-15	3.940744321867453e-15	-0.935947626577589	4.029603749322025e-132	9.941297872578888e-132
All	K562	RBM22-TIA1	3	2252043	2714	0.12051279660290679	15806	0.7018516076291617	32584	1.4468640252428573	0.7204477901908435	0.0	0.0	0.10110999318832402	7.375905727929567e-240	2.125086125809078e-239	0.00333525299630947	0.1006204832904069	0.10833355169594333	-0.183425645071114	1.1498069761229454e-127	2.803079728773098e-127
All	K562	PCBP1-RBFOX2	4	2252043	904	0.0401413294506366	12221	0.5426628177170685	18963	0.8420354318279002	0.7207646652680786	0.0	0.0	0.11682374155352132	9.619058190402242e-277	2.8717767930766112e-276	-0.036062411544167845	1.4267558246158943e-43	2.6242116059899486e-43	-0.274850110321679	4.6338894607517895e-110	1.090949975902707e-109
All	K562	FMR1-FXR2	3	2252043	10029	0.4453289746243744	20356	0.9038903786472994	22683	1.00721877868229	0.717926720332686	0.0	0.0	0.17110896282796528	0.0	0.0	0.20567613252015876	0.0	0.0	-0.12582359153084502	4.723264620745339e-105	1.1035831892705556e-104
All	K562	CSTF2T-NONO	1	2252043	2021	0.08974073763245195	10041	0.4458618241303563	8172	0.3628705135736751	0.7213235855162072	0.0	0.0	-0.02257420895758489	7.190254578409323e-09	9.124388766852078e-09	-0.013998841572126866	0.0016675980062856239	0.0018909643447422304	-0.2089358392912813	9.525289026669361e-102	2.1883377763872363e-101
All	HepG2	CSTF2T-TAF15	4	2083000	121	0.005808929428708593	15295	0.7342774843975036	929	0.044599135861737874	0.7068039994252259	0.0	0.0	-0.16718471644116376	0.0	0.0	-0.3016195934846387	7.021989437073359e-130	1.725482891495561e-129	0.722033368351817	8.135663061017621e-97	1.851874685712298e-96
All	K562	CSTF2T-NONO	2	2252043	5686	0.25248185758442443	18752	0.8326661613477184	16098	0.7148176122747213	0.7226132414314954	0.0	0.0	-0.11245554205907096	6.013483961396029e-296	1.8397688555162108e-295	-0.14468565787406204	0.0	0.0	0.13546077594800848	3.782716083075364e-96	8.578783630607615e-96
All	HepG2	PTBP1-QKI	4	2083000	406	0.019491118578972635	7605	0.36509841574651947	18847	0.9048007681228997	0.7082719489594803	0.0	0.0	-0.1968398750603415	0.0	0.0	-0.2367005862351217	0.0	0.0	0.37043230543942385	3.70407230315202e-92	8.293901026623e-92
All	K562	CSTF2T-EWSR1	4	2252043	5875	0.2608742373036394	17177	0.7627296636875939	11296	0.5015890016309635	0.7224052721641484	0.0	0.0	-0.18726220014150574	0.0	0.0	-0.07615780859655692	4.181806650606036e-58	8.243561435644434e-58	0.1493703961483669	4.800548742943938e-92	1.069095179509677e-91
All	K562	IGF2BP2-PCBP1	6	2252043	2998	0.13312356824447846	31274	1.388694620839833	13994	0.6213913322258944	0.7210521340879811	0.0	0.0	0.003996546772097067	0.05554804689872444	0.06027865317543758	-0.051897441472483555	1.2858215982968226e-54	2.5186616410378333e-54	0.14985309683655	3.387756456042923e-89	7.463934010105263e-89
