Data Partition	Cell Line	RBP Pair	Position	# Graphs Used in OLS Reg.	# Rows - RBP 1 Bound	% Rows - RBP 1 Bound	# Rows - RBP 2 Bound	% Rows - RBP 2 Bound	# Rows - PPI Interaction	% Rows - PPI Interaction	Intercept Beta Coefficient	Intercept Param P-value	Intercept Param FDR BH	RBP 1 Beta Coefficient	RBP 1 Param P-value	RBP 1 Param FDR BH	RBP 2 Beta Coefficient	RBP 2 Param P-value	RBP 2 Param FDR BH	Interaction Beta Coefficient	Interaction Param P-value	Interaction Param FDR BH
All	K562	FMR1-FXR2	4	2252043	38186	1.6956159362854086	41704	1.8518296497891027	20609	0.9151246223984179	0.7149525928942572	0.0	0.0	0.21647981878009143	0.0	0.0	0.2117230411422479	0.0	0.0	-0.17039993338333417	0.0	0.0
All	K562	FXR1-FXR2	4	2252043	26850	1.1922507696345053	41704	1.8518296497891027	14564	0.6467016837600348	0.715346474129605	0.0	0.0	0.23884541094283002	0.0	0.0	0.21789602771270397	0.0	0.0	-0.1924436186351743	0.0	0.0
All	K562	FXR1-FXR2	3	2252043	14652	0.6506092468039021	22683	1.00721877868229	7030	0.31216100225439747	0.7179082652860054	0.0	0.0	0.2372323802138578	0.0	0.0	0.20848296962104185	0.0	0.0	-0.18162525096728044	1.5480840053350949e-177	3.965267803139015e-177
All	K562	RBM22-TIA1	1	2252043	14686	0.6521189870708508	20687	0.9185881441873002	1312	0.05825821265402126	0.7215413326167652	0.0	0.0	-0.017182726365840426	1.3397184186852948e-08	1.62322729566849e-08	-0.06667002939096256	1.1654812858653812e-154	2.800992061503632e-154	0.28799320667661743	8.186440555862852e-169	2.043111660095686e-168
All	K562	CSTF2T-NONO	4	2252043	17177	0.7627296636875939	12761	0.566641045486254	4284	0.19022727363553893	0.7231236699875907	0.0	0.0	-0.15255882860079867	0.0	0.0	-0.23810007673525718	0.0	0.0	0.19647641181904202	3.2727452059552397e-163	8.098657628296017e-163
All	K562	RBM22-TIA1	3	2252043	15806	0.7018516076291617	32584	1.4468640252428573	2714	0.12051279660290679	0.7204477901908435	0.0	0.0	0.10110999318832402	7.375905727929567e-240	2.022314058737496e-239	0.00333525299630947	0.1006204832904069	0.10703526819963138	-0.183425645071114	1.1498069761229454e-127	2.6646320399039687e-127
All	K562	PCBP1-RBFOX2	4	2252043	12221	0.5426628177170685	18963	0.8420354318279002	904	0.0401413294506366	0.7207646652680786	0.0	0.0	0.11682374155352132	9.619058190402242e-277	2.7269563025218002e-276	-0.036062411544167845	1.4267558246158943e-43	2.4506629458108302e-43	-0.274850110321679	4.6338894607517895e-110	1.0408428634919405e-109
All	K562	FMR1-FXR2	3	2252043	20356	0.9038903786472994	22683	1.00721877868229	10029	0.4453289746243744	0.717926720332686	0.0	0.0	0.17110896282796528	0.0	0.0	0.20567613252015876	0.0	0.0	-0.12582359153084502	4.723264620745339e-105	1.0488161743404098e-104
All	K562	CSTF2T-NONO	1	2252043	10041	0.4458618241303563	8172	0.3628705135736751	2021	0.08974073763245195	0.7213235855162072	0.0	0.0	-0.02257420895758489	7.190254578409323e-09	8.784746179479172e-09	-0.013998841572126866	0.0016675980062856239	0.00187284083782847	-0.2089358392912813	9.525289026669361e-102	2.083434004335171e-101
All	K562	CSTF2T-NONO	2	2252043	18752	0.8326661613477184	16098	0.7148176122747213	5686	0.25248185758442443	0.7226132414314954	0.0	0.0	-0.11245554205907096	6.013483961396029e-296	1.7472013101767566e-295	-0.14468565787406204	0.0	0.0	0.13546077594800848	3.782716083075364e-96	8.181874787096343e-96
All	HepG2	PTBP1-QKI	4	2083000	7605	0.36509841574651947	18847	0.9048007681228997	406	0.019491118578972635	0.7082719489594803	0.0	0.0	-0.1968398750603415	0.0	0.0	-0.2367005862351217	0.0	0.0	0.37043230543942385	3.70407230315202e-92	7.866102636511925e-92
All	K562	CSTF2T-EWSR1	4	2252043	17177	0.7627296636875939	11296	0.5015890016309635	5875	0.2608742373036394	0.7224052721641484	0.0	0.0	-0.18726220014150574	0.0	0.0	-0.07615780859655692	4.181806650606036e-58	7.802476306562061e-58	0.1493703961483669	4.800548742943938e-92	1.0121012512199495e-91
All	K562	IGF2BP2-PCBP1	6	2252043	31274	1.388694620839833	13994	0.6213913322258944	2998	0.13312356824447846	0.7210521340879811	0.0	0.0	0.003996546772097067	0.05554804689872444	0.059632462111865944	-0.051897441472483555	1.2858215982968226e-54	2.3914643739023704e-54	0.14985309683655	3.387756456042923e-89	7.040746513626574e-89
All	K562	GTF2F1-PCBP1	4	2252043	12043	0.5347588833783369	12221	0.5426628177170685	553	0.024555481400665977	0.7203610873514369	0.0	0.0	0.021992306904431155	1.5561857655140104e-11	2.001789619075291e-11	0.10723995824335535	1.2179601634757992e-240	3.3551355446691825e-240	-0.3095318696782504	1.8702150636964953e-88	3.8593837356846406e-88
All	HepG2	HNRNPK-PCBP1	3	2083000	21375	1.0261641862698032	3818	0.18329332693230918	1221	0.0586173787806049	0.7058346460077294	0.0	0.0	-0.03700141191029101	2.099738914182556e-49	3.761495478167524e-49	0.09419404093875795	6.931746904976249e-42	1.1767849396820142e-41	-0.2452852602941812	2.4171725965428707e-85	4.9705239309191425e-85
All	HepG2	RBFOX2-SF3B4	4	2083000	28995	1.3919827172347576	79134	3.7990398463754205	3850	0.18482957273163705	0.6999278127133647	0.0	0.0	-0.08358122293408271	5.022144074014767e-306	1.4812788581942543e-305	0.1709613669263945	0.0	0.0	0.1214932121254819	1.3165905273621902e-84	2.688422615313004e-84
All	K562	CSTF2T-NONO	5	2252043	24146	1.0721820142865834	17984	0.7985637929648768	4866	0.21607047467566118	0.7221867956125644	0.0	0.0	-0.07209639104824055	1.1250324276537738e-179	2.9071634413708137e-179	-0.0844654585185016	2.159115726859542e-168	5.365632274408393e-168	0.11355415383086716	5.256263168923148e-71	1.0335547779970096e-70
All	HepG2	HNRNPK-IGF2BP3	6	2083000	8640	0.414786365818531	8717	0.41848295727316376	265	0.01272203552568411	0.7051410014385945	0.0	0.0	0.03943732691963287	2.4262957107654848e-24	3.5512699124988545e-24	0.05410882108861852	1.0025963741975673e-44	1.7374370401524607e-44	-0.3709777154845689	1.4892304981664879e-61	2.8329335860886933e-61
All	HepG2	U2AF1-U2AF2	4	2083000	25594	1.22870859337494	166791	8.007249159865578	19896	0.9551608257321171	0.7081036050041088	0.0	0.0	0.01739700924651842	0.00020915973130030842	0.00023903969291463818	-0.0249580112126283	9.83792007020353e-150	2.3450389065301477e-149	-0.08742936419601405	5.764808118226754e-59	1.0790538272578283e-58
All	HepG2	U2AF1-U2AF2	6	2083000	15035	0.7217954872779645	136699	6.562602016322612	12661	0.6078252520403264	0.7073140555175168	0.0	0.0	0.11270237245214657	2.800540767369987e-54	5.1921136766478486e-54	-0.02910956979540537	1.063417801429834e-173	2.67687929325441e-173	-0.12065450843885941	1.175530523686977e-51	2.1386598935613534e-51
All	HepG2	PCBP2-RBFOX2	3	2083000	23464	1.126452232357177	45069	2.1636581853096493	2287	0.10979356697071532	0.7070488542479656	0.0	0.0	-0.06085852983942048	6.517788060336446e-137	1.5410478652779288e-136	-0.04676461087458965	3.10338473933162e-161	7.647159020125173e-161	0.12053231007773657	1.3292349324972173e-51	2.4107863371999223e-51
All	K562	U2AF1-U2AF2	2	2252043	31475	1.3976198500650299	86295	3.8318540098923513	23912	1.0617914489199363	0.7219588839696335	0.0	0.0	-0.08224534436895366	3.938353287751732e-93	8.424902271234475e-93	-0.015351450854836352	2.278951311337499e-27	3.520919486299205e-27	0.07190451379681524	1.9473202555058018e-50	3.499184705278118e-50
All	K562	IGF2BP2-PCBP1	2	2252043	35134	1.5600945452640114	17296	0.7680137546219143	3643	0.16176422919100567	0.7212796626901269	0.0	0.0	-0.0012604190967350666	0.5243006811274931	0.5352999961161817	-0.05697419868953574	1.0261310213100017e-80	2.0664155739484175e-80	0.10027447197782957	3.151234543652824e-49	5.627892885300457e-49
All	K562	GTF2F1-PCBP1	3	2252043	17275	0.767081267986446	9455	0.4198410065882401	324	0.014386936661511349	0.7213456462127463	0.0	0.0	-0.04825034210089936	5.547245472536161e-72	1.0944565391760534e-71	-0.0078831557954825	0.031139534128270155	0.03367682950168476	0.29337272822683924	3.486877260782677e-49	6.2083424399301324e-49
All	HepG2	HNRNPK-U2AF2	1	2083000	9578	0.45981757081132985	64558	3.099279884781565	350	0.016802688430148822	0.7059341971537129	0.0	0.0	-0.00871491887022608	0.01823721302071561	0.019907537203921338	-0.014779247614707188	2.022767973088739e-25	3.013511470111795e-25	0.2841699693312354	5.667087092058985e-49	1.005951021812294e-48
All	K562	CSTF2T-EWSR1	5	2252043	24146	1.0721820142865834	10944	0.48595874945549444	6056	0.26891138401886644	0.7217432819660197	0.0	0.0	-0.08598805808541723	3.570547008990358e-239	9.743922678740041e-239	-0.024532561835082158	8.979756220224211e-07	1.0615744195568701e-06	0.10506143636927943	2.5969468639734733e-48	4.595808995637904e-48
All	K562	MBNL1-RBFOX2	2	2252043	2427	0.10776881258483964	16181	0.718503154691096	207	0.009191653978187806	0.7213462842299703	0.0	0.0	-0.22435979774348794	1.4043080739190681e-201	3.694215834093404e-201	-0.0213262829779265	1.3482304602910808e-14	1.7935457603872238e-14	0.36308134238516854	5.126559266760435e-46	8.963804226910462e-46
All	K562	U2AF1-U2AF2	4	2252043	23373	1.0378576252762493	71444	3.172408342114249	17856	0.7928800649010699	0.7197962975648748	0.0	0.0	0.06583330185510636	1.505838641431995e-44	2.6018040431842753e-44	0.03576711215371522	1.272977952957781e-121	2.9384155119657867e-121	-0.07940606417226063	6.992639685128049e-46	1.2190153958551584e-45
All	K562	HNRNPK-PCBP1	4	2252043	18911	0.8397264173019787	12221	0.5426628177170685	3910	0.173620130699103	0.7213612906386637	0.0	0.0	-0.13249688159927356	0.0	0.0	0.10262932420914438	4.481125918169438e-158	1.0858827951082787e-157	0.10311419514021508	7.627418745902036e-45	1.3257180201210682e-44
All	HepG2	HNRNPK-LARP4	5	2083000	16670	0.800288046087374	13762	0.6606817090734517	221	0.010609697551608257	0.7047922487406149	0.0	0.0	0.06436049610708235	1.86658804094071e-119	4.2581539683959953e-119	0.032023680658997696	8.747199124513072e-26	1.3098369971065727e-25	-0.3305497286741161	1.2131173442932283e-42	2.0715220148165068e-42
All	K562	EWSR1-RBM15	2	2252043	11644	0.5170416373044386	88384	3.9246142280587004	798	0.03543449214779647	0.7219203579224021	0.0	0.0	-0.03604395187409838	6.933043910040223e-27	1.0599208490742122e-26	-0.01751952902280703	4.226115262297101e-48	7.433889497534659e-48	-0.1743618895568354	6.055073728388898e-42	1.0309513286819582e-41
All	K562	FMR1-FXR2	1	2252043	20734	0.9206751380857293	26742	1.1874551240806681	10758	0.4776995821127749	0.7193161378127365	0.0	0.0	0.05282685537091904	1.5465288535194905e-51	2.7962007754036605e-51	0.12967967049556745	0.0	0.0	-0.07489056663515792	4.45281367431346e-41	7.515731750864337e-41
All	HepG2	U2AF1-U2AF2	3	2083000	16908	0.8117138742198752	102736	4.932117138742199	11340	0.5444071051368219	0.7063188511041696	0.0	0.0	-0.013311846793823155	0.005048175260360781	0.005594182831215742	-0.006020812896801866	4.899502929377211e-07	5.803873652649679e-07	-0.07898888100789457	1.0089562065082656e-40	1.6883393255038026e-40
