Cell Line	Model	RBP Pair	Position	Same Pos. PPI R2	Single Binders R2	# Graphs (Same Pos. PPI)	# Graphs (Single Binders)	Difference
HepG2	xgboost	HNRNPK-PCBP1	2	0.1489518462093833	-0.7941671198552918	42	2075	0.943118966064675
K562	xgboost	CSTF2T-NONO	4	0.8454697539659715	0.14351815740922713	199	3417	0.7019515965567443
K562	xgboost	RBM22-TIA1	3	0.5810782886329167	-0.03698883736125613	423	7287	0.6180671259941728
K562	xgboost	IGF2BP2-PCBP1	5	0.5178652425176222	-0.035136130153013534	300	3151	0.5530013726706358
K562	xgboost	RBM22-TIA1	2	0.5426205568761522	-0.004273851143247853	409	12063	0.5468944080194
K562	xgboost	PTBP1-ZC3H8	5	0.00020605643410886998	-0.5464410961508435	50	1439	0.5466471525849523
K562	xgboost	FMR1-FXR2	5	0.5416088320138222	0.06375758947908883	1946	4527	0.4778512425347333
K562	xgboost	FMR1-FXR2	1	0.3956887907537603	0.10114971120863336	1874	3025	0.2945390795451269
HepG2	xgboost	PCBP2-RBFOX2	5	0.4666214026903168	0.21801674662071668	78	9223	0.24860465606960014
K562	xgboost	FMR1-FXR2	6	0.4993407782638638	0.25978924053575103	3342	5596	0.23955153772811277
K562	xgboost	CSTF2T-EWSR1	1	0.5460895360942504	0.35028069314950383	171	2539	0.19580884294474654
HepG2	xgboost	PCBP1-PTBP1	3	0.024022987593593115	-0.16876010773544659	72	2816	0.1927830953290397
K562	xgboost	CSTF2T-EWSR1	6	0.20007498877364027	0.030405493125737815	476	1978	0.16966949564790246
HepG2	xgboost	U2AF1-U2AF2	6	0.418529187701148	0.27507459902410447	2845	26694	0.14345458867704353
HepG2	xgboost	QKI-RBFOX2	3	0.3528978764801388	0.21281788037367289	291	11125	0.14007999610646593
K562	xgboost	FMR1-FXR2	3	0.06896084555455051	-0.03119939057109522	1440	2919	0.10016023612564573
HepG2	xgboost	U2AF1-U2AF2	2	0.2864411655626834	0.19187516245286507	5072	27866	0.09456600310981833
K562	xgboost	U2AF1-U2AF2	2	0.12056355262025387	0.03935428548059394	4254	10517	0.08120926713965992
K562	xgboost	U2AF1-U2AF2	5	0.16885625807899396	0.09070541531288345	2240	11026	0.0781508427661105
HepG2	xgboost	U2AF1-U2AF2	3	0.2801708999034953	0.20882393629222296	1923	22636	0.07134696361127235
HepG2	xgboost	QKI-RBFOX2	4	0.14372152901537827	0.08152977531869088	330	9405	0.06219175369668739
K562	xgboost	U2AF1-U2AF2	6	0.19626227361117843	0.1523684732130759	4691	11607	0.043893800398102534
HepG2	xgboost	HNRNPK-PCBP1	3	0.08012899241791216	0.04786546864095065	75	4491	0.03226352377696151
K562	xgboost	IGF2BP2-PCBP1	2	0.2813087522257628	0.2522799984537888	413	8959	0.029028753771974003
K562	xgboost	FXR1-FXR2	3	0.021002067915501965	0.04017231819623779	909	3026	-0.019170250280735823
K562	xgboost	EWSR1-NONO	6	0.006577844741548988	0.05379005116904434	370	2001	-0.04721220642749535
K562	xgboost	CSTF2T-NONO	6	0.09778376774843911	0.15480030076414664	403	3077	-0.05701653301570753
K562	xgboost	CSTF2T-NONO	1	0.304496434209247	0.3733322229884556	347	2682	-0.0688357887792086
HepG2	xgboost	HNRNPK-PCBP1	1	-0.09508860859806822	-0.015719281551773268	20	1772	-0.07936932704629496
K562	xgboost	U2AF1-U2AF2	3	0.009693413189377442	0.10592557594922591	1741	6516	-0.09623216275984847
K562	xgboost	RBFOX2-SF3B4	5	0.08987975194128672	0.18968519214677904	983	41572	-0.09980544020549231
K562	xgboost	PTBP1-ZC3H8	6	0.00020605643410886998	0.10187870600222859	50	678	-0.10167264956811972
K562	xgboost	FXR1-FXR2	2	0.21164424265262527	0.34187531645457836	2894	6434	-0.1302310738019531
K562	xgboost	EWSR1-NONO	4	0.11708178609909059	0.25325712879487183	443	2412	-0.13617534269578124
