No Examples Type	RBP Pair	Position
No PPI Examples	CSTF2T-NIP7	1
No PPI Examples	CSTF2T-NIP7	2
No PPI Examples	CSTF2T-NIP7	3
No PPI Examples	CSTF2T-NIP7	4
No PPI Examples	CSTF2T-NIP7	5
No PPI Examples	CSTF2T-NIP7	6
No PPI Examples	CSTF2T-SFPQ	2
No PPI Examples	CSTF2T-TAF15	1
No PPI Examples	CSTF2T-TAF15	3
No PPI Examples	CSTF2T-TAF15	5
No PPI Examples	FKBP4-FUBP3	1
No PPI Examples	FKBP4-FUBP3	2
No PPI Examples	FKBP4-FUBP3	3
No PPI Examples	FKBP4-FUBP3	4
No PPI Examples	FKBP4-FUBP3	5
No PPI Examples	FKBP4-FUBP3	6
No PPI Examples	FUBP3-LARP4	4
No PPI Examples	FUBP3-LARP4	5
No PPI Examples	FUBP3-PCBP1	1
No PPI Examples	FUBP3-PCBP1	2
No PPI Examples	FUBP3-PCBP1	3
No PPI Examples	FUBP3-PCBP1	4
No PPI Examples	FUBP3-PCBP1	5
No PPI Examples	FUBP3-PCBP1	6
No PPI Examples	FUBP3-RBFOX2	1
No PPI Examples	FUBP3-RBFOX2	2
No PPI Examples	FUBP3-RBFOX2	4
No PPI Examples	FUBP3-RBFOX2	5
No PPI Examples	FUBP3-U2AF2	1
No PPI Examples	FUBP3-U2AF2	2
No PPI Examples	HNRNPA1-SRSF9	1
No PPI Examples	HNRNPA1-SRSF9	2
No PPI Examples	HNRNPA1-SRSF9	3
No PPI Examples	HNRNPA1-SRSF9	4
No PPI Examples	HNRNPA1-SRSF9	5
No PPI Examples	HNRNPA1-SRSF9	6
No PPI Examples	HNRNPK-HNRNPU	1
No PPI Examples	HNRNPK-HNRNPU	2
No PPI Examples	HNRNPK-HNRNPU	3
No PPI Examples	HNRNPK-HNRNPU	4
No PPI Examples	HNRNPK-HNRNPU	5
No PPI Examples	HNRNPK-HNRNPU	6
No PPI Examples	HNRNPK-IGF2BP3	1
No PPI Examples	HNRNPK-SRSF7	1
No PPI Examples	HNRNPK-SRSF7	2
No PPI Examples	HNRNPK-SRSF7	3
No PPI Examples	HNRNPK-SRSF7	4
No PPI Examples	HNRNPK-SRSF7	5
No PPI Examples	HNRNPK-SRSF7	6
No PPI Examples	HNRNPK-TAF15	1
No PPI Examples	HNRNPK-TAF15	2
No PPI Examples	HNRNPK-TAF15	3
No PPI Examples	HNRNPK-TAF15	4
No PPI Examples	HNRNPK-TAF15	5
No PPI Examples	HNRNPK-TAF15	6
No PPI Examples	IGF2BP1-PTBP1	2
No PPI Examples	IGF2BP1-PTBP1	4
No PPI Examples	NIP7-QKI	2
No PPI Examples	NIP7-QKI	4
No PPI Examples	NIP7-QKI	5
No PPI Examples	NIP7-QKI	6
No PPI Examples	NKRF-STAU2	1
No PPI Examples	NKRF-STAU2	2
No PPI Examples	NKRF-STAU2	3
No PPI Examples	NKRF-STAU2	4
No PPI Examples	NKRF-STAU2	5
No PPI Examples	NKRF-STAU2	6
No PPI Examples	PCBP1-PTBP1	1
No PPI Examples	PCBP1-PTBP1	2
No PPI Examples	PCBP1-PTBP1	4
No PPI Examples	PCBP1-QKI	1
No PPI Examples	PCBP1-QKI	2
No PPI Examples	PCBP1-QKI	3
No PPI Examples	PCBP1-QKI	4
No PPI Examples	PCBP1-QKI	5
No PPI Examples	PCBP1-QKI	6
No PPI Examples	PTBP1-QKI	2
No PPI Examples	PTBP1-QKI	5
No PPI Examples	PTBP1-QKI	6
No PPI Examples	PTBP1-TARDBP	2
No PPI Examples	PTBP1-TARDBP	5
No PPI Examples	PTBP1-TARDBP	6
No PPI Examples	SF3B4-SFPQ	1
No PPI Examples	SF3B4-SFPQ	2
No PPI Examples	SF3B4-SFPQ	3
No PPI Examples	SF3B4-SFPQ	4
No PPI Examples	SF3B4-SFPQ	5
No PPI Examples	SF3B4-SFPQ	6
No PPI Examples	SRSF1-TAF15	1
No PPI Examples	SRSF1-TAF15	2
No PPI Examples	SRSF1-TAF15	3
No PPI Examples	SRSF1-TAF15	4
No PPI Examples	SRSF1-TAF15	5
No PPI Examples	SRSF1-TAF15	6
No PPI Examples	SRSF9-TAF15	1
No PPI Examples	SRSF9-TAF15	2
No PPI Examples	SRSF9-TAF15	3
No PPI Examples	SRSF9-TAF15	4
No PPI Examples	SRSF9-TAF15	5
No PPI Examples	SRSF9-TAF15	6
No PPI Examples	SRSF9-TRA2A	1
No PPI Examples	SRSF9-TRA2A	3
No PPI Examples	SRSF9-TRA2A	5
