No Examples Type	RBP Pair	Position
No PPI Examples	APOBEC3C-HNRNPK	1
No PPI Examples	CPEB4-CSTF2T	2
No PPI Examples	CPEB4-CSTF2T	5
No PPI Examples	CPSF6-ILF3	1
No PPI Examples	CPSF6-ILF3	2
No PPI Examples	CPSF6-ILF3	3
No PPI Examples	CPSF6-ILF3	4
No PPI Examples	CPSF6-ILF3	5
No PPI Examples	CPSF6-ILF3	6
No PPI Examples	CPSF6-NONO	2
No PPI Examples	CPSF6-NONO	4
No PPI Examples	CPSF6-NONO	6
No PPI Examples	CPSF6-TAF15	1
No PPI Examples	CPSF6-TAF15	2
No PPI Examples	CPSF6-TAF15	3
No PPI Examples	CPSF6-TAF15	5
No PPI Examples	CPSF6-TAF15	6
No PPI Examples	DDX21-RBFOX2	2
No PPI Examples	DDX21-RBFOX2	4
No PPI Examples	DDX21-RBFOX2	6
No PPI Examples	DDX42-RBFOX2	1
No PPI Examples	DDX42-RBFOX2	6
No PPI Examples	FMR1-RYBP	1
No PPI Examples	FMR1-RYBP	2
No PPI Examples	FMR1-RYBP	4
No PPI Examples	FMR1-RYBP	6
No PPI Examples	HNRNPA1-SRSF9	1
No PPI Examples	HNRNPA1-SRSF9	2
No PPI Examples	HNRNPA1-SRSF9	3
No PPI Examples	HNRNPA1-SRSF9	4
No PPI Examples	HNRNPA1-SRSF9	5
No PPI Examples	HNRNPA1-SRSF9	6
No PPI Examples	HNRNPK-HNRNPU	1
No PPI Examples	HNRNPK-HNRNPU	2
No PPI Examples	HNRNPK-HNRNPU	3
No PPI Examples	HNRNPK-HNRNPU	4
No PPI Examples	HNRNPK-HNRNPU	6
No PPI Examples	HNRNPK-LARP4	1
No PPI Examples	HNRNPK-LARP4	3
No PPI Examples	HNRNPK-LARP4	4
No PPI Examples	HNRNPK-LARP4	5
No PPI Examples	HNRNPK-LARP4	6
No PPI Examples	HNRNPK-QKI	2
No PPI Examples	HNRNPK-QKI	4
No PPI Examples	HNRNPK-QKI	6
No PPI Examples	HNRNPK-SRSF7	1
No PPI Examples	HNRNPK-SRSF7	2
No PPI Examples	HNRNPK-SRSF7	3
No PPI Examples	HNRNPK-SRSF7	4
No PPI Examples	HNRNPK-SRSF7	5
No PPI Examples	HNRNPK-SRSF7	6
No PPI Examples	HNRNPK-TAF15	1
No PPI Examples	HNRNPK-TAF15	2
No PPI Examples	HNRNPK-TAF15	3
No PPI Examples	HNRNPK-TAF15	4
No PPI Examples	HNRNPK-TAF15	5
No PPI Examples	HNRNPK-TAF15	6
No PPI Examples	IGF2BP1-PTBP1	6
No PPI Examples	IGF2BP2-PTBP1	1
No PPI Examples	IGF2BP2-PTBP1	5
No PPI Examples	IGF2BP2-RBFOX2	1
No PPI Examples	IGF2BP2-RBFOX2	3
No PPI Examples	IGF2BP2-RBFOX2	5
No PPI Examples	MBNL1-QKI	1
No PPI Examples	MBNL1-QKI	2
No PPI Examples	MBNL1-QKI	3
No PPI Examples	MBNL1-QKI	4
No PPI Examples	MBNL1-QKI	5
No PPI Examples	MBNL1-QKI	6
No PPI Examples	PCBP1-QKI	1
No PPI Examples	PCBP1-QKI	2
No PPI Examples	PCBP1-QKI	4
No PPI Examples	PCBP1-WDR3	1
No PPI Examples	PCBP1-WDR3	2
No PPI Examples	PCBP1-WDR3	3
No PPI Examples	PCBP1-WDR3	4
No PPI Examples	PCBP1-WDR3	5
No PPI Examples	PCBP1-WDR3	6
No PPI Examples	PPIL4-RBFOX2	2
No PPI Examples	PTBP1-QKI	2
No PPI Examples	PTBP1-QKI	5
No PPI Examples	PTBP1-TARDBP	2
No PPI Examples	PUM2-QKI	1
No PPI Examples	PUM2-QKI	3
No PPI Examples	PUM2-RBFOX2	4
No PPI Examples	QKI-RBFOX2	2
No PPI Examples	QKI-RBFOX2	6
No PPI Examples	QKI-YWHAG	1
No PPI Examples	QKI-YWHAG	2
No PPI Examples	QKI-YWHAG	3
No PPI Examples	QKI-YWHAG	4
No PPI Examples	QKI-YWHAG	5
No PPI Examples	QKI-YWHAG	6
No PPI Examples	RBFOX2-SUPV3L1	1
No PPI Examples	RBFOX2-SUPV3L1	3
No PPI Examples	RBFOX2-SUPV3L1	4
No PPI Examples	RBFOX2-SUPV3L1	6
No PPI Examples	RBM15-SRSF9	1
No PPI Examples	RBM15-SRSF9	3
No PPI Examples	RBM15-SRSF9	4
No PPI Examples	RBM15-SRSF9	5
No PPI Examples	RBM15-SRSF9	6
No PPI Examples	SF3B4-TAF15	2
No PPI Examples	SF3B4-TAF15	4
No PPI Examples	SF3B4-TAF15	6
No PPI Examples	SRSF1-TAF15	2
No PPI Examples	SRSF9-TAF15	1
No PPI Examples	SRSF9-TAF15	2
No PPI Examples	SRSF9-TAF15	3
No PPI Examples	SRSF9-TAF15	4
No PPI Examples	SRSF9-TAF15	5
No PPI Examples	SRSF9-TAF15	6
No PPI Examples	SRSF9-TRA2A	1
No PPI Examples	SRSF9-TRA2A	2
No PPI Examples	SRSF9-TRA2A	3
No PPI Examples	SRSF9-TRA2A	4
No PPI Examples	SRSF9-TRA2A	5
No PPI Examples	SRSF9-TRA2A	6
