Dataset	Cell Line	Model	Total Binding	PPI Category	R2 Value	# Rows	% Dataset
ALL DATA	HepG2	xgboost	14	>= 1 Same Pos. PPI	0.617720573021217	3779	0.18142102736437832
ALL DATA	K562	xgboost	15	Single Binders	0.5919863993576595	164390	7.299594190697069
ALL DATA	HepG2	xgboost	15	Single Binders	0.5752411772654227	159699	7.666778684589534
ALL DATA	K562	xgboost	15	>= 1 Same Pos. PPI	0.5752257814911622	112895	5.013003748152233
ALL DATA	K562	xgboost	12	>= 1 Same Pos. PPI	0.5548005449971138	9586	0.42565794702854254
ALL DATA	K562	xgboost	14	>= 1 Same Pos. PPI	0.5414946129093696	10335	0.45891663702691293
ALL DATA	K562	xgboost	13	>= 1 Same Pos. PPI	0.5350402427890177	8636	0.3834740278049753
ALL DATA	K562	xgboost	13	Single Binders	0.5273446366570824	35796	1.589490076344013
ALL DATA	HepG2	xgboost	15	>= 1 Same Pos. PPI	0.5215419269416512	52988	2.543831012962074
ALL DATA	HepG2	xgboost	12	Single Binders	0.5135333024083079	32420	1.556409025444071
ALL DATA	HepG2	xgboost	14	Single Binders	0.5085223983406082	28376	1.3622659625540088
ALL DATA	HepG2	xgboost	10	Single Binders	0.5051153443487668	49515	2.3771003360537684
TEST ONLY	HepG2	xgboost	14	>= 1 Same Pos. PPI	0.502918574315043	987	0.2573596516388099
ALL DATA	K562	xgboost	14	Single Binders	0.4891390393893583	29765	1.3216887954626089
ALL DATA	K562	xgboost	12	Single Binders	0.48830055980247156	48349	2.1468950637265807
ALL DATA	HepG2	xgboost	13	Single Binders	0.47980926083428876	30183	1.4490158425348054
ALL DATA	K562	xgboost	9	Single Binders	0.47551119192492763	64782	2.8765880580432968
ALL DATA	HepG2	xgboost	9	Single Binders	0.46318992919887336	55312	2.655400864138262
ALL DATA	K562	xgboost	8	Single Binders	0.4595241382170884	68954	3.0618420696230046
ALL DATA	K562	xgboost	11	Single Binders	0.45593833483645374	46635	2.070786392622166
ALL DATA	HepG2	xgboost	11	Single Binders	0.45065462320820493	40586	1.9484397503600575
ALL DATA	K562	xgboost	9	>= 1 Same Pos. PPI	0.44639962759127694	9957	0.442131877588483
ALL DATA	K562	xgboost	10	Single Binders	0.4449771896180543	57422	2.5497736943743967
ALL DATA	HepG2	xgboost	12	>= 1 Same Pos. PPI	0.44017054350478557	3102	0.14891982717234756
ALL DATA	HepG2	xgboost	13	>= 1 Same Pos. PPI	0.43903791592495434	5797	0.2783005280844935
TEST ONLY	HepG2	xgboost	12	Single Binders	0.43605275298920054	5276	1.3757138014654116
TEST ONLY	HepG2	xgboost	13	Single Binders	0.4242922274941542	5282	1.3772782978279576
TEST ONLY	K562	xgboost	11	>= 1 Same Pos. PPI	0.42296586382116075	953	0.24561222648900802
ALL DATA	K562	linear	14	>= 1 Same Pos. PPI	0.4222362238221279	10335	0.45891663702691293
ALL DATA	K562	xgboost	11	>= 1 Same Pos. PPI	0.41851938622050644	9897	0.4394676300585734
ALL DATA	HepG2	xgboost	8	Single Binders	0.41106298888222326	61364	2.9459433509361497
TEST ONLY	K562	linear	11	>= 1 Same Pos. PPI	0.4081277607302778	953	0.24561222648900802
ALL DATA	K562	linear	13	>= 1 Same Pos. PPI	0.40502655604687365	8636	0.3834740278049753
TEST ONLY	K562	xgboost	12	Single Binders	0.40157566156209556	8014	2.0654106852916163
ALL DATA	K562	xgboost	10	>= 1 Same Pos. PPI	0.4007929430700019	10807	0.47987538426220105
TEST ONLY	HepG2	xgboost	10	Single Binders	0.38165889290437693	9039	2.3569137701754843
ALL DATA	K562	xgboost	7	>= 1 Same Pos. PPI	0.38027492058704426	8389	0.3725062088068478
ALL DATA	HepG2	linear	12	>= 1 Same Pos. PPI	0.3737722153808548	3102	0.14891982717234756
TEST ONLY	K562	xgboost	11	Single Binders	0.36968148339105456	6476	1.6690291487332802
TEST ONLY	HepG2	xgboost	8	Single Binders	0.3691678664043466	8937	2.330317332012203
TEST ONLY	HepG2	linear	13	Single Binders	0.3691210428749502	5282	1.3772782978279576
ALL DATA	K562	linear	12	>= 1 Same Pos. PPI	0.36056775256838214	9586	0.42565794702854254
ALL DATA	HepG2	linear	14	>= 1 Same Pos. PPI	0.35690616053516044	3779	0.18142102736437832
ALL DATA	HepG2	xgboost	11	>= 1 Same Pos. PPI	0.35447457519789716	5495	0.26380220835333656
ALL DATA	K562	linear	13	Single Binders	0.35411446386319845	35796	1.589490076344013
TEST ONLY	K562	xgboost	14	Single Binders	0.3470599888177195	5071	1.3069250792505347
ALL DATA	K562	xgboost	7	Single Binders	0.34484342168152293	83824	3.7221314157855776
TEST ONLY	HepG2	xgboost	6	Single Binders	0.34261788960134965	14247	3.7148966128653753
ALL DATA	K562	xgboost	8	>= 1 Same Pos. PPI	0.34208913202799185	8904	0.3953743334385711
TEST ONLY	K562	xgboost	14	>= 1 Same Pos. PPI	0.3406121405525515	2227	0.5739542795288781
ALL DATA	HepG2	linear	13	>= 1 Same Pos. PPI	0.3309635231727359	5797	0.2783005280844935
TEST ONLY	HepG2	xgboost	8	>= 1 Same Pos. PPI	0.33081247318167806	2064	0.5381867487158093
ALL DATA	HepG2	xgboost	7	Single Binders	0.33049606656600194	70841	3.4009121459433507
ALL DATA	HepG2	xgboost	6	Single Binders	0.3299468389370588	79924	3.8369659145463273
ALL DATA	HepG2	linear	12	Single Binders	0.32968810981982144	32420	1.556409025444071
ALL DATA	HepG2	xgboost	8	>= 1 Same Pos. PPI	0.32681425396771746	7347	0.3527124339894383
ALL DATA	K562	xgboost	6	Single Binders	0.3245334456700075	91080	4.044327750402634
ALL DATA	K562	linear	9	>= 1 Same Pos. PPI	0.32154871964852494	9957	0.442131877588483
ALL DATA	HepG2	linear	13	Single Binders	0.31932950838096497	30183	1.4490158425348054
