Data Partition	Model	Cell Line	RBP Pair	Position	Same Pos. PPI Mean	Single Binders Mean	PPI - Single: Mean	Same Pos. PPI Std Dev	Single Binders Std Dev	PPI - Single Std Dev	Same Pos. PPI Rows	Single Binders Rows
test	xgboost	HepG2	RBM22-TIA1	2	0.9983749999999999	0.5607975763862694	0.43757742361373053	0.0029332859844663417	0.38619676325161756	-0.3832634772671512	28	10604
test	xgboost	HepG2	RBM22-TIA1	5	0.9947857142857144	0.5634176539652044	0.43136806032051	0.010547003636781675	0.3807072749045479	-0.37016027126776624	21	9369
test	xgboost	K562	CSTF2T-EWSR1	2	0.9396	0.5323526448362721	0.4072473551637279	0.1278667953080171	0.3509552378783692	-0.2230884425703521	445	3573
test	xgboost	K562	CSTF2T-TAF15	6	0.9984999999999999	0.5927911764705882	0.40570882352941173	0.002140872096444173	0.3585056548804409	-0.35636478278399675	7	2040
test	xgboost	HepG2	SRSF9-TRA2A	1	0.994375	0.5980287671232877	0.39634623287671233	0.004190763653560057	0.39236934357312286	-0.3881785799195628	4	2190
test	xgboost	K562	CSTF2T-TAF15	5	0.9984999999999999	0.6133776967930029	0.38512230320699703	0.002140872096444173	0.3509617752277079	-0.34882090313126374	7	3430
test	xgboost	K562	MBNL1-RBFOX2	5	0.8936603773584904	0.51138974906567	0.3822706282928203	0.12170163085764886	0.3933645614804016	-0.27166293062275276	212	3746
test	xgboost	K562	CPEB4-CSTF2T	6	0.9945	0.6127043761638734	0.38179562383612664	0.004932882862316252	0.3599436157384684	-0.35501073287615215	4	2148
test	xgboost	K562	QKI-RBFOX2	5	0.9945	0.6148995738373171	0.37960042616268297	0.00522015325445528	0.3659774620109367	-0.36075730875648143	5	5397
test	xgboost	K562	RBM22-TIA1	1	0.9443166189111747	0.5814028989397395	0.3629137199714352	0.06010211051648178	0.40387909904319635	-0.34377698852671457	349	7451
test	xgboost	K562	DDX42-RBFOX2	3	0.9941800000000001	0.6391399474375822	0.3550400525624179	0.0047694339286753935	0.35913682543127146	-0.35436739150259605	25	4566
test	xgboost	K562	EWSR1-RBM15	1	0.9987142857142858	0.6451762790697675	0.3535380066445183	0.0011126972805283759	0.37836499762382336	-0.377252300343295	7	7525
test	xgboost	HepG2	PCBP1-RBFOX2	4	0.9995909090909091	0.6476118317265557	0.3519790773643534	0.0004908249086070053	0.32545874036736894	-0.3249679154587619	11	5705
test	xgboost	K562	PTBP1-ZC3H8	5	0.9910599999999996	0.6402324530924252	0.35082754690757445	0.010536932133002956	0.32900805259879945	-0.3184711204657965	50	1439
test	xgboost	HepG2	HNRNPK-U2AF2	5	0.9974651162790699	0.6572265857711723	0.34023853050789754	0.0030205552722676545	0.35417027569376436	-0.3511497204214967	43	31893
test	xgboost	HepG2	HNRNPK-PCBP1	4	0.9942878787878786	0.6604242788461538	0.33386359994172476	0.005312176906396148	0.35878566579985843	-0.3534734888934623	33	2496
test	xgboost	K562	IGF2BP2-PCBP1	1	0.9887727272727272	0.6557298060397743	0.333042921232953	0.04092296583467985	0.3730784046906881	-0.33215543885600823	88	4073
test	xgboost	HepG2	HNRNPK-IGF2BP3	2	0.9941666666666666	0.6646861289233884	0.32948053774327823	0.005530220007679021	0.4019951724878602	-0.3964649524801812	3	2963
test	xgboost	K562	EWSR1-RBM15	6	0.9991666666666666	0.6799542951147985	0.3192123715518681	0.0010408329997330763	0.3646069767811566	-0.36356614378142355	3	13981
test	xgboost	K562	HNRNPK-QKI	3	0.9616111111111111	0.6456761540053819	0.31593495710572916	0.033188496194471326	0.34632907677356295	-0.3131405805790916	90	4831
test	xgboost	HepG2	IGF2BP1-PTBP1	3	0.9922000000000001	0.67830252968508	0.3138974703149201	0.006270964838045246	0.35495246330982205	-0.3486814984717768	5	3874
test	xgboost	HepG2	HNRNPK-U2AF2	4	0.9756	0.663947874493927	0.311652125506073	0.022235856928243945	0.3549350217845235	-0.3326991648562796	10	41496
test	xgboost	K562	DDX42-U2AF2	2	0.998	0.6895786340394449	0.30842136596055514	0.0014577379737113264	0.3540162594963129	-0.35255852152260153	5	13690
test	xgboost	K562	CPSF6-RBM15	6	0.9946521739130433	0.6876731640653097	0.30697900984773363	0.004470731440550487	0.3595404691162718	-0.3550697376757213	46	13903
