Data Partition	Model	Cell Line	RBP Pair	Position	RBP 1 Same Pos. PPI Mean	RBP 1 Single Binders Mean	RBP 1 PPI - Single: Mean	RBP 2 Same Pos. PPI Mean	RBP 2 Single Binders Mean	RBP 2 PPI - Single: Mean	Same Pos. PPI Rows	Single Binders Rows
test	xgboost	HepG2	CSTF2T-SFPQ	5	0.00912821726875	0.03876057889658523	-0.029632361627835224	0.0025904481875000007	0.000503689614996173	0.0020867585725038275	16	3397
test	xgboost	HepG2	FUBP3-LARP4	6	0.26509837574999995	0.029437303700554054	0.2356610720494459	0.009078336150000001	0.028270784165764652	-0.01919244801576465	4	6977
test	xgboost	HepG2	FUBP3-RBFOX2	6	0.12915926117241383	0.039844903552443495	0.08931435761997034	0.04165405351724137	0.019810002970788942	0.02184405054645243	29	4956
test	xgboost	HepG2	FUBP3-U2AF2	4	0.2923757835000003	0.0027580362983139974	0.2896177472016863	0.016815985470000024	0.020782536809551402	-0.003966551339551379	80	39650
test	xgboost	HepG2	HNRNPK-IGF2BP3	2	0.025466602	0.018741848861437392	0.006724753138562609	0.13058783	0.10519319197114753	0.02539463802885246	3	2963
test	xgboost	HepG2	HNRNPK-IGF2BP3	3	0.2405016964285714	0.0753777606103264	0.16512393581824497	0.0	0.0	0.0	28	4718
test	xgboost	HepG2	HNRNPK-IGF2BP3	4	0.08564483090909088	0.026107265137702444	0.05953756577138843	0.45783518969696946	0.19145570691773042	0.26637948277923906	33	3569
test	xgboost	HepG2	HNRNPK-IGF2BP3	5	0.15111510315789475	0.020523561944660876	0.13059154121323388	0.10523128999999998	0.01664259291072751	0.08858869708927247	19	3857
test	xgboost	HepG2	HNRNPK-IGF2BP3	6	0.2866399259285714	0.13383549685998117	0.15280442906859024	4.186774699999999e-06	7.856664300067134e-05	-7.437986830067134e-05	28	3724
test	xgboost	HepG2	HNRNPK-LARP4	3	0.029802042704918055	0.06965583397165748	-0.03985379126673942	0.006605327599999993	0.001623169328530352	0.004982158271469641	61	5255
test	xgboost	HepG2	HNRNPK-LARP4	4	0.04402643434567897	0.01666637226250314	0.02736006208317583	0.9247785493827165	0.6902774998659609	0.23450104951675566	81	5573
test	xgboost	HepG2	HNRNPK-LARP4	5	0.01908269685625	0.014507526566023046	0.004575170290226955	0.23640223662499998	0.08729884709992682	0.14910338952507318	160	5684
test	xgboost	HepG2	HNRNPK-LARP4	6	0.32619208116279075	0.07446565217243531	0.25172642899035547	0.005857385627906976	0.02939164237195433	-0.023534256744047355	43	6657
test	xgboost	HepG2	HNRNPK-PCBP1	1	0.05811721999999998	0.05071000779588036	0.00740721220411962	0.04414027369999998	0.015407639662493226	0.028732634037506755	20	1772
test	xgboost	HepG2	HNRNPK-PCBP1	2	0.04070204983333333	0.025689983962212046	0.015012065871121284	0.27623796166666653	0.14157083185367228	0.13466712981299425	42	2075
test	xgboost	HepG2	HNRNPK-PCBP1	3	0.13835962583999997	0.07834939197189934	0.06001023386810063	0.10610007933333326	0.010098085002138277	0.09600199433119498	75	4491
test	xgboost	HepG2	HNRNPK-PCBP1	4	0.08533923290909087	0.03714724078602564	0.048191992123065235	0.34208602	0.05476757272628848	0.28731844727371153	33	2496
test	xgboost	HepG2	HNRNPK-PCBP1	5	0.1538083608181817	0.021081884267309326	0.13272647655087236	0.00014028194981818192	5.5197420167209924e-05	8.5084529650972e-05	110	3068
test	xgboost	HepG2	HNRNPK-PCBP1	6	0.2450840347127659	0.19271347679149456	0.05237055792127135	0.00010187828874468085	4.039496405486986e-05	6.148332468981099e-05	188	2382
test	xgboost	HepG2	HNRNPK-QKI	3	0.0834612851731602	0.048778583632146766	0.03468270154101344	0.18946870653679637	0.09016933310688702	0.09929937342990935	231	7107
test	xgboost	HepG2	HNRNPK-U2AF2	1	0.06345220050537641	0.005978965615714666	0.057473234889661745	0.06263587755161291	0.028899616178903176	0.03373626137270974	93	15007
test	xgboost	HepG2	HNRNPK-U2AF2	2	0.16859427608695657	0.002061258630270968	0.1665330174566856	0.014533097565217392	0.047049474109466506	-0.03251637654424912	23	32664
test	xgboost	HepG2	HNRNPK-U2AF2	3	0.14799387739071024	0.01290569877834678	0.13508817861236347	0.05805434780792343	0.05340723199073166	0.004647115817191766	366	26768
test	xgboost	HepG2	HNRNPK-U2AF2	4	0.032587174	0.002621197680594274	0.029965976319405722	8.901690999999999e-05	0.020053257980963586	-0.019964241070963586	10	41496
test	xgboost	HepG2	HNRNPK-U2AF2	5	0.12217006776744185	0.0028763485943534882	0.11929371917308837	0.14433894753488372	0.12909494528932305	0.015244002245560662	43	31893
test	xgboost	HepG2	IGF2BP1-PTBP1	3	0.52101773	0.24796212894576664	0.2730556010542333	0.19085906	0.18998644469131648	0.0008726153086835164	5	3874
test	xgboost	HepG2	PCBP1-PTBP1	3	0.1057533177777777	0.016158521059945672	0.08959479671783203	0.21764022652777765	0.2562099412806356	-0.038569714752857975	72	2816
test	xgboost	HepG2	PCBP1-PTBP1	5	0.00014033876000000002	5.2157871932539715e-05	8.818088806746031e-05	0.014098230714285717	0.011221572457195768	0.002876658257089949	14	1512
test	xgboost	HepG2	PCBP1-RBFOX2	2	0.2507745680898879	0.06377734633486523	0.18699722175502267	0.006782876743820231	0.028667527846729157	-0.021884651102908926	89	4452
test	xgboost	HepG2	PCBP1-RBFOX2	3	0.04799374232828282	0.005423358567423059	0.04257038376085976	0.125087409520202	0.10416061919228202	0.020926790327919984	198	8383
test	xgboost	HepG2	PCBP1-RBFOX2	4	0.29158944454545455	0.025458323838366347	0.2661311207070882	0.1776231781818182	0.09681182884466781	0.08081134933715038	11	5705
test	xgboost	HepG2	PCBP1-RBFOX2	5	0.00014033876000000002	4.5852534339401225e-05	9.44862256605988e-05	0.00020593536000000002	0.010188609125798255	-0.009982673765798256	8	6647
test	xgboost	HepG2	PCBP1-RBFOX2	6	0.00012405479579908683	4.181562608971632e-05	8.223916970937051e-05	0.041541100424657515	0.026583595292317963	0.014957505132339552	219	3384
test	xgboost	HepG2	PCBP2-QKI	3	0.014571524074999993	0.006955861511945751	0.007615662563054242	0.1898493666810344	0.0923568456143962	0.0974925210666382	232	6931
test	xgboost	HepG2	PCBP2-QKI	5	0.08717464329411756	0.03465558056040202	0.05251906273371554	0.033562748035294146	0.07751253165269144	-0.04394978361739729	85	6741
test	xgboost	HepG2	PCBP2-RBFOX2	1	0.009272924999999991	0.013630463114731617	-0.004357538114731626	0.2599238383673471	0.1269888340229863	0.1329350043443608	49	3141
test	xgboost	HepG2	PCBP2-RBFOX2	3	0.008591966262518302	0.004895321859588544	0.003696644402929758	0.05158099005270863	0.08162307487445435	-0.030042084821745717	683	10666
test	xgboost	HepG2	PCBP2-RBFOX2	5	0.07357429957692316	0.027691663283663667	0.04588263629325949	0.0014417094737179462	0.007485009110369944	-0.006043299636651998	78	9223
test	xgboost	HepG2	PTBP1-QKI	2	0.0	0.0	0.0	0.26554126	0.1633388430241685	0.10220241697583149	13	1792
test	xgboost	HepG2	PTBP1-QKI	4	0.0011055191000000002	0.015900147743506825	-0.014794628643506825	0.4524108499999999	0.3161797253298001	0.13623112467019982	36	6302
test	xgboost	HepG2	QKI-RBFOX2	1	0.04544549933333334	0.013280542426556855	0.03216495690677648	0.2610933645833333	0.11577754863528571	0.1453158159480476	24	3500
test	xgboost	HepG2	QKI-RBFOX2	3	0.14670594816151203	0.05915247945078292	0.08755346871072911	0.07645763058075603	0.07939255415025114	-0.00293492356949511	291	11125
test	xgboost	HepG2	QKI-RBFOX2	4	0.5043163543030303	0.19738761995045193	0.3069287343525784	0.13546079202727257	0.05537812937869866	0.08008266264857392	330	9405
test	xgboost	HepG2	QKI-RBFOX2	5	0.1283980502559056	0.052256154265252736	0.07614189599065285	0.0013655026456692906	0.007160771234486625	-0.005795268588817334	254	9496
test	xgboost	HepG2	RBFOX2-SF3B4	1	0.18495886265432093	0.028797826373198773	0.15616103628112216	0.05019383223662553	0.03708965762701706	0.013104174609608471	486	12059
test	xgboost	HepG2	RBFOX2-SF3B4	2	0.0665140695804196	0.007799940867042386	0.05871412871337721	0.02852701108881119	0.035410484220707285	-0.006883473131896096	143	19719
test	xgboost	HepG2	RBFOX2-SF3B4	3	0.12302129626968507	0.04134664088637407	0.081674655383311	0.3083793997506561	0.14703553681582826	0.16134386293482783	1524	18342
test	xgboost	HepG2	RBFOX2-SF3B4	4	0.1371485014113301	0.034723193529881916	0.10242530788144817	0.5930091418883416	0.4470647059354678	0.14594443595287382	609	14227
test	xgboost	HepG2	RBFOX2-SF3B4	5	0.020610465954795383	0.0018604448042367633	0.01875002115055862	0.16807520926509387	0.10004526874360427	0.0680299405214896	2077	17969
test	xgboost	HepG2	RBFOX2-SF3B4	6	0.026351062297244095	0.00642241952867321	0.019928642768570884	0.015655466966141743	0.01076456477876008	0.004890902187381663	508	13755
test	xgboost	HepG2	RBM15-SRSF9	6	0.2163931560162607	0.07300944349498827	0.1433837125212724	0.0007088156399999993	0.0003219024031627538	0.0003869132368372455	123	3152
test	xgboost	HepG2	RBM22-TIA1	2	0.2077740782142857	0.2371901991491937	-0.029416120934908002	0.005088298340357142	0.0018668426888660504	0.0032214556514910918	28	10604
test	xgboost	HepG2	RBM22-TIA1	4	0.2864522987096774	0.21442367282539165	0.07202862588428577	0.3198705767741935	0.04198503395681723	0.27788554281737626	31	3830
test	xgboost	HepG2	RBM22-TIA1	5	0.33456161047619054	0.22784173280799447	0.10671987766819607	0.0005663232419047616	0.002248679208195717	-0.0016823559662909556	21	9369
test	xgboost	HepG2	RBM22-TIA1	6	0.007867900099999997	0.004805331495374364	0.0030625686046256324	0.0	0.0	0.0	33	6093
test	xgboost	HepG2	SF3B4-TAF15	3	0.4337924700000001	0.23610418337186487	0.19768828662813523	8.112207000000002e-05	2.866873405714286e-05	5.245333594285716e-05	20	13202
test	xgboost	HepG2	SF3B4-TAF15	5	0.18395405406250004	0.13076464640574906	0.05318940765675098	0.0	0.0	0.0	32	15860
test	xgboost	HepG2	SRSF1-TAF15	4	0.21928255	0.0782369049738993	0.14104564502610067	1.9727799e-05	8.406479708515687e-07	1.888715102914843e-05	4	3793
test	xgboost	HepG2	SRSF9-TAF15	4	0.0	0.0	0.0	1.9727799e-05	8.227366425978349e-07	1.8905062357402163e-05	4	1201
test	xgboost	HepG2	SRSF9-TRA2A	1	0.01936463	0.008820439202936988	0.010544190797063013	0.10896717	0.018879111524913242	0.09008805847508676	4	2190
test	xgboost	HepG2	SRSF9-TRA2A	2	0.2716769566666667	0.08085337347914116	0.19082358318752551	0.049962944333333335	0.10925539278970181	-0.059292448456368475	6	3726
test	xgboost	HepG2	U2AF1-U2AF2	1	0.24355113460073247	0.00700249762302165	0.2365486369777108	0.02687715827307693	0.030566649628849172	-0.003689491355772241	546	13764
test	xgboost	HepG2	U2AF1-U2AF2	2	0.010299012572417192	0.0002960947598395894	0.010002917812577602	0.0728430208856802	0.04197882882402727	0.03086419206165293	5072	27866
test	xgboost	HepG2	U2AF1-U2AF2	3	0.06215614030525223	0.005593298691712317	0.056562841613539916	0.054597493261154435	0.0591274183872049	-0.004529925126050466	1923	22636
test	xgboost	HepG2	U2AF1-U2AF2	4	0.023398284665702856	0.0032259769557831702	0.020172307709919686	0.02209399010309329	0.019954046559229485	0.0021399435438638065	5499	35401
test	xgboost	HepG2	U2AF1-U2AF2	5	0.00470411010528846	0.0031966797716884115	0.0015074303336000488	0.22720279491229398	0.127409735226566	0.09979305968572796	1456	29738
test	xgboost	HepG2	U2AF1-U2AF2	6	0.3299878342256591	0.012592564199406908	0.3173952700262522	0.03147195634253075	0.02856000941082865	0.0029119469317020995	2845	26694
test	xgboost	K562	APOBEC3C-PCBP1	1	0.005153324473684212	0.004488540001904762	0.0006647844717794496	0.09086878842105262	0.07033019863511973	0.020538589785932884	361	1512
test	xgboost	K562	APOBEC3C-PCBP1	2	0.5716080626592793	0.1354220696223969	0.43618599303688244	0.08290870944598332	0.15668995472717423	-0.07378124528119091	361	4752
test	xgboost	K562	APOBEC3C-PCBP1	6	7.655354571428571e-05	0.0014559663139126619	-0.0013794127681983762	0.0010136340085714287	0.003546163440445612	-0.0025325294318741835	7	4786
test	xgboost	K562	CPEB4-CSTF2T	6	0.0	0.0	0.0	0.0002952617	0.0016684677101117317	-0.0013732060101117316	4	2148
test	xgboost	K562	CPSF6-RBM15	2	0.005980064061403514	0.0007252436683555298	0.005254820393047985	0.03807051434210527	0.05572830800934584	-0.017657793667240573	114	16357
test	xgboost	K562	CPSF6-RBM15	3	3.4841851090909094e-05	0.00013684567727471604	-0.00010200382618380695	0.030820786563636363	0.027463634163612343	0.0033571524000240195	11	4050
test	xgboost	K562	CPSF6-RBM15	4	0.045538532968750024	0.0012641130681661653	0.04427441990058386	0.24501008187499987	0.27344584051331194	-0.028435758638312075	32	9310
test	xgboost	K562	CPSF6-RBM15	5	0.08886952089999992	0.007377568164214028	0.08149195273578588	0.056993600799999974	0.02392743124632811	0.033066169553671865	40	10793
