Cell Line	Model	RBP Pair	Position	Same Pos. PPI R2	Single Binders R2	# Graphs (Same Pos. PPI)	# Graphs (Single Binders)	Difference
HepG2	xgboost	HNRNPK-PCBP1	2	0.1489518462093833	-0.7941671198552918	42	2075	0.943118966064675
K562	xgboost	CSTF2T-NONO	4	0.8454697539659715	0.1435181574092271	199	3417	0.7019515965567443
K562	xgboost	RBM22-TIA1	3	0.5810782886329167	-0.0369888373612561	423	7287	0.6180671259941728
K562	xgboost	IGF2BP2-PCBP1	5	0.5178652425176222	-0.0351361301530135	300	3151	0.5530013726706358
K562	xgboost	RBM22-TIA1	2	0.5426205568761522	-0.0042738511432478	409	12063	0.5468944080194
K562	xgboost	PTBP1-ZC3H8	5	0.0002060564341088	-0.5464410961508435	50	1439	0.5466471525849522
K562	xgboost	FMR1-FXR2	5	0.5416088320138222	0.0637575894790888	1946	4527	0.4778512425347333
K562	xgboost	FMR1-FXR2	1	0.3956887907537603	0.1011497112086333	1874	3025	0.294539079545127
HepG2	xgboost	PCBP2-RBFOX2	5	0.4666214026903168	0.2180167466207166	78	9223	0.24860465606960022
K562	xgboost	FMR1-FXR2	6	0.4993407782638638	0.259789240535751	3342	5596	0.23955153772811283
HepG2	xgboost	PTBP1-QKI	2	0.009058145328476	-0.2294042122982669	13	1792	0.2384623576267429
K562	xgboost	CSTF2T-EWSR1	1	0.5460895360942504	0.3502806931495038	171	2539	0.1958088429447466
HepG2	xgboost	PCBP1-PTBP1	3	0.0240229875935931	-0.1687601077354465	72	2816	0.1927830953290396
K562	xgboost	CSTF2T-EWSR1	6	0.2000749887736402	0.0304054931257378	476	1978	0.1696694956479024
HepG2	xgboost	U2AF1-U2AF2	6	0.418529187701148	0.2750745990241044	2845	26694	0.14345458867704358
HepG2	xgboost	QKI-RBFOX2	3	0.3528978764801388	0.2128178803736728	291	11125	0.14007999610646601
K562	xgboost	FMR1-FXR2	3	0.0689608455545505	-0.0311993905710952	1440	2919	0.1001602361256457
HepG2	xgboost	U2AF1-U2AF2	2	0.2864411655626834	0.191875162452865	5072	27866	0.09456600310981839
K562	xgboost	U2AF1-U2AF2	2	0.1205635526202538	0.0393542854805939	4254	10517	0.0812092671396599
K562	xgboost	U2AF1-U2AF2	5	0.1688562580789939	0.0907054153128834	2240	11026	0.0781508427661105
HepG2	xgboost	U2AF1-U2AF2	3	0.2801708999034953	0.2088239362922229	1923	22636	0.07134696361127241
HepG2	xgboost	QKI-RBFOX2	4	0.1437215290153782	0.0815297753186908	330	9405	0.06219175369668742
K562	xgboost	U2AF1-U2AF2	6	0.1962622736111784	0.1523684732130759	4691	11607	0.043893800398102506
HepG2	xgboost	HNRNPK-PCBP1	3	0.0801289924179121	0.0478654686409506	75	4491	0.032263523776961504
K562	xgboost	IGF2BP2-PCBP1	2	0.2813087522257628	0.2522799984537888	413	8959	0.029028753771974003
K562	xgboost	CSTF2T-TAF15	2	-0.0225865129478852	-0.0136574891961311	7	3143	-0.008929023751754101
K562	xgboost	FXR1-FXR2	3	0.0210020679155019	0.0401723181962377	909	3026	-0.0191702502807358
K562	xgboost	EWSR1-NONO	6	0.0065778447415489	0.0537900511690443	370	2001	-0.0472122064274954
K562	xgboost	CSTF2T-NONO	6	0.0977837677484391	0.1548003007641466	403	3077	-0.05701653301570751
K562	xgboost	CSTF2T-NONO	1	0.304496434209247	0.3733322229884556	347	2682	-0.0688357887792086
HepG2	xgboost	HNRNPK-PCBP1	1	-0.0950886085980682	-0.0157192815517732	20	1772	-0.079369327046295
K562	xgboost	U2AF1-U2AF2	3	0.0096934131893774	0.1059255759492259	1741	6516	-0.0962321627598485
K562	xgboost	RBFOX2-SF3B4	5	0.0898797519412867	0.189685192146779	983	41572	-0.09980544020549231
K562	xgboost	PTBP1-ZC3H8	6	0.0002060564341088	0.1018787060022285	50	678	-0.1016726495681197
K562	xgboost	FXR1-FXR2	2	0.2116442426526252	0.3418753164545783	2894	6434	-0.13023107380195312
K562	xgboost	EWSR1-NONO	4	0.1170817860990905	0.2532571287948718	443	2412	-0.13617534269578127
HepG2	xgboost	SF3B4-TAF15	5	0.1657427643869653	0.3087664581094913	32	15860	-0.14302369372252602
K562	xgboost	CSTF2T-NONO	5	0.1285713037739605	0.301376418335453	730	4711	-0.17280511456149247
K562	xgboost	IGF2BP2-PCBP1	6	0.0754679621874132	0.2488783877328693	589	7039	-0.1734104255454561
K562	xgboost	CSTF2T-EWSR1	3	-0.1287177974274997	0.0473273189586156	845	3824	-0.1760451163861153
K562	xgboost	EWSR1-NONO	3	0.0830669555245279	0.2598365418743705	672	2708	-0.17676958634984258
K562	xgboost	CSTF2T-EWSR1	5	0.0714770574028744	0.2556576694237962	691	3483	-0.18418061202092179
K562	xgboost	FMR1-FXR2	2	0.2149203030818366	0.403445483306743	3150	7680	-0.1885251802249064
HepG2	xgboost	U2AF1-U2AF2	4	0.016077331092891	0.2468301532903541	5499	35401	-0.2307528221974631
HepG2	xgboost	HNRNPK-U2AF2	3	-0.00763062142788	0.2375743814987797	366	26768	-0.24520500292665973
K562	xgboost	U2AF1-U2AF2	4	-0.0601176584128633	0.1960690066620463	3472	11490	-0.2561866650749096
K562	xgboost	CSTF2T-EWSR1	4	-0.1173501400751868	0.1409225098419579	426	2759	-0.2582726499171447
K562	xgboost	HNRNPK-PCBP1	4	-0.1434087520188136	0.1365079833417078	906	3921	-0.2799167353605214
K562	xgboost	IGF2BP2-PTBP1	2	0.0416230782068972	0.326822870879053	19	6912	-0.2851997926721558
HepG2	xgboost	U2AF1-U2AF2	5	-0.0598973208340745	0.2544335257286914	1456	29738	-0.3143308465627659
K562	xgboost	CPSF6-RBM15	2	-0.0946308113995884	0.2232269558214381	114	16357	-0.3178577672210265
K562	xgboost	HNRNPK-PCBP1	3	-0.0117935271375109	0.3297558146209228	809	4719	-0.3415493417584337
K562	xgboost	FXR1-FXR2	1	-0.0555274000017849	0.2893366639402751	1130	4716	-0.34486406394206
K562	xgboost	FXR1-FXR2	5	0.1007221091848354	0.4514985258117272	743	4188	-0.35077641662689185
K562	xgboost	HNRNPK-LARP4	2	-0.1856749643489912	0.1856292803282888	233	1999	-0.37130424467727996
HepG2	xgboost	RBFOX2-SF3B4	2	-0.2680877632446652	0.1113555815408183	143	19719	-0.3794433447854835
HepG2	xgboost	RBFOX2-SF3B4	5	-0.0530870134285157	0.3327878678295157	2077	17969	-0.3858748812580314
K562	xgboost	FMR1-FXR2	4	-0.073684704982732	0.3343120733918291	2408	5455	-0.4079967783745611
HepG2	xgboost	RBFOX2-SF3B4	1	-0.2198181176665723	0.2417757596905536	486	12059	-0.46159387735712587
K562	xgboost	EWSR1-HNRNPK	3	-0.2579563221111578	0.2125192821535091	3	5426	-0.47047560426466695
K562	xgboost	APOBEC3C-PCBP1	2	-0.4694060863637657	0.0356474280441024	361	4752	-0.505053514407868
K562	xgboost	RBM22-TIA1	6	-0.329774553399897	0.2330782164545431	91	6705	-0.5628527698544401
K562	xgboost	EWSR1-NONO	5	-0.1608701852732807	0.4399137848804422	610	2962	-0.6007839701537229
K562	xgboost	EWSR1-NONO	1	-0.2292311369908368	0.3725180482632289	295	1831	-0.6017491852540657
K562	xgboost	CSTF2T-TAF15	1	-0.2579563221111578	0.3561922919143782	3	1915	-0.614148614025536
