Cell Line	Model	RBP Pair	Position	PPI Category	R2 Value	# Unique Graphs	% Unique Graphs
K562	xgboost	CSTF2T-NONO	4	Same Pos. PPI	0.8454697539659715	199	0.05143035838431142
K562	xgboost	RBM22-TIA1	3	Same Pos. PPI	0.5810782886329167	423	0.10932181706815945
K562	linear	RBM22-TIA1	2	Same Pos. PPI	0.5707748733092273	409	0.10570360090041894
K562	xgboost	CSTF2T-EWSR1	1	Same Pos. PPI	0.5460895360942504	171	0.04419392604883041
K562	xgboost	RBM22-TIA1	2	Same Pos. PPI	0.5426205568761522	409	0.10570360090041894
K562	xgboost	FMR1-FXR2	5	Same Pos. PPI	0.5416088320138222	1946	0.5029320473159297
K562	xgboost	IGF2BP2-PCBP1	5	Same Pos. PPI	0.5178652425176222	300	0.07753320359443931
K562	xgboost	FMR1-FXR2	6	Same Pos. PPI	0.4993407782638638	3342	0.863719888042054
HepG2	xgboost	PCBP2-RBFOX2	5	Same Pos. PPI	0.4666214026903168	78	0.02060483104038547
K562	xgboost	FXR1-FXR2	5	Single Binders	0.4514985258117272	4188	1.082363522178373
K562	xgboost	EWSR1-NONO	5	Single Binders	0.4399137848804422	2962	0.7655111634890975
HepG2	xgboost	U2AF1-U2AF2	6	Same Pos. PPI	0.418529187701148	2845	0.7515480039730341
K562	linear	MBNL1-RBFOX2	4	Same Pos. PPI	0.4151646918739105	218	0.05634079461195924
K562	xgboost	FMR1-FXR2	2	Single Binders	0.403445483306743	7680	1.9848500120176464
K562	xgboost	FMR1-FXR2	1	Same Pos. PPI	0.3956887907537603	1874	0.48432407845326425
K562	linear	RBFOX2-SF3B4	5	Same Pos. PPI	0.3905298557499828	983	0.2540504637777795
HepG2	linear	PCBP2-RBFOX2	5	Same Pos. PPI	0.37789315144372626	78	0.02060483104038547
HepG2	xgboost	RBM22-TIA1	4	Single Binders	0.3749864741711537	3830	1.0117500369830301
K562	xgboost	CSTF2T-NONO	1	Single Binders	0.3733322229884556	2682	0.6931468401342875
K562	xgboost	EWSR1-NONO	1	Single Binders	0.3725180482632289	1831	0.47321098593806127
K562	xgboost	FXR1-FXR2	6	Single Binders	0.36944201499622187	6161	1.592273557817802
HepG2	linear	RBFOX2-SF3B4	1	Same Pos. PPI	0.3677756752124808	486	0.12838394725163252
HepG2	xgboost	HNRNPK-QKI	3	Single Binders	0.36568053892670027	7107	1.8774171051797375
HepG2	xgboost	HNRNPK-PCBP1	5	Single Binders	0.3559509620334821	3068	0.8104566875884952
HepG2	linear	HNRNPK-PCBP1	3	Same Pos. PPI	0.3530574998498055	75	0.019812337538832183
HepG2	xgboost	QKI-RBFOX2	3	Same Pos. PPI	0.3528978764801388	291	0.07687186965066886
K562	xgboost	PCBP1-RBFOX2	4	Single Binders	0.35105908451212875	4473	1.1560200655930903
K562	xgboost	CSTF2T-EWSR1	1	Single Binders	0.35028069314950383	2539	0.6561893464209381
K562	xgboost	IGF2BP2-PCBP1	3	Single Binders	0.3500108074369135	3970	1.0260227275664136
K562	xgboost	FXR1-FXR2	2	Single Binders	0.34187531645457836	6434	1.6628287730887419
K562	xgboost	IGF2BP2-PCBP1	1	Single Binders	0.3399949144598948	4073	1.0526424608005045
HepG2	linear	PCBP1-PTBP1	3	Same Pos. PPI	0.33775688992904873	72	0.019019844037278896
K562	xgboost	FMR1-FXR2	4	Single Binders	0.3343120733918291	5455	1.4098120853588882
HepG2	xgboost	RBFOX2-SF3B4	5	Single Binders	0.33278786782951575	17969	4.746771909803673
K562	xgboost	HNRNPK-PCBP1	3	Single Binders	0.32975581462092285	4719	1.2195972925405305
HepG2	xgboost	HNRNPK-LARP4	5	Single Binders	0.32701116666345964	5684	1.5015110209429616
K562	xgboost	PCBP1-RBFOX2	3	Single Binders	0.31674988653336134	6400	1.6540416766813721
HepG2	xgboost	SF3B4-TAF15	5	Single Binders	0.3087664581094913	15860	4.189648978211713
HepG2	xgboost	QKI-RBFOX2	1	Single Binders	0.3083920521582555	3500	0.9245757518121684
K562	linear	HNRNPK-PCBP1	4	Same Pos. PPI	0.30627606502700955	906	0.23415027485520676
K562	xgboost	RBFOX2-SF3B4	4	Single Binders	0.3049755947175803	23020	5.9493811558133105
K562	xgboost	CSTF2T-NONO	1	Same Pos. PPI	0.304496434209247	347	0.08968007215756815
K562	xgboost	CSTF2T-NONO	5	Single Binders	0.30137641833545303	4711	1.2175297404446788
K562	xgboost	APOBEC3C-PCBP1	1	Single Binders	0.30114294472408754	1512	0.3907673461159742
K562	xgboost	MBNL1-RBFOX2	3	Single Binders	0.2974434404535423	4945	1.2780056392483414
K562	linear	CSTF2T-EWSR1	4	Single Binders	0.29492780151874143	2759	0.7130470290568602
K562	xgboost	FXR1-FXR2	4	Single Binders	0.29382937939158693	4897	1.265600326673231
K562	xgboost	FXR1-FXR2	1	Single Binders	0.28933666394027513	4716	1.218821960504586
K562	linear	FMR1-FXR2	5	Same Pos. PPI	0.2868666166974553	1946	0.5029320473159297
HepG2	xgboost	U2AF1-U2AF2	2	Same Pos. PPI	0.2864411655626834	5072	1.339842346626091
K562	xgboost	HNRNPK-PCBP1	2	Single Binders	0.2824084342107648	4052	1.0472151365488938
HepG2	xgboost	HNRNPK-LARP4	4	Single Binders	0.2816498882223737	5573	1.47218876138549
K562	xgboost	IGF2BP2-PCBP1	2	Same Pos. PPI	0.2813087522257628	413	0.1067373769483448
HepG2	xgboost	U2AF1-U2AF2	3	Same Pos. PPI	0.2801708999034953	1923	0.5079883344956572
HepG2	linear	PCBP2-RBFOX2	1	Single Binders	0.27843677606115047	3141	0.8297406961262919
HepG2	linear	QKI-RBFOX2	1	Single Binders	0.27806037007624795	3500	0.9245757518121684
HepG2	xgboost	PCBP2-RBFOX2	1	Single Binders	0.2760201792029354	3141	0.8297406961262919
K562	xgboost	RBFOX2-SF3B4	3	Single Binders	0.2755840146064469	24604	6.35875647079195
HepG2	xgboost	U2AF1-U2AF2	6	Single Binders	0.27507459902410447	26694	7.0516071768211495
HepG2	linear	HNRNPK-PCBP1	1	Single Binders	0.27499327522599115	1772	0.468099494917475
K562	xgboost	CPSF6-RBM15	5	Single Binders	0.2653984322067595	10793	2.7893862213159455
HepG2	xgboost	HNRNPK-U2AF2	5	Single Binders	0.26523521389616034	31893	8.424998415012997
