Data Partition	Model	Cell Line	RBP Pair	Position	Same Pos. PPI Rows	Single Binders Rows	Actual PSI Mean - PPI 	Actual PSI Mean - Single Binders	Actual PSI Mean Difference: PPI vs Single Binders	Actual PSI Std Dev - PPI	Actual PSI Std Dev - Single Binders	Actual PSI Std Dev Difference: PPI vs Single Binders	Global SHAP RBP 1 - PPI	Global SHAP RBP 1 - Single Binders	Global SHAP RBP 1 Difference: PPI vs Single Binders	Global SHAP RBP 2 - PPI	Global SHAP RBP 2 - Single Binders	Global SHAP RBP 2 Difference: PPI vs Single Binders	Local SHAP: RBP 1 PPI vs RBP 1 Only Welch's T-test Stat	Local SHAP: RBP 1 PPI vs RBP 1 Only Welch's T-test P-value	Local SHAP: RBP 1 PPI vs RBP 1 Only Mann Whitney U Stat	Local SHAP: RBP 1 PPI vs RBP 1 Only Mann Whitney U P-value	Local SHAP: RBP 2 PPI vs RBP 2 Only Welch's T-test Stat	Local SHAP: RBP 2 PPI vs RBP 2 Only Welch's T-test P-value	Local SHAP: RBP 2 PPI vs RBP 2 Only Mann Whitney U Stat	Local SHAP: RBP 2 PPI vs RBP 2 Only Mann Whitney U P-value	PPI vs Single Binders PSI Welch's T-test Stat	PPI vs Single Binders PSI Welch's T-test P-value	PPI vs Single Binders PSI Welch's T-test FDR BH	PPI vs Single Binders PSI Mann Whitney U Stat	PPI vs Single Binders PSI Mann Whitney U P-value	PPI vs Single Binders PSI Mann Whitney U FDR BH
test	xgboost	HepG2	FUBP3-RBFOX2	6	29	4956	0.9943275862068965	0.698267554479419	0.2960600317274775	0.007891310616826058	0.31769976806445094	-0.30980845744762486	0.12915926117241383	0.039844903552443495	0.08931435761997034	0.04165405351724137	0.019810002970788942	0.02184405054645243	-8.610607170319353	3.5347188619157496e-10	16219.5	1.8294449789002398e-05	35.47128043708915	4.402404637845323e-229	75662.0	5.1012166500854305e-14	62.39665494441865	0.0	0.0	132808.0	3.1025695455104702e-15	6.0396687152603825e-15
test	xgboost	HepG2	FUBP3-U2AF2	4	80	39650	0.9735312500000001	0.6683436948297605	0.30518755517023954	0.01666181561785944	0.35343137549246256	-0.3367695598746031	0.2923757835000003	0.0027580362983139974	0.2896177472016863	0.016815985470000024	0.020782536809551402	-0.003966551339551379	13.35089047863861	9.950409886361792e-32	16587.0	2.0823783505497933e-12	-42.01541533675157	4.375783810342602e-90	620743.5	6.823309423117287e-21	118.60904043556913	6.343338500018101e-246	2.8064467303110384e-245	2456497.5	1.9904697349410668e-17	4.2736556073734666e-17
test	xgboost	HepG2	HNRNPK-IGF2BP3	3	28	4718	0.9963035714285713	0.8067611275964391	0.18954244383213215	0.0024279975201124027	0.2417534857838834	-0.23932548826377098	0.2405016964285714	0.0753777606103264	0.16512393581824497	0.0	0.0	0.0	-29.210509768256482	1.5776443973330846e-22	1657.0	7.299289969257867e-19			9968.0	1.0	53.401449085563016	0.0	0.0	122627.5	5.023802271373263e-15	9.525651060006447e-15
test	xgboost	HepG2	HNRNPK-IGF2BP3	4	33	3569	0.9942878787878786	0.7042206500420287	0.2900672287458499	0.005312176906396148	0.34395564842756626	-0.33864347152117014	0.08564483090909088	0.026107265137702444	0.05953756577138843	0.45783518969696946	0.19145570691773042	0.26637948277923906	-24.503277309225894	2.0532769585364325e-22	2009.0	1.0650808693995147e-20	18.79197564920181	4.4158533580375985e-71	45948.0	1.8624781016132792e-17	49.74377459089744	0.0	0.0	102778.5	1.5713491425883859e-13	2.7977679855841995e-13
test	xgboost	HepG2	HNRNPK-IGF2BP3	6	28	3724	0.9894285714285713	0.6986382921589689	0.29079027926960244	0.009463100155354199	0.3378199864015435	-0.3283568862461893	0.2866399259285714	0.13383549685998117	0.15280442906859024	4.186774699999999e-06	7.856664300067134e-05	-7.437986830067134e-05	0.8337978093315237	0.41147789622414277	30508.0	0.07688257916043384	-3.7891752948333	0.00015586325845190282	27272.0	0.7468171336233487	49.98542582820627	0.0	0.0	88369.0	2.2249516467270038e-10	3.5697026420015667e-10
test	xgboost	HepG2	HNRNPK-LARP4	3	61	5255	0.8482622950819674	0.8170696479543292	0.03119264712763814	0.13347470442488898	0.2535233351457566	-0.1200486307208676	0.029802042704918055	0.06965583397165748	-0.03985379126673942	0.006605327599999993	0.001623169328530352	0.004982158271469641	81.29647805948603	0.0	226498.0	1.6610851669027847e-31	-14.145083889096304	2.5684025926057657e-42	4026.0	1.5631395695980244e-32	1.788173130063703	0.07839950557764591	0.08606261514538574	133644.5	0.025434038863714578	0.02901070057892444
test	xgboost	HepG2	HNRNPK-LARP4	4	81	5573	0.9695123456790122	0.8183409294814282	0.151171416197584	0.02862166741612047	0.28716769794556807	-0.2585460305294476	0.04402643434567897	0.01666637226250314	0.02736006208317583	0.9247785493827165	0.6902774998659609	0.23450104951675566	14.50956730268225	2.0525282715236417e-45	98785.0	0.000409411054169317	-22.030894846150204	9.5403657798088e-68	86185.5	3.361358372895124e-10	30.288325559372126	1.2622343998634684e-112	3.2908253996440427e-112	259432.0	0.020753674337090532	0.024047908358850935
test	xgboost	HepG2	HNRNPK-LARP4	5	160	5684	0.29020625	0.805411681914145	-0.515205431914145	0.1748561258308271	0.2901878311191493	-0.1153317052883222	0.01908269685625	0.014507526566023046	0.004575170290226955	0.23640223662499998	0.08729884709992682	0.14910338952507318	8.395452566509505	7.387955978797136e-17	135086.0	1.3956053558349535e-15	48.11098817776396	0.0	446258.0	3.2820060158133123e-77	-35.90419102860747	3.398240189034528e-85	7.517319206046077e-85	104239.5	2.894634119999539e-62	2.22429779747333e-61
test	xgboost	HepG2	HNRNPK-LARP4	6	43	6657	0.9903023255813953	0.7559892594261679	0.2343130661552274	0.009519490992096999	0.34599689899461467	-0.3364774080025177	0.32619208116279075	0.07446565217243531	0.25172642899035547	0.005857385627906976	0.02939164237195433	-0.023534256744047355	13.653808733081231	4.913886644562226e-22	60895.0	1.926913443593021e-10	49.58056475023566	0.0	136191.0	0.0005112600734849834	52.27570801526218	0.0	0.0	235750.5	2.3642059457336657e-13	4.158723711772472e-13
test	xgboost	HepG2	HNRNPK-PCBP1	1	20	1772	0.9369500000000001	0.7821924379232507	0.1547575620767494	0.22088797470306312	0.28782840510296287	-0.06694043039989975	0.05811721999999998	0.05071000779588036	0.00740721220411962	0.04414027369999998	0.015407639662493226	0.028732634037506755	56.744374078496065	0.0	22580.0	2.118849457542595e-11	-1.4862419875058006	0.15352390989302966	8287.5	9.698721488984028e-06	3.1036499739106627	0.005661338102524603	0.006719962300557659	26792.5	8.06551980967108e-05	0.00010513981180464086
