Cell Line	Model	PPI Category	R2 Value	# Rows	% Dataset
HepG2	xgboost	Neither	0.2603598324035905	195947	51.09306145863211
HepG2	xgboost	Single Binders	0.2525991562277311	166427	43.395739354906
K562	xgboost	Single Binders	0.2374037407639319	183682	47.33950155923816
K562	xgboost	>= 1 Same Pos. PPI	0.19242793357642995	35303	9.098476843380325
K562	xgboost	Neither	0.19007739082035302	169025	43.56202159738151
HepG2	linear	Neither	0.18512623424833297	195947	51.09306145863211
HepG2	xgboost	>= 1 Same Pos. PPI	0.18476560719562574	21136	5.511199186461892
HepG2	linear	Single Binders	0.1483190775848523	166427	43.395739354906
K562	linear	Single Binders	0.11623812763210961	183682	47.33950155923816
K562	linear	Neither	0.11368539652339682	169025	43.56202159738151
HepG2	linear	>= 1 Same Pos. PPI	-0.08384936608903781	21136	5.511199186461892
K562	linear	>= 1 Same Pos. PPI	-0.2873954055273884	35303	9.098476843380325
