Gene stable ID	Gene name	Gene Synonym	UniProtKB Gene Name ID
ENSG00000286112	KYAT1	CCBL1	A0A494C066
ENSG00000171097	KYAT1	CCBL1	Q16773
ENSG00000171097	KYAT1	CCBL1	Q5T276
ENSG00000171097	KYAT1	CCBL1	Q5T277
ENSG00000171097	KYAT1	CCBL1	Q5T278
ENSG00000171097	KYAT1	CCBL1	A8K563
ENSG00000171097	KYAT1	CCBL1	B7Z4W5
ENSG00000286112	KYAT1	GTK	A0A494C066
ENSG00000171097	KYAT1	GTK	Q16773
ENSG00000171097	KYAT1	GTK	Q5T276
ENSG00000171097	KYAT1	GTK	Q5T277
ENSG00000171097	KYAT1	GTK	Q5T278
ENSG00000171097	KYAT1	GTK	A8K563
ENSG00000171097	KYAT1	GTK	B7Z4W5
ENSG00000286112	KYAT1	KAT1	A0A494C066
ENSG00000171097	KYAT1	KAT1	Q16773
ENSG00000171097	KYAT1	KAT1	Q5T276
ENSG00000171097	KYAT1	KAT1	Q5T277
ENSG00000171097	KYAT1	KAT1	Q5T278
ENSG00000171097	KYAT1	KAT1	A8K563
ENSG00000171097	KYAT1	KAT1	B7Z4W5
ENSG00000286112	KYAT1	KATI	A0A494C066
ENSG00000171097	KYAT1	KATI	Q16773
ENSG00000171097	KYAT1	KATI	Q5T276
ENSG00000171097	KYAT1	KATI	Q5T277
ENSG00000171097	KYAT1	KATI	Q5T278
ENSG00000171097	KYAT1	KATI	A8K563
ENSG00000171097	KYAT1	KATI	B7Z4W5
ENSG00000291087	CRYBB2P1	CRYB2B	
ENSG00000261905	MTX1	MTX	
ENSG00000261905	MTX1	MTXN	
ENSG00000293442	PRKY	PRKXP3	
ENSG00000293442	PRKY	PRKYP	
ENSG00000198010	DLGAP2	C8orf68	A0A0G2JPE0
ENSG00000198010	DLGAP2	C8orf68	A0A1B0GXK6
ENSG00000198010	DLGAP2	C8orf68	A0A1B0GTN4
ENSG00000198010	DLGAP2	C8orf68	A0A0G2JLW6
ENSG00000198010	DLGAP2	C8orf68	A0A0J9YVY4
ENSG00000198010	DLGAP2	C8orf68	Q9P1A6
ENSG00000198010	DLGAP2	C8orf68	A0A0J9YWL8
ENSG00000282152	DLGAP2	C8orf68	A0A0G2JPE0
ENSG00000282152	DLGAP2	C8orf68	A0A1B0GXK6
ENSG00000282152	DLGAP2	C8orf68	A0A1B0GTN4
ENSG00000282152	DLGAP2	C8orf68	A0A0G2JLW6
ENSG00000282152	DLGAP2	C8orf68	A0A0J9YVY4
ENSG00000282152	DLGAP2	C8orf68	Q9P1A6
ENSG00000282152	DLGAP2	C8orf68	A0A0J9YWL8
ENSG00000282318	DLGAP2	C8orf68	A0A0G2JPE0
ENSG00000282318	DLGAP2	C8orf68	A0A1B0GXK6
ENSG00000282318	DLGAP2	C8orf68	A0A1B0GTN4
