File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF258AKK	fastq	fastq		reads		ENCSR584UYK	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-06	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	1	/files/ENCFF028JDE/			1994094569	Brenton Graveley, UConn	3d23629ac0b7f322dfa14662bd726f38	SRA:SRR14845888	https://www.encodeproject.org/files/ENCFF258AKK/@@download/ENCFF258AKK.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2017/11/20/ae51799c-275f-4979-97b6-32ec3fc23ea3/ENCFF258AKK.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/20/ae51799c-275f-4979-97b6-32ec3fc23ea3/ENCFF258AKK.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization	missing spikeins	
ENCFF988NMV	fastq	fastq		reads		ENCSR584UYK	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-06	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	1	/files/ENCFF205QCK/			2338694468	Brenton Graveley, UConn	c915da979858c0bb6200c273f9975ea0	SRA:SRR14845889	https://www.encodeproject.org/files/ENCFF988NMV/@@download/ENCFF988NMV.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2017/11/20/b13eb07a-8e4e-48a0-87df-621b8df8f50f/ENCFF988NMV.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/20/b13eb07a-8e4e-48a0-87df-621b8df8f50f/ENCFF988NMV.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization	missing spikeins	
ENCFF205QCK	fastq	fastq		reads		ENCSR584UYK	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-06	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	2	/files/ENCFF988NMV/			2356878462	Brenton Graveley, UConn	cf1da44aa1aaf1ce0cee0765e1bc0bea	SRA:SRR14845889	https://www.encodeproject.org/files/ENCFF205QCK/@@download/ENCFF205QCK.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2017/11/20/4c06bcaa-5e69-41a4-80bf-e66b7254dea2/ENCFF205QCK.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/20/4c06bcaa-5e69-41a4-80bf-e66b7254dea2/ENCFF205QCK.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization	missing spikeins	
ENCFF028JDE	fastq	fastq		reads		ENCSR584UYK	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-06	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	2	/files/ENCFF258AKK/			2037315157	Brenton Graveley, UConn	9116223227862073b09a2fa2585a52ab	SRA:SRR14845888	https://www.encodeproject.org/files/ENCFF028JDE/@@download/ENCFF028JDE.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2017/11/20/26a15b10-9748-4098-8c78-71355d21d281/ENCFF028JDE.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/20/26a15b10-9748-4098-8c78-71355d21d281/ENCFF028JDE.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization	missing spikeins	
ENCFF060SHK	fastq	fastq		reads		ENCSR774AEQ	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-01-28	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	2	/files/ENCFF108KTH/			1946548816	Brenton Graveley, UConn	a0ba849e7778a2d1e258f1843188537f	SRA:SRR14834555	https://www.encodeproject.org/files/ENCFF060SHK/@@download/ENCFF060SHK.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2018/09/01/be4b9827-cf6d-4c3e-8aba-82d4ac556877/ENCFF060SHK.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2018/09/01/be4b9827-cf6d-4c3e-8aba-82d4ac556877/ENCFF060SHK.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF593EMC	fastq	fastq		reads		ENCSR774AEQ	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-01-28	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	1	/files/ENCFF051YSC/			1777745163	Brenton Graveley, UConn	f1344d2c2883a012f8a92b4b0892a994	SRA:SRR14834556	https://www.encodeproject.org/files/ENCFF593EMC/@@download/ENCFF593EMC.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2018/09/01/622f56e8-0f2b-4f10-b0dd-b57c1c9427c1/ENCFF593EMC.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2018/09/01/622f56e8-0f2b-4f10-b0dd-b57c1c9427c1/ENCFF593EMC.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF108KTH	fastq	fastq		reads		ENCSR774AEQ	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-01-28	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	1	/files/ENCFF060SHK/			2010986891	Brenton Graveley, UConn	446bb35680085cb38103e9079d8583a4	SRA:SRR14834555	https://www.encodeproject.org/files/ENCFF108KTH/@@download/ENCFF108KTH.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2018/09/01/33ca831c-bc56-4584-9937-52b766f83754/ENCFF108KTH.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2018/09/01/33ca831c-bc56-4584-9937-52b766f83754/ENCFF108KTH.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF051YSC	fastq	fastq		reads		ENCSR774AEQ	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-01-28	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	2	/files/ENCFF593EMC/			1730240828	Brenton Graveley, UConn	3be61df4d0ed9abc3a734f8144e96aa5	SRA:SRR14834556	https://www.encodeproject.org/files/ENCFF051YSC/@@download/ENCFF051YSC.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2018/09/01/aa15c7e5-be3e-4e84-8019-dd917d7e13db/ENCFF051YSC.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2018/09/01/aa15c7e5-be3e-4e84-8019-dd917d7e13db/ENCFF051YSC.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF770QDN	fastq	fastq		reads		ENCSR184YDW	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	{'dbxrefs': ['FactorBook:ZC3H8'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/84524/'], '@type': ['Target', 'Item'], 'label': 'ZC3H8', 'title': 'ZC3H8 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '05666fd7-2881-4560-b28f-918c4ebf9a26', 'schema_version': '14', 'name': 'ZC3H8-human', '@id': '/targets/ZC3H8-human/', 'status': 'released'}				ZC3H8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2020-11-03	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	1	/files/ENCFF478BVR/			1072845967	Brenton Graveley, UConn	4a3a400a0bd03fac7f8ed8606114a878	SRA:SRR14837818	https://www.encodeproject.org/files/ENCFF770QDN/@@download/ENCFF770QDN.fastq.gz		Illumina HiSeq 2500	/files/ENCFF768ITX/, /files/ENCFF328LNA/	released	s3://encode-public/2019/05/23/1abe2e1b-0039-4e80-87c9-080d31895305/ENCFF770QDN.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2019/05/23/1abe2e1b-0039-4e80-87c9-080d31895305/ENCFF770QDN.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing compliant biosample characterization		
ENCFF549PVU	fastq	fastq		reads		ENCSR184YDW	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	{'dbxrefs': ['FactorBook:ZC3H8'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/84524/'], '@type': ['Target', 'Item'], 'label': 'ZC3H8', 'title': 'ZC3H8 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '05666fd7-2881-4560-b28f-918c4ebf9a26', 'schema_version': '14', 'name': 'ZC3H8-human', '@id': '/targets/ZC3H8-human/', 'status': 'released'}				ZC3H8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2020-11-03	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	1	/files/ENCFF915MJI/			1543160315	Brenton Graveley, UConn	aad7fc757742274f753ef9b13fe81b55	SRA:SRR14837819	https://www.encodeproject.org/files/ENCFF549PVU/@@download/ENCFF549PVU.fastq.gz		Illumina HiSeq 2500	/files/ENCFF768ITX/, /files/ENCFF328LNA/	released	s3://encode-public/2019/05/23/f492e68d-985a-45c6-9eec-9e30b7d06968/ENCFF549PVU.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2019/05/23/f492e68d-985a-45c6-9eec-9e30b7d06968/ENCFF549PVU.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing compliant biosample characterization		
