File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF297CPZ	bam	bam		alignments	hg19	ENCSR069EVH	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										FUS-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF307BRQ/, /files/ENCFF841ZLV/	1246437424	Gene Yeo, UCSD	1179c72b5ab93e40ce7b3a57af8324c1		https://www.encodeproject.org/files/ENCFF297CPZ/@@download/ENCFF297CPZ.bam				released	s3://encode-public/2018/04/29/119fdc0d-436a-474a-ab67-f700db39d6b5/ENCFF297CPZ.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/119fdc0d-436a-474a-ab67-f700db39d6b5/ENCFF297CPZ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF763LLF	bam	bam		alignments	hg19	ENCSR069EVH	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										FUS-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		40					/files/ENCFF336ZEJ/, /files/ENCFF554AWP/	1035483880	Gene Yeo, UCSD	422f1a44e1d8d518048e16d0d17395ff		https://www.encodeproject.org/files/ENCFF763LLF/@@download/ENCFF763LLF.bam				released	s3://encode-public/2018/04/29/4cc2bc46-59fb-48a7-8b9f-eae329858432/ENCFF763LLF.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/4cc2bc46-59fb-48a7-8b9f-eae329858432/ENCFF763LLF.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF210ZRQ	bam	bam		alignments	GRCh38	ENCSR069EVH	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										FUS-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF307BRQ/, /files/ENCFF841ZLV/	1172640539	Gene Yeo, UCSD	66aea4966d7b513f067b6c4d0c70b58d		https://www.encodeproject.org/files/ENCFF210ZRQ/@@download/ENCFF210ZRQ.bam				released	s3://encode-public/2018/04/29/125b6770-4bc2-43c2-8eac-c31a0c4038da/ENCFF210ZRQ.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/125b6770-4bc2-43c2-8eac-c31a0c4038da/ENCFF210ZRQ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF341YQM	bam	bam		alignments	GRCh38	ENCSR069EVH	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										FUS-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		40					/files/ENCFF336ZEJ/, /files/ENCFF554AWP/	992938436	Gene Yeo, UCSD	6f7a863a060f688be80d4fc821afd1cf		https://www.encodeproject.org/files/ENCFF341YQM/@@download/ENCFF341YQM.bam				released	s3://encode-public/2018/04/29/26223093-8568-4d74-a5f9-08f44eb9eedd/ENCFF341YQM.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/26223093-8568-4d74-a5f9-08f44eb9eedd/ENCFF341YQM.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF270YPL	bam	bam		alignments	hg19	ENCSR586DGV	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										ZNF800-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF737XQX/, /files/ENCFF631INY/	137544845	Gene Yeo, UCSD	38e5f3f62ece6d866af5d3a2170aaff4		https://www.encodeproject.org/files/ENCFF270YPL/@@download/ENCFF270YPL.bam				released	s3://encode-public/2018/04/29/7480aba6-df9f-4dd4-889a-90c78cecf423/ENCFF270YPL.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/7480aba6-df9f-4dd4-889a-90c78cecf423/ENCFF270YPL.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	antibody characterized with exemption, mixed read lengths		
ENCFF303MEM	bam	bam		alignments	hg19	ENCSR586DGV	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										ZNF800-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		43					/files/ENCFF642EHH/, /files/ENCFF009EJC/	198574035	Gene Yeo, UCSD	0f59d31582f2d7f4ce843d3b2429d960		https://www.encodeproject.org/files/ENCFF303MEM/@@download/ENCFF303MEM.bam				released	s3://encode-public/2018/04/29/2d501b3f-2792-4f05-8f2b-e42ddfe92f33/ENCFF303MEM.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/2d501b3f-2792-4f05-8f2b-e42ddfe92f33/ENCFF303MEM.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	antibody characterized with exemption, mixed read lengths		
ENCFF693MLV	bam	bam		alignments	GRCh38	ENCSR586DGV	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										ZNF800-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF737XQX/, /files/ENCFF631INY/	129622690	Gene Yeo, UCSD	d78b12646b3d41d6b74185c7ec8f04b0		https://www.encodeproject.org/files/ENCFF693MLV/@@download/ENCFF693MLV.bam				released	s3://encode-public/2018/04/29/1e2de08e-4b50-467b-80b0-cc5c4bc6c023/ENCFF693MLV.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/1e2de08e-4b50-467b-80b0-cc5c4bc6c023/ENCFF693MLV.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	antibody characterized with exemption, mixed read lengths		
ENCFF420ZEI	bam	bam		alignments	GRCh38	ENCSR586DGV	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										ZNF800-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		43					/files/ENCFF642EHH/, /files/ENCFF009EJC/	193379750	Gene Yeo, UCSD	8597dd9595aa418c85f41682a3bdb3e5		https://www.encodeproject.org/files/ENCFF420ZEI/@@download/ENCFF420ZEI.bam				released	s3://encode-public/2018/04/29/c3078fea-6cc9-40ad-9d43-6357834aef80/ENCFF420ZEI.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/c3078fea-6cc9-40ad-9d43-6357834aef80/ENCFF420ZEI.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	antibody characterized with exemption, mixed read lengths		
ENCFF356MCF	bam	bam		alignments	hg19	ENCSR970FEW	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		41					/files/ENCFF560TLH/, /files/ENCFF522NFJ/	393232437	Gene Yeo, UCSD	64fc164125124e66e6bd96f0f0866d4a		https://www.encodeproject.org/files/ENCFF356MCF/@@download/ENCFF356MCF.bam				released	s3://encode-public/2018/04/29/62fb3305-0dcf-4686-9533-3b6af52a8d33/ENCFF356MCF.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/62fb3305-0dcf-4686-9533-3b6af52a8d33/ENCFF356MCF.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF879GTY	bam	bam		alignments	hg19	ENCSR970FEW	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		41					/files/ENCFF479WLK/, /files/ENCFF939HML/	363873337	Gene Yeo, UCSD	be13189c1253d161e3b73c0203cba9da		https://www.encodeproject.org/files/ENCFF879GTY/@@download/ENCFF879GTY.bam				released	s3://encode-public/2018/04/29/08ca9376-18d5-4ea1-bda9-d62b1c18d235/ENCFF879GTY.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/08ca9376-18d5-4ea1-bda9-d62b1c18d235/ENCFF879GTY.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
