File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF724BRO	bam	bam		alignments	GRCh38	ENCSR016OIX	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/2011/'], '@type': ['Target', 'Item'], 'name': 'MARK2-human', 'label': 'MARK2', '@id': '/targets/MARK2-human/', 'title': 'MARK2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '1786c101-fe9e-482b-ba5c-27fed4fb7a40', 'status': 'released'}				MARK2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-01-28	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF841ZSG/, /files/ENCFF598IDH/, /files/ENCFF603KPT/	1925406695	ENCODE Processing Pipeline	346c43b3c3fb1ce01b32ce6149daad40		https://www.encodeproject.org/files/ENCFF724BRO/@@download/ENCFF724BRO.bam	V29			released	s3://encode-public/2021/01/21/8adf15fd-2eac-461d-a29c-abcdec9fdbc3/ENCFF724BRO.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/21/8adf15fd-2eac-461d-a29c-abcdec9fdbc3/ENCFF724BRO.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF534ETG	bam	bam		transcriptome alignments	GRCh38	ENCSR016OIX	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/2011/'], '@type': ['Target', 'Item'], 'name': 'MARK2-human', 'label': 'MARK2', '@id': '/targets/MARK2-human/', 'title': 'MARK2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '1786c101-fe9e-482b-ba5c-27fed4fb7a40', 'status': 'released'}				MARK2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-01-28	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF841ZSG/, /files/ENCFF598IDH/, /files/ENCFF603KPT/	2728925230	ENCODE Processing Pipeline	b27dbe153d07713e70a32858223ea1c1		https://www.encodeproject.org/files/ENCFF534ETG/@@download/ENCFF534ETG.bam	V29			released	s3://encode-public/2021/01/21/faa9e8f7-19ce-465f-a5c6-f823469aebd4/ENCFF534ETG.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/21/faa9e8f7-19ce-465f-a5c6-f823469aebd4/ENCFF534ETG.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF035STP	bam	bam		alignments	GRCh38	ENCSR016OIX	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/2011/'], '@type': ['Target', 'Item'], 'name': 'MARK2-human', 'label': 'MARK2', '@id': '/targets/MARK2-human/', 'title': 'MARK2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '1786c101-fe9e-482b-ba5c-27fed4fb7a40', 'status': 'released'}				MARK2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-01-28	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF495PXY/, /files/ENCFF598IDH/, /files/ENCFF138OWF/	2823662199	ENCODE Processing Pipeline	46ab79a3b2260739988a6faea1fe442e		https://www.encodeproject.org/files/ENCFF035STP/@@download/ENCFF035STP.bam	V29			released	s3://encode-public/2021/01/21/05588442-073f-466d-af8b-34acbeb7bf5b/ENCFF035STP.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/21/05588442-073f-466d-af8b-34acbeb7bf5b/ENCFF035STP.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF913FQK	bam	bam		transcriptome alignments	GRCh38	ENCSR016OIX	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/2011/'], '@type': ['Target', 'Item'], 'name': 'MARK2-human', 'label': 'MARK2', '@id': '/targets/MARK2-human/', 'title': 'MARK2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '1786c101-fe9e-482b-ba5c-27fed4fb7a40', 'status': 'released'}				MARK2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-01-28	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF495PXY/, /files/ENCFF598IDH/, /files/ENCFF138OWF/	4134173897	ENCODE Processing Pipeline	55a0c56c9ea32c7056d93bf70f0b6c8c		https://www.encodeproject.org/files/ENCFF913FQK/@@download/ENCFF913FQK.bam	V29			released	s3://encode-public/2021/01/21/27fc187b-e2c1-48d1-9992-dd466e9459d7/ENCFF913FQK.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/21/27fc187b-e2c1-48d1-9992-dd466e9459d7/ENCFF913FQK.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF080NID	bam	bam		alignments	GRCh38	ENCSR619PCR	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-01-28	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF598IDH/, /files/ENCFF551NVU/, /files/ENCFF556JOB/, /files/ENCFF474WHB/, /files/ENCFF071AZO/	3860235729	ENCODE Processing Pipeline	1fe166532195223fff59012ecc463aa8		https://www.encodeproject.org/files/ENCFF080NID/@@download/ENCFF080NID.bam	V29			released	s3://encode-public/2021/01/23/55e2d723-0190-49e5-8ab6-8723b4118a68/ENCFF080NID.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/23/55e2d723-0190-49e5-8ab6-8723b4118a68/ENCFF080NID.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 GRCh38 V29	released	missing biosample characterization		
ENCFF478JMP	bam	bam		transcriptome alignments	GRCh38	ENCSR619PCR	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-01-28	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF598IDH/, /files/ENCFF551NVU/, /files/ENCFF556JOB/, /files/ENCFF474WHB/, /files/ENCFF071AZO/	5651018897	ENCODE Processing Pipeline	2ac95ea63b85bbb1635b54f7e4c7f347		https://www.encodeproject.org/files/ENCFF478JMP/@@download/ENCFF478JMP.bam	V29			released	s3://encode-public/2021/01/23/1aba3191-bb0a-4e0f-9477-388805d57492/ENCFF478JMP.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/23/1aba3191-bb0a-4e0f-9477-388805d57492/ENCFF478JMP.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 GRCh38 V29	released	missing biosample characterization		
ENCFF871ZKT	bam	bam		alignments	GRCh38	ENCSR619PCR	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-01-28	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF274IFV/, /files/ENCFF885GOA/, /files/ENCFF598IDH/, /files/ENCFF495GHE/, /files/ENCFF314QYL/	3720464016	ENCODE Processing Pipeline	784874434573a13d92c684f38e73cb28		https://www.encodeproject.org/files/ENCFF871ZKT/@@download/ENCFF871ZKT.bam	V29			released	s3://encode-public/2021/01/23/a96e7cd3-7ffe-4457-af26-d20f83a4e74b/ENCFF871ZKT.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/23/a96e7cd3-7ffe-4457-af26-d20f83a4e74b/ENCFF871ZKT.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 GRCh38 V29	released	missing biosample characterization		
ENCFF747DFH	bam	bam		transcriptome alignments	GRCh38	ENCSR619PCR	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-01-28	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF274IFV/, /files/ENCFF885GOA/, /files/ENCFF598IDH/, /files/ENCFF495GHE/, /files/ENCFF314QYL/	5120948508	ENCODE Processing Pipeline	c79ec0dc83ae5e33abfb0dd5ff3acefb		https://www.encodeproject.org/files/ENCFF747DFH/@@download/ENCFF747DFH.bam	V29			released	s3://encode-public/2021/01/23/2028c851-589c-4693-8f84-f1f71ed8e659/ENCFF747DFH.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/23/2028c851-589c-4693-8f84-f1f71ed8e659/ENCFF747DFH.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 GRCh38 V29	released	missing biosample characterization		
ENCFF120WKE	bam	bam		alignments	GRCh38	ENCSR363QIA	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/9128/'], '@type': ['Target', 'Item'], 'name': 'PRPF4-human', 'label': 'PRPF4', '@id': '/targets/PRPF4-human/', 'title': 'PRPF4 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': 'd4ef9d73-126d-4102-a4d3-d276240f29f3', 'status': 'released'}				PRPF4-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-01-28	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF404SZI/, /files/ENCFF598IDH/, /files/ENCFF582UDO/, /files/ENCFF489FFV/, /files/ENCFF698IDD/	4184259075	ENCODE Processing Pipeline	3fcb39b6c5b4921ef5c7fe4b249dd97c		https://www.encodeproject.org/files/ENCFF120WKE/@@download/ENCFF120WKE.bam	V29			released	s3://encode-public/2021/01/21/6579c513-b40b-41a6-b2e8-ae05450b3cc0/ENCFF120WKE.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/21/6579c513-b40b-41a6-b2e8-ae05450b3cc0/ENCFF120WKE.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF277CHN	bam	bam		transcriptome alignments	GRCh38	ENCSR363QIA	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/9128/'], '@type': ['Target', 'Item'], 'name': 'PRPF4-human', 'label': 'PRPF4', '@id': '/targets/PRPF4-human/', 'title': 'PRPF4 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': 'd4ef9d73-126d-4102-a4d3-d276240f29f3', 'status': 'released'}				PRPF4-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-01-28	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF404SZI/, /files/ENCFF598IDH/, /files/ENCFF582UDO/, /files/ENCFF489FFV/, /files/ENCFF698IDD/	4888329617	ENCODE Processing Pipeline	1fd69d7eb9f1d164b78c32c9ae09b618		https://www.encodeproject.org/files/ENCFF277CHN/@@download/ENCFF277CHN.bam	V29			released	s3://encode-public/2021/01/21/381ea272-cadf-4d8e-970f-bac36826a029/ENCFF277CHN.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/21/381ea272-cadf-4d8e-970f-bac36826a029/ENCFF277CHN.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 GRCh38 V29	released	missing compliant biosample characterization		
