Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
DDX6_1_binding,DDX6,1,K562,chr7_+_130070771_130070809_130094894_130094931_130096920_130097007_ENCSR129RWD_CTRL-2,-0.022,-0.0056875213,1.0
DDX6_1_binding,DDX6,1,K562,chr10_+_69315784_69316014_69338497_69338676_69343826_69343843_ENCSR031RRO_CTRL-1,-0.002,-0.029590035,1.0
DDX6_1_binding,DDX6,1,K562,chr6_-_34696847_34696445_34654779_34654624_34646798_34646600_ENCSR084SCN_CTRL-1,-0.001,-0.0068006543,1.0
DDX6_1_binding,DDX6,1,K562,chr15_-_82538371_82538305_82538042_82537921_82536881_82536755_ENCSR031RRO_CTRL-1,-0.0,-0.0040934957,1.0
DDX6_1_binding,DDX6,1,K562,chr7_+_128862903_128863062_128865119_128865203_128865376_128865844_ENCSR031RRO_CTRL-1,-0.0,-0.02423487,1.0
DDX6_1_binding,DDX6,1,K562,chr9_+_136669913_136670009_136670168_136670330_136671925_136671993_ENCSR031RRO_CTRL-1,-0.011,-0.0026480674,1.0
DDX6_1_binding,DDX6,1,K562,chr19_-_18541995_18541678_18539459_18539370_18538436_18538215_ENCSR031RRO_CTRL-1,0.01,-0.0055482835,1.0
DDX6_1_binding,DDX6,1,K562,chr19_-_38840376_38840095_38839015_38838893_38838598_38838396_ENCSR031RRO_CTRL-1,0.001,-0.05941092,1.0
DDX6_1_binding,DDX6,1,K562,chr16_-_18789118_18788980_18788159_18788062_18784823_18784737_ENCSR031RRO_CTRL-1,-0.0,-0.046483766,1.0
DDX6_1_binding,DDX6,1,K562,chr5_+_179705678_179705852_179707131_179707190_179708238_179708256_ENCSR031RRO_CTRL-1,0.001,-0.0054929755,1.0
DDX6_1_binding,DDX6,1,K562,chr15_+_78878212_78878259_78880511_78880579_78886140_78886161_ENCSR031RRO_CTRL-1,-0.001,-0.006759686,1.0
DDX6_1_binding,DDX6,1,K562,chr1_-_2193910_2193638_2187206_2186837_2185513_2184477_ENCSR031RRO_CTRL-1,0.036,-0.00517119,1.0
DDX6_1_binding,DDX6,1,K562,chr6_+_33290173_33290244_33290325_33290450_33290715_33290862_ENCSR031RRO_CTRL-1,-0.004,-0.004805197,1.0
DDX6_1_binding,DDX6,1,K562,chr17_-_49764131_49763891_49732720_49732550_49722594_49722498_ENCSR031RRO_CTRL-1,-0.015,-0.049326517,0.942581989656688
DDX6_1_binding,DDX6,1,K562,chr8_-_25458280_25458198_25444335_25444291_25440673_25440542_ENCSR084SCN_CTRL-1,0.045,-0.030505111,0.39715892104887324
DDX6_1_binding,DDX6,1,K562,chr19_-_18541995_18541678_18538433_18538215_18537773_18537600_ENCSR031RRO_CTRL-1,-0.011,-0.005908113,1.0
DDX6_1_binding,DDX6,1,K562,chr17_-_28897588_28897525_28889026_28888944_28884315_28884224_ENCSR031RRO_CTRL-1,-0.023,0.26510102,0.7428993690244928
DDX6_1_binding,DDX6,1,K562,chr17_-_28897588_28897525_28889026_28888944_28883231_28882739_ENCSR031RRO_CTRL-1,-0.009,-0.016408192,1.0
DDX6_1_binding,DDX6,1,K562,chr3_+_42620015_42621516_42627199_42630575_42631170_42631316_ENCSR031RRO_CTRL-1,0.207,-0.000873355,0.26206964653644066
DDX6_1_binding,DDX6,1,K562,chr16_-_18789118_18788980_18788142_18788062_18786336_18786239_ENCSR129RWD_CTRL-1,-0.0,-0.04789991,1.0
DDX6_1_binding,DDX6,1,K562,chr19_-_18541995_18541678_18539459_18539370_18538433_18538215_ENCSR031RRO_CTRL-1,-0.003,-0.0055131973,1.0
DDX6_1_binding,DDX6,1,K562,chr5_+_134374382_134374463_134376668_134376694_134380718_134380808_ENCSR031RRO_CTRL-1,0.014,-0.0063239112,1.0
DDX6_1_binding,DDX6,1,K562,chr15_-_66503529_66503357_66503164_66502611_66501912_66501787_ENCSR031RRO_CTRL-1,-0.0,-0.004325514,1.0
DDX6_1_binding,DDX6,1,K562,chr7_+_77537274_77537645_77571077_77571186_77581426_77581465_ENCSR031RRO_CTRL-1,-0.007,-0.035172917,1.0
DDX6_1_binding,DDX6,1,K562,chr19_-_18541995_18541678_18537773_18537600_18533347_18533269_ENCSR031RRO_CTRL-1,0.0,-0.005076279,1.0
DDX6_1_binding,DDX6,1,K562,chr5_+_179705678_179705852_179706257_179706331_179707131_179707190_ENCSR031RRO_CTRL-1,-0.0,-0.0054822946,1.0
DDX6_1_binding,DDX6,1,K562,chr5_+_134374382_134374463_134388324_134388413_134390224_134390298_ENCSR031RRO_CTRL-1,-0.007,-0.0032258588,1.0
DDX6_1_binding,DDX6,1,K562,chr1_-_2193910_2193638_2192975_2192844_2189781_2189712_ENCSR031RRO_CTRL-1,0.001,-0.005162782,1.0
DDX6_1_binding,DDX6,1,K562,chr1_+_45616336_45616393_45616700_45616703_45617462_45617591_ENCSR164MUK_CTRL-1,0.252,0.0012211117,0.23750306874503174
DDX6_1_binding,DDX6,1,K562,chr1_+_155002656_155002686_155002842_155002943_155014654_155015814_ENCSR031RRO_CTRL-1,-0.062,-0.05960969,0.22186399207842408
DDX6_1_binding,DDX6,1,K562,chr1_-_51790649_51790532_51789657_51789567_51789433_51789190_ENCSR031RRO_CTRL-1,0.01,-0.0056602517,0.3231007728598487
DDX6_1_binding,DDX6,1,K562,chr9_+_136669913_136670009_136670949_136671014_136671925_136671993_ENCSR031RRO_CTRL-1,-0.011,-0.0026058168,1.0
DDX6_1_binding,DDX6,1,K562,chr5_+_134374382_134374463_134376668_134376694_134390224_134390321_ENCSR032YMP_CTRL-1,0.023,-0.0018203941,1.0
DDX6_1_binding,DDX6,1,K562,chr20_+_49280902_49280964_49281751_49281818_49289044_49289260_ENCSR031RRO_CTRL-1,0.008,-0.0014156994,1.0
DDX6_1_binding,DDX6,1,K562,chr4_-_99949740_99949662_99949379_99949272_99948940_99948777_ENCSR084SCN_CTRL-1,-0.003,-0.07332865,1.0
DDX6_1_binding,DDX6,1,K562,chr1_+_26473205_26473527_26473702_26473732_26474084_26474128_ENCSR031RRO_CTRL-1,0.001,-0.0029509822,1.0
DDX6_1_binding,DDX6,1,K562,chr20_-_35658982_35658929_35655344_35655201_35632923_35632794_ENCSR031RRO_CTRL-1,0.051,0.28544626,0.2744935241884458
DDX6_1_binding,DDX6,1,K562,chr15_-_66503529_66503357_66502871_66502611_66501912_66501787_ENCSR031RRO_CTRL-1,0.0,-0.0042958083,1.0
DDX6_1_binding,DDX6,1,K562,chr1_+_43976301_43976379_43976589_43976659_43976772_43976823_ENCSR031RRO_CTRL-1,-0.017,-0.0027738404,0.434126648819506
DDX6_1_binding,DDX6,1,K562,chr19_-_18541995_18541678_18539720_18539550_18539459_18539370_ENCSR031RRO_CTRL-1,-0.001,-0.005356215,1.0
DDX6_1_binding,DDX6,1,K562,chr1_+_45616336_45616393_45617462_45617591_45618060_45618213_ENCSR031RRO_CTRL-1,0.001,0.001219357,1.0
DDX6_1_binding,DDX6,1,K562,chr15_+_92882873_92883186_92883584_92883778_92885514_92885584_ENCSR031RRO_CTRL-1,-0.08,-0.02372789,0.8838336632922571
DDX6_1_binding,DDX6,1,K562,chr2_+_216499269_216499398_216499831_216499866_216499948_216500031_ENCSR031RRO_CTRL-1,-0.0,-0.005705822,1.0
DDX6_1_binding,DDX6,1,K562,chr3_+_42620015_42620043_42630545_42630575_42631170_42631316_ENCSR143COQ_CTRL-1,0.091,-0.0012347387,1.0
DDX6_1_binding,DDX6,1,K562,chr1_-_1890836_1890819_1839238_1839189_1825499_1824987_ENCSR031RRO_CTRL-1,0.05,-0.006963704,0.21926775467695916
DDX6_1_binding,DDX6,1,K562,chr1_+_45616336_45616393_45616625_45616703_45617462_45617591_ENCSR031RRO_CTRL-1,0.003,0.0012940227,1.0
DDX6_1_binding,DDX6,1,K562,chr19_-_18541995_18541678_18538436_18538215_18537773_18537600_ENCSR031RRO_CTRL-1,-0.011,-0.005908113,1.0
DDX6_1_binding,DDX6,1,K562,chr18_+_9124873_9124983_9126830_9126907_9134185_9134292_ENCSR031RRO_CTRL-1,0.01,-0.0047296947,1.0
DDX6_1_binding,DDX6,1,K562,chr5_+_134374382_134374463_134376668_134376694_134388324_134388413_ENCSR031RRO_CTRL-1,-0.032,-0.0027516058,1.0
DDX6_1_binding,DDX6,1,K562,chr7_+_77537553_77537645_77563935_77564195_77571077_77571186_ENCSR031RRO_CTRL-1,-0.001,-0.046974614,1.0
DDX6_1_binding,DDX6,1,K562,chr7_+_77537553_77537645_77538764_77538845_77571077_77571186_ENCSR031RRO_CTRL-1,-0.002,-0.046974614,1.0
DDX6_1_binding,DDX6,1,K562,chr15_+_78872974_78873057_78880511_78880579_78886140_78886161_ENCSR031RRO_CTRL-1,-0.0,-0.031799994,1.0
DDX6_1_binding,DDX6,1,K562,chr19_+_55655108_55655153_55658861_55658981_55659209_55659345_ENCSR031RRO_CTRL-1,-0.002,-0.007824702,1.0
DDX6_1_binding,DDX6,1,K562,chr3_+_42619818_42621516_42630545_42630575_42631170_42631316_ENCSR031RRO_CTRL-1,0.266,-0.000873355,0.022976622207809973
DDX6_1_binding,DDX6,1,K562,chr6_-_125301937_125301848_125300659_125300537_125292909_125292840_ENCSR031RRO_CTRL-1,-0.001,-0.027508521,1.0
DDX6_1_binding,DDX6,1,K562,chr3_+_42620015_42620043_42621428_42621516_42631170_42631316_ENCSR092WKG_CTRL-1,0.042,-0.03821998,1.0
DDX6_1_binding,DDX6,1,K562,chr19_-_38256372_38256138_38252974_38252893_38252338_38251864_ENCSR031RRO_CTRL-1,0.0,-0.025989924,1.0
DDX6_1_binding,DDX6,1,K562,chr19_+_1271980_1272051_1273600_1273715_1274306_1274440_ENCSR031RRO_CTRL-1,0.009,-0.097005546,1.0
