Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
TRA2A_1_binding,TRA2A,1,K562,chr19_+_8463592_8463686_8465323_8465362_8465479_8465515_ENCSR031RRO_CTRL-1,0.004,-0.115396254,1.0
TRA2A_1_binding,TRA2A,1,K562,chr5_+_33445323_33445404_33448540_33448731_33453293_33453412_ENCSR084SCN_CTRL-1,0.005,-0.09630118,1.0
TRA2A_1_binding,TRA2A,1,K562,chr12_-_122515227_122515104_122513874_122513766_122511188_122511108_ENCSR031RRO_CTRL-1,-0.012,-0.014644506,1.0
TRA2A_1_binding,TRA2A,1,K562,chr1_+_213167857_213167973_213232122_213232255_213240701_213242297_ENCSR143COQ_CTRL-1,0.03,-0.0037079304,1.0
TRA2A_1_binding,TRA2A,1,K562,chr16_+_2758469_2758547_2758984_2759047_2759139_2759172_ENCSR031RRO_CTRL-1,0.01,-0.040438227,0.3409045625592466
TRA2A_1_binding,TRA2A,1,K562,chr11_-_62854551_62854518_62854064_62854017_62853849_62853800_ENCSR031RRO_CTRL-1,0.02,-0.0032321685,1.0
TRA2A_1_binding,TRA2A,1,K562,chr14_+_73110830_73111155_73111308_73111382_73111527_73111802_ENCSR031RRO_CTRL-1,-0.004,-0.0044474006,1.0
TRA2A_1_binding,TRA2A,1,K562,chr7_+_158902375_158902595_158905988_158906091_158911549_158911679_ENCSR031RRO_CTRL-1,-0.063,-0.0040260754,0.029327435502783297
TRA2A_1_binding,TRA2A,1,K562,chr21_-_32771668_32771325_32769942_32769813_32764524_32764347_ENCSR129RWD_CTRL-1,-0.003,-0.0032406426,1.0
TRA2A_1_binding,TRA2A,1,K562,chr15_-_58893060_58892896_58890461_58890280_58889554_58889429_ENCSR031RRO_CTRL-1,0.003,-0.008817732,1.0
TRA2A_1_binding,TRA2A,1,K562,chr5_+_134773695_134773861_134777573_134777725_134781132_134781246_ENCSR129RWD_CTRL-1,-0.004,-0.06515536,1.0
TRA2A_1_binding,TRA2A,1,K562,chr7_-_44485284_44484967_44427703_44427570_44404583_44404439_ENCSR092WKG_CTRL-1,-0.006,-0.0035733492,1.0
TRA2A_1_binding,TRA2A,1,K562,chr1_+_45606481_45606591_45607320_45608337_45613168_45613248_ENCSR031RRO_CTRL-1,0.162,-0.17603984,0.0009787990038133533
TRA2A_1_binding,TRA2A,1,K562,chr15_+_82404611_82404751_82408287_82408367_82414600_82414738_ENCSR084SCN_CTRL-1,0.034,-0.0020125727,1.0
TRA2A_1_binding,TRA2A,1,K562,chr12_+_95483214_95483280_95485947_95485981_95494055_95494217_ENCSR031RRO_CTRL-1,-0.023,-0.094344005,0.8516818748073708
TRA2A_1_binding,TRA2A,1,K562,chr7_+_158902375_158902595_158911549_158911679_158912984_158913096_ENCSR084SCN_CTRL-1,-0.014,-0.0036701914,1.0
TRA2A_1_binding,TRA2A,1,K562,chr9_-_128180523_128180414_128179415_128179243_128177763_128177587_ENCSR031RRO_CTRL-1,-0.0,-0.0033849634,1.0
TRA2A_1_binding,TRA2A,1,K562,chr9_-_128180523_128180414_128179415_128179243_128178904_128178708_ENCSR031RRO_CTRL-1,-0.002,-0.0033440688,1.0
TRA2A_1_binding,TRA2A,1,K562,chr15_+_75868950_75869010_75873427_75873568_75883365_75883424_ENCSR031RRO_CTRL-1,-0.02,-0.118219875,1.0
TRA2A_1_binding,TRA2A,1,K562,chr12_+_95483214_95483280_95485878_95485981_95494055_95494217_ENCSR031RRO_CTRL-1,-0.004,-0.08343728,1.0
TRA2A_1_binding,TRA2A,1,K562,chr10_+_42817317_42817494_42820235_42820424_42820507_42820688_ENCSR031RRO_CTRL-1,0.008,-0.04341297,1.0
TRA2A_1_binding,TRA2A,1,K562,chr7_-_99400424_99400302_99398013_99397861_99396740_99394962_ENCSR129RWD_CTRL-1,0.001,-0.010585353,1.0
TRA2A_1_binding,TRA2A,1,K562,chr12_+_6769602_6769674_6769843_6769999_6770156_6770218_ENCSR031RRO_CTRL-1,-0.0,-0.036127266,1.0
TRA2A_1_binding,TRA2A,1,K562,chr7_+_158879683_158879989_158884563_158884619_158887020_158887075_ENCSR031RRO_CTRL-1,-0.109,-0.015074315,0.030992002318296064
TRA2A_1_binding,TRA2A,1,K562,chr1_-_150226730_150226607_150223294_150223185_150220761_150220377_ENCSR031RRO_CTRL-1,-0.04,-0.042325802,0.447660398283632
TRA2A_1_binding,TRA2A,1,K562,chr11_-_62854551_62854518_62853833_62853800_62853590_62853072_ENCSR031RRO_CTRL-1,0.001,-0.018108472,1.0
TRA2A_1_binding,TRA2A,1,K562,chr12_-_122515227_122515104_122514728_122514711_122511188_122511108_ENCSR031RRO_CTRL-1,0.001,-0.013834674,1.0
TRA2A_1_binding,TRA2A,1,K562,chr17_+_50746541_50746702_50750500_50750694_50752199_50752709_ENCSR129RWD_CTRL-1,0.002,-0.0040368,1.0
TRA2A_1_binding,TRA2A,1,K562,chr17_+_50719628_50719831_50723818_50723965_50736959_50737026_ENCSR031RRO_CTRL-1,0.003,-0.003435356,1.0
TRA2A_1_binding,TRA2A,1,K562,chr15_+_92927243_92927330_92937517_92937625_92939577_92939718_ENCSR031RRO_CTRL-1,-0.014,-0.019273866,1.0
TRA2A_1_binding,TRA2A,1,K562,chr18_+_2772249_2772372_2775733_2775924_2777805_2777915_ENCSR031RRO_CTRL-1,-0.059,-0.04040439,0.01508245351433984
TRA2A_1_binding,TRA2A,1,K562,chr1_-_150235829_150235732_150229114_150229071_150226795_150226607_ENCSR031RRO_CTRL-1,-0.02,-0.07087144,1.0
TRA2A_1_binding,TRA2A,1,K562,chr2_+_171692776_171692894_171707286_171707377_171715327_171715443_ENCSR031RRO_CTRL-1,0.005,-0.03140524,1.0
TRA2A_1_binding,TRA2A,1,K562,chr17_+_45081643_45081752_45083657_45083755_45086507_45086652_ENCSR031RRO_CTRL-1,-0.002,-0.009263314,1.0
TRA2A_1_binding,TRA2A,1,K562,chr2_+_99368492_99368591_99369391_99369481_99371655_99371730_ENCSR031RRO_CTRL-1,0.0,-0.06515456,1.0
TRA2A_1_binding,TRA2A,1,K562,chr9_-_128180523_128180414_128179415_128179072_128178904_128178708_ENCSR031RRO_CTRL-1,-0.001,-0.0033982631,1.0
TRA2A_1_binding,TRA2A,1,K562,chr2_+_171692776_171692894_171707232_171707377_171715327_171715368_ENCSR031RRO_CTRL-1,0.012,-0.040067025,1.0
TRA2A_1_binding,TRA2A,1,K562,chr7_-_73498698_73498496_73492921_73492799_73489391_73489193_ENCSR031RRO_CTRL-1,0.002,-0.0058546993,1.0
TRA2A_1_binding,TRA2A,1,K562,chr16_+_89885847_89885966_89887651_89887717_89892192_89892247_ENCSR031RRO_CTRL-1,0.011,-0.018690739,1.0
TRA2A_1_binding,TRA2A,1,K562,chr1_-_226161689_226161530_226159358_226159183_226154833_226154646_ENCSR031RRO_CTRL-1,-0.008,-0.040552516,1.0
TRA2A_1_binding,TRA2A,1,K562,chr15_+_41464770_41464885_41466140_41466252_41470256_41470392_ENCSR032YMP_CTRL-1,0.002,-0.0025656882,1.0
TRA2A_1_binding,TRA2A,1,K562,chr17_+_40162001_40162153_40162724_40162901_40163480_40163602_ENCSR031RRO_CTRL-1,-0.001,-0.0131836515,1.0
TRA2A_1_binding,TRA2A,1,K562,chr10_-_101798154_101797979_101793998_101793912_101792901_101792838_ENCSR084SCN_CTRL-1,-0.007,-0.0035210229,1.0
TRA2A_1_binding,TRA2A,1,K562,chr13_-_106559657_106559431_106557616_106557558_106557131_106557047_ENCSR031RRO_CTRL-1,0.008,-0.10416636,1.0
TRA2A_1_binding,TRA2A,1,K562,chr7_-_99908812_99908581_99903598_99903575_99903315_99903217_ENCSR084SCN_CTRL-1,0.004,-0.0037065097,1.0
TRA2A_1_binding,TRA2A,1,K562,chr1_+_70237424_70237552_70239438_70239520_70244683_70244815_ENCSR031RRO_CTRL-1,-0.0,-0.0038445357,1.0
TRA2A_1_binding,TRA2A,1,K562,chr1_-_109075065_109074986_109066232_109066134_109064693_109064139_ENCSR031RRO_CTRL-1,-0.016,-0.069656126,1.0
TRA2A_1_binding,TRA2A,1,K562,chr11_-_64776626_64776497_64771537_64771463_64770408_64770277_ENCSR031RRO_CTRL-1,-0.008,-0.0040418603,1.0
TRA2A_1_binding,TRA2A,1,K562,chr15_+_44554552_44554667_44557488_44557650_44560248_44560322_ENCSR031RRO_CTRL-1,-0.001,-0.060772207,1.0
TRA2A_1_binding,TRA2A,1,K562,chr20_-_50096820_50096671_50096534_50096482_50084254_50084128_ENCSR031RRO_CTRL-1,-0.001,-0.0035392742,1.0
TRA2A_1_binding,TRA2A,1,K562,chr12_-_292925_292758_286207_286125_285662_285455_ENCSR031RRO_CTRL-1,-0.052,-0.0036524537,0.9481811155261602
TRA2A_1_binding,TRA2A,1,K562,chr6_-_31889342_31889227_31889070_31888968_31888747_31888598_ENCSR031RRO_CTRL-1,-0.027,0.0051541566,1.0
TRA2A_1_binding,TRA2A,1,K562,chr8_-_94535007_94534838_94531085_94530962_94529342_94529069_ENCSR031RRO_CTRL-1,0.016,-0.035451554,1.0
TRA2A_1_binding,TRA2A,1,K562,chr1_-_150694850_150694655_150661928_150661813_150648748_150646224_ENCSR031RRO_CTRL-1,-0.024,-0.0036550125,1.0
TRA2A_1_binding,TRA2A,1,K562,chr1_-_150694850_150694655_150694173_150694107_150663763_150663631_ENCSR031RRO_CTRL-1,0.009,-0.003659467,1.0
TRA2A_1_binding,TRA2A,1,K562,chr3_+_9813247_9813345_9817644_9817759_9818554_9818920_ENCSR092WKG_CTRL-2,0.007,-0.015472202,1.0
