Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
MORC2_1_binding,MORC2,1,K562,chr22_-_19122407_19122127_19089490_19089367_19068225_19068095_ENCSR031RRO_CTRL-1,-0.008,-0.014136044,0.00004960478,-0.014185649,1.0
MORC2_1_binding,MORC2,1,K562,chr7_-_1445428_1444651_1442484_1442191_1440684_1440590_ENCSR031RRO_CTRL-1,0.006,0.0037467568,7.439699e-7,0.003746013,1.0
MORC2_1_binding,MORC2,1,K562,chr18_-_46098279_46098171_46095131_46095052_46093365_46093179_ENCSR031RRO_CTRL-1,-0.001,0.0035758093,0.0000012912396,0.003574518,1.0
MORC2_1_binding,MORC2,1,K562,chr7_-_101244731_101244556_101244139_101244006_101240906_101240829_ENCSR031RRO_CTRL-1,-0.013,-0.003420553,0.000027994207,-0.003448547,1.0
MORC2_1_binding,MORC2,1,K562,chr5_-_181243880_181243691_181242345_181242169_181241563_181241491_ENCSR084SCN_CTRL-1,-0.018,-0.0073487437,0.00002831469,-0.0073770583,0.0002419168794072582
MORC2_1_binding,MORC2,1,K562,chr9_+_136665791_136665817_136668240_136668362_136668556_136668673_ENCSR031RRO_CTRL-1,-0.008,0.0036231566,9.881536e-7,0.0036221684,1.0
MORC2_1_binding,MORC2,1,K562,chr6_+_34236872_34236963_34237203_34237317_34240736_34240882_ENCSR031RRO_CTRL-1,0.167,-0.021294903,-0.00005750006,-0.021237403,0.0000166788215238528
MORC2_1_binding,MORC2,1,K562,chr18_+_9914612_9915065_9931809_9931962_9936109_9936157_ENCSR084SCN_CTRL-1,-0.001,0.0037706294,7.6210995e-7,0.0037698674,1.0
MORC2_1_binding,MORC2,1,K562,chr20_+_50574516_50574654_50578419_50578629_50579167_50579329_ENCSR031RRO_CTRL-1,0.004,0.0037706294,7.6210995e-7,0.0037698674,1.0
MORC2_1_binding,MORC2,1,K562,chr12_+_6943833_6944173_6944475_6944565_6945770_6946002_ENCSR031RRO_CTRL-1,0.016,0.0057193073,-0.0001330915,0.005852399,1.0
MORC2_1_binding,MORC2,1,K562,chr17_-_75896558_75896523_75892850_75892754_75892500_75892266_ENCSR031RRO_CTRL-1,0.005,0.0035758093,0.0000012912396,0.003574518,1.0
MORC2_1_binding,MORC2,1,K562,chr18_-_46098279_46098171_46095131_46095052_46091851_46091681_ENCSR031RRO_CTRL-1,0.0,0.0035758093,0.0000012912396,0.003574518,1.0
MORC2_1_binding,MORC2,1,K562,chr1_+_26473205_26473527_26473702_26473732_26474084_26474128_ENCSR031RRO_CTRL-1,0.001,0.0034745634,0.0000013178158,0.0034732455,1.0
MORC2_1_binding,MORC2,1,K562,chr12_+_6534532_6534569_6534809_6534991_6536493_6536593_ENCSR031RRO_CTRL-1,-0.006,-0.015307295,0.000049917075,-0.015357212,1.0
MORC2_2_binding,MORC2,2,K562,chr7_+_6637321_6637447_6637845_6638009_6639041_6639141_ENCSR092WKG_CTRL-2,-0.014,0.30586886,-0.0007953743,0.30666423,1.0
MORC2_2_binding,MORC2,2,K562,chr17_+_30709607_30709811_30759490_30759539_30766502_30766588_ENCSR154OBA_CTRL-1,-0.009,0.2976446,-0.0002528888,0.2978975,1.0
MORC2_2_binding,MORC2,2,K562,chr1_-_5992447_5992243_5986327_5986154_5978413_5978269_ENCSR092WKG_CTRL-2,-0.032,0.31674823,-0.00026860886,0.31701684,1.0
MORC2_2_binding,MORC2,2,K562,chr21_+_34073548_34073745_34102834_34102908_34125340_34125480_ENCSR031RRO_CTRL-1,-0.013,0.28066725,-0.0007749157,0.28144217,1.0
MORC2_2_binding,MORC2,2,K562,chr20_-_1185415_1185137_1183948_1183770_1181587_1181156_ENCSR031RRO_CTRL-1,-0.016,0.33379284,-0.0013926255,0.33518547,1.0
MORC2_2_binding,MORC2,2,K562,chr14_-_104795504_104795483_104793304_104793126_104792722_104792597_ENCSR031RRO_CTRL-1,-0.062,0.25987044,-0.00022125438,0.2600917,0.3909364100374055
MORC2_2_binding,MORC2,2,K562,chr1_+_26472510_26472627_26473482_26473585_26473702_26473732_ENCSR031RRO_CTRL-1,-0.004,0.31743047,-0.00095480494,0.31838527,1.0
MORC2_2_binding,MORC2,2,K562,chr8_-_144792420_144792365_144792140_144791991_144791914_144791112_ENCSR031RRO_CTRL-1,-0.0,0.26676768,-0.00022578766,0.26699346,1.0
MORC2_2_binding,MORC2,2,K562,chr7_-_5530601_5530523_5529733_5529534_5529400_5529160_ENCSR031RRO_CTRL-1,-0.001,0.31812376,-0.001227556,0.31935132,1.0
MORC2_2_binding,MORC2,2,K562,chr1_+_26472505_26472627_26473482_26473732_26474084_26474135_ENCSR031RRO_CTRL-1,-0.002,0.32311144,-0.001033223,0.32414466,1.0
MORC2_2_binding,MORC2,2,K562,chr1_+_26472449_26472627_26473702_26473732_26474084_26474128_ENCSR031RRO_CTRL-1,-0.002,0.3177428,-0.0010396888,0.31878248,1.0
MORC2_2_binding,MORC2,2,K562,chr11_+_64305571_64305736_64307167_64307504_64313950_64314067_ENCSR031RRO_CTRL-1,-0.004,0.31915122,-0.0008202301,0.31997144,1.0
MORC2_2_binding,MORC2,2,K562,chr17_+_30709298_30709811_30743300_30743369_30759490_30759539_ENCSR031RRO_CTRL-1,0.05,0.29981187,-0.0002546921,0.30006656,0.544616857456522
MORC2_2_binding,MORC2,2,K562,chr1_+_26472476_26472627_26473482_26473527_26473702_26473732_ENCSR031RRO_CTRL-1,-0.0,0.3193488,-0.0010411742,0.32039,1.0
MORC2_2_binding,MORC2,2,K562,chr11_+_67583594_67583844_67584463_67584570_67584684_67584772_ENCSR031RRO_CTRL-1,0.0,0.27121246,-0.00023087117,0.27144334,1.0
MORC2_2_binding,MORC2,2,K562,chr1_+_26472449_26472627_26473459_26473527_26473702_26473732_ENCSR031RRO_CTRL-1,-0.002,0.3118176,-0.001034678,0.31285226,1.0
MORC2_2_binding,MORC2,2,K562,chr19_-_49862209_49862184_49862105_49862043_49861695_49861607_ENCSR031RRO_CTRL-1,-0.016,0.30415168,-0.00025827077,0.30440995,1.0
MORC2_2_binding,MORC2,2,K562,chr2_-_96894051_96893925_96878493_96878415_96878042_96877756_ENCSR031RRO_CTRL-1,-0.0,0.22585595,-0.00019188409,0.22604783,1.0
MORC2_2_binding,MORC2,2,K562,chr20_+_63278898_63278995_63281290_63281347_63284865_63284922_ENCSR129RWD_CTRL-1,-0.001,0.30888098,-0.0002621768,0.30914316,1.0
MORC2_2_binding,MORC2,2,K562,chr12_+_131918301_131918681_131919211_131919384_131919471_131919590_ENCSR620PUP_CTRL-1,-0.003,0.30604225,-0.0002600977,0.30630234,1.0
MORC2_2_binding,MORC2,2,K562,chr7_-_50793436_50793223_50703908_50703820_50674658_50674435_ENCSR129RWD_CTRL-1,-0.002,0.29661405,-0.00025166245,0.2968657,1.0
MORC2_2_binding,MORC2,2,K562,chr7_-_50793432_50793223_50732368_50732271_50710990_50710874_ENCSR143COQ_CTRL-1,-0.063,0.29964578,-0.00025431588,0.29990008,0.6063878859195535
MORC2_2_binding,MORC2,2,K562,chr19_-_49862281_49862184_49861881_49861771_49861695_49861607_ENCSR031RRO_CTRL-1,-0.03,0.29664016,-0.0002520284,0.2968922,1.0
MORC2_2_binding,MORC2,2,K562,chr7_-_50793432_50793223_50732368_50732271_50703908_50703820_ENCSR143COQ_CTRL-1,-0.124,0.29621577,-0.00025152916,0.2964673,0.1347325695143424
MORC2_2_binding,MORC2,2,K562,chr9_+_136665791_136665817_136668240_136668362_136668556_136668673_ENCSR031RRO_CTRL-1,-0.008,0.22781134,-0.0001955074,0.22800684,1.0
MORC2_2_binding,MORC2,2,K562,chr14_-_104795751_104795483_104793210_104793126_104792722_104792597_ENCSR031RRO_CTRL-1,-0.066,0.25998524,-0.00022139098,0.26020664,0.36127371290192334
MORC2_2_binding,MORC2,2,K562,chr21_+_34073522_34073745_34125340_34125480_34142407_34143034_ENCSR031RRO_CTRL-1,-0.012,0.2851234,-0.0007784167,0.2859018,1.0
MORC2_2_binding,MORC2,2,K562,chr7_-_5530590_5530523_5529663_5529160_5528719_5528469_ENCSR031RRO_CTRL-1,-0.0,0.3157185,-0.001027344,0.31674585,1.0
MORC2_2_binding,MORC2,2,K562,chr2_-_32010264_32010186_31943383_31943301_31932135_31932066_ENCSR031RRO_CTRL-1,0.003,0.29837114,-0.00025360644,0.29862475,1.0
MORC2_2_binding,MORC2,2,K562,chr20_-_63707853_63707809_63707097_63706998_63706738_63706650_ENCSR031RRO_CTRL-1,0.011,0.31693998,-0.0002682014,0.31720817,1.0
MORC2_2_binding,MORC2,2,K562,chr1_+_26472476_26472627_26473482_26473527_26474084_26474135_ENCSR031RRO_CTRL-1,0.003,0.31828263,-0.0010401931,0.31932282,1.0
MORC2_2_binding,MORC2,2,K562,chr2_-_96894051_96893925_96878493_96878415_96876308_96875881_ENCSR031RRO_CTRL-1,0.0,0.22706416,-0.00019277439,0.22725694,1.0
MORC2_2_binding,MORC2,2,K562,chr1_-_241519761_241519590_241517316_241517181_241513713_241513602_ENCSR031RRO_CTRL-1,0.004,0.2919196,-0.00024798783,0.29216757,1.0
MORC2_2_binding,MORC2,2,K562,chr19_-_45478828_45478735_45423381_45423269_45421393_45421177_ENCSR031RRO_CTRL-1,0.014,0.34464568,-0.00097499264,0.34562066,1.0
MORC2_2_binding,MORC2,2,K562,chr2_-_96894051_96893925_96878042_96877889_96876308_96875881_ENCSR031RRO_CTRL-1,0.003,0.25557715,-0.00021631815,0.25579345,1.0
MORC2_2_binding,MORC2,2,K562,chr1_+_26472516_26472627_26473702_26473817_26474084_26474135_ENCSR620PUP_CTRL-2,-0.16,0.3112194,-0.0009494193,0.3121688,0.7473433590140365
MORC2_2_binding,MORC2,2,K562,chr5_-_40835212_40835182_40834606_40834470_40834265_40833878_ENCSR031RRO_CTRL-1,-0.0,0.2730124,-0.0002306189,0.273243,1.0
MORC2_2_binding,MORC2,2,K562,chr4_+_1730802_1730962_1731171_1731301_1735272_1735325_ENCSR032YMP_CTRL-1,0.008,0.3040477,-0.00025782548,0.30430552,1.0
MORC2_2_binding,MORC2,2,K562,chr1_-_5992447_5992243_5978413_5978269_5969259_5969086_ENCSR031RRO_CTRL-2,0.022,0.31861287,-0.00027018512,0.31888306,1.0
MORC2_2_binding,MORC2,2,K562,chr8_-_144792587_144792365_144791914_144791772_144791495_144791276_ENCSR031RRO_CTRL-1,-0.001,0.27589557,-0.00023308555,0.27612865,1.0
MORC2_2_binding,MORC2,2,K562,chr7_+_6637321_6637447_6639041_6639141_6641824_6641962_ENCSR129RWD_CTRL-1,-0.007,0.29230374,-0.0007842613,0.293088,1.0
MORC2_2_binding,MORC2,2,K562,chr20_+_63278898_63278995_63279219_63279306_63281290_63281347_ENCSR031RRO_CTRL-1,0.013,0.3045349,-0.000258596,0.3047935,1.0
MORC2_2_binding,MORC2,2,K562,chr5_+_178204547_178205046_178205841_178206010_178206731_178206890_ENCSR031RRO_CTRL-1,0.001,0.33826637,-0.00083132426,0.3390977,1.0
MORC2_2_binding,MORC2,2,K562,chr7_-_50793432_50793223_50710990_50710874_50703908_50703820_ENCSR031RRO_CTRL-2,-0.182,0.29621577,-0.00025152916,0.2964673,0.014773886621304421
MORC2_2_binding,MORC2,2,K562,chr20_-_63707838_63707809_63707092_63706998_63706738_63706650_ENCSR031RRO_CTRL-1,0.011,0.321028,-0.00027196013,0.32129994,1.0
MORC2_2_binding,MORC2,2,K562,chr19_-_49862209_49862184_49862105_49862043_49861881_49861448_ENCSR031RRO_CTRL-1,0.014,0.3055278,-0.0002594196,0.30578724,1.0
MORC2_2_binding,MORC2,2,K562,chr11_+_67583594_67583844_67584133_67584169_67584463_67584570_ENCSR031RRO_CTRL-1,-0.005,0.2787013,-0.00023684259,0.27893814,1.0
MORC2_3_binding,MORC2,3,K562,chr17_+_82911757_82911789_82923651_82923733_82924938_82925056_ENCSR031RRO_CTRL-1,0.008,-0.0670469,0.000018374818,-0.067065276,1.0
MORC2_3_binding,MORC2,3,K562,chr16_+_397208_397313_397878_397902_398989_399123_ENCSR031RRO_CTRL-1,0.009,-0.046799276,0.000013071849,-0.046812348,1.0
MORC2_3_binding,MORC2,3,K562,chr7_-_5530601_5530523_5529733_5529534_5529400_5529160_ENCSR031RRO_CTRL-1,-0.001,-0.03643912,0.000020786985,-0.036459908,1.0
MORC2_3_binding,MORC2,3,K562,chr18_-_46104227_46104136_46098279_46098171_46095131_46095052_ENCSR031RRO_CTRL-1,-0.002,-0.067639574,0.000019144212,-0.067658715,1.0
MORC2_3_binding,MORC2,3,K562,chr19_-_1479216_1479162_1478905_1478653_1461824_1461142_ENCSR174OYC_CTRL-2,-0.038,-0.06469382,0.000017230335,-0.06471106,1.0
MORC2_3_binding,MORC2,3,K562,chr2_+_131508536_131508608_131515601_131515747_131516313_131516404_ENCSR031RRO_CTRL-1,0.039,-0.03609981,0.000012252562,-0.036112063,0.6744837318329262
MORC2_3_binding,MORC2,3,K562,chr19_+_571276_571579_579499_579656_580378_580461_ENCSR031RRO_CTRL-1,0.001,-0.05201593,0.000030432999,-0.052046362,1.0
MORC2_3_binding,MORC2,3,K562,chr7_+_892299_892418_893739_893971_895333_895658_ENCSR031RRO_CTRL-1,-0.002,-0.049232874,0.000014025152,-0.0492469,1.0
MORC2_3_binding,MORC2,3,K562,chr8_+_9770130_9770262_9772368_9772423_9776649_9777036_ENCSR031RRO_CTRL-1,0.013,-0.12008132,0.000077099765,-0.12015842,1.0
MORC2_3_binding,MORC2,3,K562,chr16_-_88741616_88741477_88738736_88738567_88738440_88738226_ENCSR031RRO_CTRL-1,-0.004,-0.067639574,0.000019144212,-0.067658715,1.0
MORC2_3_binding,MORC2,3,K562,chr1_+_1034866_1035324_1040664_1040880_1041172_1041397_ENCSR092WKG_CTRL-1,-0.018,-0.036968313,0.000013250258,-0.036981564,1.0
MORC2_3_binding,MORC2,3,K562,chr19_+_572577_572701_579499_579656_580378_580461_ENCSR031RRO_CTRL-1,-0.003,-0.039529007,0.000022423657,-0.03955143,1.0
MORC2_3_binding,MORC2,3,K562,chr12_+_131916952_131917062_131917410_131917554_131918496_131918681_ENCSR143COQ_CTRL-1,-0.014,-0.059236247,0.00004515661,-0.059281405,1.0
MORC2_3_binding,MORC2,3,K562,chr19_-_1479194_1479162_1478905_1478773_1461824_1461142_ENCSR174OYC_CTRL-1,-0.018,-0.06469382,0.000017230335,-0.06471106,1.0
MORC2_3_binding,MORC2,3,K562,chr17_+_82921015_82921577_82923651_82923733_82924938_82925056_ENCSR031RRO_CTRL-1,0.001,-0.050741024,0.000015549529,-0.050756574,1.0
MORC2_4_binding,MORC2,4,K562,chr19_+_7639018_7639100_7639730_7639807_7640730_7640809_ENCSR031RRO_CTRL-1,0.002,0.0,0.0,0.0,1.0
MORC2_4_binding,MORC2,4,K562,chr2_-_96902707_96902619_96894051_96893925_96878493_96878415_ENCSR031RRO_CTRL-1,0.003,0.0,0.0,0.0,1.0
MORC2_4_binding,MORC2,4,K562,chr2_-_32011230_32010993_32010264_32010186_31943383_31943301_ENCSR032YMP_CTRL-1,0.007,0.0,0.0,0.0,1.0
MORC2_4_binding,MORC2,4,K562,chr2_-_32010974_32010941_32010264_32010186_31943383_31943301_ENCSR031RRO_CTRL-1,-0.013,0.0,0.0,0.0,1.0
MORC2_4_binding,MORC2,4,K562,chr2_-_96921262_96921164_96894051_96893925_96878493_96878415_ENCSR031RRO_CTRL-1,-0.0,0.0,0.0,0.0,1.0
MORC2_4_binding,MORC2,4,K562,chr2_-_96921654_96921477_96894051_96893925_96878493_96878415_ENCSR031RRO_CTRL-1,-0.001,0.0,0.0,0.0,1.0
MORC2_5_binding,MORC2,5,K562,chr19_+_572564_572701_577773_578121_579499_579629_ENCSR031RRO_CTRL-1,0.001,0.0,0.0,0.0,1.0
MORC2_5_binding,MORC2,5,K562,chr17_-_78175618_78175528_78175169_78175049_78174950_78174074_ENCSR031RRO_CTRL-1,0.0,0.0,0.0,0.0,1.0
MORC2_6_binding,MORC2,6,K562,chr2_-_96921654_96921477_96902707_96902619_96894051_96893925_ENCSR031RRO_CTRL-1,-0.012,0.26138827,-0.0040861187,0.26547438,1.0
MORC2_6_binding,MORC2,6,K562,chr2_-_96921262_96921164_96902707_96902619_96894051_96893925_ENCSR031RRO_CTRL-1,0.013,0.26138827,-0.0040861187,0.26547438,1.0
MORC2_6_binding,MORC2,6,K562,chr2_-_96921654_96921477_96921262_96921164_96894051_96893925_ENCSR031RRO_CTRL-1,-0.013,0.26138827,-0.0040861187,0.26547438,1.0
MORC2_6_binding,MORC2,6,K562,chr12_+_131916952_131917062_131917410_131917554_131918496_131918681_ENCSR143COQ_CTRL-1,-0.014,0.0061365077,-0.0005062128,0.0066427207,1.0
MORC2_6_binding,MORC2,6,K562,chr11_+_66616629_66617057_66623900_66623968_66624213_66624593_ENCSR031RRO_CTRL-1,0.006,0.004738657,-0.000045670105,0.004784327,1.0
MORC2_6_binding,MORC2,6,K562,chr19_+_7638725_7638775_7639018_7639100_7639730_7639807_ENCSR031RRO_CTRL-1,-0.002,0.003755685,-0.000037319645,0.0037930047,1.0
MORC2_6_binding,MORC2,6,K562,chr4_+_1723727_1723870_1727707_1728787_1730886_1730962_ENCSR031RRO_CTRL-1,0.013,0.0040744916,-0.000038714108,0.0041132057,1.0
