Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr12_-_9104400_9104238_9101674_9101446_9101207_9101143_ENCSR003EKR_CTRL-1,-0.0,-0.2267934,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr11_-_61967453_61967311_61965515_61965368_61964891_61964284_ENCSR042QTH_CTRL-1,0.0,-0.4733658,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr19_-_3551045_3550983_3548267_3548122_3548030_3547847_ENCSR042QTH_CTRL-1,0.043,-0.31670108,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr17_-_38852732_38852603_38850475_38850361_38850214_38847866_ENCSR003EKR_CTRL-1,0.0,-0.2510123,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr15_+_50490262_50490525_50492700_50492913_50494069_50494280_ENCSR003EKR_CTRL-1,0.014,-0.3776591,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr14_+_61738086_61738373_61744704_61744813_61745690_61745817_ENCSR104ABF_CTRL-1,-0.001,-0.32635257,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr14_-_89281014_89280949_89180806_89180700_89162969_89156171_ENCSR376RJN_CTRL-1,-0.013,-0.31560472,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr12_-_9079331_9079243_9077857_9077700_9077420_9077345_ENCSR042QTH_CTRL-1,-0.0,-0.25679022,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr7_+_66948543_66948694_66953225_66953369_66955501_66956153_ENCSR003EKR_CTRL-1,-0.024,-0.627625,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr4_-_186639783_186639721_186636914_186636584_186636235_186636024_ENCSR067GHD_CTRL-1,0.005,-0.3883261,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr10_+_28614566_28614685_28616172_28616362_28617656_28617784_ENCSR003EKR_CTRL-1,-0.003,-0.28115073,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr2_-_215383483_215383327_215381080_215380810_215379317_215379129_ENCSR003EKR_CTRL-1,0.001,-0.35809317,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr16_+_69691748_69694239_69695135_69695379_69696359_69696578_ENCSR042QTH_CTRL-1,-0.006,-0.18529859,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr12_+_53467220_53467293_53467804_53467843_53468779_53468832_ENCSR003EKR_CTRL-1,0.042,-0.24594697,0.533671616998148
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr12_-_9079331_9079243_9077420_9077345_9076936_9076755_ENCSR067GHD_CTRL-1,-0.0,-0.37686664,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr16_+_68190767_68191775_68214328_68214432_68221195_68221284_ENCSR042QTH_CTRL-1,0.066,-0.41743168,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr5_+_150540081_150540264_150542847_150542971_150545311_150545486_ENCSR067GHD_CTRL-1,-0.028,-0.22400115,1.0
IGF2BP1_1_binding,IGF2BP1,1,HepG2,chr5_+_136047273_136047420_136049438_136049580_136052906_136053119_ENCSR042QTH_CTRL-1,-0.0,-0.31078884,1.0
