Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
DDX43_1_binding,DDX43,1,K562,chr2_+_158663271_158663445_158666412_158666563_158669719_158669915_ENCSR084SCN_CTRL-1,0.002,-0.07931136,1.0
DDX43_1_binding,DDX43,1,K562,chr11_-_62609696_62609628_62609132_62608961_62608805_62608735_ENCSR174OYC_CTRL-1,-0.006,-0.100604,1.0
DDX43_1_binding,DDX43,1,K562,chr1_-_235161067_235160892_235155112_235154880_235148447_235148403_ENCSR032YMP_CTRL-1,0.024,-0.11601763,1.0
DDX43_1_binding,DDX43,1,K562,chr12_-_55817709_55817665_55803728_55803628_55796076_55796024_ENCSR143COQ_CTRL-1,-0.004,-0.09725878,1.0
DDX43_1_binding,DDX43,1,K562,chr11_+_64262646_64262808_64263497_64263597_64263690_64263795_ENCSR031RRO_CTRL-1,0.014,-0.0818367,1.0
DDX43_1_binding,DDX43,1,K562,chr6_+_24418460_24418578_24422936_24423050_24423583_24425582_ENCSR031RRO_CTRL-1,-0.01,-0.08188671,1.0
DDX43_1_binding,DDX43,1,K562,chr9_-_135824034_135823949_135823260_135820838_135819146_135819009_ENCSR031RRO_CTRL-1,0.031,-0.103446715,1.0
DDX43_1_binding,DDX43,1,K562,chr6_-_85678032_85677953_85677492_85677423_85677191_85676989_ENCSR032YMP_CTRL-1,0.004,-0.06656894,1.0
DDX43_1_binding,DDX43,1,K562,chr11_-_85996929_85996825_85990378_85990249_85983973_85983865_ENCSR031RRO_CTRL-1,0.003,-0.13556476,1.0
DDX43_1_binding,DDX43,1,K562,chr1_-_1312949_1312786_1312700_1312592_1312368_1312225_ENCSR143COQ_CTRL-1,0.007,-0.08381787,1.0
DDX43_1_binding,DDX43,1,K562,chr6_-_43565736_43565659_43562346_43562246_43561007_43560923_ENCSR031RRO_CTRL-1,-0.004,-0.080098026,1.0
DDX43_1_binding,DDX43,1,K562,chr16_-_66729099_66729039_66728242_66728200_66727805_66727687_ENCSR031RRO_CTRL-1,0.013,-0.08632565,1.0
DDX43_1_binding,DDX43,1,K562,chr1_-_229490102_229489954_229486528_229486370_229484145_229484053_ENCSR031RRO_CTRL-1,-0.005,-0.07203195,1.0
DDX43_1_binding,DDX43,1,K562,chr13_+_114250548_114250674_114257077_114257230_114259334_114259398_ENCSR031RRO_CTRL-1,0.001,-0.1969333,1.0
DDX43_1_binding,DDX43,1,K562,chr19_+_5626404_5626489_5641593_5641658_5645336_5645399_ENCSR031RRO_CTRL-1,-0.001,-0.07761619,1.0
DDX43_1_binding,DDX43,1,K562,chr1_+_11658266_11658364_11658532_11658628_11658735_11658871_ENCSR031RRO_CTRL-1,0.047,-0.15861121,1.0
DDX43_1_binding,DDX43,1,K562,chr6_+_43502282_43502349_43502587_43502617_43503400_43503508_ENCSR031RRO_CTRL-1,-0.0,-0.09223001,1.0
DDX43_1_binding,DDX43,1,K562,chr3_+_186787126_186787264_186787494_186787584_186789124_186789881_ENCSR031RRO_CTRL-1,-0.002,-0.140336,1.0
DDX43_1_binding,DDX43,1,K562,chr21_+_44325152_44325264_44325731_44326060_44326158_44326264_ENCSR092WKG_CTRL-1,0.002,-0.13451457,1.0
DDX43_1_binding,DDX43,1,K562,chr22_-_20747702_20747582_20744720_20744627_20742764_20742607_ENCSR031RRO_CTRL-1,-0.018,-0.077145375,0.8356298360124423
DDX43_1_binding,DDX43,1,K562,chr19_-_10115781_10115683_10115585_10115478_10115129_10115016_ENCSR031RRO_CTRL-1,0.002,-0.08545564,1.0
DDX43_1_binding,DDX43,1,K562,chr17_+_50719628_50719831_50723818_50723965_50736959_50737026_ENCSR031RRO_CTRL-1,-0.001,-0.084723204,1.0
DDX43_1_binding,DDX43,1,K562,chr15_+_42511832_42511903_42512954_42512996_42515236_42515354_ENCSR031RRO_CTRL-1,-0.001,-0.09267543,1.0
DDX43_1_binding,DDX43,1,K562,chr10_-_102110701_102110528_102110043_102109920_102109683_102109599_ENCSR032YMP_CTRL-1,-0.001,-0.051849466,1.0
DDX43_1_binding,DDX43,1,K562,chr3_+_50099981_50100051_50100531_50100605_50103082_50103107_ENCSR031RRO_CTRL-1,0.163,-0.14837281,0.008217296055703125
DDX43_1_binding,DDX43,1,K562,chr1_-_11080912_11080763_11080514_11080498_11079822_11079710_ENCSR092WKG_CTRL-2,0.068,-0.07641322,0.0729222388182348
DDX43_1_binding,DDX43,1,K562,chr4_+_51886567_51886638_51887122_51887244_51891759_51891851_ENCSR031RRO_CTRL-1,0.077,-0.08453506,1.0
